제목,날짜,abstract
유분증 아동의 정서․행동 문제에 대한 미술치료 질적사례연구,2023.12,"본 연구의 목적은 정서․행동 문제를 보이는 유분증 아동이 미술치료를 통해 어떠한 경험을 하고, 그 의미는 무엇인지 살펴보기 위함이며 이를 위해 질적 사례연구 방법으로 파악하였다.  연구참여자는 유분증 진단을 받은 초등 3년에 재학 중인 8세 남아로 2022년 4월 1일부터 9월 23일까지 주 1회 60~80분씩 총 20회기의 개인 미술치료를 진행하였다.  코헛(Kohut, 1971)의 자기 심리학의 중심개념인 자기 대상과 자기 대상과의 공감적 관계를 기반으로 Rogers(2010)의 인간중심 표현치료이론과 ETC(Hinz, 2016) 근거 매체사용과 명화 감상 미술 치료방식(정여주, 2021)을 참고하여 프로그램을 구성하였다.  연구참여자의 수집된 자료는 Wolcott(1994)가 제안한 세 가지의 질적 데이터 변환 방법인 기술, 분석, 해석의 단계를 적용하여 분석한 결과 총 4개의 상위주제와 11개의 하위주제를 도출하였다.  미술치료 환경에 적응, 감정 드러내기, 성공체험을 통한 긍정적 자기 인식과 표현력 향상, 스스로 자신 구축하기로 요약 제시하였다."
틱 증상을 보이는 아동의 미술치료 경험에 관한 내러티브 탐구,2023.12,"본 연구는 틱 증상을 보이는 아동이 미술치료 과정에서 무엇을 경험하고, 그 경험의 의미가 무엇인지를 탐구하는데 목적이 있다.  연구 참여자는 틱 증상을 보이는 초등학생 3학년 남아이며 2021년 3월부터 2022년 2월까지 주 1회 60분씩, 총 44회기의 개인 미술치료를 실시하였다.  틱 증상을 보이는 아동의 미술치료 경험과 의미를 깊이 이해하고 풍부하게 전달하기 위해 내러티브 탐구를 사용하였다.  연구의 자료는 작품사진, 매회기 녹취, 치료 일지, 부모면담 기록지, 행동관찰, 메모, 연구자의 그림 등이 활용되었다.  연구 참여자의 경험이야기는 '불안을 피해서 공룡의 세계를 상상하다', '엄마는 나만 미워해요', '친구들은 나를 외롭게 해요', '상상의 세상에서 현실의 세상으로 나오다', '함께하는 것은 나에게 행복이에요'이다."
미술치료사들의 직업 소명 의식에 대한해석 현상학적 분석(IPA),2023.12,"본 연구는 미술치료사들이 체험한 직업 소명 의식의 의미와 본질을 밝히고자 하는 데 목적이 있다.  연구 방법은 Smith 등(2015)이 제시한 해석 현상학적 분석 방법으로 접근했다.  이를 위해 소명 의식이 있는 5명의 미술치료사를 모집하였고, 심층 면담을 시행하여 자료를 수집했다.  연구참여자들과 60분씩 3회의 심층 인터뷰를 진행하였으며, 분석 결과 4개의 본질적 주제와 21개의 하위 주제가 도출되었다.  본질적 주제는 <미술 치유의 힘 발견>, <내담자 중심주의>, <지속적 성장이 일어나는 삶>, <인간 사랑의 실천>으로 나타났다."
복합외상 청소년의 속성-경험적 역동심리치료(Accelerated Experiential Dynamic Psychotherapy: AEDP)를 기반한 미술치료 경험에 대한 개념도 연구,2023.12,"본 연구는 복합외상 청소년에게 속성-경험적 역동심리치료(Accelerated Experiential Dynamic Psychotherapy: AEDP)를 기반한 미술치료를 실시하여 그들의 경험과 의미를 살펴보고 개념도 연구를 통해 시각적 체계로 제시하였다.  연구대상은 위협적인 대인관계의 경험으로 불편감을 호소하고 정서조절의 어려움을 느끼는 청소년으로 복합외상의 증상으로 간주되는 8명을 참여자로 선정하였다.  주1회 60분 총 16회기의 미술치료 프로그램을 진행하였고 연구 참여자들에 의해 분류된 유사한 중심 진술문항을 기반으로 다차원 척도법(MDS: Multi Dimensional Scaling)과 위계적 군집분석법(HCA: Hierarchical Cluster Analysis)으로 개념도를 분석하였다.  최종적으로 “작업과 정서적 경험”, “핵심감정 머물기”, “핵심신념 직면”, “자원 및 욕구발견”, “통찰과 변형”, “긍정적 정서변화”로 총 6개의 군집과 “명시적-암묵적”과 “이완-승화”의 2개 차원을 확인할 수 있었고 군집의 중요도로는 “긍정적 정서변화”, “자원 및 욕구발견”, “작업과 정서경험”, “통찰과 변형”, “핵심감정 머물기”, “핵심신념 직면” 순으로 나타났다.  본 연구에서는 복합외상 청소년의 AEDP를 기반한 미술치료의 경험을 통해 청소년 스스로가 자아(self)를 인식하고 이해하는 과정을 다루고 긍정적 변형의 과정을 밝히고 그 과정을 단계별로 제시하였다는 점에서 의의가 있다."
다문화 청소년의 미술치료 경험에 대한 주관적 인식연구: Q방법론적 접근,2023.8,"본 연구는 다문화 청소년의 미술치료 경험에 대한 주관적인 인식을 바탕으로 이를 유형화하여 그 유형별 특성을 살펴보는 데 목적이 있다.  Q방법론을 적용한 본 연구는 미술치료를 경험한 다문화 청소년을 대상으로 반 구조화된 면담과 문헌 조사를 통해 Q모집단을 구성하여 총 33개의 Q표본 진술문을 선정하였다.  미술치료 경험이 있는 다문화 청소년 27명을 대상으로 Q표본 진술문을 Q표본 분포도에 중요도 순으로 배치하도록 하였다.  QUANL 프로그램을 활용한 주요인 분석 결과 다문화 청소년의 미술치료 경험에 대한 유형이 4가지로 분류되었다.  제1유형은 활동중심적 '에너지 창조형'으로, 제2유형은 정서중심적 '내 마음 표출형', 제3유형은 경험중심적 '미술 매체 만족형', 마지막 제4유형은 수동중심적 '소극적 참여형'으로 나타났다."
미술치료 내담아동 어머니의 양육경험에 관한 현상학적 연구,2023.8,"본 연구는 정서․행동문제로 미술치료를 받은 아동 어머니의 양육경험을 생생하게 탐색하고, 그 의미를 이해하고자 하였다.  연구 참여자는 미술치료를 받은 아동의 어머니 6명이며, 자료의 수집은 참여자의 심층 인터뷰와 인터뷰 내용을 전사한 축어록, 그림과 사진 등이 활용되었다.  자료의 분석은 Giorgi의 질적 분석단계에 따라 수행되었다.  연구결과는 첫째, 참여자들은 자녀의 유․아동기 시절에 어머니 역할을 하면서 자녀에게 무한한 애정을 쏟았고, 그 애정은 어머니에게 한 인간으로서 성장할 수 있는 발판이 되어주었다.  둘째, 참여자들은 자녀의 미술치료 어머니 상담을 통해 막연하게 지각하고 있던 자신의 부정적인 양육태도를 명확하게 인식하게 되었으며, 이는 양육태도의 긍정적인 변화를 이끌어 냈고, 그것은 곧 아이의 변화로도 이어졌다."
뇌병변장애 자매를 둔 어머니의 미술치료 경험에 관한 내러티브 탐구,2023.8,"본 연구는 뇌병변장애 자매를 둔 어머니의 미술치료 경험은 어떤 의미가 있는지 알아보는 데 그 목적이 있다.  연구참여자는 P시에 거주하는 뇌병변장애 자매를 둔 성인 여성으로 어머니의 치료 경험이 갖는 의미를 이해하고 그 과정에서 나타난 뇌병변장애 자매를 둔 어머니의 경험과 의미를 내러티브 탐구로 접근하였다.  연구 기간은 2021년 4월 27일부터 2021년 9월 8일까지 약 4개월 동안 주 1회에서 또는 2회기, 약 50분간 총 20회기 진행되었다.  뇌병변장애 자매를 둔 어머니의 미술치료를 통해 만난 경험은 '세 명이 하나인 최연희', '나의 두려움을 깻잎으로 덮어주던 사람', '하염없이 슬퍼하던 남편', '안타까운 마음과 인내하는 기다림에 대하여', '엄마라는 이름 뒤로 숨긴 나의 슬픔', '뇌병변장애 자매에 대한 새로운 시선', '최연희의 환한 미소', '닫혀있던 마음의 문을 열고' 8가지가 발견되었다.  그 경험의 의미는 첫째, '자신의 감정을 마주하다', 둘째, '삶의 변화'이다."
한국의 집단미술치료가 장애인에게 미치는 효과: 메타분석,2023.11,"본 연구의 목적은 집단미술치료가 장애인에게 미치는 효과를 확인하는 것이다.  이를 위하여 국내에서 출간된 석사학위논문 16편과 학술지 논문 10편 총 26편의 연구를 분석하였다.  본 연구의 분석 결과는 다음과 같다.  첫째, 집단미술치료 효과요인의 전체효과크기는 큰효과크기를 갖는 것으로 나타냈다.  둘째, 집단미술치료 요인별 효과크기는 삶의 의미 요인의 효과크기가 가장 컸고 그다음 자아존중감, 대인관계, 사회성, 자기효능감, 자기표현, 사회적 기술 순으로 나타났다."
가상현실 (VR) 기반 미술치료에 대한 주제범위 문헌고찰,2023.12,"본 연구의 목적은 주제범위 문헌고찰을 통하여 가상현실 (VR) 기반 미술치료 연구에 대한국내외 문헌의 특징을 분석 및 종합하는 것이다.  자료수집을 위해 국내외 온라인 데이터베이스인 RISS, NADL, DBpia, Pubmed, PsycINFO, ScienceDirect를 검색하여 자료를 추출하였고, 최종적으로 21편의 논문을 대상으로 분석을 실시하였다.  분석 결과, VR 기반 미술치료 연구는2020년 이후 급격하게 증가한 것으로 나타났으며, 미술치료학 및 예술치료학(6편), 심리학(5편), 의약학(4편), 공학(3편) 등 다양한 학문분야에서 연구가 진행되었다.  총 21편의 연구 중 문헌연구(7편)가 가장 높은 비중을 차지하였으며, 문헌연구를 제외한 14편의 연구에서 연구참여자를제시하였다.  연구참여자는 성인(6편)이 가장 많았고, 그 외에도 뇌졸중 환자, 전문 미술치료사등을 대상으로 연구가 수행되었다."
미술치료 대학원생의 미술 작업이 소진에 미치는 영향: 경력몰입의 매개효과를 중심으로,2023.10,"본 연구는 미술치료 대학원생의 미술 실기작업과 경력몰입, 소진 간의 관계를 알아보고 미술 작업과 소진과의 관계에서 경력몰입의 매개효과를 검증하는 데 목적이 있다.  연구 대상자는 미술치료 대학원의 석박사 과정 학생 171명으로 이들은 최소 2학기 이상 등록하였고 1년 이상 임상 실습을 해왔거나 미술치료사로 재직하고 있다.  연구도구는 미술실기, 심리적 소진, 경력몰입 척도를 사용하였다.  자료분석 방법으로는 기술통계와 상관분석, 회귀분석, 부트스트래핑을 실시했다.  연구 결과 첫째, 미술치료 대학원생의 미술 실기와 경력몰입 간에는 유의한 정적 상관이 있었고, 경력몰입과 소진 사이에는 유의한 부적 상관이 있었다."
내러티브 노출 기반 미술치료가 성장기 가정폭력에 노출된 기혼남성의 외상후 스트레스 증상에 미치는 영향,2023.12,"본 연구는 성장기에 가정폭력에 노출되었던 기혼남성이 호소하는 외상후 스트레스 증상을감소시키기 위하여 내러티브 노출 치료에 기반한 미술치료를 실시하고, 그 영향을 검증하고자하였다.  연구 참여자는 39세 기혼남성이며, 미술치료는 2021년 10월부터 2022년 1월까지 주1회, 90분씩 총 15회기에 걸쳐 진행되었다.  연구의 영향을 확인하기 위하여 첫째, 한국판 사건충격척도 개정판(IES-R-K)과 빗속의 사람 그림(PITR) 검사를 사용하였으며 치료 사전과 사후에측정하여 분석하였다.  둘째, 회기 중의 외상후 스트레스 증상 관련 반영 내용을 분석하였다.  본연구에서 나타난 결과는 다음과 같다."
치매안심센터에서의 미술치료와 미술치료사에 관한 인식조사연구 - 서울 · 경기 치매안심센터 실무자를 중심으로 -,2023.12,"본 연구는 서울 · 경기지역 치매안심센터 실무자를 대상으로 온라인 설문을 시행하여 미술치료 및 미술치료사에 대한 인식을 조사하고, 그 결과를 토대로 치매안심센터에서의 미술치료의 발전 방안에 대해 제시하고자 하였다.  본 연구의 설문은 미술치료에 대한 만족도와 효과의 기대치, 미술치료사에 대한 자질, 미술치료 진행 시 고려사항이었으며, 자료 분석은 SPSS WIN 23. 0 프로그램을 활용하여 빈도분석, 교차분석, 독립표본 t 검정을 시행하였다.  본 연구 결과, 치매안심센터 실무자의 미술치료 만족도는 자발성, 생활개선, 이해도, 치매 예방 및 증상지연의 효과성 부분에서 높았으며, 미술치료의 지속적 운영을 원하고 있었다.  참여자 증가 이유는 흥미로움, 사회적 관계, 이전 이용자의 긍정적 평가 등 이었으며, 감소 이유는 미술 활동에 대한 부담, 흥미를 느끼지 못함, 이용자의 건강상 어려움, 다른 프로그램으로 이동 순 이었다."
