title,date,abstract,keyword
합성곱 신경망 기반의 딥러닝에 의한 수치표면모델의 객체분류,2019.12,"최근 딥러닝(DL)은 여러 분야에서 급속도로 활용되고 있으며, 특히 영상으로부터 객체를 인식하여 분류하고 인식하기 위한 컴퓨터비전 분야에서 활발하게 연구가 진행되고 있다. 영상분야에서는 주로 합성곱 신경망(CNN)을 이용한 딥러닝 모델의 성능 향상에 주력하고 있다. 대부분의 합성곱 신경망은 영상을 학습시켜 영상분류 및 객체인식에 활용하고 있지만, 본 논문에서는 독일 사진측량, 원격탐사 및 공간정보학회(DGPF)가 구축하고 국제 사진측량 및 원격탐사학회(ISPRS)가 제공하는 데이터 셋 중에서 수치표면모델(DSM)과 이 데이터로부터 생성한 경사 및 주향 정보를 효율성과 성능이 우수하다고 평가받는 합성곱 신경망기반의 SegNet 모델에 적용하여 객체를 분류하고 분석하였다. 딥러닝은 고사양의 컴퓨터 시스템과 다량의 학습 데이터와 라벨 데이터가 필요하고, 다수의 시행착오에 의한 풍부한 경험이 요구된다. 또한 본 논문에서는 한정된 수량의 데이터로부터 효율적인 학습을 위한 데이터 생성 방법을 제시하고 수치표면모델을 분류하였다. 분석 결과 수치표면모델 데이터와 이로부터 도출한 부가적인 데이터를 딥러닝 모델에 적용해도 객체를 타당한 정확도로 분류할 수 있음을 확인하였다.

Recently, DL (Deep Learning) has been rapidly applied in various fields. In particular, classification and object recognition from images are major tasks in computer vision. Most of the DL utilizing imagery is primarily based on the CNN (Convolutional Neural Network) and improving performance of the DL model is main issue. While most CNNs are involve with images for training data, this paper aims to classify and recognize objects using DSM (Digital Surface Model), and slope and aspect information derived from the DSM instead of images. The DSM data sets used in the experiment were established by DGPF (German Society for Photogrammetry, Remote Sensing and Geoinformatics) and provided by ISPRS (International Society for Photogrammetry and Remote Sensing). The CNN-based SegNet model, that is evaluated as having excellent efficiency and performance, was used to train the data sets. In addition, this paper proposed a scheme for training data generation efficiently from the limited number of data. The results demonstrated DSM and derived data could be feasible for semantic classification with desirable accuracy using DL.","#CNN, #DL Model, #Training and Validation Data, #DSM Classification, #합성곱 신경망, #딥러닝 모델, #학습 및 검증 데이터, #수치표면모델 분류"
딥러닝 객체인식을 통한 경로보정 자율 주행 로봇의 구현,2019.12,"본 논문에서는 실내 환경에서 시각정보를 기반으로 출발지점에서 경유지를 거쳐 목표지점으로 최적의 경로를 찾아 자율 주행하는 바퀴달린 로봇을 구현한다. 로봇은 출발지점에서 경유지를 거쳐 목표지점으로의 최적의 경로를 딥강화학습으로 얻을 수 있다. 그러나 로봇이 구해진 경로로 자율 주행을 할 때 표면의 굴곡과 이물질 등의 외부적 요인으로 목적지까지 정확하게 주행하지 못하는 경우가 발생한다.
이에 본 연구는 카메라만 장착한 로봇이 외부 요인으로 인해 최적의 경로를 이탈할 경우 이를 인지하도록 한다. 이 인지를 토대로 로봇이 스스로 경로를 보정하고 계획된 경유지와 최종 목적지점에 도달할 수 있게 하는 알고리즘을 제안한다.
본 연구를 위해 파이캠을 탑재한 라즈베리파이와 아두이노로 제어하는 바퀴식 자율 주행 로봇이 제작되었다. 로봇은 실내환경에서 OSX 환경의 서버와 실시간 연동하면서 계획된 최적의 경로로 시험주행을 완료하였다.

In this paper, we implement a wheeled mobile robot that accurately and autonomously finds the optimal route from the starting point to the destination point based on computer vision in a complex indoor environment. We get a number of waypoints from the starting point to get the best route to the target through deep reinforcement learning. However, in the case of autonomous driving, the majority of cases do not reach their destination accurately due to external factors such as surface curvature and foreign objects. Therefore, we propose an algorithm to deepen the waypoints and destinations included in the planned route and then correct the route through the waypoint recognition while driving to reach the planned destination.
We built an autonomous wheeled mobile robot controlled by Arduino and equipped with Raspberry Pi and Pycamera and tested the planned route in the indoor environment using the proposed algorithm through real-time linkage with the server in the OSX environment.","#바퀴식 주행로봇, #경로 찾기, #딥강화학습, #딥러닝, #자율주행로봇, #Wheeled Mobile Robot, #Path Finding, #Deep Reinforcement Learning, #Deep Learning, #Autonomous Driving Robot"
딥러닝에 기반한 병원 실내이미지의 감성어휘 분류,2019.12,"This research suggests to classify Emotional adjective for the hospital indoor image. The aim of this study was twofold. First it is an attempt to overcome limitation of overfitting data with pre-process and Second it is an approach for prediction quantified the image data with Emotional adjective. The emotion is important because emotion interact between indoor and human. The hospital indoor image also have specialized emotional effect. Emotional adjective is necessary to verify throughout variety of source qualitative and quantitative research. recently it is getting more harder with I.R.B.(Institutional Review Board) than Emotional adjective data had made. This research is based on deep learning method for emotional adjective quantifiaction that can replace thousands of people’s cognition. In the proposed simulation, emotional colors are firstly processed in the frequency domain to indoor images which can be treated as an emotional image. For pre-processing Emotional colors are extracted from hospital image. and search the emotional adjetive to get indoor images to fed in CNN(Convolutional Neural Network). For the hospital indoor image clustered, emotional indoor image are fed in CNN. The output of the CNNs are fused using TF(TensorFlow) API. The input of the fusion is given to a support of Python language for image classification. The proposed system is evaluated using Tensor board - which is the proved data. This research has concluded that it is desirable to use TF for predicting the set of emotional adjective and it helps for emotion analysis efficiently. TF works for the emotional image classifying the hospital indoor images. The hospital image is classified using deep learning, and analysis of emotion as A is 80 percentage modern and B is 20 percent natural in a second for a thousand emotional colors. It is expected to use these results of research have for implications of emotional analysis that represent functions of the indoor images.","#분류, #감성어휘, #병원, #실내이미지, #딥러닝, #Classification, #Emotional adjective, #Hospital, #Indoor image, #Deep learning"
딥러닝 영상처리를 통한 비탈면의 지반 특성화 영역 자동 분류에 관한 연구,2019.12,"비탈면의 붕괴로 인해 재산피해뿐만 아니라 인명피해 또한 발생할 수 있으므로 안정성 평가를 통해 비탈면의 붕괴여부 예측 및 보강을 진행해야 한다. 본 논문은 비탈면 영상에서 암반 절리군, 암반 단층, 토양, 비탈면 누수영역 등 비탈면 붕괴와 관련하여 특성화 시킬 수 있는 지반 영역들을 정의하고 이를 딥러닝 기법을 통해 자동으로 분류해 낼 수 있는 방법에 대해 고찰하였다. 이에 따라 딥러닝 객체 영역분할(Instance segmentation) 네트워크를 활용하여 영상에 보여지는 다른 특성을 갖는 지반영역의 정확한 형상을 인식하고 자동 분할 할 수 있음을 보였으며, 향후 비탈면 안정성 평가를 위해 시행되는 비탈면 매핑 작업을 지원하고, 비탈면 보강 대책 등 의사결정에 필요한 비탈면의 지반특성 정보를 자동으로 산출할 수 있는 가능성을 보였다.

Because of the slope failure, not only property damage but also human damage can occur, slope stability analysis should be conducted to predict and reinforce of the slope. This paper, defines the ground areas that can be characterized in terms of slope failure such as Rockmass jointset, Rockmass fault, Soil, Leakage water and Crush zone in sloped images. As a result, it was shown that the deep learning instance segmentation network can be used to recognize and automatically segment the precise shape of the ground region with different characteristics shown in the image. It showed the possibility of supporting the slope mapping work and automatically calculating the ground characteristics information of slopes necessary for decision making such as slope reinforcement.","#Instance segmentation, #Deep learning, #Slope failure image, #Ground characteristics of Slope, #딥러닝, #비탈면 붕괴영상, #비탈면 지반특성"
위성 영상과 관측 센서 데이터를 이용한 PM₁₀농도 데이터의 시공간 해상도 향상 딥러닝 모델 설계,2019.12,"PM10 농도는 시간 및 공간 의존성을 동시에 가지는 시공간 데이터이지만 현실적으로 연속적인 시공간 데이터를 획득하는 것은 쉬운 일이 아니다. 본 연구에서는 위성영상과 대기질 및 기상 관측 센서 데이터를 복합적인 딥러닝 모델에 적용하여 시공간 해상도를 향상시키는 모델을 설계하였다. 설계된 딥러닝 모델은 기상, 토지 이용 등 PM10 농도에 영향을 줄 수 있는 인자를 이용하여 학습하였으며, 대기질 및 기상 관측 데이터만을 이용하여 15분 단위의 시간해상도와 30m × 30m의 공간해상도를 갖는 PM10 영상을 생성하였다.

PM10 concentration is a spatiotemporal phenomenta and capturing data for such continuous phenomena is a difficult task. This study designed a model that enhances spatiotemporal resolution of PM10 concentration levels using satellite imagery, atmospheric and meteorological sensor data, and multiple deep learning models. The designed deep learning model was trained using input data whose factors may affect concentration of PM10, such as meteorological conditions and land-use. Using this model, PM10 images having 15 minute temporal resolution and 30m × 30m spatial resolution were produced with only atmospheric and meteorological data.","#PM
10
Deep Learning, #Satellite Image, #Sensor Data, #Spatiotemporal Resolution, #딥러닝, #위성 영상, #센서 데이터, #시공간 해상도"
딥러닝 기반 이미지 자동 레이블링을 활용한 건축물 파사드 데이터세트 구축 기술 개발,2019.12,"The construction industry has made great strides in the past decades by utilizing computer programs including CAD. However, compared to other manufacturing sectors, labor productivity is low due to the high proportion of workers"" knowledge-based task in addition to simple repetitive task. Therefore, the knowledge-based task efficiency of workers should be improved by recognizing the visual information of computers. A computer needs a lot of training data, such as the ImageNet project, to recognize visual information. This study, aim at proposing building facade datasets that is efficiently constructed by quickly collecting building facade data through portal site road view and automatically labeling using deep learning as part of construction of image dataset for visual recognition construction by the computer. As a method proposed in this study, we constructed a dataset for a part of Dongseong-ro, Daegu Metropolitan City and analyzed the utility and reliability of the dataset. Through this, it was confirmed that the computer could extract the significant facade information of the portal site road view by recognizing the visual information of the building facade image. Additionally, In contribution to verifying the feasibility of building construction image datasets. this study suggests the possibility of securing quantitative and qualitative facade design knowledge by extracting the facade design knowledge from any facade all over the world.","#건설 데이터세트, #건설 데이터베이스, #딥러닝, #파사드, #자동 레이블링, #Construction Dataset, #Construction Database, #Deep Learning, #Facade, #Automatic Image Labeling"
택배화물 자동 하역장비를 위한 딥러닝 기반의 화물 인식 알고리즘,2019.12,"본 논문에서는 택배화물 자동하역장치에 적합한 개선된 딥러닝 알고리즘을 제안한다. 제안된 알고리즘은 실시간 객체검출에 우수한 성능을 보이는 YOLO v2모델을 기반으로 픽셀단위 택배화물의 위치까지 검출할 수 있도록 Masked R-CNN을 융합한 구조를 가진다. 제안된 알고리즘은 YOLO v2를 이용하여 객체의 영역과 분류를 수행하면서 객체 영역을 Masked R-CNN의 객체분할(Instance segmentation)과정을 거쳐 택배화물의 픽셀단위 위치까지 계산할 수 있도록 하였다. 제안된 알고리즘의 성능을 평가하기 위하여 실제 택배화물 차량의 적재공간과 동일한 영역에서 택배화물들을 이용하여 실험하였으며 실험결과 만족할만한 성능을 보임을 확인하였다.

In this paper, an improved deep learning algorithm for automatic unloading systems is proposed. The proposed algorithm is based on the YOLO v2 model, which shows excellent performance in real-time object detection, and has a fused structure with Masked R-CNN to detect pixel position of parcel. The proposed algorithm performs object segmentation and classification using YOLO v2, and calculates the object region to the pixel position of the parcel by mask segmentation process of Instanced R-CNN.In order to evaluate the performance of the proposed algorithm, we experimented in the same area as the loading space of the actual parcel cargo vehicle and showed the excellent performance in the experimental results.","#자동하역장치, #딥러닝 알고리즘, #YOLO v2, #Masked R-CNN, #Unloading system, #deep learning algorithm"
심실 조기 수축 비트 검출을 위한 딥러닝 기반의 최적 파라미터 검출,2019.12,"부정맥 분류를 위한 기존 연구들은 분류의 정확성을 높이기 위해 신경회로망(Artificial Neural Network), 퍼지(Fuzzy), 기계학습(Machine Learning) 등을 이용한 방법이 연구되어 왔다. 특히 딥러닝은 신경회로망의 문제인 은닉층 개수의 한계를 해결함으로 인해 오류 역전파 알고리즘을 이용한 부정맥 분류에 가장 많이 사용되고 있다. 딥러닝 모델을 심전도 신호에 적용하기 위해서는 적절한 모델선택과 파라미터를 최적에 가깝게 선택할 필요가 있다. 본 연구에서는 심실 조기 수축 비트 검출을 위한 딥러닝 기반의 최적 파라미터 검출 방법을 제안한다. 이를 위해 먼저 잡음을 제거한 ECG신호에서 R파를 검출하고 QRS와 RR간격 세그먼트를 추출하였다. 이후 딥러닝을 통한 지도학습 방법으로 가중치를 학습시키고 검증데이터로 모델을 평가하였다. 제안된 방법의 타당성 평가를 위해 MIT-BIH 부정맥 데이터베이스를 통해 각 파라미터에 따른 딥러닝 모델로 훈련 및 검증 정확도를 확인하였다. 성능 평가 결과 R파의 평균 검출 성능은 99.77%, PVC는 97.84의 평균 분류율을 나타내었다.

Legacy studies for classifying arrhythmia have been studied to improve the accuracy of classification, Neural Network, Fuzzy, etc. Deep learning is most frequently used for arrhythmia classification using error backpropagation algorithm by solving the limit of hidden layer number, which is a problem of neural network. In order to apply a deep learning model to an ECG signal, it is necessary to select an optimal model and parameters. In this paper, we propose optimal parameter extraction method based on a deep learning. For this purpose, R-wave is detected in the ECG signal from which noise has been removed, QRS and RR interval segment is modelled. And then, the weights were learned by supervised learning method through deep learning and the model was evaluated by the verification data. The detection and classification rate of R wave and PVC is evaluated through MIT-BIH arrhythmia database. The performance results indicate the average of 99.77% in R wave detection and 97.84% in PVC classification.","#최적 파라미터, #딥 러닝, #심실 조기 수축, #QRS, #RR 간격, #Optimal parameter, #Deep learning, #Premature ventricular contraction, #RR interval"
딥러닝을 이용한 셰익스피어 작품의 감정 분석 Top 5%,2019.12,"This study examined the sentiment movement of Shakespeare’s plays (four tragedies and five comedies) using a deep learning technique. Sentiment analyses have been used in several fields to extract aspects of opinions using sentiment dictionaries such as ANEW, AFFINE, and VADER, which involve an evaluation of a word list for sentiment analysis. Nowadays, however, as deep learning algorithms develop, it became possible to conduct a sentiment analysis by using deep learning algorithms. This study directly compared the output of a simple deep learning model (trained with tweeters) with the output of a sentiment dictionary, VADER, targeting Shakespeare’s plays. The results showed that the simple deep learning model led to a similar performance with VADER for Shakespeare’s tragedies and outperformed the sentiment dictionary especially for Shakespeare’s comedies.","#sentiment analysis, #deep learning, #Shakespeare, #tweeter data"
공동주택 전력 소비 데이터 분석 및 딥러닝을 사용한 전력 소비 예측,2019.12,"에너지의 생산 효율성을 증가시키기 위해 최근 스마트그리드 기술 중 지능형 검침 시스템(AMI, advanced metering infrastructure)의 개발이 활발히 진행되고 있다. 전력 소비 데이터를 분석하고 소비 패턴을 예측하는 일은 AMI에서 핵심적인 부분이다. 본 논문에서는 수집된 전력 소비 데이터를 분석하고 발생할 수 있는 오류들을 정리하였으며 소비 패턴을 월별로 k-means 군집화 알고리즘을 사용하여 분석하였다. 또한 deep neural network를 이용하여 소비 패턴을 예측하였는데, 가구별 하루 전력 사용량 예측의 어려움을 극복하기 위하여 전력 사용량을 100개의 군집으로 분류하여 이 군집의 하루 평균으로 다음날 군집의 평균을 예측하였다. 실제 AMI에서의 전력 데이터를 사용하여 오류들을 분석하였으며 군집화 방법을 도입하여 성공적으로 전력 소비 예측이 가능하였다.

In order to increase energy efficiency, developments of the advanced metering infrastructure (AMI) in the smart grid technology have recently been actively conducted. An essential part of AMI is analyzing power consumption and forecasting consumption patterns. In this paper, we analyze the power consumption and summarized the data errors. Monthly power consumption patterns are also analyzed using the k-means clustering algorithm. Forecasting the consumption pattern by each household is difficult. Therefore, we first classify the data into 100 clusters and then predict the average of the next day as the daily average of the clusters based on the deep neural network. Using practically collected AMI data, we analyzed the data errors and could successfully conducted power forecasting based on a clustering technique.","#advanced metering infrastructure, #deep neural network, #load data, #load forecasting, #k-means clustering, #meter reading"
