title,date,keywords,abstract,multilingual_abstract
wide-air-gap transformer model for the design-oriented analysis of contactless power converters,2015,"['wireless', 'Commercialized core', 'contactless power transfer', 'high efficiency', 'ladder model', 'wide air gap']",국문 초록 정보 없음,"<P>A wireless power converter topology with a small size and a high conversion efficiency has an increasing demand on small-power applications. Some design techniques to transmit power by customized cores have been already developed. However, when transferring energy by wide-gap transformers employing small-sized commercialized cores, the power losses on the winding greatly increase as the frequency increases. Then, the efficiency of the contactless power system decreases significantly due to the conduction loss and reactive components in the resonant circuit. Even though series-parallel resonant converters are largely employed, which can provide an infinite shunt impedance regardless of the coupling coefficient, when a commercialized core is employed for loosely coupled contactless power transfer applications, the large leakage inductance of the transformer significantly influences the additional power dissipation on the transformer windings. In this paper, an operating principle on how the contactless transformer with commercialized core contributes to the low efficiency is discussed. Also, a new frequency-dependent R- L ladder circuit model is introduced for the design-oriented analysis of wide-air-gap contactless power converters including the frequency-dependent losses of the transformer. A new design procedure with the proposed model is suitable for the contactless transformers employing commercialized cores. The proposed design approach is validated by 98.8-W hardware experiments. Finally, the simulation waveforms and the hardware results are compared to verify the accuracy of the frequency-dependent transformer model.</P>"
highly accurate analysis method for llc dc–dc converters with an improved transformer circuit model,2015,[],국문 초록 정보 없음,"<P>An improved transformer circuit model is proposed for performing a more accurate analysis of LLC dc-dc converters. In the proposed model, the inductances and turns ratio are expressed by a coupling coefficient <I>k</I>. With the help of newly defined parameters for the transformer, voltage gain and switching frequency can be predicted with high accuracy and therefore it becomes possible to design a considerably practical design of the LLC dc-dc converter. The validity of the analysis method using the proposed transformer circuit model is verified by experimental results with a 500 W prototype.</P>"
emi reduction technique of flyback converter based on capacitance model of transformer with wire shield,2015,"['Flyack converter', 'common mode noise', 'wire shield', 'transformer model']",국문 초록 정보 없음,A common mode EMI reduction technique of a flyback converter using a wire shield is presented. The capacitance model of the flyback transformer is derived and it is used to determine the values of the wire shield turns and compensation capacitor minimizing the noise voltage. The experimental results for an actual adaptor are provided to verify the effectiveness of the proposed method.
a study on thermal characteristics analysis model of high frequency switching transformer,2015,[],국문 초록 정보 없음,"<P>Recently, interest has been shown in research on the module-integrated converter ( MIC) in small-scale photovoltaic (PV) generation. In an MIC, the voltage boosting high frequency transformer should be designed to be compact in size and have high efficiency. In response to the need to satisfy these requirements, this paper presents a coupled electromagnetic analysis model of a transformer connected with a high frequency switching DC-DC converter circuit while considering thermal characteristics due to the copper and core losses. A design optimization procedure for high efficiency is also presented using this design analysis method, and it is verified by the experimental result. (C) 2015 AIP Publishing LLC.</P>"
partial discharge localization based on detailed models of transformer and wavelet transform techniques,2015,"['Wavelet transform', 'Power transformer', 'RLC model', 'Multi-conductor transmission line(MTL)', 'Partial discharge', 'PD localization']",국문 초록 정보 없음,"Partial Discharge (PD) is a physical phenomenon, which causes defects and damages to the insulation. This phenomenon is regarded as the most important source of fault and defect in power transformers. Therefore, methods of high speed and precision are considered of special importance for the maintenance of transformers in localization of the origin of partial discharge. In this paper, the transformer winding is first modeled in a transient state by using RLC ladder network and multiconductor transmission line (MTL) models. The parameters of the two models were calculated by Ansoft Maxwell software, and the simulations were performed by Matlab software. Then, the PD pulses were applied to the models with different widths of pulses. With regard to the fact that the signals received after the application of PD had a variable frequency nature over time, and based on the wavelet transform and signal energy, a new method was presented for the localization of PD. Ultimately; the mentioned method was implemented on a 20 kV winding distribution transformer. Then, the performances of the models used in this paper, including RLC and MTL models, were compared in different frequency bands for the correct distinction of partial discharge location."
"medicinal chemistry : research article ; population pharmacokinetic and pharmacodynamic modeling of transformed binary effect data of triflusal in healthy korean male volunteers: a randomized, open-label, multiple dose, crossover study",2015,"['HTB', 'Transformed binary data', 'Platelet aggregation', 'Binary probability model', 'NONMEM', 'Population pharmacokinetics and pharmacodynamics']",국문 초록 정보 없음,"Background: Triflusal is a drug that inhibits platelet aggregation. In this study we investigated the dose-exposureresponse relationship of a triflusal formulation by population pharmacokinetic (PK) and pharmacodynamic (PD) modeling of its main active metabolite, hydroxy-4-(trifluoromethyl) benzoic acid (HTB). Methods: This study was a randomized, open-label, multiple-dose, two-period, two-treatment, comparative crossover design. All volunteers received a single oral loading dose of 900 mg of triflusal on Day 1, followed by a dose of 600 mg/day from Day 2 to 9. Using data from 34 healthy volunteers, 476 HTB plasma concentration data points and 340 platelet aggregation data points were used to construct PK and PD models respectively using NONMEM (version 6.2). As the PD endpoint was qualitative, we implemented binary analysis of ‘inhibition’ and ‘non-inhibition’ rather than using the actual value of the test. The final PK-PD model was evaluated using a visual predictive check (VPC) and bootstrap. Results: The time-concentration profile of HTB over the entire dosing period was described by a one-compartment model with a first-order formation rate constant for HTB. Weight was selected as a covariate for clearance and volume of triflusal, respectively. The structure and the population estimates for triflusal PK were as follows: oral clearance (CL/F) = 0.2 · (weight/71.65)0.845 L/h, oral volume of distribution (V/F) = 8.3 · (weight/71.65) L, and kf = 0.341 h.1. A sigmoid relationship between triflusal concentration and the probability of significant inhibition with shape factor was chosen as the final PD model. No time delay between concentration and response was identified. The final structure between predicted concentration ðCy pred;ijÞ and the probability of inhibition of platelet aggregation (IPA) relationship was as follows: Probability of IPA ¼ C19 pred;ij=ð84:919μg=mL þ C19 pred;ijÞ. Thus, we concluded this relationship is more like quantal concentration-response relationship. The current dosing regimen was considered to be efficacious based on the EC50 estimate of 84.9 μg/mL obtained in this study. Conclusions: A PK and binary probability PD model of triflusal was successfully developed for Korean healthy volunteers. The model may be used to further prediction inhibition of platelet aggregation by triflusal. Trial registration: Clinical Research Information Service (CRIS), KCT0001299 (Registered December 5, 2014)"
customer requirement system for vehicle product development plan by kano`s model and qfd,2015,"['Quality Function Deployment', 'QFD', 'Kano□s model', 'Customer requirements', 'Product development plan']",국문 초록 정보 없음,"Purpose- The global automotive industry□s trend is continually growing with high competition including automotive industry in Thailand. Thus the dynamic of automotive business is required to continuously develop new product and to meet new customer□s voice. This research proposes a new methodology to analyze customer requirements for vehicle product plan by modified Kano□s model and Quality Function Deployment (QFD). Moreover, the results can provide guidance for product development plan and offer useful to future vehicle design for research and development department. Methodology - The research starts by collecting requirements from the customers who bought new car models: eco car and sport utility vehicle (SUV) model with mileage not over 30,000 kilometers and normal usage. The total of 300 customers in Thailand were collected during November 2014 to January 2015. In addition, warranty data were collected from the global claim data of a case company during January to December in 2014. Exterior and interior categories are separated between problems and expectations of requirement. The quality attributes of Kano□s questions were designed and analyzed by customer satisfaction coefficient to categorize and prioritize their importance. Furthermore, the data was analyzed by adjust improvement ratio which used in a section of important customer requirement into house of quality. The data was construed thought the QFD. Moreover, risk evaluation were combined to provide extra information of the high risk items for an effective decision. Result from the approach provides developmet plan which suggest to research and development department of the future vehicle design. Finally, we tested the acceptance and satisfaction rate of the new vehicle development plan from the factory staff and managers. Findings- An integration of QFD with the modified Kano□s model was applicable to develop an effective customer requirement system that helps vehicle development plan□s decision. Kano□s question is used to classify the vital design elements that cause satisfaction and dissatisfaction of customers. The three ranking attributes of first priority were (1) need assist grip at front trim pillar, (2) need more cup holder and (3) need engine start. QFD was applied to transform the quality attributes to product development plan. The customer requirement system was evaluated from staff and manager of a case company. The result found that the average of overall satisfaction is at 78.4%, the average of feasibility is at 86.2%, the average of usability is at 74.6% and the average of utility is at 78.9%. A case study company agreed and accepted customer requirement system with modified Kano□s model and QFD technique for satisfaction surveys in fiscal year 2015. Research implication - The varied customer requirement is difficult to consider and discuss for the new or improve product. The result obtained a better prioritization plan for improving product/service attribute performance. These profoundly analyzed customer requirements are then conducted into the QFD process which provides guidance for product development plan and offer useful for future vehicle design. Moreover, the acceptance and satisfaction rate of customer requirement system for vehicle product development plan were measured with questionnaires from the staff and manage at the case company. Originality /Values- The paper proposed a new method in collecting and analyzing customer requirements to decision-making for future vehicle product by using the Kano□s model and QFD. In addition, customer requirements are priority evaluated by the importance grid to provide a holistic view to ease the discussions for improvement planning. The dynamic of automotive business is required to continuously develop new product and to meet new customer requirements."
"통신 : dts (days transformed to standard temperature) 생육 모델을 활용한 군위 지역의 ""후지"" 사과 성숙기 예측",2015,"['DTS model', 'Fuji', 'Harvest maturity', 'Phenology']",국문 초록 정보 없음,"Fuji apple variety introduced in Japan has excellent storage quality and good taste so it is most commonly cultivated in the Korean Peninsula. Accurate prediction of harvest maturity allows farmers to more efficiently manage their farm, such as working time, fruit storage, market shipment and labor distribution so it is very important. This study was carried out to predict the harvest maturity of ‘Fuji’ apple using DTS (Days Transformed to Standard temperature) model based on the Arrhenius law in the Gunwi province of the South Korea. Input data are daily average temperature and apple harvest maturity. Predicted the harvest maturity of Fuji apple after estimating the optimal parameters by using the Nelder-Mead method. The differences of observed and predicted harvest maturity day are approximately 1 to 4 days and the RMSE is 2.9."
"evaluation of eye irritation potential of solid substance with new 3d reconstructed human cornea model, mctt hce<sup>tm</sup>",2015,"['Eye irritation', 'Reconstructed cornea model', 'MCTT HCE $^{TM}$ model', 'Protocol refinement']",국문 초록 정보 없음,"The eye irritation potential of drug candidates or pharmaceutical ingredients should be evaluated if there is a possibility of ocular exposure. Traditionally, the ocular irritation has been evaluated by the rabbit Draize test. However, rabbit eyes are more sensitive to irritants than human eyes, therefore substantial level of false positives are unavoidable. To resolve this species difference, several three-dimensional human corneal epithelial (HCE) models have been developed as alternative eye irritation test methods. Recently, we introduced a new HCE model, MCTT HCE$^{TM}$ which is reconstructed with non-transformed human corneal cells from limbal tissues. Here, we examined if MCTT HCE$^{TM}$ can be employed to evaluate eye irritation potential of solid substances. Through optimization of washing method and exposure time, treatment time was established as 10 min and washing procedure was set up as 4 times of washing with 10 mL of PBS and shaking in 30 mL of PBS in a beaker. With the established eye irritation test protocol, 11 solid substances (5 non-irritants, 6 irritants) were evaluated which demonstrated an excellent predictive capacity (100% accuracy, 100% specificity and 100% sensitivity). We also compared the performance of our test method with rabbit Draize test results and in vitro cytotoxicity test with 2D human corneal epithelial cell lines."
"evaluation of eye irritation potential of solid substance with new 3d reconstructed human cornea model, mctt hcetm",2015,"['Eye irritation', 'Reconstructed cornea model', 'MCTT HCETM model', 'Protocol refi nement']",국문 초록 정보 없음,"The eye irritation potential of drug candidates or pharmaceutical ingredients should be evaluated if there is a possibility of ocular exposure. Traditionally, the ocular irritation has been evaluated by the rabbit Draize test. However, rabbit eyes are more sensitive to irritants than human eyes, therefore substantial level of false positives are unavoidable. To resolve this species difference, several three-dimensional human corneal epithelial (HCE) models have been developed as alternative eye irritation test methods. Recently, we introduced a new HCE model, MCTT HCETM which is reconstructed with non-transformed human corneal cells from limbal tissues. Here, we examined if MCTT HCETM can be employed to evaluate eye irritation potential of solid substances. Through optimization of washing method and exposure time, treatment time was established as 10 min and washing procedure was set up as 4 times of washing with 10 mL of PBS and shaking in 30 mL of PBS in a beaker. With the established eye irritation test protocol, 11 solid substances (5 non-irritants, 6 irritants) were evaluated which demonstrated an excellent predictive capacity (100% accuracy, 100% specificity and 100% sensitivity). We also compared the performance of our test method with rabbit Draize test results and in vitro cytotoxicity test with 2D human corneal epithelial cell lines."
