title,date,keywords,abstract,multilingual_abstract
"Effects of acetaminophen administration on liver histopathology, serum GOT/GPT levels and circulating microRNA-122 concentration in olive flounder (Paralichthys olivaceus)",2016,"['Circulating microRNA-122', 'Acetaminophen', 'Olive flounder', 'Liver toxicity', 'Indicator']",국문 초록 정보 없음,"In human medicine, circulating microRNAs have been successfully utilized as early biomarkers for various abnormalities and disease states. Vertebrate miR-122 is a liver-specific microRNA which is expressed almost solely in hepatocytes and plays an important role in the regulation of hepatocyte function. In this study, to evaluate the potential utility of circulating miR-122 as a biomarker for liver injury in olive flounder (Paralichthys olivaceus), fish were orally intubated with two doses of acetaminophen (500 mg/kg or 1.000 mg/kg of body weight), and the expression of miR-122 in serum was quantified using real time-PCR. Histological change in liver, and the enzymatic activity of glutamic oxaloacetic transaminase (GOT) and glutamic pyruvic transaminase (GPT) were also analyzed. The results showed that miR-122 was higher in acetaminophen administered groups compared to control group. The histopathological effect of acetaminophen on olive flounder liver was not distinct. The serum level of GPT and GOT was increased within 2 folds compared to control group by acetaminophen administration. However, the serum miR-122 level was increased more than 3 or 4 folds compared to the control group by administration of 1000 mg/kg of acetaminophen. These results suggest the possible use of miR-122 as an indicator of liver injury in olive flounder, even when histopathological effects are not distinctive."
"Effects of acetaminophen administration on liver histopathology, serum GOT/GPT levels and circulating microRNA-122 concentration in olive flounder (Paralichthys olivaceus)",2016,"['Circulating microRNA-122', 'Acetaminophen', 'Olive flounder', 'Liver toxicity', 'Indicator']",국문 초록 정보 없음,"In human medicine, circulating microRNAs have been successfully utilized as early biomarkers for various abnormalities and disease states. Vertebrate miR-122 is a liver-specific microRNA which is expressed almost solely in hepatocytes and plays an important role in the regulation of hepatocyte function. In this study, to evaluate the potential utility of circulating miR-122 as a biomarker for liver injury in olive flounder (Paralichthys olivaceus), fish were orally intubated with two doses of acetaminophen (500 mg/kg or 1.000 mg/kg of body weight), and the expression of miR-122 in serum was quantified using real time-PCR. Histological change in liver, and the enzymatic activity of glutamic oxaloacetic transaminase (GOT) and glutamic pyruvic transaminase (GPT) were also analyzed. The results showed that miR-122 was higher in acetaminophen administered groups compared to control group. The histopathological effect of acetaminophen on olive flounder liver was not distinct. The serum level of GPT and GOT was increased within 2 folds compared to control group by acetaminophen administration. However, the serum miR-122 level was increased more than 3 or 4 folds compared to the control group by administration of 1000 mg/kg of acetaminophen. These results suggest the possible use of miR-122 as an indicator of liver injury in olive flounder, even when histopathological effects are not distinctive."
고지방식이 흰쥐에서 큰실말의 지질대사에 미치는 효과,2016,"['Cladosiphon okamuranus', 'cholesterol', 'functional products', 'obesity', 'obese rat']","본 연구에서는 큰실말의 지질대사 효과를 연구하기 위하여 체중 158±10 g의 SD계 암컷 흰쥐 25마리를 대상으로 정상군, 고지방식이 대조군, 큰실말 섭취군, 큰실말 불용성 식이섬유 섭취군, 큰실말 수용성 식이섬유 섭취군으로 분류하여 52일간 사육하였다. 체중은 큰실말 섭취군이 고지방식이군에 비하여 유의적으로 감소하여 정상군에가까운 수치를 나타냈다. 혈액에서의 HDL 수치는 대조군보다 큰실말 및 식이섬유를 섭취한 군의 수치가 더 높게 나타났고, TC, TG, LDL, GOT, GPT의 수치는 대조군보다 큰실말 및 식이섬유를 섭취한 군의 수치가 더 낮게 나타났다. 이와 같은 연구를 통해 큰실말 및 식이섬유가 혈중 콜레스테롤 농도를 개선시켜 지질 대사에 미치는 순기능적 효과를 보여주는 것으로 사료된다.","Cladosiphon okamuranus is edible brown algae cultured commercially and extensively on the Okinawa coast in Japan. We examined the effects of Cladosiphon okamuranus on the lipid metabolism in high-fat-diet rats. Seven-week-old female SD rats were divided into five groups and fed high-fat diets for 42 days. In addition, Cladosiphon okamuranus was administered orally for 42 days at 95 mg/kg of the body weight of the rats. The effects of lipid metabolism were evaluated by the total cholesterol (TC), triglyceride (TG), high-density lipoprotein (HDL), low-density lipoprotein (LDL), glutamic pyruvate transaminase (GPT), glutamic oxalacetic transaminase (GOT) levels in sera. The levels of TC, TG, LDL, GPT, and GOT were reduced in the Cladosiphon okamuranus treated group compared with the high-fat diet group. However, the levels of HDL in the Cladosiphon okamuranus treated groups were higher than in the high-fat diet groups. These results demonstrated that Cladosiphon okamuranus had positive effects on lipid metabolism, suggesting Cladosiphon okamuranus could be used as an ingredient in useful, functional products."
귤피가루를 첨가한 모닝빵 개발 및 인체시험을 통한 생리활성 효과 평가,2016,"['morning bread', 'citrus peels powder', 'breakfast', 'anti-obesity', 'coronary artery disease']","본 연구는 귤피가루를 활용하여 모닝빵을 개발하고 이를 대학기숙사에 거주하고 있는 과체중 및 비만인 20대 남•녀에게 섭취하게 해봄으로써 아침결식률을 낮출 수 있는 새로운 식품 소재를 개발하고자 실시되었다. 체중과 BMI의 경우 GB 섭취군과 CPB 섭취군 모두에서 감소하였으며, CPB 섭취군에서 사전에 비해 사후 유의적으로 체중과 BMI가 감소한 것으로 나타났다 (p < 0.05). WHR은 GB 섭취군에서는 증가하는 경향을 보였으나 CPB 섭취군에서는 유의적으로 감소하였다 (p < 0.05). BFM은 두군 모두에서 유의적으로 증가하였으며 (p < 0.05) 군간에 유의성을 띄지 않았다. TC는 GB 섭취군에서는 증가하는 경향을 보였으나 CPB 섭취군에서는 유의적으로 감소하였다 (p < 0.05). HDL은 두군 모두에서 증가하였고 GB 섭취군에서 유의성을 보였다 (p < 0.05). LDL은 두군 모두에서 유의적으로 감소하였으며 (p < 0.05) 군간에 유의성은 없었다. GOT와 GPT는 GB 섭취군과 CPB 섭취군 모두에서 감소하였고 CPB 섭취군에서 유의성을 보였다 (p < 0.05). GB와 CPB를 섭취한 군간에 신체계측치와 혈액생화학적 수치에서 유의적인 차이를 보이는 항목은 없었으나 CPB 섭취군에서 사전에 비해 TC, LDL, GOT, GPT 수치가 유의적으로 감소하였다는 점에서 (p < 0.05) 본 연구는 시간적 흐름에 따라 변화를 추적하는 종단적 연구에 가깝다고 판단되며 본 연구를 통하여서 귤피가 심혈관계질환의 유병률을 낮춰줄 수 있는 잠재적 가능성이 있음을 임상적으로 확인하였다. 따라서 향후 본 연구와 유사한 연구들이 double blind cross-over study와 같은 대규모 임상연구로 진행되어 귤피의 지질관련 효과들을 보다 명확하게 입증해줄 필요성이 있을 것으로 판단된다.","Purpose: This study was conducted in order to develop morning bread using powdered citrus peels and to examine the effect of its several biological activities for 12 weeks in overweight adults (BMI ≥ 23) living in dormitories of Chonbuk National University. Methods: Control bread was prepared using the same formula except for replacing the wheat flour with 3% citrus peel powder. Subjects were classified according to two groups: Intake group of 3% citrus peel powder fortified morning bread (n = 30) and general morning bread (n = 30). Results: The results of our study showed no significant effects of citrus peel powdered morning bread on anthropometric indices and biochemical characteristics among overweight adults. Despite the slight reduction in total-cholesterol, LDL-cholesterol, GOT, and GPT (p < 0.05), no significant differences in changes of these values were observed between the two groups. Conclusion: The short duration of our intervention might have resulted in the lack of any significant effect. Therefore, conduct of further studies with longer duration is warranted in order that the results from this study can be utilized as a basis for the development of food products with citrus peel powder."
흡입독성평가를 위한 비부노출 챔버의 유동흐름 특성,2016,"['Environmental chemical mixtures', 'Inhalation toxicity', 'Nose-only exposure chamber', 'Uniformity', 'Computational fluid dynamics(CFD)']",국문 초록 정보 없음,"In this work, we evaluated the characteristics of flow field and uniformity of the nose-only exposure chambers for the inhalation toxicity test. Computational fluid dynamics (CFD) modeling was carried out to demonstrate uniformity of the nose-only exposure chambers. Because it is very important in the inhalation toxicity experiments that test materials are distributed uniformly to each holder of the chamber. The test was done with these 3 types of chamber with different form to develop inhalation toxicity evaluation system, easy-to-operate system among exposure chamber used for evaluating inhalation toxicity of environmental chemical mixtures. Through CFD interpretation, nose-only exposure chamber was made with the selection of the optimal conditions. For its evaluation, one type of fragrance was selected and measured particle size distribution of each port. The gene becoming luminous to green fluorescence was combined with GPT-SPE, a type of tGFP vector, to be inhaled to the mouse. Based on this, luminous intensity was checked. As a result, total particle number concentration of each port had average value of $3.17{\times}10^6{\sharp}/cm^3$ and range of the highest and lowest concentration value was approximately ${\pm}4.8%$. Autopsy of lung tissues of mouse showed that it had clearly better delivery of gene compared to the control group."
관동화 및 관동화 가미방이 흰쥐의 간독성 및 신독성에 미치는 영향,2016,"['Farfarae flos', 'Hepatotoxicity', 'Nephrotoxicity']",국문 초록 정보 없음,"Objectives This study is to investigate whether oral administration of Farfarae flos, JCT (Jeong-cheon-tang), CPT (Cheong-pye-tang) and CPK (Cheong-pye-tang- ga-kwandonghwa) will affect both the levels of serum GOT, GPT, blood urea nitrogen (BUN) and creatinine in SD rats or not, and will change body weight of the rats. Materials and Methods 18 SD rats were randomly divided into 6 groups - including a control group (vehicle 2 ml/rat), Farfarae flos water extract (extract 2 ml/rat), Farfarae flos fine powder (emulsion 2 ml/rat), JCT (extract 2 ml/rat), CPT (extract 2 ml/rat) and CPK (extract 2 ml/rat) group. The drugs were administered to rats for 2 weeks or 30 days (for control and Farfarae flos fine powder group only) and serum GOT/GPT activities and BUN/creatinine concentrations were measured. Also, the changes of body weights of each rat was measured. Results (1) Farfarae flos water extract, Farfarae flos fine powder emulsion, JCT and CPT and CPK did not cause any changes in serum GOT/GPT activities and BUN/creatinine concentrations compared to the ones in control group. (2) There are no significant changes in rats' body weight among the experimental groups during the experimental period. Conclusions Contrary to the reports on human data, 2 weeks or 30 days of oral administrations of Farfarae flos itself and decoctions containing Farfarae flos did not provoke hepatotoxicity and nephrotoxicity."
고지방ㆍ고탄수화물 식이와 Streptozotocin-유도 당뇨병 흰쥐에서 삼릉추출물의 개선효능 연구,2016,"['pargaium stoloniferum', 'Sparganii Rhizoma', 'High fat/high sucrose diet', 'Streptozotocin', 'Type 2 diabetes mellitus', 'Obesity']",국문 초록 정보 없음,"Objectives: This study was designed to evaluate the anti-diabetic effects of Spargaium stoloniferum Buchanan-Hamilton (Sparganii Rhizoma, SR) extract on diabetic rats.Methods: Diabetes was induced with Sprague-Dawley rats by high fat/high sucrose (HF/HS) diet for 4 weeks and injection of a single low dose of streptozotocin (STZ; 35 mg/kg). SR water extract at 500 mg/kg was orally administrated once a day for 4 weeks. Body weights, food and water intakes and urine volumes were measured. The levels of glucose, insulin, total cholesterol, glutamic oxaloacetic transaminase and glutamic-pyruvic transaminase (GPT) were measured in the sera of rats. Histological changes were observed in pancreas, liver, and kidney tissues by H&E staining.Results: The administration of Sparganii Rhizoma extract at 500 mg/kg in diabetic rats did not shown a significant difference in body weight changes and GPT levels, but showed meaningful changes in an increase of urination volume, and decrease of serum glucose and insulin levels. Total cholesterol and GPT levels were also significantly decreased after SR extract administration in diabetic rats. Furthermore, the abnormal changes of pancreas, liver and kidney were also improved by Sparganii Rhizoma extract administration.Conclusions: These results indicate that SR extract can improve HF/HS-diet and STZ-induced diabetic damages in rats through inhibition of the blood glucose and insulin increase."
고지방·고탄수화물 식이와 Streptozotocin-유도 당뇨병 흰쥐에서 삼릉추출물의 개선효능 연구,2016,"['Spargaium stoloniferum', 'Sparganii Rhizoma', 'High fat/high sucrose diet', 'Streptozotocin', 'Type 2 diabetes mellitus', 'Obesity']",국문 초록 정보 없음,"Objectives: This study was designed to evaluate the anti-diabetic effects of Spargaium stoloniferum Buchanan-Hamilton (Sparganii Rhizoma, SR) extract on diabetic rats. Methods: Diabetes was induced with Sprague-Dawley rats by high fat/high sucrose (HF/HS) diet for 4 weeks and injection of a single low dose of streptozotocin (STZ; 35 mg/kg). SR water extract at 500 mg/kg was orally administrated once a day for 4 weeks. Body weights, food and water intakes and urine volumes were measured. The levels of glucose, insulin, total cholesterol, glutamic oxaloacetic transaminase and glutamic-pyruvic transaminase (GPT) were measured in the sera of rats. Histological changes were observed in pancreas, liver, and kidney tissues by H&E staining. Results: The administration of Sparganii Rhizoma extract at 500 mg/kg in diabetic rats did not shown a significant difference in body weight changes and GPT levels, but showed meaningful changes in an increase of urination volume, and decrease of serum glucose and insulin levels. Total cholesterol and GPT levels were also significantly decreased after SR extract administration in diabetic rats. Furthermore, the abnormal changes of pancreas, liver and kidney were also improved by Sparganii Rhizoma extract administration. Conclusions: These results indicate that SR extract can improve HF/HS-diet and STZ-induced diabetic damages in rats through inhibition of the blood glucose and insulin increase."
울금 첨가 오리가공육 섭취가 여대생의 식후 혈중 지질 농도에 미치는 영향,2016,"['turmeric powder', 'duck', 'LDL-cholesterol', 'HDL-cholesterol', 'triglyceride']","본 연구에서는 건강한 여대생 10명을 대상으로 하여 오리육에 농도를 달리한 울금을 첨가하여 섭취한 후 30분, 60분, 120분, 180분 후 혈액을 채취하여 울금 농도에 따른 혈중 지질농도의 변화를 살펴보았다. 연구결과는 다음과 같다.  1) 조사대상자는 병적 질환이 없고 신체조건이 한국인 기준에 해당되는 여대생 10명을 대상으로 하여 연구를 시행하였으며 대상자는 159.6 ± 2.6 cm, 51.3 ± 3.5 kg이었으며, BMI는 20.1 ± 1.0으로 정상 범위에 해당하였다. 공복시 혈당과 지질농도, GGT, GPT, GOT, CRP, 헤모글로빈 농도는 모두 정상 수준이었다.  2) 식후 혈중 포도당의 공복 시 혈당에 비해 증가된 △-AUC값에서 유의적인 차이가 없었다.  3) 식후 혈중 총콜레스테롤은 울금 0.2%, 0.4% 첨가하였을 때 공복 시에 비한 △-AUC값에서 대조군에 비해 유의적으로 낮았다.  4) 혈중 중성지방의 농도는 식후 90분 까지 0.4% 첨가군에서만 대조군에 비해 유의적으로 낮았다.  5) 식후 LDL의 공복 시에 비한 △-AUC값은 울금 0.2%, 0.4% 첨가하였을 때 대조군에 비해 유의적으로 낮았다.  6) 식후 HDL의 공복 시에 비한 △-AUC값은 울금 0.2%, 0.4% 첨가하였을 때 대조군에 비해 유의적으로 높았다.   본 연구는 혈중 지질상태가 정상인 여대생을 대상으로 한 인체실험으로 0.2% 이상의 울금 첨가가 고지방식인 훈제오리육가공품의 섭취 시 혈중 지질농도에 영향을 미치고 있음을 밝힌 연구로 그 의미가 있다 할 것이다. 그러나 이의 기전을 보다 명확히 제시할 수 있는 다양한 조건에서의 추후 연구가 필요하다.","Purpose: This study examined the effects of duck meats with turmeric powder on blood lipids in 10 female university students. Methods: The subjects received duck meat with 0%, 0.1%, 0.2%, and 0.4% turmeric powder and glucose, total cholesterol, triglyceride (TG), high-density lipoprotein (HDL)-cholesterol, and low-density lipoprotein (LDL)-cholesterol in their serums after 30, 60, 90, 120, and 180 min were measured. Results: The average height, weight, and body mass index of subjects were 159.6 ± 2.6 cm, 51.3 ± 3.5 kg, and 20.1 ± 1.0, respectively. The fasting glucose, γ-glutamyl transferase (GGT), glutamic pyruvic transferase (GPT), glutamic oxaloacetic transferase (GOT), c-reactive protein (CRP), and hemoglobin were within the normal range. The △-AUC (area under the curve) of postprandial glucose, TG did not change, but △-AUC of postprandial total cholesterol and LDL were significantly decreased, and HDL was increased by intake of the duck meat with turmeric powder. Conclusion: This study shows that duck meats with turmeric powder affected the postprandial blood lipid levels."
The Effects of Breathing Exercise with Intermittent Positive Pressure Ventilator on Pulmonary Function in Patients with Cervical Spinal Cord Injury,2016,"['SCI', 'IPPV', 'Breathing Exercise', 'Pursed Lips Breathing']",국문 초록 정보 없음,"Purpose The purpose of this study was to examine the effect of pulmonary function through intermittent positive pressure ventilator(IPPV) exercises in the patients with spinal cord injury. Methods In order to demonstrate the effect of the study that IPPV group(n=13) and pursed lips breathing(PLB) group(n =11) and general physical therapy(GPT) group(n=9) were randomly assigned to proceed with the study. Measurements of pulmonary function were used CadioTouch3000S(BIONET). The participants were assessed before and after the intervention conducted for 8-weeks. Results The results of this study were as follows. In the forced vital capacity(FVC), forced expiratory volume 1 second(FEV1), FEV1/FVC, peak expiratory flow(PEF), IPPV group showed a significant difference pre- and post-training(p<.05). In the FVC, FEV1, FEV1/FVC, PEF, PLB group showed a did not significant difference pre and post-training(p>.05). In the PEF, GPT group showed a significant difference(p ＜.05), but in the FVC, FEV1, FEV1/FVC showed a did not significant difference pre- and post-training(p>.05). Conclusion In conclusion of this study, cervical spinal cord injury patients who performed breathing exercise through IPPV showed effective results to improve pulmonary functions."
