title,date,keywords,abstract,multilingual_abstract
A Design and Simulation of 3D Fishing-Net Considering Tidal-Current and Buoyancy,2016,"['simulation', 'fishing-net', 'tidal-current', 'buoyancy']",국문 초록 정보 없음,"A physically based simulator for a cloth or patch has often utilized a mass-spring model. This mass-spring model generally employs the gravity force. To make a simulation model of fishing-net, we have to consider the tidal-current and buoyancy in underwater environments. This additional factors lead to get a lower calculation speed for a real-time simulation. In this paper, we will propose a new mass-spring model for a fishing-net and also a method to simplify the equations for the real-time simulation of a fishing-net model. Our 3D mass-spring model will show the mesh-structure similar with the other mass-spring model except that each intersection point can have independently a different mass. The motion of each mass will be calculated with adding dynamics. To reduce the calculation time, we will try to simplify the mathematical equations which consider the tidal-current and buoyancy. Through this research, we can get the real-time and realistic simulation for the fishing-net."
Deadlock Avoidance Based on Graph Theory,2016,"['graph theory', 'deadlock avoidance', 'directed graph', 'resource optimization', 'Petri net']",국문 초록 정보 없음,"Deadlock Avoidance remains to be a significant aspect of deadlock research. Modeling approaches based on Graph Theory provide effective strategy to solve this problem. We built avoidance model of directed graph and adjacent matrix via resource allocation graph, proposed three improved algorithm for deadlock avoidance and discussed the implementation of the program. The topology analyze of matrix storage information indicates entire optimization utilization results though certain key vertices and edges, this model verified by the banker’s algorithm and Petri net finally."
Why Does Bundled Product in Telecommunication Service Market Matter? : Evidence from South Korea,2016,"['Telecommunications Service Market', 'Bundled Products', 'Network Externality', 'Market Power', 'Non-Competitive and Competitive Market']",국문 초록 정보 없음,"Due to network effects and market power with bundled product of telecommunication service market, service providers have to differentiate their product group in the competitive market. We explore that installed base(i.e., customer network), and a relationship between single and bundled products do affect corporate performance as well as a dominant transition of bundling market. We empirically describe these issues with data of which each net growth of single and multiple products(=bundled) was gathered by real industry of South Korea where there is overheated competition on their oligopoly market. We found strong evidences that through network effects, not only installed base was significantly associated with corporate finance such as total sales, total assets, and EBITDA, but also the difference between product types and size of installed base in single and multiple products was significant in a competitive market. As a result, our evidence provides an important explanation with operating firms currently. Furthermore, it was clear that using resource-based and market power view specifically vindicated the influences as we hypothesized."
Optical Sensing of Atmospheric Aerosol Parameters in the Asian Dust Network,2016,"['Optical Sensing', 'Atmospheric Network', 'Aerosols']",국문 초록 정보 없음,"To examine the optical properties of aerosols and Asian dust, continuous monitoring has been performed at more than 20 lidar stations in the Asian Dust Network (AD-Net). Dual wavelengths depolarization lidar has been applied since 2010 at the Daejeon station (127.34E, 36.33N) in South Korea. This lidar system consists mainly of high power Nd:Yag laser, 300 mm telescope, and optical spectrometer with vertical and parallel depolarization channels at the two wavelengths of 532 nm and 1064 nm. For the analysis of aerosols and Asian dust, backscatter coefficients and depolarization ratios were retrieved with the assumption of the mixing condition of aerosols and molecules. The ratio of backscattering coefficient and depolarization ratio between the 532 nm and 1064 nm were then achieved. To know the spatial and temporal variation of Asian Dust, the results of the depolarization ratios and the backscatter coefficients measured at Daejeon station were analyzed and compared with the results measured from other lidar stations in the AD-Net."
Risk Assessment of Financial Market under the Restriction of Market Incentive Mechanism,2016,"['Trust evaluation', 'Commitment', 'Negotiation', 'Game', 'Risk']",국문 초록 정보 없음,"In order to solve the problems of fuzzy expression and invalid inter-agent trust during the process of adopting traditional negotiation mode to describe the enterprise and the enterprise supply chain, a global negotiation model based on Norm and trust evaluation is proposed in this paper. Specifically, Norm semantic tool is adopted to describe enterprise information, and such parameters as fitness and trust degree of the negotiation model are evaluated through the “commitment” based trust evaluation method. Meanwhile, the improved genetic algorithm is adopted for the task solution of the negotiation issues involving in enterprise environment, and the improved contract net protocol is adopted for the task solution of the negotiation issues involving in enterprise business. Finally, the example for a certain production enterprise supply chain is adopted for the detailed design of the negotiation model. The experiment proves that the model can realize the global task solution of the negotiation issues involving in both enterprise environment and business, and the solution efficiency thereof is improved more or less."
한국과 미국 가계의 사적연금자산 의존도,2016,"['aging', 'private pension', 'pension system', 'tobit model', '고령화', '사적연금', '연금제도', '토빗모형']","본 연구는 한국과 미국 가계의 사적연금자산의 의존도를 비교하고 그 결정요인을 분석함으로써 향후 한국의 연금제도 및 정책적 방향에 관한 유용한 시사점을 도출하는 것에 주요 목적을 두고 있다. 이 목적을 위하여 가장 최근의 조사 자료를 사용하였는데, 한국의 경우는 국민연금연구원의 국민노후보장패널(KReIS, Korean Retirement and Income Study) 5차(2013) 자료를 사용하였고, 미국의 경우는 FRB의 2013년 SCF(Survey of Consumer Finances)를 사용하였다. 사적연금자산 의존도는 가계의 총 금융자산 중에서 사적연금자산이 차지하는 비중으로 정의하였고 결정요인의 추정에는 토빗모형(tobit model)이 사용되었다. 연구결과를 종합해 보면 가계의 소득과 순자산 수준, 가구주 교육수준과 연령, 건강상태는 한국과 미국 모두 다른 변수들을 통제한 상태에서도 사적연금자산의 의존도를 결정짓는 중요한 요인으로 나타났다. 가구주 교육수준과 연령, 건강상태의 영향력은 두 나라 모두 사적연금자산 의존도에 동일한 방향으로 작용하고 있었으나 소득과 순자산 수준은 반대 방향으로 영향을 미치고 있었다. 한국 가계의 경우는 높은 수준의 소득과 순자산은 사적연금자산 의존도를 증가시키는 것으로 연결되었고, 미국의 경우는 소득과 순자산 수준이 높을수록 사적연금자산 의존도를 낮추는 것으로 나타났다.","This study analyzed private pension dependency of Korea and U.S. households using the most recent dataset of two countries. For this purpose, 2013 Korean Retirement and Income Study(KReIS) of national pension research institute in Korea and 2013 SCF(Survey of Consumer Finances) of FRB in U.S. were used. The private pension dependency was defined as the proportion of private pension wealth among total financial wealth in each household and tobit model was used to investigate determinants of private pension dependency of the two countries. After controlling for other factors, household income and net worth, age, educational attainment, and health status of householder were crucial determinants of private pension dependency for both countries. Householder’s age, educational attainment, and health tend to increase the private pension dependency in Korea and U.S. However, household income and net worth affected the private pension dependency opposite direction. The private pension dependency increased with high level of income and net worth in Korea, while it decreased with high level of income and net worth in U.S. Results of this study provide useful implications for future pension system and policy in Korea."
‘텍스트언어학적’ 시 분석을 위한 기고,2016,"['Textualität', 'Metatextualität', 'Gedichtanalyse', '텍스트성', '메타텍스트성', '시분석']","‘어떤 (텍스트로 판단되기 이전의) 임의적 발화가 텍스트로 간주되는 일반적 조건들이 존재하는가?’라는 물음은 텍스트언어학의 초창기인 1960년대 중반부터 줄곧 제기되어온 텍스트언어학의 핵심 문제인 ‘텍스트성 Textualität’과 관련된다. 텍스트언어학의 중요저작 중의 하나인 Beaugrande와 Dressler의 『텍스트언어학 입문 Einführung in die Textlinguistik』(1981)의 핵심은 이러한 텍스트성의 규명에 있다. 여기서는 텍스트언어학 초기 무렵에 중요 관심사였던 일련의 문장 연쇄로서의 텍스트가 아닌, ‘하나의 통합적 총체로서의 텍스트 성격이 무엇인가’라는 물음에 대한 대답이 관건이다. 이러한 ‘텍스트성’과는 달리 다소 생소해 보이는 ‘메타텍스트성 Metatextualität’은 독일 뮌스터대학의 텍스트언어학자인 Brinkmann의 제자로서 텍스트언어학의 역사에서 나름대로의 위치(‘해석학적 텍스트언어학 hermeneutische Textlinguistik’ 방향)를 차지하고 있는 Scherner에 의해 다듬어진 용어이다. 그는 자신의 독일 뮌스터대학교 퇴임고별강연(2005년) 「텍스트에서 계속하기. 텍스트성에서 메타텍스트성으로 Weiter im Text. Von der Textualität zur Metatextualität」에서 Genette의 용어를 빌어 이 개념을 좀 더 구체적으로 규정지었다. “문학 텍스트와 문학텍스트의 해석 사이에 존재하는 관계”(Scherner 2005, 20)를 출발점으로 삼는 메타텍스트성은 기존의 문예학적 연구 대상물을 문예 비평에만 머무르게 하지 않고 (텍스트)언어학으로 끌어들인 것에서 큰 의의를 찾을 수 있다. 1차 텍스트인 문학텍스트와 그것에 대한 해석인 2차 텍스트 사이의 ‘의의연속성 Sinnkontinuität’ 이 개념은 코헤렌쯔를 설명하기 위해 Beaugrande/Dressler(1981, 88)가 Hörmann(1976)의 심리언어학적 용어인 “의의의 항상성 Sinnkonstanz”라는 용어에서 착안한 것이다. 생물학에서, “생명체가 여러 가지 환경 변화나 스트레스에 대응하여 내부를 일정하게 유지하려 하는 조절 과정 또는 그 상태를 ‘항상성’이라고 한다. homeostasis(항상성)에서 homeo의 의미는 same(동일한, 똑같은)이고, stasis의 의미는 standing(유지하다)의 뜻으로 ‘동일하게 유지하다’라는 용어의 조합이다. 항상성의 예로 체온 조절, 삼투압 조절, 혈당량 조절 등을 들 수 있는데, 생명체의 기능이 효율적으로 일어나 생명을 유지하기 위해서는 체온, pH, 삼투압 등 생화학 성분을 포함해 다른 체내 환경이 항상 어떤 범위 안에서 유지되는 것이 필요하다. 이를 조절하는 과정이 ‘항상성 유지’이다.” (개념톡톡 용어사전 http://100.daum.net/encyclopedia/view/ 39XXX8800009).을 지칭하는 메타텍스트성은 상호텍스트성 Intertextualität과 관련지을 수도 있다. 그러나 문예학에서의 출발한 상호텍스트성 개념은 너무나도 복잡하고, 또한 텍스트언어학에서는 이 개념이 종종 ‘지시 Referenz’ 개념으로 이해(또는 오해)되어 크게 각광을 받지 못했다(Scherner 2005, 20 참조). 그럼에도 불구하고 텍스트언어학에서는 Scherner 등에 의해서 이 방향의 연구가 계속되어 왔는데, 본 연구의 최종 목적은 이러한 메타텍스트성의 비교 분석에 향해있다. 이를 위해, 소위 텍스트언어학적 분석 방법을 적용해서 박목월의 시 「나그네」를 분석한 고영근, 이석규 외와 Kirsch의 「외눈으로 Einäugig」를 분석한 Weinrich의 소위 ‘텍스트언어학적’ 시 텍스트 분석 방법론을 비교하여 시 텍스트 분석의 일반화에 조금이라고 기여할 수 있는 방법론을 구성 ...","R.-A. de Beaugrande/W. U. Dressler (1981, 3) definieren einen Text als eine kommunikative Okkurrenz (engl. ‘occurrence’), die sieben Kriterien der Textualität erfüllt. Wenn irgendeines dieser Kriterien als nicht erfüllt betrachtet wird, so gilt der Text nicht als kommunikativ. Das heißt: Unter Textualität versteht man in der Textlinguistik die Eigenschaft, ein Text zu sein. Verschiedene Kriterien der Textualität unterscheiden also Texte von sogenannten ‘Nicht-Texten’. Unter dem Begriff ‘Metatextualität‘ versteht Scherner(2005) die Beziehung zwischen einem literarischen Text und seiner Interpretation. In der vorliegenden Arbeit geht es um eben diese Metatextualität. Um diese zu analysieren, wurden an einem konkreten Fall die Text-Text-Beziehungen erläutert. Dabei handelt es sich um ein Gedicht von M.-Y. Park und entsprechende Interpretationen von S.-K. Lee und Y.-K. Ko."
중국기업 해외 IPO성과 요인 분석 - 미국 상장을 중심으로 -,2016,"['미국상장', '중국기업', '저가발행', '해외IPO', 'IPO효과', 'U.S. Listing', 'China Firms', 'underpricing phenomenon', 'Internationally IPO', 'IPO effect']",국문 초록 정보 없음,"The purpose of this paper is to find out how finance performance of U.S. listing china firms affect new publication price.This paper analysis to identify the relationship between finance performance and initial return.In addition, examine about variable factors the IPO effect of underpricing Good operating profit to sales ratio and net profit before IPO draw high CAR(Cumulative Abnormal Return) regarding profitability. couldn’t find significant results about stability, but found that negative relation between debt ratio and CAR, and positive relation cash flows in NYSE IPO firms.The empirical results about business growth, the higher sales scale and increase rate of sales, the higher the CAR about under pricing phenomenon of IPO in U.S.and CAR has steadily increased after listing.From the fact, could identify underpricing phenomenon."
미국의 근로자 무역조정지원법의 최근 개정내용과 시사점,2016,"['무역자유화', '무역조정지원', '무역촉진권한', '무역재조정수당', '대체적 무역조 정지원', '자유무역협정', '무역조정지원근로자', '사회안전망', 'trade liberalization', 'trade adjustment assistance', 'trade promotion authority', 'trade readjustment allowance', 'alternative trade adjustment assistance', 'free trade agreement', 'trade adjustm']","무역조정지원 (Trade Adjustment Assistance: 이하 ‘TAA’라 함)제도는 미국에서 처음 시행된 제도로 미 연방정부가 무역자유화로 인하여 외국과의 무역으로 불리하게 피해를 입은 근로자와 기업을 지원하기 위해 만든 프로그램이다. 미국의 근로자 TAA는 기존의 실직근로자 지원 프로그램과 연계되어 있고, 추가적으로 소득보조를 받으면서 장기간의 훈련 프로그램을 이수하는 것을 지원하거나 50세 이상 근로자의 기간 내 재취업의 경우 2년에 걸쳐 1만 달러 한도 내에서 임금차액의 50%를 보전해 주는 대체적 임금보험이 주된 지원형태다. 건강보험료 세액공제 (72.5%) 혜택도 제공되고 있다. 미국의 근로자무역조정지원제도의 운영상의 시사점으로는 첫째, FTA피해 근로자를 위한 특별한 제도를 만들기 보다는 근로자를 위한 사회안전망 또는 고용보험 제도를 전반적으로 확충하면서 특히 근로자가 세계화에 적 응할 수 있도록 훈련지원 및 전직 · 재취업 지원제도를 보강하는 방향으로 운영되어야 한다. 둘째, 기업과 근로자 무역조정지원 모두에서 근로자 고용 보호의 이해관계가 반영되어야 한다. 특히, 기업무역조정지원에 있어서 무역조정계획을 평가하는데 있어 소속 근로자의 고용유지, 직무훈련 제공, 전직 지원 또는 재고용에 대한 우선순위 부여 등 기업이 무역조정에 있어 소속 근로자의 이해관계도 적절하게 고려하게 하는 평가항목을 추가할 수 있을 것이다. 그러한 요소가 지원 결정에 중요한 비중을 차지하지 않는다 하더라도, 기업으로 하여금 소속 근로자들과의 상생의 무역조정전략을 추구 하도록 유도할 수 있다는 점에서 현재의 무역조정지원에 있어 상대적으로 소외된 근로자의 이해관계를 반영할 수 있는 옵션이 될 수 있다. 셋째, 무역조정신청자격의 근로자대표 기준을 완화하고, 전직 또는 재취업 지원 프로그램이 사회적 수요에 탄력적으로 부합할 수 있도록 프로그램의 다양성을 확보하고, 실효성을 높일 수 있는 방안이 지속적으로 강구되어야 한다.","The Trade Adjustment Assistance (hereinafter ‘TAA’) for Workers offers federally - funded benefits to dislocated who are adversely affected by foreign trade. The current benefits include training subsidies and income support for workers who have exhausted their unemployment insurance. In addition, TAA - eligible workers who are age 50 and over and obtain reemployment at a lower wage may be eligible for a wage insurance program (RTAA) and the Health Coverage Tax Credit (72.5%) is also provided. From the analysis of the U.S. system, several policy implications for the TAA system of Korea are found. Firstly, the social safety net including employment insurance system should be extended toward the direction of providing effective assistance which help workers adapt themselves to the globalized economic environment by enhancing the assistance programs such as the training assistance and relocation or reemployment, rather than providing additional special benefits to the workers who have been suffered from foreign trade. the Secondly, the interests of workers such as the protection of employment should be considered not only in the trade adjustment assistance system for workers but also in that for the firms which is comparatively given a lot of weight in the Korean system. Thirdly, the eligibility of the designated trade adjustment workers which is higher than that of the U.S. system should be less strict given that the Korean system does not provide any direct financial support for those workers unlike the U.S. system, and also it is necessary to find ways to secure diversity and effectiveness of the training program for relocation or reemployment service in order to meet timely the social needs for workforce."
투자자 관심과 주식수익률의 반전현상에 관한 연구: 코스닥시장을 중심으로,2016,"['Return Reversal', 'Overnight Return', 'Daytime Return', 'Investor Attention', 'Fama-MacBeth Regression', '반전현상', '야간수익률', '주간수익률', '투자자의 관심', 'Fama-MacBeth 회귀분석']","본 연구에서는 한국 코스닥시장의 개별종목 자료를 이용하여 야간수익률(overnight return)과 주간 수익률(daytime return)의 반전현상이 존재하는지, 그리고 이러한 반전현상이 전일 수익률의 변동성과 전일 개인투자자의 순매수 비중 등의 개인투자자의 관심지표(attention proxy)와 연관되어 있는지를 검증하였다. 본 연구의 실증분석 결과에 따르면 코스닥시장에서도 미국 주식시장과 마찬가지로 통계적으로 유의한 양(+)의 야간수익률과 음(-)의 주간수익률이 나타나며, 야간수익률과 주간수익률이 통계적으로 유의한 음(-)의 상관관계를 갖는 수익률의 반전현상이 존재하였다. 그리고 개인투자자의 관심지표로 전일 개인투자자 순매수 비중을 사용하는 경우 관심지표가 클수록 개장 시 개인투자자의 시초가 순매수 강도가 높게 나타나며 야간수익률과 주간수익률의 반전현상도 더 커지는 결과를 확인하였다. 또한 투자자의 관심 가설(attention hypothesis)을 지지하는 이와 같은 본 연구의 결과는 Fama-MacBeth 회귀분석을 적용하거나 전일 미국 시장의 주가변동을 고려한 경우에도 달라지지 않는 강건한 결과임을 확인하였다.","Using intraday trading and quote data for all common stocks listed on the KOSDAQ market, we investigate whether attention-driven trading by individual investors is associated with a pattern of intraday return reversal. Similar to empirical evidence in the U.S., we find s strong pattern of positive returns during the overnight period followed by negative returns during the trading day. When we use net buying by individual investors as a percent of total trading volume yesterday as a proxy for individual investor attention at the start of trading day, we find that the higher this measure of attention is, the stronger is the intensity of individual investors’ net buying at the open. Furthermore, the magnitude of intraday return reversal is larger for stocks with higher measure of individual investor attention. These findings are consistent with the attention hypothesis, and we also find that our main results are robust to using Fama-McBeth regressions and controlling for U.S stock market returns on the previous day."
