title,date,keywords,abstract,multilingual_abstract
k-NN 알고리즘을 활용한 단기 교통상황 예측: 서울시 도시고속도로 사례,2016,"['event condition', 'historical data', 'k-nearest neighbor', 'short-term prediction', 'real-time data', '이벤트 상황', '이력자료', 'k-최대근접이웃', '단기예측', '실시간자료']","본 연구는 실시간 자료를 기반으로 k-NN을 활용한 단기 교통상황 예측 시 각 단계별 세부절차 및 변수결정, 입력자료 구축 등의 각 단계별 잠재적 예측오차에 대한 원인분석 및 시사점 도출을 목적으로 한다. 다양한 단기 예측모형에 대한 선행연구 검토를 통하여 k-NN 모형의 유용성을 검토하였고 이에 대한 적용가능성을 분석하였다. 본 연구의 k-NN 모형은 이력자료 평활화 및 패턴DB 구축의 입력자료 부분, 실시간 자료와 과거 이력자료와의 유사성 측정 및 k 근접이웃 결정 등의 k-NN 알고리즘 부분, 그리고 예측 시간간격에 따른 출력결과 부분 등으로 구성되며 올림픽대로 김포방향 한강대교 남단~여의상류IC 구간을 대상으로 분석을 실시하였다. 교통자료의 불규칙 잡음으로 인하여 정확한 패턴매칭을 위해서 이력자료의 평활화를 실시하였으며, 이력자료 패턴 DB는 일반 및 이벤트 상황으로 구분하여 활용하였다. 최적의 시계열 자료 및 k 근접이웃 결정을 위해서 시행착오 방법을 적용하였으며, 단기 교통상황 예측 시 예측 시간간격이 증가할수록 예측오차가 증가하는 패턴, 그리고 교통상태가 급변하는 시점에서도 예측오차가증가함을 알 수 있었다. 본 연구의 k-NN 모형에 대한 각 단계별 예측오차에 대한 원인을 분석하여 개선방향을 제시함으로써 향후 신뢰성 있는 단기 교통상황예측 정보제공 및 시스템에 활용이 가능할 것으로 판단된다.","This study evaluates potential sources of errors in k-NN(k-nearest neighbor) algorithm such as procedures, variables, and input data. Previous research has been thoroughly reviewed for understanding fundamentals of k-NN algorithm that has been widely used for short-term traffic states prediction. The framework of this algorithm commonly includes historical data smoothing, pattern database, similarity measure, k-value, and prediction horizon. The outcomes of this study suggests that: i) historical data smoothing is recommended to reduce random noise of measured traffic data; ii) the historical database should contain traffic state information on both normal and event conditions; and iii) trial and error method can improve the prediction accuracy by better searching for the optimum input time series and k-value. The study results also demonstrates that predicted error increases with the duration of prediction horizon and rapidly changing traffic states."
Alzheimer Disease Detection in MRI Using Curvelet Transform with K-NN,2016,"['alzheimer disease', 'curvelet transform', '2D discrete wavelet transform', 'PCA', 'K-NN', 'ANN', 'OASIS']",,
K번째 최근접 표본 재추출 방법에 의한 일 강우량의 추계학적 분해에 대한 연구,2016,"['Gram Schmidt', 'K-NN']",,"As the infrastructures and populations are the condensed in the mega city, urban flood management becomes very important due to the severe loss of lives and properties. For the more accurate calculation of runoff from the urban catchment, hourly or even minute rainfall data have been utilized. However, the time steps of the measured or forecasted data under climate change scenarios are longer than hourly, which causes the difficulty on the application. In this study, daily rainfall data was disaggregated into hourly using the stochastic method. Based on the historical hourly precipitation data, Gram Schmidt orthonormalization process and K-Nearest Neighbor Resampling (KNNR) method were applied to disaggregate daily precipitation into hourly. This method was originally developed to disaggregate yearly runoff data into monthly. Precipitation data has smaller probability density than runoff data, therefore, rainfall patterns considering the previous and next days were proposed as 7 different types. Disaggregated rainfall was resampled from the only same rainfall patterns to improve applicability. The proposed method was applied rainfall data observed at Seoul weather station where has 52 years hourly rainfall data and the disaggregated hourly data were compared to the measured data. The proposed method might be applied to disaggregate the climate change scenarios."
K번째 최근접 표본 재추출 방법에 의한 일 강우량의 추계학적 분해에 대한 연구,2016,"['강우자료 추계학적 분해', '도시유출', 'Gram Schmidt 변환', '강우 패턴', 'K-NN 표본 재추출 방법(KNNR) Gram-Schmidt orthonormalization process', 'K-Nearest Neighbor Resampling (KNNR) method', 'Rainfall pattern', 'Urban runoff', 'Stochastic disaggregation of rainfall data']","산업의 발전에 따라 기반시설 및 인구 등이 대도시에 밀집되어, 도시홍수방어는 인명피해 뿐만 아니라 재산피해 저감 차원에서도 매우 중요한 문제 가 되었다. 요즘은 이러한 도시유역의 유출해석을 보다 정확하게 하기 위해 시강우나 분단위의 강우자료를 활용하고 있다. 하지만 기후변화 시나리오 와 같은 미래 강우시나리오는 현재 일단위 수준으로 제공되므로 미래 강우에 대한 확률빈도 해석에 제한이 있다. 이에 본 연구에서는 추계학적 기법을 이용해 일강우 자료를 시강우 자료로 분해하고자 하였다. 일자료를 시자료로 분해하기 위해 과거 시강우 자료를 기반으로 Gram Schmidt 변환과 K 개의 최근접 표본 중 하나를 재추출하는 비모수적인 기법(KNNR)을 적용하였다. 이 방법은 연유출량을 월유출량으로 분해하기 위해 개발된 것이다. 하지만 강우자료는 유출량 자료와 달리 확률밀도가 작아 일강우를 시강우로 분해하는 데 직접 적용하는 경우 결과가 실제와 유사한 통계 패턴을 갖는 다고 보기 어려웠다. 이를 보완하기 위해 본 연구에서는 분해하고자 하는 일자의 전일과 후일을 포함한 3일 강우패턴을 7개로 구분하고 동일 패턴을 가진 자료들만 분해에 이용하도록 하여 강우자료에 대한 적용성을 높였다. 과거 52년간의 서울기상관측소 시강우 자료를 이용하여 강우자료의 분해 에 대한 결과를 분석한 결과, 분해된 시강우 자료가 관측된 시강우자료와 통계적으로 매우 유사한 것을 확인하였다. 향후 기후변화자료의 시강우 분해 등에 활용하여 보다 정확한 도시유출에 대한 빈도해석 등에 적용할 수 있을 것으로 판단된다.","As the infrastructures and populations are the condensed in the mega city, urban flood management becomes very important due to the severe loss of lives and properties. For the more accurate calculation of runoff from the urban catchment, hourly or even minute rainfall data have been utilized. However, the time steps of the measured or forecasted data under climate change scenarios are longer than hourly, which causes the difficulty on the application. In this study, daily rainfall data was disaggregated into hourly using the stochastic method. Based on the historical hourly precipitation data, Gram Schmidt orthonormalization process and K-Nearest Neighbor Resampling (KNNR) method were applied to disaggregate daily precipitation into hourly. This method was originally developed to disaggregate yearly runoff data into monthly. Precipitation data has smaller probability density than runoff data, therefore, rainfall patterns considering the previous and next days were proposed as 7 different types. Disaggregated rainfall was resampled from the only same rainfall patterns to improve applicability. The proposed method was applied rainfall data observed at Seoul weather station where has 52 years hourly rainfall data and the disaggregated hourly data were compared to the measured data. The proposed method might be applied to disaggregate the climate change scenarios."
WiFi 핑거프린트를 이용한 지하철 위치 추적 정확성 향상을 위한 연구,2016,"['Access point', 'Fingerprint database', 'k-nn classification', 'Subway platform', 'WiFi based positioning system']","본 논문에서는 GPS를 이용할 수 없는 지하철 승강장에서 움직이는 지하철의 위치 추적 정확성을 높이기 위해 WiFi 핑거프린트 기법에 k-nn기반 알고리즘들을 적용한 후 오류를 검출하고 비교하였다. 승강장내 지하철의 위치 정보는 지하철 제어를 위해 종합사령실에서 필요로 하며, 이용객의 안전과 편의를 위해 다양하게 사용되어지고 있다. 현재 역사 또는 승강장 내에는 승객의 편의를 위해 각 통신사별로 WiFi용 AP(Access Point)들이 다수 설치되어 있어 이를 활용한 다양한 위치 추정 연구들도 활발히 진행되고 있다. 본 연구에서는 설치되어진 WiFi용 AP를 활용할 경우와 신규로 WiFi용 AP를 설치할 경우 등을 고려하여 다양한 조건에서 지하철의 위치를 추적할 수 있는 시뮬레이터를 개발한 후 모의실험을 진행하였다. 개발된 시뮬레이터는 설치된 WiFi용 AP들의 개수와 승강장 넓이, 지하철 진입속도 등에 따라 지하철의 위치를 추적할 수 있도록 설계되었다. 그리고 k-nn알고리즘과 fuzzy k-nn알고리즘을 선택적으로 적용할 수 있으며 핑거프린트 데이터베이스를 기반으 로 4가지의 거리 측정 알고리즘을 적용하여 위치 추적 오류를 비교할 수 있도록 하였다. 시뮬레이터를 이용한 모의 실험결과 0.5m의 그리드 단위길이에 8개의 WiFi용 AP를 설치하고 ‘minkowski’ 거리 측정 알고리즘을 적용한 k-nn알고리즘를 사용할 경우 가장 정확한 위치 추적결과를 얻을 수 있었다.","In this study, an WiFi fingerprinting method based on the k-nn algorithm was applied to improve the accuracy of location tracking of a moving train on a platform and evaluate the performance to minimize the estimation error of location tracking. The data related to the position of the moving train are monitored by the control center for trains and used widely for the safety and comfort of passengers. The train location tracking methods based on WiFi installed by telecom companies were evaluated. In this study, a simulator was developed to consider the environments of two cases; in already installed WiFi devices and new installed WiFi devices. The developed simulator can simulate the localized estimation of the position under a variety of conditions, such as the number of WiFi devices, the area of platform and entry velocity of train. To apply location tracking algorithms, a k-nn algorithm and fuzzy k-nn algorithm were applied selectively according to the underlying condition and also four distance measurement algorithms were applied to compare the error of location tracking. In conclusion, the best method to estimate train location tracking is a combination of the k-nn algorithm and Minkoski distance measurement at a 0.5m grid unit and 8 WiFi AP installed."
Intelligent Traffic Prediction by Multi-sensor Fusion using Multi-threaded Machine Learning,2016,"['Intelligent transportation system', 'K-nearest neighbor', 'Naive bayes']",,"Estimation and analysis of traffic jams plays a vital role in an intelligent transportation system and advances safety in the transportation system as well as mobility and optimization of environmental impact. For these reasons, many researchers currently mainly focus on the brilliant machine learning-based prediction approaches for traffic prediction systems. This paper primarily addresses the analysis and comparison of prediction accuracy between two machine learning algorithms: Naïve Bayes and K-Nearest Neighbor (K-NN). Based on the fact that optimized estimation accuracy of these methods mainly depends on a large amount of recounted data and that they require much time to compute the same function heuristically for each action, we propose an approach that applies multi-threading to these heuristic methods. It is obvious that the greater the amount of historical data, the more processing time is necessary. For a real-time system, operational response time is vital, and the proposed system also focuses on the time complexity cost as well as computational complexity. It is experimentally confirmed that K-NN does much better than Naïve Bayes, not only in prediction accuracy but also in processing time. Multithreading- based K-NN could compute four times faster than classical K-NN, whereas multithreading - based Naïve Bayes could process only twice as fast as classical Bayes."
Strange meson production in Al+Al collisions at 1.9 A GeV,2016,,,"<P>The production of K+, K- and phi(1020) mesons is studied in Al+Al collisions at a beam energy of 1.9 A GeV which is close to or below the production threshold in NN reactions. Inverse slopes, anisotropy parameters, and total emission yields of K-+/- mesons are obtained. A comparison of the ratio of kinetic energy distributions of K- and K+ mesons to the HSD transport model calculations suggests that the inclusion of the in-medium modifications of kaon properties is necessary to reproduce the ratio. The inverse slope and total yield of phi mesons are deduced. The contribution to K- production from phi meson decays is found to be [17 +/- 3(stat)(-7)(+2) (syst)]%. The results are in line with the previous K-+/- and phi data obtained for different colliding systems at similar incident beam energies.</P>"
"Measurements of directed, elliptic, and triangular flow in Cu + Au collisions at <sub>sNN</sub>=200 GeV",2016,,,"<P>Measurements of anisotropic flow Fourier coefficients (upsilon(n)) for inclusive charged particles and identified hadrons pi(+/-), K-+/-, p, and (p) over bar produced at midrapidity in Cu + Au collisions at root s(NN) = 200 GeV are presented. The data were collected in 2012 by the PHENIX experiment at the Relativistic Heavy-Ion Collider (RHIC). The particle azimuthal distributions with respect to different-order symmetry planes psi(n), for n = 1, 2, and 3 are studied as a function of transverse momentum p(T) over a broad range of collision centralities. Mass ordering, as expected from hydrodynamic flow, is observed for all three harmonics. The charged-particle results are compared with hydrodynamical and transport model calculations. We also compare these Cu + Au results with those in Cu + Cu and Au + Au collisions at the same root s(NN) and find that the upsilon(2) and upsilon(3), as a function of transverse momentum, follow a common scaling with 1/(epsilon N-n(part)1/3).</P>"
EIS 기반 전압신호 분석을 통한 당뇨병 진단 가능성 평가,2016,"['Electro interstitial scan', 'Cottrell equation', 'Reverse iontophoresis', 'Voltage signal', 'Diabetes']",,
"Near-side azimuthal and pseudorapidity correlations using neutral strange baryons and mesons ind+Au, Cu + Cu, and Au + Au collisions at<sub>sNN</sub>=200GeV",2016,,,"<P>We present measurements of the near side of triggered di-hadron correlations using neutral strange baryons ( A, (A) over bar) and mesons (K-s(0)) at intermediate transverse momentum ( 3 < p(T) < 6 GeV/c) to look for possible flavor and baryon-meson dependence. This study is performed in d+Au, Cu+Cu, and Au+Au collisions at root S-NN = 200 GeV measured by the STAR experiment at RHIC. The near-side di-hadron correlation contains two structures, a peak which is narrow in azimuth and pseudorapidity consistent with correlations from jet fragmentation, and a correlation in azimuth which is broad in pseudorapidity. The particle composition of the jet-like correlation is determined using identified associated particles. The dependence of the conditional yield of the jet-like correlation on the trigger particle momentum, associated particle momentum, and centrality for correlations with unidentified trigger particles are presented. The neutral strange particle composition in jet-like correlations with unidentified charged particle triggers is not well described by PYTHIA. However, the yield of unidentified particles in jet-like correlations with neutral strange particle triggers is described reasonably well by the same model.</P>"
