title,date,keywords,abstract,multilingual_abstract
A Video Smoke Detection Algorithm Based on Cascade Classification and Deep Learning,2018,"['smoke detection', 'deep learning', 'convolutional neural network', 'cascade classification', 'BAIR reference CaffeNet']",,"Fires are a common cause of catastrophic personal injuries and devastating property damage. Every year, many fires occur and threaten human lives and property around the world. Providing early important sign for early fire detection, and therefore the detection of smoke is always the first step in fire-alarm systems. In this paper we propose an automatic smoke detection system built on camera surveillance and image processing technologies. The key features used in our algorithm are to detect and track smoke as moving objects and distinguish smoke from non-smoke objects using a convolutional neural network (CNN) model for cascade classification. The results of our experiment, in comparison with those of some earlier studies, show that the proposed algorithm is very effective not only in detecting smoke, but also in reducing false positives."
Radiomics and Deep Learning in Clinical Imaging: What Should We Do?,2018,[],,
Practical Approaches Based on Deep Learning and Social Computing,2018,[],,
A Deep-Learning Based Model for Emotional Evaluation of Video Clips,2018,"['Video emotion analysis', 'C3D', 'Transfer learning', 'LSTM']",,"Emotional evaluation of video clips is the difficult task because it includes not only stationary objects as the background but also dynamic objects as the foreground. In addition, there are many video analysis problems to be solved beforehand to properly address the emotionrelated tasks. Recently, however, the convolutional neural network (CNN)-based deep learning approach, opens the possibility by solving the action recognition problem. Inspired by the CNN-based action recognition technology, this paper challenges to evaluate the emotion of video clips. In the paper, we propose a deep learning model to capture the video features and evaluate the emotion of a video clip on Thayer 2D emotion space. In the model, the pre-trained convolutional 3D neural network (C3D) generates short-term spatiotemporal features of the video, LSTM accumulates those consecutive time-varying features to characterize long-term dynamic behaviors, and multilayer perceptron (MLP) evaluates emotion of a video clip by regression on the emotion space. Due to the limited number of labeled data, the C3D is employed to extract diverse spatiotemporal from various layers by transfer learning technique. The pre-trained C3D on the Sports-1M dataset and long short term memory (LSTM) followed by the MLP for regression are trained in end-to-end manner to fine-tune the C3D, and to adjust weights of LSTM and the MLP-type emotion estimator. The proposed method achieves the concordance correlation coefficient values of 0.6024 for valence and 0.6460 for arousal, respectively. We believe this emotional evaluation of video could be easily associated with appropriate music recommendation, once the music is emotionally evaluated in the same high-level emotional space."
Prediction of water level in a tidal river using a deep-learning based LSTM model,2018,"['Tidal river', 'Deep learning', 'lead time', 'Jamsu bridge', 'LSTM model', '감조하천', '딥러닝', '선행시간', '잠수교', 'LSTM 모형']","본 연구는 물리적 수리·수문모형의 적용이 제한적인 감조하천에서의 수위예측을 목적으로 하고 있으며, 이를 위해 한강 잠수교를 대상으로 딥러닝 오픈소스 소프트웨어 라이브러리인 TensorFlow를 활용하여 LSTM 모형을 구성하고 2011년부터 2017년까지의 10분 단위의 잠수교 수위, 팔당 댐 방류량과 한강하구 강화대교지점의 예측조위 자료를 이용하여 모형학습(2011~2016) 및 수위예측(2017)을 수행하였다. 모형 매개변수는 민감도 분석을 통해 은닉층의 개수는 6개, 학습속도는 0.01, 학습횟수는 3000번로 결정하였으며, 모형 학습 시 학습정보의 시간적 양을 결정하는 중요한 매개변수인 시퀀스길이는 1시간, 3시간, 6시간으로 변화시키며 모의하였다. 최종적으로 선행시간에 따른 모의 예측능력을 평가하기 위해 LSTM 모형의 예측 선행시간을 6개(1 ~ 24시간)로 구분하여 실측수위와 예측수위와의 비교·분석을 수행한 결과, LSTM 모형의 최적의 성능을 내 는 결과는 시퀀스길이를 1시간으로 하였을 때로 분석되었으며, 특히 선행시간 1시간에 대한 예측정확도는 RMSE는 0.065 m, NSE는 0.99로 실 측수위에 매우 근접한 예측 결과를 나타내었다. 또한 시퀀스길이에 상관없이 선행시간이 길어질수록 모형의 예측 정확도는 2017년 전기간에 걸쳐 평균적으로 RMSE 0.08 m에서 0.28 m로 오차가 증가하였으며, NSE는 0.99에서 0.74로 감소하였다.","Discharge or water level predictions at tidally affected river reaches are currently still a great challenge in hydrological practices. This research aims to predict water level of the tide dominated site, Jamsu bridge in the Han River downstream. Physics-based hydrodynamic approaches are sometimes not applicable for water level prediction in such a tidal river due to uncertainty sources like rainfall forecasting data. In this study, TensorFlow deep learning framework was used to build a deep neural network based LSTM model and its applications. The LSTM model was trained based on 3 data sets having 10-min temporal resolution: Paldang dam release, Jamsu bridge water level, predicted tidal level for 6 years (2011~2016) and then predict the water level time series given the six lead times: 1, 3, 6, 9, 12, 24 hours. The optimal hyper-parameters of LSTM model were set up as follows: 6 hidden layers number, 0.01 learning rate, 3000 iterations. In addition, we changed the key parameter of LSTM model, sequence length, ranging from 1 to 6 hours to test its affect to prediction results. The LSTM model with the 1 hr sequence length led to the best performing prediction results for the all cases. In particular, it resulted in very accurate prediction: RMSE (0.065 cm) and NSE (0.99) for the 1 hr lead time prediction case. However, as the lead time became longer, the RMSE increased from 0.08 m (1 hr lead time) to 0.28 m (24 hrs lead time) and the NSE decreased from 0.99 (1 hr lead time) to 0.74 (24 hrs lead time), respectively."
Deep-Learning Approach for Text Detection Using Fully Convolutional Networks,2018,"['Text Detection', 'FCN', 'Deep Learning', 'Nature Scene Image']",,"Text, as one of the most influential inventions of humanity, has played an important role in human life since ancient times. The rich and precise information embodied in text is very useful in a wide range of vision-based applications such as the text data extracted from images that can provide information for automatic annotation, indexing, language translation, and the assistance systems for impaired persons. Therefore, natural-scene text detection with active research topics regarding computer vision and document analysis is very important. Previous methods have poor performances due to numerous false-positive and true-negative regions. In this paper, a fully-convolutional-network (FCN)-based method that uses supervised architecture is used to localize textual regions. The model was trained directly using images wherein pixel values were used as inputs and binary ground truth was used as label. The method was evaluated using ICDAR-2013 dataset and proved to be comparable to other feature-based methods. It could expedite research on text detection using deep-learning based approach in the future."
Deep-learning-based automatic computer-aided diagnosis system for diabetic retinopathy,2018,"['Computer-aided diagnosis', 'Diabetic retinopathy', 'Deep neural network', 'AlexNet DNN', 'Convolutional neural network', 'Gaussian mixture model', 'Linear discriminant analysis', 'SVM']",,"The high-pace rise in advanced computing andimaging systems has given rise to a new research dimensioncalled computer-aided diagnosis (CAD) system forvarious biomedical purposes. CAD-based diabeticretinopathy (DR) can be of paramount significance toenable early disease detection and diagnosis decision.Considering the robustness of deep neural networks(DNNs) to solve highly intricate classification problems, inthis paper, AlexNet DNN, which functions on the basis ofconvolutional neural network (CNN), has been applied toenable an optimal DR CAD solution. The DR modelapplies a multilevel optimization measure that incorporatespre-processing, adaptive-learning-based Gaussian mixturemodel (GMM)-based concept region segmentation, connectedcomponent-analysis-based region of interest (ROI)localization, AlexNet DNN-based highly dimensional featureextraction, principle component analysis (PCA)- andlinear discriminant analysis (LDA)-based feature selection,and support-vector-machine-based classification to ensureoptimal five-class DR classification. The simulation resultswith standard KAGGLE fundus datasets reveal that theproposed AlexNet DNN-based DR exhibits a better performancewith LDA feature selection, where it exhibits aDR classification accuracy of 97.93% with FC7 features,whereas with PCA, it shows 95.26% accuracy. Comparativeanalysis with spatial invariant feature transform (SIFT)technique (accuracy—94.40%) based DR feature extractionalso confirms that AlexNet DNN-based DR outperformsSIFT-based DR."
Deep-Learning Approach for Text Detection Using Fully Convolutional Networks,2018,"['Text Detection', 'FCN', 'Deep Learning', 'Nature Scene Image']",,"Text, as one of the most influential inventions of humanity, has played an important role in human life since ancient times. The rich and precise information embodied in text is very useful in a wide range of vision-based applications such as the text data extracted from images that can provide information for automatic annotation, indexing, language translation, and the assistance systems for impaired persons. Therefore, natural-scene text detection with active research topics regarding computer vision and document analysis is very important. Previous methods have poor performances due to numerous false-positive and true-negative regions. In this paper, a fully-convolutional-network (FCN)-based method that uses supervised architecture is used to localize textual regions. The model was trained directly using images wherein pixel values were used as inputs and binary ground truth was used as label. The method was evaluated using ICDAR-2013 dataset and proved to be comparable to other feature-based methods. It could expedite research on text detection using deep-learning based approach in the future."
Deep Structured Learning: Architectures and Applications,2018,"['Artificial Intelligence', 'machine learning', 'deep learning', 'deep belief network', 'deep neural network', 'deep structured learning', 'hierarchical learning.']",,"Deep learning, a sub-field of machine learning changing the prospects of artificial intelligence (AI) because of its recent advancements and application in various field. Deep learning deals with algorithms inspired by the structure and function of the brain called artificial neural networks. This works reviews basic architecture and recent advancement of deep structured learning. It also describes contemporary applications of deep structured learning and its advantages over the treditional learning in artificial interlligence. This study is useful for the general readers and students who are in the early stage of deep learning studies."
"Investigating the Role of Task Value, Surface/Deep Learning Strategies, and Higher Order Thinking in Predicting Self-regulation and Language Achievement",2018,"['task value', 'critical thinking', 'surface learning strategies', 'deep learning strategies', 'self-regulation.']",,"This study aims to identify and investigate the role of task value (drawn from expectancy-value theory), surface/deep learning strategies, and critical thinking for predicting language learners’ selfregulation and ultimate language achievement in a single framework. To this end, 190 participants, majoring in English at bachelor’s level at a state university in Iran, were selected based upon convenience sampling. A structural equation model showed that both motivational and cognitive components were significant predictors of language achievement and self-regulation. The results reveal that task value is a positive predictor of deep/surface learning strategies and metacognitive selfregulation, which provides evidence that awareness of the importance and value of a task, directs learners to choose more appropriate self-regulation strategies to monitor their process of learning and structure their own cognitive manners. The findings demonstrated that critical thinking predicts improvement in language achievement. Theoretically speaking, it has been argued that the ability to critically analyze learning materials and evaluate information enables learners with advanced proficiency to actively take part in the learning process, be further dedicated to their tasks, and more effectively and efficiently engaged in learning strategies, therefore making more successful learners. Finally, the implication for teachers and policy makers is discussed."
