title,date,keywords,abstract,multilingual_abstract
Controller Learning Method of Self-driving Bicycle Using State-of-the-art Deep Reinforcement Learning Algorithms,2018,"['Reinforcement Learning', 'DDPG', 'Machine Learning', 'Bicycle Self Balancing', 'Deep Learning']",,"Recently, there have been many studies on machine learning. Among them, studies on reinforcement learning are actively worked. In this study, we propose a controller to control bicycle using DDPG (Deep Deterministic Policy Gradient) algorithm which is the latest deep reinforcement learning method. In this paper, we redefine the compensation function of bicycle dynamics and neural network to learn agents. When using the proposed method for data learning and control, it is possible to perform the function of not allowing the bicycle to fall over and reach the further given destination unlike the existing method. For the performance evaluation, we have experimented that the proposed algorithm works in various environments such as fixed speed, random, target point, and not determined. Finally, as a result, it is confirmed that the proposed algorithm shows better performance than the conventional neural network algorithms NAF and PPO."
Reinforcement Learning-based Duty Cycle Interval Control in Wireless Sensor Networks,2018,"['Duty cycle', 'Wireless Sensor Networks', 'Q-learning', 'Delay bound']",,"One of the distinct features of Wireless Sensor Networks (WSNs) is duty cycling mechanism, which is used to conserve energy and extend the network lifetime. Large duty cycle interval introduces lower energy consumption, meanwhile longer end-to-end (E2E) delay. In this paper, we introduce an energy consumption minimization problem for duty-cycled WSNs. We have applied Q-learning algorithm to obtain the maximum duty cycle interval which supports various delay requirements and given Delay Success ratio (DSR) i.e. the required probability of packets arriving at the sink before given delay bound. Our approach only requires sink to compute Q-leaning which makes it practical to implement. Nodes in the different group have the different duty cycle interval in our proposed method and nodes don’t need to know the information of the neighboring node. Performance metrics show that our proposed scheme outperforms existing algorithms in terms of energy efficiency while assuring the required delay bound and DSR."
Reinforcement Learning-based Duty Cycle Interval Control in Wireless Sensor Networks,2018,"['Duty cycle', 'Wireless Sensor Networks', 'Q-learning', 'Delay bound']",,"One of the distinct features of Wireless Sensor Networks (WSNs) is duty cycling mechanism, which is used to conserve energy and extend the network lifetime. Large duty cycle interval introduces lower energy consumption, meanwhile longer end-to-end (E2E) delay. In this paper, we introduce an energy consumption minimization problem for duty-cycled WSNs. We have applied Q-learning algorithm to obtain the maximum duty cycle interval which supports various delay requirements and given Delay Success ratio (DSR) i.e. the required probability of packets arriving at the sink before given delay bound. Our approach only requires sink to compute Q-leaning which makes it practical to implement. Nodes in the different group have the different duty cycle interval in our proposed method and nodes don't need to know the information of the neighboring node. Performance metrics show that our proposed scheme outperforms existing algorithms in terms of energy efficiency while assuring the required delay bound and DSR."
Reinforcement Learning-based Duty Cycle Interval Control in Wireless Sensor Networks,2018,"['Duty cycle', 'Wireless Sensor Networks', 'Q-learning', 'Delay bound']",,"One of the distinct features of Wireless Sensor Networks (WSNs) is duty cycling mechanism, which is used to conserve energy and extend the network lifetime. Large duty cycle interval introduces lower energy consumption, meanwhile longer end-to-end (E2E) delay. In this paper, we introduce an energy consumption minimization problem for duty-cycled WSNs. We have applied Q-learning algorithm to obtain the maximum duty cycle interval which supports various delay requirements and given Delay Success ratio (DSR) i.e. the required probability of packets arriving at the sink before given delay bound. Our approach only requires sink to compute Q-leaning which makes it practical to implement. Nodes in the different group have the different duty cycle interval in our proposed method and nodes don’t need to know the information of the neighboring node. Performance metrics show that our proposed scheme outperforms existing algorithms in terms of energy efficiency while assuring the required delay bound and DSR."
Recognition of Human Motion with Deep Reinforcement Learning,2018,"['Gesture recognition', 'IoT device', 'Feature extraction', 'End-to-end process', 'Deep reinforcement learning', 'Deep Q-network (DQN)', 'Double DQN']",,"Human.computer interaction (HCI) has become an important research area for improving the user experience on Internet of Things (IoT) devices. In particular, gesture recognition and dailyactivity recognition have attracted the interest of numerous researchers. Human motions have been predicted by analyzing accelerometer data from which features were extracted to be classified into a specific activity. However, due to the memory limitations of IoT devices, it is hard to utilize all the raw data from an accelerometer sensor. This paper proposes a deep reinforcement learning algorithm to recognize human arm movements using a commercial wearable device, the Myo armband. Agents learn the patterns that are the acceleration data of human motion. In addition, using raw accelerometer sensor data without feature extraction could make an end-to-end structure. In order to demonstrate the performance of the proposed method, a deep neural network (DNN) and a deep reinforcement learning algorithm are compared. As a result, a deep reinforcement learning agent yielded accuracy similar to a DNN using less data, and the agent could learn time-series human motion acceleration data."
A Study of Unmanned Aerial Vehicle Path Planning using Reinforcement Learning,2018,"['Unmanned Aerial Vehicles', 'Path Planning', 'Multi-sensor', 'Self-positioning', 'Reinforce Learning']",,"Currently drone industry has become one of the fast growing markets and the technology for unmanned aerial vehicles are expected to continue to develop at a rapid rate. Especially small unmanned aerial vehicle systems have been designed and utilized for the various field with their own specific purposes. In these fields the path planning problem to find the shortest path between two oriented points is important. In this paper we introduce a path planning strategy for an autonomous flight of unmanned aerial vehicles through reinforcement learning with self-positioning technique. We perform Q-learning algorithm, a kind of reinforcement learning algorithm. At the same time, multi sensors of acceleraion sensor, gyro sensor, and magnetic are used to estimate the position. For the functional evaluation, the proposed method was simulated with virtual UAV environment and visualized the results. The flight history was based on a PX4 based drones system equipped with a smartphone."
A Study of Unmanned Aerial Vehicle Path Planning using Reinforcement Learning,2018,"['Unmanned aerial vehicles', 'path planning', 'multi-sensor', 'self-positioning', 'reinforce learning']",,"Currently drone industry has become one of the fast growing markets and the technology for unmanned aerial vehicles are expected to continue to develop at a rapid rate. Especially small unmanned aerial vehicle systems have been designed and utilized for the various field with their own specific purposes. In these fields the path planning problem to find the shortest path between two oriented points is important. In this paper we introduce a path planning strategy for an autonomous flight of unmanned aerial vehicles through reinforcement learning with self-positioning technique. We perform Q-learning algorithm, a kind of reinforcement learning algorithm. At the same time, multi sensors of acceleraion sensor, gyro sensor, and magnetic are used to estimate the position. For the functional evaluation, the proposed method was simulated with virtual UAV environment and visualized the results. The flight history was based on a PX4 based drones system equipped with a smartphone."
Reinforcement Q-learning based on Multirate Generalized Policy Iteration and Its Application to a 2-DOF Helicopter,2018,"['Adaptive optimal control', 'linear quadratic regulation', 'multirate generalized policy iteration', 'Q-learning']",,"In this paper, we propose a novel Q-learning method based on multirate generalized policy iteration (MGPI) for unknown discrete-time (DT) linear quadratic regulation (LQR) problems. Q-learning is an effective scheme for unknown dynamical systems because it does not require any knowledge of the system dynamics to solve optimal control problems. By applying the MGPI concept, which is an extension of basic GPI with multirate time horizon steps, a new Q-learning algorithm is proposed for solving the LQR problem. Further, it is proven that the proposed algorithm converges to an optimal solution i.e., it learns the optimal control policy iteratively using the states and the control-input information. Finally, we employ the two degree-of-freedom helicopter model to verify the effectiveness of the proposed method and investigate its convergence properties."
Dynamic Routing Path Selection Algorithm Using Reinforcement Learning in Wireless Ad-Hoc Networks,2018,"['Q-learning', 'ad-hoc networks', 'node routing', 'quality of service', 'dynamic environment']",,
Post-CCA and Reinforcement Learning Based Bandwidth Adaptation in 802.11ac Networks,2018,,,"<P>The new 802.11ac standard aims at achieving Gbps data throughput for individual users by exploiting enhanced physical-layer features, such as higher modulation levels, Multiple Input Multiple Output (MIMO), and wider bandwidths. However, the heterogeneity of bandwidth in a network can cause asymmetric interferences in which certain transmissions cannot be sensed by some other nodes. As a result, the conventional Carrier Sense Multiple Access with Collision Avoidance (CSMA/CA) may not work well in 802.11ac networks. We call this the <I>Hidden Channel</I> (HC) problem, which is shown to be <I>real</I> via experiments with USRP and WARP boards. To solve this problem, we propose bandwidth adaptation based on <I>post-CCA</I>, which is a clear channel assessment (CCA) procedure performed <I>after</I> completing a transmission. Post-CCA in wireless networks helps mimic the CSMA with Collision Detection (CSMA/CD) mechanism in the wired Ethernet, thus enhancing channel assessment capability. Using post-CCA, we propose Post-CCA based Bandwidth Adaptation (PoBA) that alters bandwidth and channel configuration dynamically by applying a reinforcement learning mechanism. Post-CCA and PoBA do not require any hardware modification and are also compliant with the 802.11 standards. PoBA is shown via simulation to increase network-wide throughput, channel utilization and fairness, and also lower packet error probability.</P>"
