title,date,keywords,abstract,multilingual_abstract
LSTM과 GRU 딥러닝 IoT 파워미터 기반의 단기 전력사용량 예측,2019,"['Power Meter', 'Internet of Things', 'Deep Learning', 'LSTM', 'GRU', 'Short-term Power Forecasting']","본 연구에서는 Long Short Term Memory (LSTM) 신경망과 Gated Recurrent Unit(GRU) 신경망을Internet of Things (IoT) 파워미터에 적용하여 단기 전력사용량 예측방법을 제안하고, 실제 가정의 전력사용량 데이터를 토대로 예측 성능을 분석한다. 성능평가 지표로써 Mean Absolute Error (MAE), Mean Absolute Percentage Error (MAPE), Mean Percentage Error (MPE), Mean Squared Error (MSE), Root Mean Squared Error (RMSE) 를 이용한다. 실험 결과는 GRU 기반의 모델이 LSTM 기반의 모델에 비해 MAPE 기준으로 4.52%, MPE 기준으로5.59%만큼의 성능개선을 보였다.","In this paper, we propose a short-term power forecasting method by applying Long Short Term Memory (LSTM) and Gated Recurrent Unit (GRU) neural network to Internet of Things (IoT) power meter.We analyze performance based on real power consumption data of households. Mean absolute error (MAE), mean absolute percentage error (MAPE), mean percentage error (MPE), mean squared error (MSE), and root mean squared error (RMSE) are used as performance evaluation indexes. The experimental results show that the GRU-based model improves the performance by 4.52% in the MAPE and 5.59% in the MPE compared to the LSTM-based model."
GRU기반 전력사용량 예측을 적용한 스마트 미터기 구현,2019,"['smart grid', 'smart meter', 'automatic metering infrastructure', 'artificial neural network', 'gated recurrent unit', 'energy consumption prediction']",본 논문에서는 효율적 에너지 관리를 위해 인공 신경망 중 하나인 GRU 모델을 사용하여 전력사용량을 예측하고예측된 전력사용량과 실제 전력사용량의 비교를 통해 부하를 자동 제어 하는 스마트 미터기를 제안한다. 제안한 스마트미터기를 통해 GRU 모델을 학습시키기 위해 필요한 전력사용량 데이터를 수집했다. 구현된 스마트 미터기가 전력사용량 자동측정 및 실시간 관찰 기능과 전력사용량 예측을 통한 부하 제어 기능을 가지고 있음을 보여준다. 성능평가 지표중 하나인 Root Mean Squared Error (RMSE) 값에 약 20%의 마진 값을 이용하여 부하 자동 제어를 위한 기준 값으로설정했다. 부하 자동 제어 기능을 가진 스마트 미터기로 인해 에너지 관리의 효율성이 증대되는 것을 확인하였다.,"In this paper, we propose a smart meter that uses GRU model, which is one of artificial neural networks, for the efficient energy management. We collected power consumption data that train GRU model through the proposed smart meter. The implemented smart meter has automatic power measurement and real-time observation function and load control function through power consumption prediction. We determined a reference value to control the load by using Root Mean Squared Error (RMS), which is one of performance evaluation indexes, with 20% margin. We confirmed that the smart meter with automatic load control increases the efficiency of energy management."
Bidirectional GRU-CRF 기반의 한국어 개체명 인식을 위한 어휘 사전 자질 적용 네트워크 토폴로지 연구,2019,"['NER(Named Entity Recognition)', 'information extraction', 'text mining', 'NLP(Natural Language Processing)', 'deep-learning', '개체명 인식', '정보 추출', '텍스트 마이닝', '자연어 처리', '심층학습']","개체명 인식은 문헌 내에 표현된 개체명을 식별하는 과정으로, 개체명 간의 관계를 통한 정보 추출 과정에 선행되어야 하는 중요 과정이다. 최근 심층학습 기술을 개체명 인식에도 적용하는 연구가 활발히 이뤄지고 있으며, 개체명 사전 정보를 모델 외부에서 추가적으로 활용하여 개체명 인식에 대한 성능 향상이 이뤄지고 있다. 그러나 개체명 사전이라는 주요 자질 정보를 심층학습 모델 내부에 적용하는 방식에 대한 연구는 찾아보기 어렵다. 이에 본 논문은 개체명 사전 정보를 심층학습 모델에 적용하는 방법론을 총 4가지로 구성하고, 이에 따라 토폴로지를 각각 구성하고 비교분석하여 가장 적합한 개체명 사전 정보 적용 심층학습 토폴로지를 도출한다. 2016년 국어정보처리대회의 개체명 인식 코퍼스를 활용한 실험결과, 합산 적용 토폴로지가 80.22%의 F1 점수를 보이며, 가장 높은 성능을 나타내었다. 이는 개체명 사전 정보를 적용하지 않은 모델에 비해 약 1.5% 높은 성능이며, 후처리 적용 방법에 비해 0.9% 높은 성능이다.","Named entity recognition is a process that identifies named entity expressed in a document. It is an important process that must be preceded by the process of extracting information through relationships between entities. Recently, studies have been actively done to apply the deep-learning technology to named entity recognition. The performance of the named entity recognition was improved by using the lexicon information outside the model. Nevertheless, it is difficult to find a method to apply the main feature information that is known as the lexicon to the deep-learning model. In this study, we constructed four methodologies in which we can apply the lexicon information to the deep-learning model. The study also constructs the topology, and compares and analyzes each methodology to derive the best in deep-learning topology through the application of the lexicon information. Experiments using the named entity recognition corpus of the Korean Language Information Processing Conference in 2016. The lexicon information for the input sentence was configured as a binary vector and input form as input to the CRF (conditional random field) before inputting into CRF. The topology showed the highest performance with a score of 80.22% F1. This is about 1.5% higher performance than the model without the lexicon information. Moreover, it is generally 0.9% higher than the method of applying the lexicon in post-processing."
Bi-GRU 이미지 캡션의 서술 성능 향상을 위한 Par allel Injection 기법 연구,2019,"['Image Caption', 'Parallel Injection', 'Bi-GRU', 'Injection Method']",,"The injection is the input method of the image feature vector from the encoder to the decoder. Since the image feature vector contains object details such as color and texture, it is essential to generate image captions. However, the bidirectional decoder model using the existing injection method only inputs the image feature vector in the first step, so image feature vectors of the backward sequence are vanishing.This problem makes it difficult to describe the context in detail. Therefore, in this paper, we propose the parallel injection method to improve the description performance of image captions. The proposed Injection method fuses all embeddings and image vectors to preserve the context. Also, We optimize our image caption model with Bidirectional Gated Recurrent Unit (Bi-GRU) to reduce the amount of computation of the decoder. To validate the proposed model, experiments were conducted with a certified image caption dataset, demonstrating excellence in comparison with the latest models using BLEU and METEOR scores. The proposed model improved the BLEU score up to 20.2 points and the METEOR score up to 3.65 points compared to the existing caption model."
에너지 인터넷을 위한 GRU기반 전력사용량 예측,2019,"['Machine Learning', 'Deep Learning', 'RNN', 'GRU', 'Demand Forecasting']","최근 에너지 인터넷에서 지능형 원격검침 인프라를 이용하여 확보된 대량의 전력사용데이터를 기반으로 효과적인 전력수요 예측을 위해 다양한 기계학습기법에 관한 연구가 활발히 진행되고 있다. 본 연구에서는 전력량 데이터와 같은 시계열 데이터에 대해 효율적으로 패턴인식을 수행하는 인공지능 네트워크인 Gated Recurrent Unit(GRU)을 기반으로 딥 러닝 모델을제안하고, 실제 가정의 전력사용량 데이터를 토대로 예측 성능을 분석한다. 제안한 학습 모델의 예측 성능과 기존의 LongShort Term Memory (LSTM) 인공지능 네트워크 기반의 전력량 예측 성능을 비교하며, 성능평가 지표로써 Mean SquaredError (MSE), Mean Absolute Error (MAE), Forecast Skill Score, Normalized Root Mean Squared Error (RMSE),Normalized Mean Bias Error (NMBE)를 이용한다. 실험 결과에서 GRU기반의 제안한 시계열 데이터 예측 모델의 전력량 수요 예측 성능이 개선되는 것을 확인한다.","Recently, accurate prediction of power consumption based on machine learning techniques in Internet of Energy (IoE)has been actively studied using the large amount of electricity data acquired from advanced metering infrastructure(AMI). In this paper, we propose a deep learning model based on Gated Recurrent Unit (GRU) as an artificialintelligence (AI) network that can effectively perform pattern recognition of time series data such as the powerconsumption, and analyze performance of the prediction based on real household power usage data. In the performanceanalysis, performance comparison between the proposed GRU-based learning model and the conventional learning modelof Long Short Term Memory (LSTM) is described. In the simulation results, mean squared error (MSE), mean absoluteerror (MAE), forecast skill score, normalized root mean square error (RMSE), and normalized mean bias error (NMBE)are used as performance evaluation indexes, and we confirm that the performance of the prediction of the proposedGRU-based learning model is greatly improved."
머신러닝 기법을 적용한 하드웨어 데이터 프리페치 기법 구현,2019,"['hardware', 'prefetch', 'cache', 'RNN', 'GRU']",,
학술논문 PDF에 대한 딥러닝 기반의 메타데이터 추출 방법 연구,2019,"['PDF Metadata extraction', 'metadata extraction', 'information extraction', 'text mining', 'deep learning', 'PDF 메타데이터 추출', '메타데이터 추출', '정보추출', '텍스트마이닝', '딥러닝']","최근 학술문헌의 수가 빠르게 증가함에 따라, 최신 연구 동향 및 정보를 얻기 위한 학술데이터베이스 서비스의 필요성이 대두되었다. 학술데이터베이스 구축을 위한 메타데이터 추출 자동화 서비스가 연구되었으나, 대부분의 학술문헌 원문은 PDF로 구성되어 자동적인 정보 추출이 쉽지 않은 문제가 있다.이에 본 연구는 학술문헌 PDF에 대한 메타데이터 자동 추출 방법을 제안한다. 먼저 학술문헌 PDF를 XML 형식으로 변환한 이후, XML 마크업 토큰 내의 좌표, 크기, 넓이와 텍스트 자질을 추출하여 벡터 형태로 구성한다. 추출된 자질 정보를 연속적 레이블링에 특화된 딥러닝 모델인 Bidirectional GRU-CRF를 활용하여 분석하고 메타데이터를 추출한다. 본 연구에서는 국내 학술지 중 10종을 선정하여 메타데이터 추출을 위한 학습집합을 구축하고, 제안한 방법론을 활용하여 실험하였다. 9종의 메타데이터에 대한 추출 실험 결과, 88.27%의 정확도와 84.39%의 F1 성능을 얻었다.","Recently, with a rapid increase in the number of academic documents, there has arisen a need for an academic database service to obtain information about the latest research trends.Although automated metadata extraction service for academic database construction has been studied, most of the academic texts are composed of PDF, which makes it difficult to automatically extract information. In this paper, we propose an automatic metadata extraction method for PDF documents.First, after transforming the PDF into XML format, the coordinates, size, width, and text feature in the XML markup token are extracted and constructed as a vector form. Extracted feature information is analyzed using Bidirectional GRU-CRF, which is an deep learning model specialized for sequence labeling, and finally, metadata are extracted. In this study, 10 kinds of journals among various domestic journals were selected and a training set for metadata extraction was constructed and experimented using the proposed methodology. As a result of extraction experiment on 9 kinds of metadata, 88.27% accuracy and 84.39% F1 performance was obtained."
인공신경망을 적용한 악성 댓글 분류 모델들의 성능 비교,2019,"['인공신경망', '순환신경망', '악성 댓글', '분류모델 성능비교', 'Artificial Neural Network', 'Recurrent Neural Network', 'Malicious Comment', 'Comparison Performance']",,"Victims of malicious comments are increasing from the public figures including celebrities to personal social network users. Furthermore, users who only use comments can be the victim. This study used the malicious comment classification model applied with artificial neural network to compare the performance of 12 models applied 4 preprocessing methods including [noun], [noun+adjective], [noun+adjective+verb], and [all parts of speech] and 3 algorithms of RNN, LSTM, GRU. The study result would be the reference for successful introduction of AI algorithm-based text categorization service."
온라인 뉴스와 기술적 지표를 이용한 테마주 등락 예측,2019,"['테마주', '주가예측', '딥러닝', 'GRU', 'XGBoost', 'Theme Stocks', 'Stock Price Prediction', 'Deep Learning', 'GRU', 'XGBoost']","특정 주제의 뉴스에 의해 주가가 영향을 받는 기업군을 테마주라고 한다. 최근 온라인 뉴스와 기술적 지표를 활용한 주가예측이 연구되고 있지만, 투자 위험이 큰 테마주에 대한 연구는 부족하다. 본 논문에서는 감성 지표와 기술적 지표를 이용하여 테마주에 대해 주가 등락을 예측하는 모델을 제안한다. 제안한 모델은 Gated Recurrent Unit (GRU)를 사용해 뉴스로부터 감성지표를 계산하고, 감성지표와 기술적 지표를 바탕으로 eXtreme Gradient Boosting (XGBoost)을 통해 주가 등락을 예측한다. 북한 테마에 속하는 10개 기업을 이용하여 실험한 결과, 제안한 모델이 최신연구의 모델보다 평균 정확도가 최대 19.0%P 더 높았다.","Theme stocks are a group of companies whose stock prices are affected by news of a certain subject. Recently, there have been research efforts to predict stock prices using online news and technical indicators, but little attention has been paid so far to theme stocks, which have high investment risks. In this paper, we propose a model that predicts stock price fluctuations for theme stocks using a sentiment indicator and technical indicators. The proposed model calculates a sentiment indicator from news using Gated Recurrent Unit (GRU) and predicts stock price fluctuations through eXtreme Gradient Boosting (XGBoost) based on the sentiment indicator and technical indicators. The experimental results using 10 companies belonging to the North Korea theme show that the proposed model improves the average accuracy up to 19.0%P compared with the state-of-the-art model."
딥 러닝을 이용한 주택가격 예측에 관한 연구,2019,"['주택매매가격', '비선형', '예측', '딥 러닝', '순환신경망(RNN)', 'Housing Price', 'Nonlinear', 'Prediction', 'Deep Learning', 'Recurrent Neural Network']",,"The purpose of this study is to estimate housing prices using deep running. The simple RNN, LSTM, and GRU models, which are evaluated to be suitable for time series forecasting, are based on the time series data of apartment real price index, interest rate, household loan, building permit area and consumer price index. As a result of the empirical analysis, it is confirmed that the prediction power of the GRU model is superior to that of the learning data by evaluating the performance of forecasting power on apartment real price index based on the RMSE value. On the other hand, in the verification data, it is confirmed that the prediction power of the RNN model is excellent. Also, if the performance of the deep running model is evaluated with accuracy, the accuracy of the RNN model and the GRU model is the highest. As a result of this study, the government needs to build and develop a system that can predict and diagnose the housing market by using the deep learning technique that combines artificial neural network and big data to advance the housing market."
