title,date,keywords,abstract,multilingual_abstract,source_file,year
Detection of Political Manipulation through Unsupervised Learning,2019,"['Political manipulation', 'fake news', 'online communities', 'WWW', 'unsupervised learning']",,"Political campaigns circulate manipulative opinions in online communities to implant false beliefs and eventually win elections. Not only is this type of manipulation unfair, it also has long-lasting negative impacts on peoples lives. Existing tools detect political manipulation based on a supervised classifier, which is accurate when trained with large labeled data. However, preparing this data becomes an excessive burden and must be repeated often to reflect changing manipulation tactics.We propose a practical detection system that requires moderate groundwork to achieve a sufficient level of accuracy. The proposed system groups opinions with similar properties into clusters, and then labels a few opinions from each cluster to build a classifier. It also models each opinion with features deduced from raw data with no additional processing. To validate the system, we collected over a million opinions during three nation-wide campaigns in South Korea. The system reduced groundwork from 200K to nearly 200 labeling tasks, and correctly identified over 90 of manipulative opinions. The system also effectively identified transitions in manipulative tactics over time. We suggest that online communities perform periodic audits using the proposed system to highlight manipulative opinions and emerging tactics.",unsupervised_learning_2019_academic_riss.csv,2019
The Unsupervised Learning-based Language Modeling of Word Comprehension in Korean,2019,"['Unsupervised learning', 'Morfessor', 'Surprisal', 'Lexical processing', 'Word recognition', '비지도 학습', '모페써', '놀라움', '선형 혼합 회귀 모형', '단어 판독']",,"We are to build an unsupervised machine learning-based language model which can estimate the amount of information that are in need to process words consisting of subword-level morphemes and syllables. We are then to investigate whether the reading times of words reflecting their morphemic and syllabic structures are predicted by an information-theoretic measure such as surprisal. Specifically, the proposed Morfessor-based unsupervised machine learning model is first to be trained on the large dataset of sentences on Sejong Corpus and is then to be applied to estimate the information-theoretic measure on each word in the test data of Korean words. The reading times of the words in the test data are to be recruited from Korean Lexicon Project (KLP) Database. A comparison between the information-theoretic measures of the words in point and the corresponding reading times by using a linear mixed effect model reveals a reliable correlation between surprisal and reading time. We conclude that surprisal is positively related to the processing effort (i.e. reading time), confirming the surprisal hypothesis.",unsupervised_learning_2019_academic_riss.csv,2019
Unsupervised online learning of temporal information in spiking neural network using thin-film transistor-type NOR flash memory devices,2019,,,"PBrain-inspired analog neuromorphic systems based on the synaptic arrays have attracted large attention due to low-power computing. Spike-timing-dependent plasticity (STDP) algorithm is considered as one of the appropriate neuro-inspired techniques to be applied for on-chip learning. The aim of this study is to investigate the methodology of unsupervised STDP based learning in temporal encoding systems. The system-level simulation was performed based on the measurement results of thin-film transistor-type asymmetric floating-gate NOR flash memory. With proposed learning methods, 91.53 of recognition accuracy is obtained in inferencing MNIST standard dataset with 200 output neurons. Moreover, temporal encoding rules showed that the number of input pulses and the computing power can be compressed without significant loss of recognition accuracy compared to the conventional rate encoding scheme. In addition, temporal computing in a multi-layer network is suitable for learning data sequences, suggesting the possibility of applying to real-world tasks such as classifying direction of moving objects.P",unsupervised_learning_2019_academic_riss.csv,2019
Joint Geometric Unsupervised Learning and Truthful Auction for Local Energy Market,2019,,,"PDevelopment of smart grid technologies has created a promising atmosphere for smart cities and energy trading markets. Especially, traditional electricity consumers evolve into prosumers who produce as well as consume electricity in modern power electric systems. In this evolution, the electric power industry has tried to introduce the notion of Ilocal energy marketsI for prosumers. In the local energy market, prosumers purchase electricity from distributed energy generators or the other prosumers with surplus electricity via a local power exchange center. For this purpose, this paper proposes joint Igeometric clusteringI and I truthful auctionI schemes in the local energy markets. The proposed IclusteringI scheme is designed for distribution fairness of the distributed energy generator for serving prosumers, where the scheme is inspired by expectation and maximization based unsupervised learning. Moreover, this paper proposes an Iauction I mechanism for truthful electricity trading in a local energy market. In order to guarantee truthful electricity trading, the proposed auction mechanism is constructed based on the VickreyClarkeGroves auction, which was proven to guarantee truthful operations. The Hungarian method is also considered in addition to the auction. The simulation results for the auction verify that the utilities of local market energy entities are maximized when the prosumers are truthful.P",unsupervised_learning_2019_academic_riss.csv,2019
Unsupervised learning with hierarchical feature selection for DDoS mitigation within the ISP domain,2019,"['ANN', 'artificial neural network', 'cyber security', 'DDoS mitigation', 'feature selection', 'self‐organizing map', 'unsupervised learning']",,"A new Mirai variant found recently was equipped with a dynamic update ability, which increases the level of difficulty for DDoS mitigation. Continuous development of 5G technology and an increasing number of Internet of Things (IoT) devices connected to the network pose serious threats to cyber security. Therefore, researchers have tried to develop better DDoS mitigation systems. However, the majority of the existing models provide centralized solutions either by deploying the system with additional servers at the host site, on the cloud, or at third party locations, which may cause latency. Since Internet service providers (ISP) are links between the internet and users, deploying the defense system within the ISP domain is the panacea for delivering an efficient solution. To cope with the dynamic nature of the new DDoS attacks, we utilized an unsupervised artificial neural network to develop a hierarchical twolayered selforganizing map equipped with a twofold feature selection for DDoS mitigation within the ISP domain.",unsupervised_learning_2019_academic_riss.csv,2019
"MuDeepNet Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose Using Multi-view Consistency Loss",2019,"['Deep learning', 'depth consistency loss', 'depth estimation', 'optical flow', 'optical flow consistency loss', 'visual odometry (VO)']",,"We take formulate structure from motion as a learning problem, and propose an end-to-end learning framework to calculate the image depth, optical flow, and the camera motion. This framework is composed of multiple encoder-ecoder networks. The key part of the network structure is the FlowNet, which can improve the accuracy of the estimated camera ego-motion and depth. As with recent studies, we use an end-to-end learning approach with multi-view synthesis as a variety of supervision, and proposes multi-view consistency losses to constrain both depth and camera ego-motion, requiring only monocular video sequences for training. Compared to the recently popular depth-estimation-networks using a single image, our network learns to use motion parallax correction depth. Although MuDeepNet training requires the use of two adjacent frames to obtain motion parallax, it is tested by using a single image. Thus, MuDeepNet is a monocular system. The experiments on KITTI dataset show our MuDeepNet outperforms other methods.",unsupervised_learning_2019_academic_riss.csv,2019
A Novel Text Sample Selection Model for Scene Text Detection via Bootstrap Learning,2019,"['detection', 'bootstrap learning', 'image segmentation', 'text sample selection model']",,"Text detection has been a popular research topic in the field of computer vision. It is difficult for prevalent text detection algorithms to avoid the dependence on datasets. To overcome this problem, we proposed a novel unsupervised text detection algorithm inspired by bootstrap learning. Firstly, the text candidate in a novel form of superpixel is proposed to improve the text recall rate by image segmentation. Secondly, we propose a unique text sample selection model (TSSM) to extract text samples from the current image and eliminate database dependency. Specifically, to improve the precision of samples, we combine maximally stable extremal regions (MSERs) and the saliency map to generate sample reference maps with a double threshold scheme. Finally, a multiple kernel boosting method is developed to generate a strong text classifier by combining multiple single kernel SVMs based on the samples selected from TSSM. Experimental results on standard datasets demonstrate that our text detection method is robust to complex backgrounds and multilingual text and shows stable performance on different standard datasets.",unsupervised_learning_2019_academic_riss.csv,2019
LEARNING TO RECOGNIZE DRIVING PATTERNS FOR COLLECTIVELY CHARACTERIZING ELECTRIC VEHICLE DRIVING BEHAVIORS,2019,"['Electric vehicles', 'Data mining', 'Energy management', 'Battery management systems', 'Machine learning']",,"As electric vehicle (EV) emerges, it is important to understand how drivers driving behavior is influencing power consumption in an electric vehicle. Drivers personal driving behavior is usually quite distinctive and can be recognized by means of driving patterns after some driving cycles. This paper presents a method combining several machine learning approaches to characterize driving behaviors of electric vehicles. The driving patterns are modeled according to power consumption monitored by the battery management system (BMS), in aspects of individual drivers personal and EV-fleet operations. First, we apply an unsupervised clustering approach to characterize a drivers behaviors by formulating driving patterns. Subsequently, the resulting clustered datasets were used to train machine-learning based classifiers for classification of dataset of EV and EV-fleet driving patterns. The work aims to provide a robust solution to help identify the characteristics of specific types of EVs and their driver behaviors, in order to allow automakers and EV-subsystem providers to gather valuable driving information for product improvement.",unsupervised_learning_2019_academic_riss.csv,2019
"Unsupervised Outpatients Clustering A Case Study in Avissawella Base Hospital, Sri Lanka",2019,"['Clustering', 'Developing Countries', 'EMR', 'Healthcare', 'Outpatient Department', 'Unsupervised Learning']",,"Nowadays, Electronic Medical Record (EMR) has just implemented at few hospitals for Outpatient Department (OPD). OPD is the diversified data, it includes demographic and diseases of patient, so it need to be clustered in order to explore the hidden rules and the relationship of data types of patients information. In this paper, we propose a novel approach for unsupervised clustering of patients demographic and diseases in OPD. Firstly, we collect data from a hospital at OPD. Then, we preprocess and transform data by using powerful techniques such as standardization, label encoder, and categorical encoder. After obtaining transformed data, we use some strong experiments, techniques, and evaluation to select the best number of clusters and best clustering algorithm. In addition, we use some tests and measurements to analyze and evaluate cluster tendency, models, and algorithms. Finally, we obtain the results to analyze and discover new knowledge, meanings, and rules. Clusters that are found out in this research provide knowledge to medical managers and doctors. From these information, they can improve the patient management methods, patient arrangement methods, and doctors ability. In addition, it is a reference for medical data scientist to mine OPD dataset.",unsupervised_learning_2019_academic_riss.csv,2019
Application of Deep Learning System into the Development of Communication Device for Quadriplegic Patient,2019,"['Eye', 'Artificial intelligence', 'Unsupervised machine learning', 'Quadriplegia', 'Caregiver']",,"ObjectiveIn general, quadriplegic patients use their voices to call the caregiver. However, severe quadriplegic patients are in a state of tracheostomy, and cannot generate a voice. These patients require other communication tools to call caregivers. Recently, monitoring of eye status using artificial intelligence (AI) has been widely used in various fields. We made eye status monitoring system using deep learning, and developed a communication system for quadriplegic patients can call the caregiver.MethodsThe communication system consists of 3 programs. The first program was developed for automatic capturing of eye images from the face using a webcam. It continuously captured and stored 15 eye images per second. Secondly, the captured eye images were evaluated for open or closed status by deep learning, which is a type of AI. Google TensorFlow was used as a machine learning tool or library for convolutional neural network. A total of 18,000 images were used to train deep learning system. Finally, the program was developed to utter a sound when the left eye was closed for 3 seconds.ResultsThe test accuracy of eye status was 98.7. In practice, when the quadriplegic patient looked at the webcam and closed his left eye for 3 seconds, the sound for calling a caregiver was generated.ConclusionOur eye status detection software using AI is very accurate, and the calling system for the quadriplegic patient was satisfactory.",unsupervised_learning_2019_academic_riss.csv,2019
