title,date,keywords,abstract,multilingual_abstract
지역주민들의 삶의 만족에 대한 영향요인 결합조건 탐색: 의사결정 나무분석 (decision tree analysis)의 적용,2019,"['삶의 만족', '의사결정 나무분석', '결합조건', 'Residents’ Life Satisfaction', 'Decision Tree Analysis', 'Combinations of the Conditions Affecting Life Satisfaction']",,"This article aims at identifying multiple combinations of the factors affecting local residents’ satisfaction with their daily lives in their local area by using decision-tree analysis method, to examine which domain of the factors affects their life satisfaction most, and to look at the characteristics underlying the more satisfied groups and the less satisfied groups. For this purpose, this article utilizes decision tree analysis method which has seldom been used in the field of happiness studies. The conclusions of this study are summarized as follows. First, it is discovered that the total number of significant nodes explaining residents’ life satisfaction at national level is 25, and the most important factor affecting life satisfaction is population size of local government through which local residents are served. Second, it is also found that metropolitan cities, small and medium sized cities, and rural ares are classified into 16 nodes, 14 nodes and 14 nodes, respectively. This paper puts forward policy implications for central government and local government to be able to reflect the research results into their policy processes."
한국의 이념갈등과 이념분류 기준 탐색: 의사결정나무(Decision Tree Analysis) 활용 가능성,2019,"['나무의사결정모델', '정치이념', '역대대통령선호', '한국정치', '기계학습', 'political ideology', 'Korean politics', 'decision tree model', 'machine learning', 'preference for former presidents']","한국민의 정치이념은 서구 민주주의와 다르게 형성되어 왔으며 다차원적 측면이 있어 정확히 파악하는 데는 한계가 있다. 이 연구는 새로운 분석방식을 한국민의 이념 분류에 적용해보려는 기초 작업에 그 목적을 두고 있다. 한국인의 이념을 어떻게 분류하는 것이 가장 적절하며 그렇다면 어떤 요인들이 가장 중요한 것인지를 찾아보는 것에서 시작되었다. 이를 위해 의사결정나무모형을 선택하였다.2007년 대선, 2012년 대선, 2017년 대선에 대한 여론조사 자료에서 한국 정치이념을 구분할 수 있는 가장 중요한 변수가 무엇인가를 찾기 위해 나무의사결정모델을 활용하였고, 그 결과 응답자의 이념성향을 구분하는 가장 중요한 요인은 2007년의 경우 국가보안법 폐지나 개정에 관한 의견이었고, 2012년과 2017년은 역대선호대통령에 대한 선호였다. 2012년과 2017년의 분석결과에서는 과거의 이념적 핵심균열 기준이었던 안보와 대북이슈 대신 역대대통령 중 가장 선호하는 대통령에 대한 개인적 선호도가 가장 중요인 이념 분류기준이 되었다. 한국정치의 역사적 특징, 한국 정치제도, 그리고 새로운 정치환경은 인물중심적 정치를 강화하고 있는데 이를 잘 보여주고 있다고 할 수 있다. 위 조사결과의 의미는 한국민의 정치이념 즉 보수, 중도, 진보로 분류한다면 역대 대통령 선호도를 물어보면 가장 쉽게 파악할 수 있다는 의미이다. 이 연구는 보다 직관적이고 쉽게 한국민의 정치이념을 분류, 예측할 수 있는 새로운 분석방법을 적용해보고 그 결과를 제시하였다는 점에서 의미를 둘 수 있다.","The political ideology of the Korean people has been shaped differently from the Western democracy, and there are limitations in grasping it precisely because of the multidimensional aspect. The purpose of this research is to apply the new analysis method to the ideological classification of Koreans. It began by looking at how to classify Korean idealology and what factors are most important. For this purpose, decision tree model was selected. In the polls of the 2007 presidential election, the 2012 presidential election, and the 2017 presidential election, a decision tree model was used to find out the most important variables that could distinguish Korean’s political ideologies. As a result, the most important factor was the abolition or revision of the National Security Law in 2007, and the preference for the former president in 2012 and 2017.In the analysis results of 2012 and 2017, the personal preference of the most favorite president among the past presidents became the most important ideological classification standard instead of the security and the North Korea issue which were the ideological key criteria of the past. The historical features of Korean politics, Korean political system, and the new political environment are reinforcing character – person-centered politics. If the results of the above survey are classified into the political ideology of the Korean people such as conservative, moderate, and progressive, it means that it can be easily grasped by asking about people’s preferences for former president. This study can be meaningful in that it applied the new analysis method which can classify and predict Korean people’s political ideology more intuitively and easily."
Application of Decision Trees for Prediction of Sugar Content and Productivity using Soil Properties for Actinidia arguta ‘Autumn Sense’,2019,"['Actinidia arguta', 'Autumn Sense', 'Productivity', 'Soil properties', 'Sugar content']",,"Environmental conditions are important in increasing the fruit sugar content and productivity of the new cultivar Autumn Sense of Actinidia arguta. We analyzed various soil properties at experimental sites in South Korea. A Pearson’s correlation analysis was performed between the soil properties and sugar content or productivity of Autumn Sense. Further, a decision tree was used to determine the optimal soil conditions. The difference in the fruit size, sugar content, and productivity of Autumn Sense across sites was significant, confirming the effects of soil properties. The decision tree analysis showed that a soil C/N ratio of over 11.49 predicted a sugar content of more than 7°Bx at harvest time, and soil electrical capacity below 131.83 μS/cm predicted productivity more than 50 kg/vine at harvest time. Our results present the soil conditions required to increase the sugar content or productivity of Autumn Sense, a new A.arguta cultivar in South Korea."
Using a Hybrid Model of DEA and Decision Tree Algorithm C5.0 to Evaluate the Efficiency of Ports,2019,"['인공지능', 'DEA', 'C5.0', 'Tier Analysis', 'CCR', 'AI']","비모수 생산성 분석기법인 Data Envelopment Analysis (DEA)는 여러 분야의 효율성 평가에 적용되고 있다. DEA 방법론이 다양한 분야의 문제에 대한 현실적 적용에 있어 단점이 있다. 예를 들어 DEA는 각 의사결정단위의 상대적인 효율성 평가에 적합하다. 그러나 이론적인 최대치와의 비교가 아닌 벤치마킹해야 할 참조그룹과 얼마만큼 개선해야 할지를 단지 알려 줄 뿐이다. 즉, 새로운 의사결정단위의 효율성을 측정하기 위해 우리는 과거에 사용된 의사결정단위 데이터와 함께 완전히 새로운 DEA를 적용해야만 한다. 또한 우리는 다시 DEA를 적용하지 않고서 새로운 의사결정단위의 효율성 수준을 예상할 수 없다. 우리는 이러한 DEA의 단점을 보완하기 위해 C5.0과 결합한 하이브리드 분석방법론을 제안한다. 35개의 항만의 효율성 평가를 통해 새로운 의사결정단위는 기존의 의사결정단위와 함께 다시 DEA를 실행할 필요 없이 제안한 방법론을 적용하여 어느 등급에 속하는지 예상할 수 있다.","Data Envelopment Analysis (DEA), a non-parametric productivity analysis tool, has become an accepted approach for assessing efficiency in a wide range of fields. Despite of its extensive applications, some features of DEA remain bothersome. For example DEA is good at estimating relative efficiency of a DMU(Decision Making Unit), it only tells us how well we are doing compared with our peers but not compared with a theoretical maximum. Thus, in order to measure efficiency of a new DMU, we have to develop entirely new DEA with the data of previously used DMUs. Also we cannot predict the efficiency level of the new DMU without another DEA analysis. We aim to show that DEA can be used to evaluate the efficiency of ports and suggest the methodology which overcomes the limitation of DEA through hybrid analysis utilizing DEA along with C5.0. We can generate classification rules C5.0 in order to classify any new Port without perturbing previously existing evaluation structures by proposed methodology."
Extracting Simplified Rules from Ensemble Decision Trees,2019,,,
"Landslide-susceptibility mapping in Gangwon-do, South Korea, using logistic regression and decision tree models",2019,,,
Maximum A Posteriori Estimation-based Adaptive Search Range Decision for Accelerating HEVC Motion Estimation on GPU,2019,"['adaptive search range', 'ASR', 'High Efficiency Video Coding', 'HEVC', 'GPU computung', 'motion estimation', 'ME', 'parallel reduction', 'motion vector difference', 'MVD']",,"High Efficiency Video Coding (HEVC) suffers from high computational complexity due to its quad-tree structure in motion estimation (ME). This paper exposes an adaptive search range decision algorithm for accelerating HEVC integer-pel ME on GPU which estimates the optimal search range (SR) using a MAP (Maximum A Posteriori) estimator. There are three main contributions; First, we define the motion feature as the standard deviation of motion vector difference values in a CTU. Second, a MAP estimator is proposed, which theoretically estimates the motion feature of the current CTU using the motion feature of a temporally adjacent CTU and its SR without any data dependency. Thus, the SR for the current CTU is parallelly determined. Finally, the values of the prior distribution and the likelihood for each discretized motion feature are computed in advance and stored at a look-up table to further save the computational complexity. Experimental results show in conventional HEVC test sequences that the proposed algorithm can achieves high average time reductions without any subjective quality loss as well as with little BD-bitrate increase."
Intercropping in Rubber Plantation Ontology for a Decision Support System,2019,"['ontology development', 'ontology to decision supporting system', 'intercropping ontology', 'knowledge-based decision supporting system', 'semantic web for decision supporting system']",,"Planting intercropping in rubber plantations is another alternative for generating more income for farmers. However, farmers still lack the knowledge of choosing plants. In addition, information for decision making comes from many sources and is knowledge accumulated by the expert. Therefore, this research aims to create a decision support system for growing rubber trees for individual farmers. It aims to get the highest income and the lowest cost by using semantic web technology so that farmers can access knowledge at all times and reduce the risk of growing crops, and also support the decision supporting system (DSS) to be more intelligent. The integrated intercropping ontology and rule are a part of the decision-making process for selecting plants that is suitable for individual rubber plots. A list of suitable plants is important for decision variables in the allocation of planting areas for each type of plant for multiple purposes. This article presents designing and developing the intercropping ontology for DSS which defines a class based on the principle of intercropping in rubber plantations. It is grouped according to the characteristics and condition of the area of the farmer as a concept of the rubber plantation. It consists of the age of rubber tree, spacing between rows of rubber trees, and water sources for use in agriculture and soil group, including slope, drainage, depth of soil, etc. The use of ontology for recommended plants suitable for individual farmers makes a contribution to the knowledge management field. Besides being useful in DSS by offering options with accuracy, it also reduces the complexity of the problem by reducing decision variables and condition variables in the multi-objective optimization model of DSS."
Tree-based Approach to Predict Hospital Acquired Pressure Injury,2019,"['hospital-acquired pressure injury', 'intensive care units', 'decision tree']",,"Despite technical advances in healthcare, the rates of hospital-acquired pressure injury (HAPI) are still highalthough many are potentially preventable. The purpose of this study was to determine whether tree-basedprediction modeling is suitable for assessing the risk of HAPI in ICU patients. Retrospective cohort study hasbeen carried out. A decision tree model was constructed with Age, Weight, eTube, diabetes, Braden score,Isolation, and Number of comorbid conditions as decision nodes. We used RStudio for model training and testing.Correct prediction rate of the final prediction model was 92.4 and the Area Under the ROC curve (AUC) was0.699, which means there is about 70% chance that the model is able to distinguish between HAPI and non-HAPI. The results of this study has limited generalizability as the data were from a single academic institution.Our research finding shows that the data-driven tree-based prediction modeling may potentially support ICUsensitive risk assessment for HAPI prevention."
Tree-based Approach to Predict Hospital Acquired Pressure Injury,2019,"['hospital-acquired pressure injury', 'intensive care units', 'decision tree']",,"Despite technical advances in healthcare, the rates of hospital-acquired pressure injury (HAPI) are still high although many are potentially preventable. The purpose of this study was to determine whether tree-based prediction modeling is suitable for assessing the risk of HAPI in ICU patients. Retrospective cohort study has been carried out. A decision tree model was constructed with Age, Weight, eTube, diabetes, Braden score, Isolation, and Number of comorbid conditions as decision nodes. We used RStudio for model training and testing. Correct prediction rate of the final prediction model was 92.4 and the Area Under the ROC curve (AUC) was 0.699, which means there is about 70% chance that the model is able to distinguish between HAPI and non-HAPI. The results of this study has limited generalizability as the data were from a single academic institution. Our research finding shows that the data-driven tree-based prediction modeling may potentially support ICU sensitive risk assessment for HAPI prevention."
