title,date,keywords,abstract,multilingual_abstract
머신러닝을 통한 가계의 재무스트레스 영향요인 예측 및 분석: XGBoost의 활용,2019,"['재무스트레스', '머신러닝', 'XGBoost', '객관적 재무상태', '주관적 인식', '재무행동', '가계재무복지', 'financial stress', 'machine learning', 'financial status', 'subjective perception', 'financial behavior', 'household well-being']",,"In this study, we explored how various factors influenced financial stress. Also, to suggest ways to improve the economic well-being of households we identified influence of the factors. For this purpose, 2,006 data were collected through online surveys. The analysis method was used XGBoost which is one of the algorithms using machine learning and multiple regression analysis. After analyzing the important predictors of financial stress through XGBoost, multiple regression analysis of financial stress was conducted to confirm the specific influence of variables. The results of the study are as follows. First, The level of financial stress that consumers perceive as subjective is about 2.3 points on average for 4 points. Therefore, it is necessary to constantly try to manage the consumer's financial stress at an appropriate level. Second, As a result of analyzing XGBoost to determine whether the consumer's financial stress level belongs to the high and low groups based on the average, it is confirmed that the variable indicating the objective financial state of the consumer and the variable indicating the subjective perception are all influenced. On the other hand, factors related to long - term savings and investment, long - term risk management insurance, and future prospects for the household economy are less important. Third, The effect of the major factors revealed that the subjective perception of consumers has a great influence on the financial stress level. Especially, we can confirm that the factors related to the emergency fund based on the short-term plan are influential. Households’ monthly income, savings and investment, and debt payment were more influential on financial stress level than stock such as household total assets. Based on the above results, it is necessary to support effective policy and consumer education so that consumers can manage financial stress level well."
XGBoost 기법을 이용한 단기 전력 수요 예측 및 하이퍼파라미터 변화에 따른 영향 분석,2019,"['Load forecasting', 'Machine Learning', 'XGBoost', 'Hyperparameter']",,"Accurate load forecasting is getting vital with social and economic development to secure electricity supply and minimize redundant electricity generation. The load forecasting is also essential for efficient power system operation. As machine learning techniques become popular due to the breakthroughs in the application of intelligent systems such as speech or image recognition, variety of machine learning algorithms have also been applied to predict electricity demand. For load forecasting, this paper employs XGBoost algorithm that has recently been receiving attention. To yield the maximum performance of the XGBoost model, we performed grid search method to find optimal hyperparameters of XGBoost. The effects of the XGBoost model’s hyperparameters on the model are assessed and visualized."
XGBoost 모형을 활용한 코스피 200 주가지수 등락 예측에 관한 연구,2019,"['기계학습', '자기회귀모형', '주가예측', 'LSTM 신경망', 'XGBoost 모델', 'Autoregressive model', 'LSTM neural network', 'machine learning', 'Stock price prediction', 'XGBoost model']","주식시장은 자본주의 경제 체제를 나타내는 대표적인 시장으로써 금융시장에서 중요한 경제적 기능을 수행한다. 또한, 주식시장은 기업뿐만 아니라 개인 투자자들에게 자본을 획득할 수 있는 유용한 수단으로 여겨지고 있다. 이러한 인식 속에서 주가의 흐름을 정확하게 예측하는 것은 현재까지도 중요한 연구 과제로 남아있다. 최근 기계학습을 활용한 주가예측에 대한 연구들이 활발하게 진행되고 있는 가운데, 본 연구에서는 다양한 분야에서 우수성을 입증하고 있는 XGBoost (extreme gradient boosting) 모델을 주가 등락 예측에 활용하고자 한다. XGBoost 모델의 유용성을 입증하기 위해 시계열 데이터 분석에 강점을 가지고 있다고 알려진 LSTM (long-short term memory) 신경망과 전통적으로 가장 널리 사용되었던 시계열 분석 기법인 자기회귀모형의 예측 결과들을 비교 및 분석하였다. 실증분석 결과 주가등락 예측에 있어서 XGBoost 모델의 유용성을 확인할 수 있다.","The stock market is a representative market representing the capitalist economic system and performs important economic functions in the financial market. The stock market also plays a role of acquiring capital for both individual and corporate investors. Accurately predicting the stock prices remains an important research task. In recent years, studies on stock price prediction using machine learning have progressed. In this study, we will use the XGBoost (extreme gradient boosting) model, which has been used in various fields recently and proved its excellence to predict stock price fluctuation. In order to demonstrate the superiority of the XGBoost model, we compared and analyzed the results of the LSTM (long-short term memory) neural network which showed good performance in the previous studies and the autoregressive model which is a conventional time series analysis technique. The empirical analysis shows that the XGBoost model is competitive in predicting stock price movements."
XGBoost 기반의 2단계 확률적 일사량 예측과 태양광 예측 알고리즘의 성능 검증,2019,"['2-Stage Forecasting', 'XGBoost (Extreme Gradient Boosting)', 'Solar Power Forecasting']",,"We propose the novel solar power forecasting algorithm by using the Extreme Gradient Boosting (XGBoost) machine based on the 2-stage forecasting structure. Our algorithm is implemented to solve three problems. First, the solar power is linearly proportional to the solar irradiation on a target solar panel, but it is hard to obtain the target solar irradiation. Therefore, in the first stage, we predict the target solar irradiation by using the XGBoost based on numerical weather prediction, which is measured on a different location but modified for the target location. Second, the forecasting errors on the predicted solar irradiation can be transferred to the second stage when the predicted solar irradiation is used to predict the solar power. We forecast the conditional error distribution of predicted irradiation by collecting forecasting errors, and we sample solar irradiation scenarios, which are converted to the solar power scenarios. Then, the final point forecast of solar power is estimated by calculating the median of scenarios so that we can improve the forecasting accuracy. Third, in this process, the quality of numerical weather prediction deteriorates as the target hour is farther. Therefore, we build forecasting models for each target hour in parallel to minimize the forecasting accuracy deterioration from the quality deterioration. Finally, we verify our proposed algorithm by participating in the solar power forecasting competition hosted by KPX."
A Recidivism Prediction Model Based on XGBoost Considering Asymmetric Error Costs,2019,"['재범 예측', '비대칭 오류비용', '임계치 최적화', '데이터 마이닝', 'XGBoost', 'Recidivism Prediction', 'Asymmetric Error Cost', 'Threshold Optimization', 'Data Mining', 'XGBoost']",,"Recidivism prediction has been a subject of constant research by experts since the early 1970s. But it has become more important as committed crimes by recidivist steadily increase. Especially, in the 1990s, after the US and Canada adopted the 'Recidivism Risk Assessment Report' as a decisive criterion during trial and parole screening, research on recidivism prediction became more active. And in the same period, empirical studies on 'Recidivism Factors' were started even at Korea. Even though most recidivism prediction studies have so far focused on factors of recidivism or the accuracy of recidivism prediction, it is important to minimize the prediction misclassification cost, because recidivism prediction has an asymmetric error cost structure.In general, the cost of misrecognizing people who do not cause recidivism to cause recidivism is lower than the cost of incorrectly classifying people who would cause recidivism. Because the former increases only the additional monitoring costs, while the latter increases the amount of social, and economic costs. Therefore, in this paper, we propose an XGBoost(eXtream Gradient Boosting; XGB) based recidivism prediction model considering asymmetric error cost.In the first step of the model, XGB, being recognized as high performance ensemble method in the field of data mining, was applied. And the results of XGB were compared with various prediction models such as LOGIT(logistic regression analysis), DT(decision trees), ANN(artificial neural networks), and SVM(support vector machines). In the next step, the threshold is optimized to minimize the total misclassification cost, which is the weighted average of FNE(False Negative Error) and FPE(False Positive Error). To verify the usefulness of the model, the model was applied to a real recidivism prediction dataset. As a result, it was confirmed that the XGB model not only showed better prediction accuracy than other prediction models but also reduced the cost of misclassification most effectively."
Data-Driven Materials Modeling with XGBoost Algorithm and Statistical Inference Analysis for Prediction of Fatigue Strength of Steels,2019,['Fatigue strength\xa0Machine learning\xa0Data mining\xa0Materials informatics\xa0Materials database\xa0Data-driven model'],,"With the rapid development of the industry, the demand for new materials is increasing. However, new material development is time-consuming and costly. In this study, we proposed a workflow that uses data to create a materials model that accurately reflects the properties of materials. Six different numerical models for predicting the fatigue strength of steels were constructed with an empirical dataset extracted from a certified database (NIMS MatNavi material database). Because it is very difficult to understand the structure and patterns of large amounts of datasets and develop good predictive models at once, we have sought reliable models through statistical inference analysis, which has not been done in previous studies. We also chose the highest performance model with the accuracy (R2 = 0.9850) by applying the latest XGBoost algorithm. Through further study, we believe that this workflow can be used to develop predictive models on various properties of materials."
악성코드 패밀리 분류를 위한 API 특징 기반 앙상블 모델 학습,2019,"['Malware Detection', 'Malware Classification', 'Feature Selection', 'Tree-based Ensemble']","본 논문에서는 악성코드 패밀리 분류를 위한 훈련 데이터의 특징을 제안하고, 앙상블 모델을 이용한 다중 분류 성능을 분석한다. 악성코드 실행 파일로부터 API와 DLL 데이터를 추출하여 훈련 데이터를 구성하며, 의사 결정 트리기반 Random Forest와 XGBoost 알고리즘으로 모델을 학습한다. 악성코드에서 빈번히 사용되는 API와 DLL 정보를 분석하며, 고차원의 훈련 데이터 특징을 저차원의 특징 표현으로 변환시켜, 악성코드 탐지와 패밀리 분류를 위한API, API-DLL, DLL-CM 특징을 제안한다. 제안된 특징 선택 방법은 데이터 차원 축소와 빠른 학습의 장점을 제공한다. 성능 비교에서 악성코드 탐지율은 Random Forest가 93.0%, 악성코드 패밀리 분류 정확도는 XGBoost가92.0%, 그리고 정상코드를 포함하는 테스트 오탐률은 Random Forest와 XGBoost가 3.5%이다.","This paper proposes the training features for malware family analysis and analyzes the multi-classification performance ofensemble models. We construct training data by extracting API and DLL information from malware executables and useRandom Forest and XGBoost algorithms which are based on decision tree. API, API-DLL, and DLL-CM features formalware detection and family classification are proposed by analyzing frequently used API and DLL information frommalware and converting high-dimensional features to low-dimensional features. The proposed feature selection methodprovides the advantages of data dimension reduction and fast learning. In performance comparison, the malware detectionrate is 93.0% for Random Forest, the accuracy of malware family dataset is 92.0% for XGBoost, and the false positive rateof malware family dataset including benign is about 3.5% for Random Forest and XGBoost."
수문학적 활용을 위한 머신러닝 기반의 강우보정기술 개발,2019,"['Heavy rainfall', 'Machine learning', 'Rainfall correction', 'LightGBM', 'XGBoost']",,"For the purposes of enhancing usability of Numerical Weather Prediction (NWP), the quantitative precipitation prediction scheme by machine learning has been proposed. In this study, heavy rainfall was corrected for by utilizing rainfall predictors from LENS and Radar from 2017 to 2018, as well as machine learning tools LightGBM and XGBoost. The results were analyzed using Mean Absolute Error (MAE), Normalized Peak Error (NPE), and Peak Timing Error (PTE) for rainfall corrected through machine learning. Machine learning results (i.e. using LightGBM and XGBoost) showed improvements in the overall correction of rainfall and maximum rainfall compared to LENS. For example, the MAE of case 5 was found to be 24.252 using LENS, 11.564 using LightGBM, and 11.693 using XGBoost, showing excellent error improvement in machine learning results. This rainfall correction technique can provide hydrologically meaningful rainfall information such as predictions of flooding. Future research on the interpretation of various hydrologic processes using machine learning is necessary."
학습분석 기반 대학 신입생 대상 학습부진 위험학생 조기예측 모델 개발 및 군집별 특성 분석,2019,"['learning analytics', 'underachivement', 'predictictive modeling', 'freshmen', 'machine learning', '학습분석', '학습부진', '예측 모형', '신입생', '기계학습']","대학 첫 학기의 성적이 향후 학업성취와 지속에 영향을 미치며, 특히, 학령인구의 지속적 감소와 신입생들의 학업역량 약화를 고려할 때 신입생 대상의 학습 성과 예측을 통한 선제적 대응은 매우 중요하다. 이에 본 연구는 학습분석을 기반으로 2016년~2018학년도까지 A대학의 3개년 동안의 신입생 4,662명의 데이터를 수집·분석하여 학습부진 가능성이 있는 학생을 조기에 예측할 수 있는 예측모형을 개발하고, 위험 학생으로 예측된 학생들의 특성을 분석하여 중재 프로그램 설계를 위한 시사점을 도출하고자 하였다. 기계학습분석기법인 XGBoost를 활용한 최적모형 예측 결과 예측 모형의 재현도는 62.3%, 정밀도는 29.56%, F점수는 0.4, ROC곡선의 AUC는 0.733 으로 데이터가 제한적인 신입생 대상임을 고려할 때 의미 있는 모형이라고 할 수 있다. 예측을 위한 주요 변수로는 노력조절, 학생부사회/과학등급평균, 수능언어백분위, 수능수리백분위, 입시 서류전형 점수, 성별, 학교를 그만둘 의향, 지난해 한주동안 게임시간, 수능탐구백분위, 학생부등급평균 등인 것으로 나타났다. 또한, K-means 군집 분석을 통해 학습부진 학생들을 특징에 따라 6개 그룹으로 군집화하였으며, 군집을 구분하는 주요 변수들은 ‘학교만족도’와 ‘자기조절학습’과 관련된 변수들이었다. 이러한 연구결과를 바탕으로 예측 결과를 활용한 중재활동 시 고려사항과, 예측 정확도 및 중재 효과성 향상을 위한 고려 사항을 교육현장에서의 실천과 후속연구를 위하여 제언하였다.","It is highly important to make proactive interventions for students at-risk through early prediction by considering how the first semester GPA would effect the student’s overall academic success to higher education. In this research, we have collected, analyzed a data set of 4,662 freshmen students in “A” university from 2016 to 2018, and developed a machine learning prediction model to find students who are more likely to get bad grades at the end of first semester. Finally, we also drew implications to design intervention programs by analyzing characteristics of at-risk students. The performance of the prediction model using XGboost had a recall (62.3%), precision (29.56%), F-score (0.4), and AUC (0.733). This performance of the model can be acceptable in a situation where data on freshmen is insufficient. The most important predictor variables in this model were self-regulatory capabilities, the high-school GPA in social sciences, Korean language & mathematics scores in College Scholastic Ability Test, etc. Students at risk are clustered into six groups by K-means clustering analysis according to their level of satisfaction in college and self-regulated learning. From the research results, we suggested what should be considered to take intervention for practice in higher education and how to collect and analyze data to improve model performance for future work in this area of research."
서울시 공공자전거 운행 거리 예측을 위한 머신 러닝 모델의 비교 연구,2019,"['Linear regression', 'XGboost', 'Random forest', 'Embedding', 'Haversine distance']",,"Cities in many countries offer public bicycle sharing services to help solve the health and traffic jams of citizens and to solve environmental problems caused by automobiles. Using the machine learning models, the public bike service in Seoul have been analyzed. To service the bike sharing efficiently, the prediction of trip distance or trip duration will be needed. The prediction of trip distances and durations has important roles to help the proper operations and improvement of the bike rental services. The trip distances are deeply related to the trip durations, and could be calculated accurately when including the positions of pickup and return places, environment information such as temperature, humidity, fine dust density, et., al. To build models, linear regression, Random Forest, XGBoost and deep learning techniques have been used. Random Forest and XGboost provides important features among features. Especially, XGBoost being interested in many data manipulating and anlysing areas shows improved accuracy and can utilized the GPU to boost speed. To apply the deep learning in analysis of structured data(tabula data), embedding of categorical features will be done and the remaining continuous features and embedded features put into the fully connected neural nets. The deep learning neural net model shows the best accuracy and then XGBoost model, Random Forest models followed."
