title,date,keywords,abstract,multilingual_abstract
Visual Surveillance using Background Model Image Generated by GAN,2020,"['Visual surveillance', 'Deep learning', 'GAN', 'BGS', 'Segmentation']",국문 초록 정보 없음,"Visual surveillance requires robust foreground and background separation capabilities in various environments. Although various traditional algorithms based on background subtraction methods have been proposed, problems such as hard shadows, camouflage, and ghost effects remain. Recently, deep learning-based foreground detection methods have been proposed. Deep learning-based methods outperform traditional algorithms in various unmanned surveillance datasets. However, even deep learning-based methods show insufficient generalization ability in certain datasets. For data that have not been trained, a number of errors are detected. Even among deep learning-based methods, there are methods that show higher generalization ability by using a background image. In this paper, we propose a method of using GAN to generate background images."
생성적 적대 신경망(GAN)을 이용한 딥러닝 음악 장르 분류 시스템 모델 개선,2020,[],국문 초록 정보 없음,"Music markets have entered the era of streaming. In order to select and propose music that suits the taste of music consumers, there is an active demand and research on an automatic music genre classification system. We propose a method to improve the accuracy of genre unclassified songs, which was a lack of the previous system, by using a generative adversarial network (GAN) to further develop the automatic voting system for deep learning music genre using Softmax proposed in the previous paper. In the previous study, if the spectrogram of the song was ambiguous to grasp the genre of the song, it was forced to leave it as an unclassified song. In this paper, we proposed a system that increases the accuracy of genre classification of unclassified songs by converting the spectrogram of unclassified songs into an easy-to-read spectrogram using GAN. And the result of the experiment was able to derive an excellent result compared to the existing method."
GAN 모델을 활용한 항공우주분야 감시정찰 강화에 대한 고찰,2020,"['GAN(적대적 생성 신경망)', 'Unblinking Eye', 'Discriminator(감식자)', 'Generator(생성자)', '균형이론', 'Micro satellite (초소형위성)']",국문 초록 정보 없음,다국어 초록 정보 없음
Conditional GAN 모델을 이용한 한국어 립싱크,2020,[],국문 초록 정보 없음,다국어 초록 정보 없음
GAN기반 안저사진 생성모델을 위한 자동 조정체계에 관한 연구,2020,[],국문 초록 정보 없음,다국어 초록 정보 없음
140 W급 전력 증폭 소자의 병렬 확장형 GaN HEMT 대신호 모델,2020,"['GaN HEMT', 'Large-Signal Model', 'AMCAD FET Model', 'Power Amplifier', 'Load-Pull Measurement']","본 논문에서는 140 W급 전력 증폭 소자에 대한 병렬 확장형 GaN HEMT 대신호 모델을 제시하였다. 80-핑거 GaN HEMT 소자에 대한 모델은 8개의 단위 소자 모델이 병렬 확장형으로 연결된 구조이며, 단위 소자의 대신호 모델은 AMCAD FET 모델을 기반으로 제작되었다. 단위 소자는 10-핑거 GaN HEMT 소자와 게이트, 드레인 패드로 구성되어 있다. AMCAD사의 IVCAD 프로그램과 Keysight사의 PNA-X 네트워크 분석기를 이용하여 단위 소자의 GaN HEMT 대신호 모델 파라미터를 추출하였다. 단위 소자의 대신호 모델은 10-핑거 소자를 온-웨이퍼 로드-풀 측정을 수행하여 검증하였으며, 대면적 소자의 대신호 모델은 80-핑거 소자를 패키징한 다음 로드-풀 측정을 수행하여 검증하였다.","In this study, a scalable GaN HEMT large-signal model for 140-W power devices is presented. The large-signal model of an 80-finger GaN HEMT includes eight unit device models in parallel, and the large-signal model of the unit device is based on the AMCAD–FET model. The unit device includes a 10-finger GaN HEMT, a gate pad, and a drain pad. Parameters for the unit GaN HEMT model were extracted using an IVCAD program of AMCAD and a Keysight PNA-X network analyzer. The unit GaN HEMT model was verified through on-wafer load-pull measurements, and the large-signal GaN HEMT model of the large-sized 80-finger device was verified through load-pull measurements of the packaged device."
열 분산 효과를 이용한 GaN 대면적 FET 모델 정확도 향상,2020,[],국문 초록 정보 없음,다국어 초록 정보 없음
GAN 기반 이미지 생성 모델 분석,2020,[],국문 초록 정보 없음,다국어 초록 정보 없음
충실도 높은 기침 소리 생성을 위한 개선된 GAN,2020,"['Generative Adversarial Network', 'generative model', 'sound data', 'cough sound', 'high-fidelity', '생성적 적대 신경망', '생성 모델', '소리 데이터', '기침 소리', '높은 충실도']","GAN(Generative Adversarial Network)은 컴퓨터 비전 분야에서 큰 인기를 얻었고, 이미지 생성 작업에널리 사용되고 있다. 그리고 최근, GAN 연구자들은 GAN을 사용하여 소리 데이터를 생성하기 시작했다. 파형은 이미지와 다르게 이산 값으로 구성된 신호이므로, 이미지 학습에 주로 사용하는 CNN(Convolutional Neural Network)을 활용하여 파형을 학습하기 어렵다. 이를 극복하기 위하여, GAN 연구자들은 기존 이미지생성 GAN을 재사용하여 파형 대신 시간-주파수 표현을 학습하는 접근을 제안했다. 이러한 접근을 따라서, 본 논문은 생성된 파형의 충실도(fidelity)를 개선하기 위한 개선된 소리 생성 GAN을 제안한다. 개선된 GAN 은 HPSS(Harmonic Percussive Source Separation)를 사용해 시간에 따른 스펙트럼의 특징을 추출하고, 점진적으로 성장하는 네트워크를 통해 생성되는 파형의 품질을 개선하는 특징이 있다. 본 논문에서는 공개된 기침데이터세트를 사용해 제안한 GAN을 학습시키고, 충실도와 다양성(diversity) 측면에서 성능을 평가한다.","Generative Adversarial Networks (GANs) have gained tremendous popularity in computer vision, and have been widely used for image generation tasks. Recently, GAN researchers have started generating sound data by using GANs. Unlike images, a waveform is a sampled signal consisting of discrete samples, so it is not easy to learn the waveform by utilizing Convolutional Neural Network (CNN), which is mainly trained on natural images. To overcome this difficulty, GAN researchers proposed an approach employing time-frequency representations instead of time-series waveforms to reuse existing image-generating GANs. Following this approach, we propose an improved sound-generating GAN to improve the fidelity of generated waveforms. We designed a network that first uses Harmonic Percussive Source Separation (HPSS) to extract spectral features over time and then improves the quality of generated waveforms by applying progressively-growing networks. In this paper, we train our GAN on a public cough dataset and evaluate the performances in terms of the fidelity and diversity of generated waveforms."
수치 데이터 세트에서 Tomek Links 방법과 Balancing GAN을 결합한 불균형 데이터 문제 개선 기술,2020,"['imbalanced data', 'balancing GAN', 'Tomek Links method', 'tabular dataset', 'numerical dataset', '불균형 데이터', 'Balancing GAN', 'Tomek Links 방법', '표 데이터 세트', '수치 데이터 세트']","머신러닝은 데이터 분류, 음성인식, 예측 모델 등 다양한 응용 분야에서 좋은 성능으로 유용하게 이용되고 있다. 하지만 학습 데이터 세트의 클래스 간 불균형으로 인해 소수 클래스에 대한 모델의 성능이 저하되는 문제가 있다. 본 논문에서는 불균형 데이터 문제를 해결하고 명확한 결정 경계를 찾기 위해 Balancing GAN과 Tomek Links 방법을 결합한 새로운 데이터 증폭 방법을 제안한다. 그리고 제안된 방법을 검증하기 위해 5개의 데이터 세트를 사용하여 분류 모델에 따른 제안 방법의 성능을 평가하고, 데이터 샘플링과 GAN 기반의 데이터 증폭 기법들과의 성능을 비교하였다. 그 결과 총 25개의 성능 평가 중 17개에서 분류 성능이 0.05～0.195 만큼 개선되거나 유지되는 것을 확인하였다. 본 논문에서 제안하는 방법은 불균형 데이터 문제를 해결할 수 있는 새로운 방법으로써의 가능성을 보여주었다.","Machine Learning is useful due to its good performance and application in various fields such as data classification, voice recognition and predictive models. However, there exists a problem regarding the imbalance between classes in the training dataset, which degrades the classification performance of the minority class. In this paper, we propose a new data augmentation method that combines the Balancing GAN and Tomek Links Method to solve the Imbalanced Data problem and find a clear decision boundary. To verity the proposed method, we have evaluated the performance according to the classification model using five datasets. Moreover, the performance has been compared with Data Sampling and GAN based Data Augmentation Techniques. The results showed that the classification performance was improved or maintained by 0.05～0.195 in 17 of the total 25 performance evaluations. The method proposed in this paper showed the potential as a new method to solve the Imbalanced Data problem."
GAN 기반 고해상도 의료 영상 생성을 위한 연구,2020,[],"의료 데이터를 이용하여 인공지능 기계학습 연구를 수행할 때 자주 마주하는 문제는 데이터 불균형, 데이터 부족 등이며 특히 정제된 충분한 데이터를 구하기 힘들다는 것이 큰 문제이다. 본 연구에서는 이를 해결하기 위해 GAN(Generative Adversarial Network) 기반 고해상도 의료 영상을 생성하는 프레임워크를 개발하고자 한다. 각 해상도 마다 Scale 의 Gradient 를 동시에 학습하여 빠르게 고해상도 이미지를 생성 해낼 수 있도록 했다. 고해상도 이미지를 생성하는 Neural Network 를 고안하였으며, PGGAN, Style-GAN 과의 성능 비교를 통해 제안된 모델이 양질의 고해상도 의료영상 이미지를 더 빠르게 생성할 수 있음을 확인하였다. 이를 통해 인공지능 기계학습 연구에 있어서 의료 영상의 데이터 부족, 데이터 불균형 문제를 해결할 수 있는 Data augmentation 이나, Anomaly detection 등의 연구에 적용할 수 있다.",다국어 초록 정보 없음
다중 스케일 영상을 이용한 GAN 기반 영상 간 변환 기법,2020,"['GAN', '딥러닝', 'GcGAN', '영상 간 변환', '다중 스케일', 'GAN', 'deep learning', 'GcGAN', 'image-to-image translation', 'multi-scale']","GcGAN은 기하학적 일관성을 유지하며 영상 간 스타일을 변환하는 딥러닝 모델이다. 그러나 GcGAN은 회전이나 반전(flip) 등의 한정적인 기하 변환으로 영상의 형태를 보존하기 때문에 영상의 세밀한 형태 정보를 제대로 유지하지 못하는 단점을 가지고 있다. 그래서 본 연구에서는 이런 단점을 개선한 새로운 영상 간 변환 기법인MSGcGAN(Multi-Scale GcGAN)을 제안한다. MSGcGAN은 GcGAN을 확장한 모델로서, 다중 스케일의 영상을 동시에 학습하여 스케일 불변 특징을 추출함으로써, 영상의 의미적 왜곡을 줄이고 세밀한 정보를 유지하는 방향으로 영상 간 스타일 변환을 수행한다. 실험 결과에 의하면 MSGcGAN은 GcGAN보다 정량적 정성적 측면에서 모두 우수하였고, 영상의 전체적인 형태 정보를 잘 유지하면서 스타일을 자연스럽게 변환함을 확인할 수 있었다.","GcGAN is a deep learning model to translate styles between images under geometric consistency constraint. However, GcGAN has a disadvantage that it does not properly maintain detailed content of an image, since it preserves the content of the image through limited geometric transformation such as rotation or flip.Therefore, in this study, we propose a new image-to-image translation method, MSGcGAN(Multi-Scale GcGAN), which improves this disadvantage. MSGcGAN, an extended model of GcGAN, performs style translation between images in a direction to reduce semantic distortion of images and maintain detailed content by learning multi-scale images simultaneously and extracting scale-invariant features. The experimental results showed that MSGcGAN was better than GcGAN in both quantitative and qualitative aspects, and it translated the style more naturally while maintaining the overall content of the image."
Fast Super-Resolution GAN 기반 자동차 번호판 검출 및 인식 성능 고도화 기법,2020,"['객체 검출', '고해상도', '적대적 생성망', '번호판 검출', '번호판 인식', 'Object Detection', 'Super-Resolution', 'Generative Adversarial Network', 'License Plate Detection', 'License Plate Recognition']","자동차 번호판 인식 기술은 도로의 교통상황 통제, 과속차량 단속, 도주 차량의 추적 등 현대 교통 시설 및 교통 안전망을 책임지고 있는 핵심 기술 중 하나이다. 이 기법은 과거에도 연구되었던 분야였으나 최근 딥러닝 기술의 발전으로 다양한 기법들을 적용하여 향상된 성능을 보이는 분야이며, 크게 자동차 번호판 검출과 번호판 인식으로 나뉜다. 본 연구에서는 다양한 객체 검출 모델과 WPOD-Net(Warped Planar Object Detection Network) 모델을 활용하여 자동차 번호판 검출 성능을 향상시키기 위한 실험을 진행하였으며, 객체 검출 모델을 활용하여 번호판을 검출하는 기존 방식들 대신 차량을 검출한 다음 번호판을 검출하는 방식을 택하여 정확도를 높였다. 특히 Super-Resolution 기법 중 하나인 Fast-SRGAN 모델을 활용하여 이미지 내에 존재하는 노이즈를 제거하는 처리를 통해 최종 성능을 향상시켰다. 결과적으로 92.38%에서 96.72%로 선행 연구 대비 평균 4.34% 향상된 성능이 실험을 통해 확인되었다.","Vehicle License Plate Recognition is one of the approaches for transportation and traffic safety networks, such as traffic control, speed limit enforcement and runaway vehicle tracking. Although it has been studied for decades, it is attracting more and more attention due to the recent development of deep learning and improved performance. Also, it is largely divided into license plate detection and recognition. In this study, experiments were conducted to improve license plate detection performance by utilizing various object detection methods and WPOD-Net(Warped Planar Object Detection Network) model. The accuracy was improved by selecting the method of detecting the vehicle(s) and then detecting the license plate(s) instead of the conventional method of detecting the license plate using the object detection model. In particular, the final performance was improved through the process of removing noise existing in the image by using the Fast-SRGAN model, one of the Super-Resolution methods. As a result, this experiment showed the performance has improved an average of 4.34% from 92.38% to 96.72% compared to previous studies."
