title,date,keywords,abstract,multilingual_abstract
RNN-LSTM 알고리즘을 이용한 온천천의 DO농도 예측,2020,"['RNN', 'RNN-LSTM', 'DO', '자정작용', '딥러닝']","각 지자체의 경제적 여유가 생기면서 도시하천환경에 대한 관심이 높아지고 이에 따라 각 지자체에서는 훼손된 도시하천을 복원하고자 많은 시도들을 하고 있는데, 도시하천의 복원사업에 있어 가장 중요한 도시하천의 수질오염 문제에 따른 경제적이며 합리적으로 복원을 위해서는 자정작용을 최대한 활용하는 것이 중요하다. 자정작용을 활용하기 위해서는 수질자료를 바탕으로 적절한 대응책을 마련해야 하는데, 하수처리장, 하수관로, 가축분뇨 공공처리시설 등에 많은 시설 투자가 이루어지고 있는 반면, 상대적으로 모니터링 자료의 축척과 수질 예측에 대한 연구는 아직 부족한 것이 현실이다.본 연구의 목적은 부산지역의 도시하천 온천천의 딥러닝 알고리즘 LSTM을 이용한 하천수질 인자 예측을 목적으로 하고 있으며, 수질예측을 위해 딥러닝 오픈소스 라이브러리인 텐서플로우를 활용하여 LSTM 모형을 구축하였다. 본 연구에서는 순환신경망 알고리즘을 활용하여 일 단위의 DO(Dissolved oxygen) 농도 예측을 시도하였다. 순환신경망은 인공신경망의 발전된 형태인 시계열 학습에 강한 LSTM 알고리즘을 활용한 일 단위 DO농도 예측을 하고자 하였다. 연구에 앞서 시간 단위로 쌓여있는 데이터를 평균 내어 일 단위로 변경하였고 이 데이터를 가지고 일 단위 하천수질 인자예측을 진행하였다. LSTM 알고리즘을 활용하여 분석 시 은닉층의 개수, 반복시행횟수, sequence length 등의 값을 조절하여 DO농도 예측을 하였다. 모형의 검증을 위해 (r square)와 RMSE(root mean square error)을 이용하여 통계분석을 실시하였다.",다국어 초록 정보 없음
RNN-GAN을 이용한 코드 기반의 단계적 트로트 음악 생성 기법,2020,"['음악 생성', '코드 기반 생성', '적대적 생성 신경망', 'Bidirectional Long Short-Term Memory(BLSTM)', 'Music generation', 'Chord-based generation', 'Generative Adversarial Network (GAN)', 'Bidirectional Long Short-Term Memory (BLSTM)']","본 논문은 순환 신경망(Recurrent Neural Network, RNN)으로 구성된 적대적 생성 신경망(Generative Adversarial Network, GAN) 모델을 사용하여 자동으로 트로트 음악을 생성하는 음악생성 기법을 제안한다. 제안된방법은 음악의 뼈대를 담당하는 코드를 만들고, 만들어진 코드 열을 기반으로 멜로디와 베이스(bass)를 단계적으로생성한 뒤, 해당 코드에 붙임으로써 구조화된 음악을 완성하는 방법을 사용한다. 또한 인트로나 벌스, 코러스 등과 같이일정 구간으로 나뉘어 구조가 반복되는 트로트 가요의 특징을 적용하여 벌스의 코드 진행으로부터 새로운 코러스 코드진행을 만들어내고, 다시 해당 코드로부터 멜로디와 베이스를 단계적으로 생성하여 초기에 만들어진 트로트의 길이를확장한다. 주관적 평가와 객관적 평가방법을 사용하여 생성된 음악의 품질을 측정하였으며, 기존의 트로트가 갖고 있는 음악적 특성과 유사한 음악을 생성함으로 확인하였다.","This paper proposes a music generation technique that automatically generates trot music using a Generative Adversarial Network (GAN) model composed of a Recurrent Neural Network (RNN). The proposed method uses a method of creating a chord as a skeleton of the music, creating a melody and bass in stages based on the chord progression made, and attaching it to the corresponding chord to complete the structured piece. Also, a new chorus chord progression is created from the verse chord progression by applying the characteristics of a trot song that repeats the structure divided into an individual section, such as intro, verse, and chorus. And it extends the length of the created trot. The quality of the generated music was specified using subjective evaluation and objective evaluation methods. It was confirmed that the generated music has similar characteristics to the existing trot."
RNN 모델을 이용한 스마트 중간층 면진시스템의 제어성능 평가,2020,"['Smart Mid-Story Isolation System', 'Recurrent Neural Network Model', 'Fuzzy Logic Controller', 'Seismic Response Reduction', 'Soft-Computing']",본 논문에서는 RNN 순환 신경망 (Recurrent Neural Network) 모델을 사용하여 스마트 중간층 면진 시스템의 지진 응답 제어 성능을 수치 해석을 통하여 검토하였다. 이를 위해서 지진 하중을 받는 건물의 동적 지진 응답 예측을 위한 RNN 모델을 개발하였다. 보다 실제적인 연구를 위하여 중간층 면진 시스템이 설치된 실존하는 건물인 시오도메 스미토모 건물을 예제 구조물로 선택하였다. 스마트 중간층 면진 시스템은 기존의 납 댐퍼를 대신하여 MR (Magnetorheological) 댐퍼를 사용하여 구성하였다. 그 외 고무 베어링이나 강재 댐퍼는 그대로 사용 하였다. 수치 해석을 통하여 개발된 RNN 모델이 기존의 FEM (Finite Element Method) 모델과 비교해서 매우 정확한 응답을 예측하는 것을 확인할 수 있었다. RNN 모델을 사용하면 자유도가 많은 FEM 모델을 사용한 경우에 비하여 해석 시간을 대폭 줄일 수 있다. 개발된 RNN 모델을 사용한 수치 해석 결과 스마트 중간층 면진 시스템이 기존의 수동 중간층 면진 시스템에 비하여 구조물의 지진 응답을 대폭 저감시킬 수 있는 것을 확인할 수 있었다.,"The seismic response reduction capacity of a smart mid-story isolation system was investigated using the RNN model in this study. For this purpose, an RNN model was developed to make a dynamic response prediction of building structures subjected to seismic loads. An existing tall building with a mid-story isolation system was selected as an example structure for realistic research. A smart mid-story isolation system was comprised of an MR damper instead of existing lead dampers. The RNN model predicted the seismic responses accurately compared to those of the FEM model. The simulation time of the RNN model can be reduced significantly compared to the FEM model. After the numerical simulations, the smart mid-story isolation system could effectively reduce the seismic responses of the existing building compared to the conventional mid-story isolation system."
LSTM/RNN을 사용한 감정인식을 위한 스택 오토 인코더로 EEG 차원 감소,2020,"['뇌파', '스택 오토 인코더', 'LSTM/RNN', '특징 차원 감소', 'Electroencephalogram(: EEG)', 'Stack AutoEncoder(: SAE)', 'LSTM/RNN', 'Feature Dimensional Reduction']","감성 컴퓨팅은 인간의 상호 작용에서 중요한 역할을 하기 때문에 인간을 인식하는 인공 지능을 통해 감정을 이해하고 식별한다. 우울증, 자폐증, 주의력 결핍 과잉 행동 장애 및 게임 중독과 같은 정신 질환을 잘 이해함으로써 감정과 관련된 문제들을 잘 관리할 수 있을 것이다. 이러한 문제들을 해결하기 위해 감정 인식을 위한 다양한 연구가 수행되었는데 기계학습을 적용하는데 있어서는 알고리즘의 복잡성을 줄이고 정확도를 향상시키기 위한 노력이 필요하다. 본 논문에서는 이러한 노력중의 하나로 Stack AutoEncoder (SAE)를 이용하여 차원을 감소하는 방법과 Long-Short-Term-Memory/Recurrent Neural Networks (LSTM / RNN) 분류를 이용한 감성 분류에 대해 연구한 결과를 제시한다. 제안 된 방법은 모델의 복잡성을 줄이고 분류기의 성능을 크게 향상시킨 결과를 가져왔다.","Due to the important role played by emotion in human interaction, affective computing is dedicated in trying to understand and regulate emotion through human-aware artificial intelligence. By understanding, emotion mental diseases such as depression, autism, attention deficit hyperactivity disorder, and game addiction will be better managed as they are all associated with emotion. Various studies for emotion recognition have been conducted to solve these problems. In applying machine learning for the emotion recognition, the efforts to reduce the complexity of the algorithm and improve the accuracy are required. In this paper, we investigate emotion Electroencephalogram (EEG) feature reduction and classification using Stack AutoEncoder (SAE) and Long-Short-Term-Memory/Recurrent Neural Networks(LSTM/RNN) classification respectively. The proposed method reduced the complexity of the model and significantly enhance the performance of the classifiers."
"미국 금리 스프레드를 이용한 한국 금리 스프레드 예측 모델에 관한 연구 : SVR-앙상블(RNN, LSTM, GRU) 모델 기반",2020,"['Interest Rate-Spread', 'SVR-Ensemble', 'RNN', 'PCA']",국문 초록 정보 없음,"Interest rate spreads indicate the conditions of the economy and serve as an indicator of the recession. The purpose of this study is to predict Korea s interest rate spreads using US data with long-term continuity. To this end, 27 US economic data were used, and the entire data was reduced to 5 dimensions through principal component analysis to build a dataset necessary for prediction. In the prediction model of this study, three RNN models (BasicRNN, LSTM, and GRU) predict the US interest rate spread and use the predicted results in the SVR ensemble model to predict the Korean interest rate spread. The SVR ensemble model predicted Korea s interest rate spread as RMSE 0.0658, which showed more accurate predictive power than the general ensemble model predicted as RMSE 0.0905, and showed excellent performance in terms of tendency to respond to fluctuations. In addition, improved prediction performance was confirmed through period division according to policy changes. This study presented a new way to predict interest rates and yielded better results. We predict that if you use refined data that represents the global economic situation through follow-up studies, you will be able to show higher interest rate predictions and predict economic conditions in Korea as well as other countries."
순환신경망(RNN)을 활용한 개별 학생 학업성취도의 종단적 예측,2020,"['머신러닝', '딥러닝', '심층신경망', '순환신경망', '학업성취 예측', 'Artificial neural network', 'deep learning', 'machine learning', 'prediction of academic performance', 'recurrent neural network']","학생들이 학교교육을 통해 기초학력을 갖추도록 돕는 것은 공교육이 담당해야 할 중요한 책무이다. 기초학력에 도달하지 못한 상태에서 다음 학년에 진입하게 되면 기초학력 미달이 장기화할 수 있고 결과적으로 학업적 실패로 이어질 수 있기 때문이다. 따라서 학생의 미래 성취 수준을 조기에 예측하고 적시에 개입하는 것은 매우 중요하다. 이에 본 연구에서는 개별 학생의 학업성취 수준을 예측하기 위한 방법으로서, 최근 다양한 분야에서 활용되고 있는 순환신경망(RNN)을 국가수준 학업성취도평가 자료에 적용함으로써, 교육 종단 자료를 바탕으로 미래의 학업 성취를 예측할 수 있는 방안을 탐색하였다. 본 연구에서는 2011년 초등 6학년부터 2016년 고등 2학년까지 세 시점의 국가수준 학업성취도평가 자료를 사용하였으며, RNN을 적용하여 미래 시점의 기초 이하 여부를 예측한 결과를 HGLM 모형 적용 결과와 비교하였다. 두 모형은 대체로 유사한 예측 성능을 보였으며, HGLM으로는 결과 산출이 어려운 구조에서도 RNN을 적용하여 기초 이하 여부를 예측할 수 있었다. 본 연구 결과를 토대로 학업성취의 조기예측과 관련한 순환신경망의 장점과 제한점에 대해 제안하였다.","Helping students to meet the national standards of academic performance is very important in that failure to meeting the standards can have a detrimental effect on learning and can lead to long-term learning deficits. It is important to understand the state of individual student s academic achievement and identify students with potential academic failure, so that timely intervention can be made to prevent student failure. In this study, an artificial neural network (ANN) was applied to the National Assessment of Educational Achievement data to predict performance of a student in his/her 11th grade based on various information related to academic performance collected in the 6th and 9th grades. The recurrent neural network (RNN) was employed as a promising model for longitudinal prediction, and the performance of the RNN was compared with a traditional approach, the hierarchical general linear model (HGLM). The results showed that both RNN and HGLM models showed similar performances in the data collection designs to which both models can be applied. In addition, the RNN had advantages over the HGLM in that it can be also applied to situations where application of the HGLM is not feasible. Based on the results of this study, the advantages and disadvantages of the RNN in longitudinal prediction of educational data was discussed."
비관계형 데이터베이스 환경에서 CNN과 RNN을 활용한 NoSQL 삽입 공격 탐지 모델,2020,"['NoSQL injection', 'Deep Learning', 'Convolutional Neural Network(CNN)', 'Recurrent Neural Network(RNN)']","데이터 활용의 다양성이 높아짐에 따라 비관계형 데이터베이스 사용이 증가했으며, 이에 대한 NoSQL 삽입 공격또한 증가했다. 전통적으로 NoSQL 삽입 공격을 탐지하기 위해 규칙 기반 탐지 방법론이 제안돼왔으나, 이 방식은규칙의 범위를 벗어나 발생하는 삽입 공격에의 대응이 어렵다는 한계점이 있다. 이에 본 논문에서는 CNN 알고리즘을 이용해 특징을 추출하고, RNN 알고리즘을 활용해 NoSQL 삽입 공격을 탐지하는 기법을 제시한다. 또한, 실험을 통하여 본 논문에서 제시한 모델이 기존의 지도학습을 이용한 가장 우수한 모델보다 정확도는 10%, 정밀도는4%, 재현율은 14%, F2-score는 0.082만큼 더 높은 비율로 NoSQL 삽입 공격을 탐지함을 보인다.","With a variety of data types and high utilization of data, non-relational databases are a popular data storage because itsupports better availability and scalability. The increasing use of this technology also brings the risk of NoSQL injectionattacks. Existing works mostly discuss the rule-based detection of NoSQL injection attacks that it is hard to deal withNoSQL queries beyond the coverage of the rules. In this paper, we propose a model for detecting NoSQL injection attacks.Our model is based on deep learning algorithms that select features from NoSQL queries using CNN, and classify NoSQLqueries using RNN. Also, we experiment the proposed model to compare with existing models, and find that our modeloutperforms traditional models in terms of detection rate."
RNN과 강화 학습을 이용한 자동 문서 제목 생성,2020,"['Title Generation', 'Deep Learning', 'Reinforcement Learning']",국문 초록 정보 없음,"Lately, a large amount of textual data have been poured out of the Internet and the technology to refine them is needed. Most of these data are long text and often have no title. Therefore, in this paper, we propose a technique to combine the sequence-to-sequence model of RNN and the REINFORCE algorithm to generate the title of the long text automatically. In addition, the TextRank algorithm was applied to extract a summarized text to minimize information loss in order to protect the shortcomings of the sequence-to-sequence model in which an information is lost when long texts are used. Through the experiment, the techniques proposed in this study are shown to be superior to the existing ones."
RNN을 이용한 스마트 홈 환경의 난방 제어에 대한 연구,2020,"['Machine Learning', 'RNN', 'Thermostat']",국문 초록 정보 없음,다국어 초록 정보 없음
2차 통계량과 RNN을 이용한 OFDM 신호 검출,2020,"['cognitive radio', 'spectrum sensing', 'OFDM', 'CP', 'machine learning', 'RNN']",국문 초록 정보 없음,다국어 초록 정보 없음
RNN-based Body Posture Estimation Method for 3D UI in Virtual Reality,2020,"['가상현실', '포즈 추정', '상체의 위치', '상체의 방향', '상체 기반', 'virtual reality', 'upper body pose estimation', 'upper body position', 'upper body orientation', 'body-fixed']",국문 초록 정보 없음,다국어 초록 정보 없음
RNN을 이용한 단기 SMP 다단계 예측에서 학습 정도가 미치는 영향에 관한 연구,2020,[],국문 초록 정보 없음,다국어 초록 정보 없음
외란에 강인한 RNN을 이용한 전동기 고장 진단 시스템,2020,[],국문 초록 정보 없음,다국어 초록 정보 없음
Comparison of motor fault diagnosis performance using RNN and K-means for data with disturbance,2020,"['Deep Learning', 'Motor Fault Diagnosis', 'RNN', 'K-means']",국문 초록 정보 없음,"Maintenance of an industrial electric motor is very important. The most commonly used algorithm for deep learning motor diagnosis using deep learning is CNN, which is one of the representative supervised learning algorithms. However, the failure diagnosis algorithm made with the CNN algorithm is vulnerable to this data. For this reason, an algorithm that complements this has been proposed, and that is to use the RNN and K-means algorithms. The method using RNN has a cyclic neural network structure, so it can grasp the similarity of data. K-means also uses the Euclidean distance method to grasp the similarity between data and classify the data using it. Due to the characteristics of these two algorithms, even if a disturbance is an input, if the similarity of data is high, it is determined as similar data. In this paper, two algorithms were used to perform fault diagnosis and two experiments were conducted to understand the differences and characteristics of the two algorithms. As a result of experiment 1 classifying only normal failures, experiment 2 experimented by increasing the number of failures to be classified. In the case of RNN, the results of experiments 1 and 2 showed similar accuracy. However, in the case of the algorithm using K-means, the accuracy decreased as the number of classifications increased."
CRLB Analysis for a Robust TRN Based on a Combination of RNN and PF,2020,['Cramér–Rao lower bound (CRLB) · Terrain-referenced navigation (TRN) · Recurrent neural network (RNN) · Particle filter (PF) · Measurement noise covariance'],국문 초록 정보 없음,"Terrain-referenced navigation (TRN) is a technology that estimates the position of an aircraft by comparing the terrain elevation on a digital elevation model (DEM) and the altitude measured by an altimeter. The particle filter (PF)-based TRN has been widely used for unmanned aerial vehicles (UAVs) operating at a high altitude. Even though TRN performs well in rough and unique terrains, its performance degrades on flat and repetitive terrain. For this study, a robust PF-based TRN was designed, which uses a recurrent neural network (RNN)-based deep learning method to function on flat and repetitive terrains. Noise covariances and the measurement model of the PF were also trained. An RNN is an artificial neural network that recognizes patterns from a time-series. Due to the difficulty in theoretically verifying that the model generated by the deep learning method was designed optimally, we performed a Cramér–Rao lower bound (CRLB) analysis to evaluate how close the proposed method was to the optimal design. We also used a perturbation error model of an interferometric radar altimeter (IRA) as the measurement noise covariance needed for an accurate CRLB analysis."
A novel data-driven rollover risk assessment for articulated steering vehicles using RNN,2020,['· Articulated steering vehicles · Lateral stability · Data-driven · Recurrent neural network · Rollover risk'],국문 초록 정보 없음,"Articulated steering vehicles have outstanding capability operating but suffer from frequent rollover accidents due to their complicated structure. It is necessary to accurately detect their rollover risk for drivers to take action in time. Their variable structure and the variable center of mass exhibit nonlinear time-variant behavior and increase the difficulty of dynamic modelling and lateral stability description. This paper proposes a novel data-driven modelling methodology for lateral stability description of articulated steering vehicles. The running data is first collected based on the typical operations that prone to rollover and then classified into two types: Safety and danger. The data quality is further improved by wavelet transformation. Finally, an RNN model is built on the data. The experimental results show that the output of the RNN model can accurately quantify lateral stability of the vehicle, i.e., the risk of rollover, when it is turning and crossing uneven surfaces or obstacles."
