title,date,keywords,abstract,multilingual_abstract
다중 인코더 Transformer 기반 번역문 자동 사후 교정 모델의 디코더 주의 구조 연구,2020,"['machine translation', 'automatic post-editing', 'transformer', 'multi-encoder architecture', 'attention mechanism', '기계 번역', '번역문 자동 사후 교정', '트랜스포머', '다중 인코더 구조', '주의 집중 기법']","번역문 자동 사후 교정은 기계 번역 시스템의 결과물을 자동으로 교정하여 더 나은 번역문을 만들어내는 과정으로, 기계 번역 시스템 외적으로 기계 번역의 품질 향상을 수행하기 위해 제안된 연구 분야이다. 본 논문에서는 번역문 자동 사후 교정 문제에 사용되는 다중 인코더 Transformer 기반 교정 모델의 기본 구조를 살펴본 뒤, 디코더에서 인코더 출력과의 상호 의존성을 담당하는 주의 구조를 다양하게 구성하고 적용해 보았다. WMT18 사후 교정 말뭉치를 이용한 실험에서는 다중 인코더 Transformer를 이용한 모델 전부가 기계 번역 시스템의 결과물에 비해 더 나은 품질의 문장을 생성하였으며, 디코더 내에 번역문에 원문의 문맥 정보를 반영하는 구조를 적용하는 것이 사후 교정의 성능 향상에 크게 기여함을 확인할 수 있었다.","Automatic Post-Editing (APE) is a study on the correction for the output of machine translation (MT) system for the purpose of improving its translation quality independent of the MT system itself. In this paper, we examine the basic architecture of a multi-encoder transformer-based APE model, and implement several variants of the system’s encoder-decoder attention layer which takes the outputs of the multi-encoder as its inputs. In experiments with the WMT18 APE data, all variations on our model successfully improve the translation quality of the original MT outputs. In particular, we find modeling the attention to incorporate source sentence context into the translated sentence improves post-editing performance."
The Impact of Transforming Unstructured Data into Structured Data on a Churn Prediction Model for Loan Customers,2020,"['Churn Prediction Model', 'Text Mining', 'Unstructured Data', 'Voice of Customer', 'Convolutional Neural Network']",,"With various structured data, such as the company size, loan balance, and savings accounts, the voice of customer (VOC), which is text data containing contact history and counseling details was analyzed in this study. To analyze unstructured data, the term frequency-inverse document frequency (TF-IDF) analysis, semantic network analysis, sentiment analysis, and a convolutional neural network (CNN) were implemented. A performance comparison of the models revealed that the predictive model using the CNN provided the best performance with regard to predictive power, followed by the model using the TF-IDF, and then the model using semantic network analysis. In particular, a character-level CNN and a word-level CNN were developed separately, and the character-level CNN exhibited better performance, according to an analysis for the Korean language. Moreover, a systematic selection model for optimal text mining techniques was proposed, suggesting which analytical technique is appropriate for analyzing text data depending on the context. This study also provides evidence that the results of previous studies, indicating that individual customers leave when their loyalty and switching cost are low, are also applicable to corporate customers and suggests that VOC data indicating customers’ needs are very effective for predicting their behavior."
Mean-Var Investment Portfolio Optimization Under Capital Asset Pricing Model (CAPM) with Nerlove Transformation: An Empirical Study Using Time Series Approach,2020,"['ARMA-GARCH Models', 'CAPM Regression', 'Nerlove Transformation', 'Investment Portfolio', 'Mean-VaR Model', '.']",,"This paper discusses the problems of Mean-VaR investment portfolio optimization under the Capital Asset Pricing Model with Nerlove transformation by using a time series approach. It assumed that the market return follows the pattern of the time series, whereas stocks return analyzed following the pattern of capital asset pricing models with Nerlove transformation. So that the mean of the market return can be estimated by using the model of Autoregressive Moving Average (ARMA), while volatility can be estimated using a model of Generalized Autoregressive Conditional Heteroscedasticity (GARCH). As a risk-free asset here used the interest rate of Indonesia Bank (BI rate), together with the market return is used to estimate the CAPM regression equation for each stock analyzed. Based on the estimator of the CAPM regression equation is used to estimate the mean and variance of the return value of each stock. Estimator mean and the variance value of each stock, as well as the estimator value of the covariance between the stocks, will be used for investment portfolio optimization process. Investment portfolio optimization process is based on a model of Mean-VaR by risk tolerance factor. The goal is to determine the weight composition of the optimum of the investment portfolio. Based on the optimization process was obtained the composition weight of investment portfolio optimum. This composition weight can be taken into consideration in decision making for investors to invest in particular on the assets that were analyzed here."
Model of Consumer Behavior during the Digital Transformation of the Economy,2020,"['Digital Transformation', 'Consumer Behavior', 'Digital Consumer', 'Digital Consumption Ecosystem', 'Digital Consumption Culture', 'Digital Behavior', 'Lean Consumption']",,"This article explores the factors that influence consumer behavior under the conditions of technological changes and the accompanying social and economic externalities. The research goals were to develop a theory of consumer behavior and, based on such a theory, to consider a conceptual model of a digital consumer behavior during digital transformation. The authors systematized the theoretical approaches to understanding the models of consumer behavior and proposed to supplement the existing groups of models with incremental factors, which are caused by the impact of digitalization on society. Within this approach, network interaction algorithms can accurately predict the needs of each individual and suggest the most optimal way of meeting them. The authors developed a conceptual model of consumer behavior. In this model, on the one hand, the digital consumers are at the center of their own digital ecosystems tailored to their specific needs. On the other hand, using certain elements of the digital environment, they create digital footprints that are useful for other participants in the socioeconomic system. Considering this phenomenon allowed the authors to formulate and describe the social and economic externalities generated by the digitalization of consumption and include these in the proposed conceptual model of consumer behavior. Moreover, the authors studied the relationship between the use of digital technology and the socioeconomic development of countries. These countries were divided into clusters with different relationships between particular social parameters and varying levels of digital consumption. Having examined the dynamics of consumer price indices for certain groups of goods in the Russian Federation, the authors propose the hypothesis about the specifics of the digital consumption culture, which reduce both the transactional and direct costs for the consumer."
A Study on the Effect of Transformation Leadership on the Job Performance of Employees by AMO Model,2020,"['변혁형 리더십', '내재적 동기', '자기 효능', '팀 분위기', '작업 성과', 'AMO 이론', 'Transformational leadership', 'Intrinsic motivation', 'Self-efficacy', 'Team atmosphere', 'Job performance', 'AMO theory']",,"This paper analyzed leadership behavior and employee performance through empirical analysis method based on AMO theory. In this study, the ability of the leader (A), task motivation (M), and opportunity (O) were chosen as factors to analyze the relationship between transformative leadership and job performance of the subordinate staff, and the self-efficiency (O) and intrinsic motivation (M) were selected at the individual level and team atmosphere (O) at the organizational level to build a research model. 507 valid data were obtained from the survey and statistical analysis was conducted using SPSS23. Studies have shown that transformative leaders have a significant impact on employee performance. This study provides research results of empirical theory to understand the behavior of the leader in the performance of the employees and also suggests implications for the management of the company's human resources."
Signal Transformed Internal Model Control for Non-raster Scanning of Piezo-actuated Nanopositioning Stages,2020,"['Internal model control', 'nanopositioning stage', 'non-raster scanning', 'signal transformed method.']",,"This paper proposes a new signal transformed internal model control (STIMC) scheme for non-raster scanning patterns of piezo-actuated nanopositioning stages. To smooth the scanning signals superimposed with a ramp or time-varying amplitudes, a signal transformation operator is calculated to convert the references into standard harmonic waveforms. An inverse transformation operator is then added in the control loop to generate the driving signals. For the contained internal model control (IMC) design, an H∞ mixed-sensitivity method is utilized for the first order internal mode synthesis. A second and a third internal modes are included in the IMC for alleviating residual high-frequency errors resulted from the nonlinearity of hysteresis. To verify the proposed STIMC scheme, comparative experiments with conventional IMC are conducted based on a nanopositioning platform. Results prove that the STIMC is effective on non-raster signals’ tracking. A same tracking precision for Lissajous scanning can be obtained by STIMC compared with IMC. An improvement of larger than 50% and 80% of root-mean-square errors can be obtained for cycloid and spiral scanning patterns, respectively."
The optimal model of reperfusion injury in vitro using H9c2 transformed cardiac myoblasts,2020,"['Ferroptosis', 'Ischemia', 'Lactic acidosis', 'Myocardial infarction', 'Reperfusion injury']",,"An in vitro model for ischemia/reperfusion injury has not been well-established. We hypothesized that this failure may be caused by serum deprivation, the use of glutamine-containing media, and absence of acidosis. Cell viability of H9c2 cells was significantly decreased by serum deprivation. In this condition, reperfusion damage was not observed even after simulating severe ischemia. However, when cells were cultured under 10% dialyzed FBS, cell viability was less affected compared to cells cultured under serum deprivation and reperfusion damage was observed after hypoxia for 24 h. Reperfusion damage after glucose or glutamine deprivation under hypoxia was not significantly different from that after hypoxia only. However, with both glucose and glutamine deprivation, reperfusion damage was significantly increased. After hypoxia with lactic acidosis, reperfusion damage was comparable with that after hypoxia with glucose and glutamine deprivation. Although highpassage H9c2 cells were more resistant to reperfusion damage than low-passage cells, reperfusion damage was observed especially after hypoxia and acidosis with glucose and glutamine deprivation. Cell death induced by reperfusion after hypoxia with acidosis was not prevented by apoptosis, autophagy, or necroptosis inhibitors, but significantly decreased by ferrostatin-1, a ferroptosis inhibitor, and deferoxamine, an iron chelator. These data suggested that in our SIR model, cell death due to reperfusion injury is likely to occur via ferroptosis, which is related with ischemia/reperfusion- induced cell death in vivo. In conclusion, we established an optimal reperfusion injury model, in which ferroptotic cell death occurred by hypoxia and acidosis with or without glucose/glutamine deprivation under 10% dialyzed FBS."
Land Use Feature Extraction and Sprawl Development Prediction from Quickbird Satellite Imagery Using Dempster-Shafer and Land Transformation Model,2020,"['Urban growth prediction', 'remote sensing', 'land transformation model', 'object-based image analysis', 'Dempster-Shafer']",,"Accurate knowledge of land use/land cover (LULC) features and their relative changes over upon the time are essential for sustainable urban management. Urban sprawl growth has been always also a worldwide concern that needs to carefully monitor particularly in a developing country where unplanned building constriction has been expanding at a high rate. Recently, remotely sensed imageries with a very high spatial/spectral resolution and state of the art machine learning approaches sent the urban classification and growth monitoring to a higher level. In this research, we classified the Quickbird satellite imagery by object-based image analysis of Dempster- Shafer (OBIA-DS) for the years of 2002 and 2015 at Karbala-Iraq. The real LULC changes including, residential sprawl expansion, amongst these years, were identified via change detection procedure. In accordance with extracted features of LULC and detected trend of urban pattern, the future LULC dynamic was simulated by using land transformation model (LTM) in geospatial information system (GIS) platform. Both classification and prediction stages were successfully validated using ground control points (GCPs) through accuracy assessment metric of Kappa coefficient that indicated 0.87 and 0.91 for 2002 and 2015 classification as well as 0.79 for prediction part. Detail results revealed a substantial growth in building over fifteen years that mostly replaced by agriculture and orchard field. The prediction scenario of LULC sprawl development for 2030 revealed a substantial decline in green and agriculture land as well as an extensive increment in build-up area especially at the countryside of the city without following the residential pattern standard. The proposed method helps urban decision-makers to identify the detail temporal-spatial growth pattern of highly populated cities like Karbala. Additionally, the results of this study can be considered as a probable future map in order to design enough future social services and amenities for the local inhabitants."
Land Use Feature Extraction and Sprawl Development Prediction from Quickbird Satellite Imagery Using Dempster-Shafer and Land Transformation Model,2020,"['Urban growth prediction', 'remote sensing', 'land transformation model', 'object-based image analysis', 'Dempster-Shafer']",,"Accurate knowledge of land use/land cover (LULC) features and their relative changes over upon the time are essential for sustainable urban management. Urban sprawl growth has been always also a worldwide concern that needs to carefully monitor particularly in a developing country where unplanned building constriction has been expanding at a high rate. Recently, remotely sensed imageries with a very high spatial/spectral resolution and state of the art machine learning approaches sent the urban classification and growth monitoring to a higher level. In this research, we classified the Quickbird satellite imagery by object-based image analysis of Dempster-Shafer (OBIA-DS) for the years of 2002 and 2015 at Karbala-Iraq. The real LULC changes including, residential sprawl expansion, amongst these years, were identified via change detection procedure. In accordance with extracted features of LULC and detected trend of urban pattern, the future LULC dynamic was simulated by using land transformation model (LTM) in geospatial information system (GIS) platform. Both classification and prediction stages were successfully validated using ground control points (GCPs) through accuracy assessment metric of Kappa coefficient that indicated 0.87 and 0.91 for 2002 and 2015 classification as well as 0.79 for prediction part. Detail results revealed a substantial growth in building over fifteen years that mostly replaced by agriculture and orchard field. The prediction scenario of LULC sprawl development for 2030 revealed a substantial decline in green and agriculture land as well as an extensive increment in build-up area especially at the countryside of the city without following the residential pattern standard. The proposed method helps urban decision-makers to identify the detail temporal-spatial growth pattern of highly populated cities like Karbala. Additionally, the results of this study can be considered as a probable future map in order to design enough future social services and amenities for the local inhabitants."
사전학습 언어모델 기반 트랜스포머를 활용한 의미유사도기반 자연어이해 의도파악 방법,2020,"['심층신경망', '자연어이해', '의도분석', '의도파악', '의미유사도', '트랜스포머', 'deep neural network', 'natural language understanding', 'intention analysis', 'semantic similarity', 'transformer']","자연어이해는 로봇, 메신저, 자연어 인터페이스 등에 활용되는 근간 기술 중 하나이다. 본 연구에서는 자연어이해 문제 중 문장의 의도를 파악하는 의도파악기술에 있어, 전통적인 분류기술을 활용하는 것이 아닌, 문장의 의미를 벡터 형태로 가공할 수 있는 문장 및 의미틀 읽기장치를 학습시키고, 훈련문장과 질의문장의 벡터 공간상의 의미거리를 측정하여, 가장 가까운 훈련문장의 의도를 질의문장의 의도로 부착하는 방법을 제안한다. 이를 위해, 사전학습 언어모델 기반 트랜스포머를 활용하여 기호 형태의 문장 및 의미틀을 벡터 형태로 변환하는 방법을 소개한다. 한국어 기반 날씨 및 내비게이션 영역의 말뭉치와 영어 기반 항공교통 예약 영역, 음성 언어 이해 시스템 영역의 자연어 말뭉치등을 활용한 다양한 실험을 통하여 제안한 방법이 성공적으로 의미벡터를 배움을 보이고, 기존 의도파악 기술 대비 높은 성능을 가짐을 보인다.","Natural language understanding (NLU) is a central technique applied to developing robot, smart messenger, and natural interface. In this study, we propose a novel similarity-based intent analysis method instead of the typical classification methods for intent analysis problems in the NLU.To accomplish this, the neural network-based text and semantic frame readers are introduced to learn semantic vectors using pairwise text-semantic frame instances. The text to vector and the semantic frame to vector projection methods using the pre-trained transformer are proposed. Then, we propose a method of attaching the intention tag of the nearest training sentence to the query sentence by measuring the semantic vector distances in the vector space. Four experiments on the natural language learning suggest that the proposed method demonstrates superior performance compared to the existing intention analysis techniques. These four experiments use natural language corpora in Korean and English. The two experiments in Korean are weather and navigation language corpora, and the two English-based experiments involve air travel information systems and voice platform language corpora."
