title,date,keywords,abstract,multilingual_abstract,source_file
행정-정책 의사결정에서 머신러닝(machine learning) 방법론 도입의 정책적 함의: 기계의 한계와 증거기반 의사결정(evidence-based decision-making),2020,"['machine learning', 'evidence-based decision-making', 'rational model of decision-making', '머신러닝', '증거기반 의사결정', '합리적 의사결정']","머신러닝과 딥러닝 등 인공지능 기술의 급속한 발전은 행정-정책 분야에도 영향을 확대하고 있다. 이 연구는 전통적 행정-정책 의사결정 모형인 합리적 모형의 이론적 이상과 현실적 한계에 대한 검토를 바탕으로 최근 연구가 활발히 진행중인 머신러닝 기반 의사결정 사례를 행정-정책 의사결정 관점에서 분석함으로써 인공지능 기술의 행정-정책 분야 도입이 가져올 변화를 논의하고 다음과 같은 두 가지 함의를 도출하였다. 첫째, 분석 대상과 목표가 사전에 잘 수립된 구조화된 문제(structured problems)에서는 기계가 인간의 의사결정에 비해 훨씬 나은 성과를 보이는 것으로 나타나 합리적 의사결정의 구현 가능성이 높아지고 있다. 둘째, 미래를 위한 전략적 의사결정이나 지금까지 경험하지 못한 새로운 환경 변화에 대한 대처 등 기계가 학습할 데이터가 부족하거나 목표가 모호한 비구조화된 문제(unstructured problems)의 경우 인간의 메타(meta) 의사결정이 여전히 중요하다. 따라서 머신러닝 등 인공지능 기술을 행정-정책분야에 성공적으로 도입하려면 다음과 같은 세 가지 사항을 고려해야 한다. 첫째, 해당 분야가 머신러닝으로 구현해도 될 구조화된 문제 영역인지 혹은 인간의 판단이 필수적인 메타(meta) 의사결정 영역인지에 대한 구분이 선행해야 한다. 둘째, 구조화된 문제 영역으로 판단될 경우에도 어떠한 행정-정책 기준(예: 책임성, 효과성, 효율성)으로 알고리즘을 구현할 것인지에 대한 인간의 메타 의사결정이 필요하다. 셋째, 메타 의사결정의 질을 향상하기 위해 의사결정자는 일화적 경험(anecdotal experience)에 의존하는 대신 체계적(systematic)인 의사결정을 내릴 수 있도록 증거기반 의사결정(evidence-based decision-making)을 이해하고 실천해야 한다.","The present study explores the policy implications of the introduction of machine learning into public administration. We first briefly overview the theoretical implications and practical limitations of a rational decision-making perspective, focusing on its unrealistic assumptions. We then discuss the capability of machine learning–based decision-making that may overcome the limitations of human decision-making by reviewing recent research comparing the decision performance of machine learning algorithms with human decisions in the context of crowdlending. Our findings demonstrate that machine learning algorithms may outperform human decisions in structured problems, whereas human decisions are critical in unstructured problems such as meta-decisions(e.g., what to decide and how to decide). We draw three policy implications for the introduction of machine learning into public administration. First, public administrators and policymakers should determine the nature of the decision task; i.e., whether it is a structured problem or an unstructured problem that may require meta-decisions. Second, meta-decisions regarding the decision criteria (e.g., accountability, effectiveness) are required for machine learning algorithms aiming to resolve structured problems. Third, public administrators and policymakers should develop the ability and skills to implement evidence-based decision-making in order to make a high-quality meta-decision for unstructured problems.",machine_learning_2020_academic_riss.csv
"Artificial intelligence, machine learning, and deep learning in women’s health nursing",2020,"['Artificial intelligence', 'Big data', 'Computer neural networks', 'Deep learning', 'Nursing']",,"Artificial intelligence (AI), which includes machine learning and deep learning has been introduced to nursing care in recent years. The present study reviews the following topics: the concepts of AI, machine learning, and deep learning; examples of AI-based nursing research; the necessity of education on AI in nursing schools; and the areas of nursing care where AI is useful. AI refers to an intelligent system consisting not of a human, but a machine. Machine learning refers to computers’ ability to learn without being explicitly programmed. Deep learning is a subset of machine learning that uses artificial neural networks consisting of multiple hidden layers. It is suggested that the educational curriculum should include big data, the concept of AI, algorithms and models of machine learning, the model of deep learning, and coding practice. The standard curriculum should be organized by the nursing society. An example of an area of nursing care where AI is useful is prenatal nursing interventions based on pregnant women’s nursing records and AI-based prediction of the risk of delivery according to pregnant women’s age. Nurses should be able to cope with the rapidly developing environment of nursing care influenced by AI and should understand how to apply AI in their field. It is time for Korean nurses to take steps to become familiar with AI in their research, education, and practice.",machine_learning_2020_academic_riss.csv
Machine Learning기법을 이용한 Robot 이상 예지 보전,2020,"['Machine Learning', 'MT(Mahalanobis Taguchi)', 'MD(Mahalanobis Distance)', 'Predictive Maintenance']",,"In this paper, a predictive maintenance of the robot trouble using the machine learning method, so called MT(Mahalanobis Taguchi), was studied. Especially, 'MD(Mahalanobis Distance)' was used to compare the robot arm motion difference between before the maintenance(bearing change) and after the maintenance. 6-axies vibration sensor was used to detect the vibration sensing during the motion of the robot arm. The results of the comparison, MD value of the arm motions of the after the maintenance(bearing change) was much lower and stable compared to MD value of the arm motions of the before the maintenance. MD value well distinguished the fine difference of the arm vibration of the robot. The superior performance of the MT method applied to the prediction of the robot trouble was verified by this experiments.",machine_learning_2020_academic_riss.csv
A Nature-inspired Multiple Kernel Extreme Learning Machine Model for Intrusion Detection,2020,"['Meta-heuristics', 'Kernel extreme learning machine', 'Multiple kernel learning', 'Intrusion detection']",,"The application of machine learning (ML) in intrusion detection has attracted much attention with the rapid growth of information security threat. As an efficient multi-label classifier, kernel extreme learning machine (KELM) has been gradually used in intrusion detection system. However, the performance of KELM heavily relies on the kernel selection. In this paper, a novel multiple kernel extreme learning machine (MKELM) model combining the ReliefF with nature-inspired methods is proposed for intrusion detection. The MKELM is designed to estimate whether the attack is carried out and the ReliefF is used as a preprocessor of MKELM to select appropriate features. In addition, the nature-inspired methods whose fitness functions are defined based on the kernel alignment are employed to build the optimal composite kernel in the MKELM. The KDD99, NSL and Kyoto datasets are used to evaluate the performance of the model. The experimental results indicate that the optimal composite kernel function can be determined by using any heuristic optimization method, including PSO, GA, GWO, BA and DE. Since the filter-based feature selection method is combined with the multiple kernel learning approach independent of the classifier, the proposed model can have a good performance while saving a lot of training time.",machine_learning_2020_academic_riss.csv
Enhancing the Reliability of Wi-Fi Network Using Evil Twin AP Detection Method Based on Machine Learning,2020,"['Access Point', 'Classification Algorithm', 'Clock Skew', 'Evil Twin AP', 'Rogue AP', 'Wireless Network']",,"Wireless networks have become integral to society as they provide mobility and scalability advantages. However, their disadvantage is that they cannot control the media, which makes them vulnerable to various types of attacks. One example of such attacks is the evil twin access point (AP) attack, in which an authorized AP is impersonated by mimicking its service set identifier (SSID) and media access control (MAC) address. Evil twin APs are a major source of deception in wireless networks, facilitating message forgery and eavesdropping. Hence, it is necessary to detect them rapidly. To this end, numerous methods using clock skew have been proposed for evil twin AP detection. However, clock skew is difficult to calculate precisely because wireless networks are vulnerable to noise. This paper proposes an evil twin AP detection method that uses a multiple-feature-based machine learning classification algorithm. The features used in the proposed method are clock skew, channel, received signal strength, and duration. The results of experiments conducted indicate that the proposed method has an evil twin AP detection accuracy of 100% using the random forest algorithm.",machine_learning_2020_academic_riss.csv
The Prototype Development Applied as a Conceptual Design of an Automated Machine Learning System,2020,"['automated machine learning', 'AutoML', '인공지능', '머신러닝', '프로토타입', 'artificial intelligence', 'machine learning', 'prototype']","이 논문에서는 오픈소스기반의 자동화된 머신러닝시스템의 개념을 제안한다. 최근에 글로벌 소프트웨어 기업들이 쉽게 실행할 수 있는 자동화 머신러닝시스템을 개발하여 개발비용을 절감시키고 있다. 그러나 완전 자동화 머신러닝시스템은 아직 개발되지 않았다. 그리고 현존하는 자동화 머신러닝시스템은 반자동시스템으로 특정분야에 한정되어 적용되고 있다. 그러므로, 이 연구에서는 변수선택, 분석모델선택과 하이퍼파라미터튜닝의 전체 과정을 자동화시킬 수 있는 개념적 디자인이 적용된 프로토타입을 제안하고자 한다. 추가로 제안하는 프로토타입의 가능성을 가늠해 보기 위해, 실제 주식시장(KOSPI)의 종목을 선택하여 주가를 예측하는 파일럿테스트를 진행하였다. 향후에 이러한 개념은 자체적인 머신러닝시스템을 개발할 여력이 없는 중소기업에 크게 도움을 줄 것으로 기대한다. 더불어서 이 개념이 머신러닝에 대한 대중의 접근성을 향상시켜 머신러닝 대중화에 기여할 것으로 기대한다.","In this paper, we propose the concept of a fully automated machine learning system based on an open-source. In recent years, automated machine learning systems have been developed by global software companies that can easily perform machine learning analysis while reducing the cost of developing the machine learning system. However, fully automated machine learning has not been developed. Additionally, existing systems are limited to specific fields. In this paper, we proposed a prototype that can automate the whole process of variable selection, model selection, and hyperparameter tuning. Also, to check the possibility that the prototype works reliably in real-market applications, we conducted stock price prediction pilot tests using the KOSPI stocks. In the near future, the concept can be applied to a variety of applications and will be of major benefit to small and medium-sized enterprises that cannot develop their data analysis models because of high development costs. Also, it is expected that this concept will improve accessibility to machine learning technology and contribute to the popularization of machine learning.",machine_learning_2020_academic_riss.csv
Novel Method of Classification in Knee Osteoarthritis: Machine Learning Application Versus Logistic Regression Model,2020,"['.', 'Knee osteoarthritis', 'Gait analysis', 'Knee joint', 'Severity', 'Machine learning']",,"Objective To present new classification methods of knee osteoarthritis (KOA) using machine learning and compare its performance with conventional statistical methods as classification techniques using machine learning have recently been developed.Methods A total of 84 KOA patients and 97 normal participants were recruited. KOA patients were clustered into three groups according to the Kellgren-Lawrence (K-L) grading system. All subjects completed gait trials under the same experimental conditions. Machine learning-based classification using the support vector machine (SVM) classifier was performed to classify KOA patients and the severity of KOA. Logistic regression analysis was also performed to compare the results in classifying KOA patients with machine learning method.Results In the classification between KOA patients and normal subjects, the accuracy of classification was higher in machine learning method than in logistic regression analysis. In the classification of KOA severity, accuracy was enhanced through the feature selection process in the machine learning method. The most significant gait feature for classification was flexion and extension of the knee in the swing phase in the machine learning method.Conclusion The machine learning method is thought to be a new approach to complement conventional logistic regression analysis in the classification of KOA patients. It can be clinically used for diagnosis and gait correction of KOA patients.",machine_learning_2020_academic_riss.csv
"Artificial intelligence, machine learning, and deep learning in women's health nursing",2020,"['Artificial intelligence', 'Big data', 'Computer neural networks', 'Deep learning', 'Nursing']",,"Artificial intelligence (AI), which includes machine learning and deep learning has been introduced to nursing care in recent years. The present study reviews the following topics: the concepts of AI, machine learning, and deep learning; examples of AI-based nursing research; the necessity of education on AI in nursing schools; and the areas of nursing care where AI is useful. AI refers to an intelligent system consisting not of a human, but a machine. Machine learning refers to computers' ability to learn without being explicitly programmed. Deep learning is a subset of machine learning that uses artificial neural networks consisting of multiple hidden layers. It is suggested that the educational curriculum should include big data, the concept of AI, algorithms and models of machine learning, the model of deep learning, and coding practice. The standard curriculum should be organized by the nursing society. An example of an area of nursing care where AI is useful is prenatal nursing interventions based on pregnant women's nursing records and AI-based prediction of the risk of delivery according to pregnant women's age. Nurses should be able to cope with the rapidly developing environment of nursing care influenced by AI and should understand how to apply AI in their field. It is time for Korean nurses to take steps to become familiar with AI in their research, education, and practice.",machine_learning_2020_academic_riss.csv
Underwater Acoustic Research Trends with Machine Learning: General Background,2020,"['Underwater acoustics', 'Sonar system', 'Machine learning', 'Deep learning', 'Signal processing', 'Probabilistic model']",,"Underwater acoustics that is the study of the phenomenon of underwater wave propagation and its interaction with boundaries, has mainly been applied to the fields of underwater communication, target detection, marine resources, marine environment, and underwater sound sources. Based on the scientific and engineering understanding of acoustic signals/data, recent studies combining traditional and data-driven machine learning methods have shown continuous progress. Machine learning, represented by deep learning, has shown unprecedented success in a variety of fields, owing to big data, graphical processor unit computing, and advances in algorithms. Although machine learning has not yet been implemented in every single field of underwater acoustics, it will be used more actively in the future in line with the ongoing development and overwhelming achievements of this method. To understand the research trends of machine learning applications in underwater acoustics, the general theoretical background of several related machine learning techniques is introduced in this paper.",machine_learning_2020_academic_riss.csv
Machine Learning Methodology for Management of Shipbuilding Master Data,2020,"['Big data', 'Statistical analysis', 'Machine learning', 'Shipbuilding', 'Production management', 'Master data']",,"The continuous development of information and communication technologies has resulted in an exponential increase in data. Consequently, technologies related to data analysis are growing in importance. The shipbuilding industry has high production uncertainty and variability, which has created an urgent need for data analysis techniques, such as machine learning. In particular, the industry cannot effectively respond to changes in the production-related standard time information systems, such as the basic cycle time and lead time. Improvement measures are necessary to enable the industry to respond swiftly to changes in the production environment. In this study, the lead times for fabrication, assembly of ship block, spool fabrication and painting were predicted using machine learning technology to propose a new management method for the process lead time using a master data system for the time element in the production data. Data preprocessing was performed in various ways using R and Python, which are open source programming languages, and process variables were selected considering their relationships with the lead time through correlation analysis and analysis of variables. Various machine learning, deep learning, and ensemble learning algorithms were applied to create the lead time prediction models. In addition, the applicability of the proposed machine learning methodology to standard work hour prediction was verified by evaluating the prediction models using the evaluation criteria, such as the Mean Absolute Percentage Error (MAPE) and Root Mean Squared Logarithmic Error (RMSLE).",machine_learning_2020_academic_riss.csv
