title,date,keywords,abstract,multilingual_abstract
YOLO 기반 나방 유충 탐지 모델의 연구,2021,"['Moth larvae', 'Moth larva detection', 'YOLO', 'Moth larvae control', 'YOLO model comparison.']",,"Moth pests are pests that cause a lot of damage to food crops. Moth larvae are similar in shape and shape. In addition, even moth larvae have different colors depending on the environment and consummation, so it is difficult for skilled farmers to accurately identify moth larvae. However, accurate identification of moth larvae is very important because moth larvae have different control methods. The main user of the moth larva detection model is a farmer without computer knowledge. Thus, the most important factor is not the time or accuracy to detect larvae of moths. How little false positive or false negative is a more important factor. It prevents waste of labor and financial losses of farmers who have misrepresented by error detection. This is because it can improve the credibility of smart agricultural technology. The YOLO v2, YOLO v3, and YOLO v4 models were learned as the same moth larvae image and the performance between models was compared. As a result of the experiment, the YOLO v4 model showed Precision, Recall, and F1-Score as 1.00. In addition, it was confirmed that the performance was superior to other YOLO models with 88.39% of IoU and 79.96% of mAP. False Positive or False Negative is also less than other YOLO models. It was confirmed that the YOLO v4 model was suitable as a moth larva detection model."
YOLO 기반 차선검출 시스템,2021,"['객체인식', '자율주행', 'CSI-Camera', 'YOLO', 'Object recognition', 'Autonomous driving', 'CSI-Camera', 'YOLO']",자동차는 단순한 이동 수단으로 사용되었지만 최근 지능화 및 스마트화가 급속하게 진행되고 자동차 선호도가 증가하면서 운전자의 편의 및 안전 등 고성능 기능을 요구하면서 IT 기술 융합 연구가 진행되고 있다. 이로 인해 자율주행과 반자율주행 자동차가 개발되고 이러한 기술들은 주변 환경 문제로 인하여 차선 이탈 경우와 자율주행 자동차에서 판단하지 못하는 상황이 생기고 차선 검출기에서는 차선을 인식하지 못하는 경우가 있다. 이러한 문제점인 자율주행 자동차의 차선검출 시스템의 차선 이탈에 대한 성능을 향상하기 위해 본 논문에서는 YOLO(You only look once)의 특성인 빠른 인식을 사용하고 CSI- Camera를 사용하여 주변 환경으로부터 영향을 받는 상황을 인지하고 주행 데이터 수집하여 관심 영역을 추출하는 차선검출 시스템을 제안한다.,"Automobiles have been used as simple means of transportation, but recently, as automobiles are rapidly becoming intelligent and smart, and automobile preferences are increasing, research on IT technology convergence is underway, requiring basic high-performance functions such as driver's convenience and safety. As a result, autonomous driving and semi-autonomous vehicles are developed, and these technologies sometimes deviate from lanes due to environmental problems, situations that cannot be judged by autonomous vehicles, and lane detectors may not recognize lanes. In order to improve the performance of lane departure from the lane detection system of autonomous vehicles, which is such a problem, this paper uses fast recognition, which is a characteristic of YOLO(You only look once), and is affected by the surrounding environment using CSI-Camera. We propose a lane detection system that recognizes the situation and collects driving data to extract the region of interest."
YOLO알고리즘을 활용한 시각장애인용 식사보조 시스템 개발,2021,"['컴퓨터 비전', '딥러닝', 'YOLO', '시각 장애인', '공통 영역', '안드로이드', '음성 합성 시스템', 'Computer Vision', 'Deep Learning', 'YOLO', 'Visually Impaired', 'Intersection over Union(IoU)', 'Android', 'Text-to-Speech']","시각이 온전한 사람들은 식사를 할 때 시각에 대한 의존도를 깊게 인지하지 못한다. 그러나 시각장애인은 식단에 어떤 음식이 있는지 알지 못하기 때문에 옆에 있는 보조인이 시각장애인 수저로 음식의 위치를 시계 방향 또는 전후좌우 등 일정한 방향으로 설명하여 그릇 위치를 확인한다. 본 논문에서는 시각장애인이 스마트폰의 카메라를 이용하여 자신의 식단을 비추면 각각의 음식 이미지를 인식하여 음성으로 음식의 이름을 알려 주는 식사보조 시스템의 개발 내용에 대해 기술한다. 이 시스템은 음식과 식기도구(숟가락)의 이미지를 학습한 YOLO모델을 통해 숟가락이 놓인 음식을 추출해 내고, 이 음식이 무엇인지를 인식하여 이를 음성으로 알려준다. 본 시스템을 통해 시각장애인은 식사보조인의 도움없이 식사를 할 수 있음으로써 자립의지와 만족도를 높일 수 있을 것으로 기대한다.","Normal people are not deeply aware of their dependence on sight when eating. However, since the visually impaired do not know what kind of food is on the table, the assistant next to them holds the blind spoon and explains the position of the food in a clockwise direction, front and rear, left and right, etc. In this paper, we describe the development of a meal assistance system that recognizes each food image and announces the name of the food by voice when a visually impaired person looks at their table using a smartphone camera. This system extracts the food on which the spoon is placed through the YOLO model that has learned the image of food and tableware (spoon), recognizes what the food is, and notifies it by voice. Through this system, it is expected that the visually impaired will be able to eat without the help of a meal assistant, thereby increasing their self-reliance and satisfaction."
YOLO와 OCR 알고리즘에 기반한 시각 장애우를 위한 유통기한 알림 시스템,2021,"['시각 장애우', '유통기한', '인공지능', '객체 인식', '광학 문자 인식', 'Visually Impaired Person', 'Expiration Date', 'Artificial Intelligence', 'You Only Look Once', 'Optical Character Recognition']","점자를 제외한 시각 장애우들이 유통기한을 확인할 수 있는 효과적인 방법이 거의 개발되어 있지 않으며, 이로 인하여 시각 장애우들의 식품 안전성이 위협받고 있다. 본 연구에서는 시각 장애우의 식품 안전성 확보를 위해 실시간 객체 인식 알고리즘(you only look once, YOLO) 및 광학 문자 인식 (optical character recognition, OCR)에 기반한 유통기한 알림 시스템을 개발했다. 제안하는 시스템은 총 4가지 단계로 시각 장애우에게 유통기한 정보를 전달한다: (1) 표적 제품의 바코드 스캔을 통한 제품 확인 (2) 실시간으로 입력되는 제품 영상에서 YOLO 알고리즘을 활용하여 유통기한이 표기된 이미지 영역 검출; (3) 검출된 이미지 영역에서 OCR 알고리즘을 활용하여 유통기한 문자 인식; (4) Text to Speech (TTS) 기술을 활용하여 유통기한 정보를 사용자에게 전달. 성능 평가를 위한 온라인 실험 결과, 앞이 보이지 않는 피험자가 개발한 시스템을 사용해서 제품의 유통기한을 평균 86%의 높은 정확도로 확인할 수 있음이 검증되었다. 이러한 결과는 제안하는 시스템이 저시력자를 포함한 시각 장애우들의 식품 안전성 확보에 이바지할 수 있음을 보여준다.","There are rarely effective methods to help visually impaired people when they want to know the expiration date of products excepted to only Braille. In this study, we developed an expiration date notification system based on YOLO and OCR for visually impaired people. The handicapped people can automatically know the expiration date of a specific product by using our system without the help of a caregiver, fast and accurately. The proposed system is worked by four different steps: (1) identification of a target product by scanning its barcode; (2) segmentation of an image area with the expiration date using YOLO; (3) classification of the expiration date by OCR: (4) notification of the expiration date by TTS. Our system showed an average classification accuracy of about 86.00% when blindfolded subjects used the proposed system in real-time. This result validates that the proposed system can be potentially used for visually impaired people."
아두이노와 YOLO를 이용한 졸음 방지 시스템 구현,2021,[],,"In modern society, deaths and property damage due to drowsiness occur every year enormously. Methods to reduce such damage are being studied a lot in all walks of life, and research on preventing drowsy driving is particularly active in automobiles. In this paper, as an Arduino-based water gun firing system that learns open and closed eyes using YOLO, we propose a drowsy prevention system that fires a water gun when the duration of the closed eye exceeds a certain time. This system can be applied and used in various fields, but especially when applied to a car, it is not necessary to purchase expensive specifications and if you pay a little attention, you can reduce accidents caused by drowsy driving by 100% at a very low cost. In addition, it can be said that it is an independent system that overcomes different specifications for each company."
선택적 주의집중 모델과 YOLO를 이용한 선행 차량 정지등 검출 시스템 구현,2021,[],,"A ADAS(Advanced Driver Assistance System) for the safe driving is an important area in autonumous car. Specially, a ADAS software using an image sensors attached in previous car is low in building cost, and utilizes for various purpose. A algorithm for detecting the break-lamp from the tail-lamp of preceding vehicle is proposed in this paper. This method can perceive the driving condition of preceding vehicle. Proposed method uses the YOLO techinicque that has a excellent performance in object tracing from real scene, and extracts the intensity variable region of break-lamp from HSV image of detected vehicle ROI(Region Of Interest). After detecting the candidate region of break-lamp, each isolated region is labeled. The break-lamp region is detected finally by using the proposed selective-attention model that percieves the shape-similarity of labeled candidate region. In order to evaluate the performance of the preceding vehicle break-lamp detection system implemented in this paper, we applied our system to the various driving images. As a results, implemented system showed successful results."
적외선 카메라와 YOLO를 사용한 블랙아이스 탐지 방법,2021,[],,"Black ice, which occurs mainly on the road, vehicle traffic bridges and tunnel entrances due to the sub-zero temperature due to the slip of the road due to heavy snow, is not recognized because the image of asphalt is transmitted in the driver's view, so the vehicle loses braking power because it causes serious loss of life and property. In this paper, we propose a method to identify the black ice by using infrared camera and to identify the road condition by using deep learning to compensate for the disadvantages of existing black ice detection methods (artificial satellite imaging, checking the pattern of slip by ultrasonic reception, measuring the temperature of the road surface, and checking the difference in friction force of the tire during vehicle driving) and to reduce the size of the sensor to detect black ice."
수정된 YOLO v4를 활용한 해상에서 객체 탐지 및 분류 모형 개발,2021,"['Deep learning', 'Detection of warships', 'Object detection', 'YOLO v4', 'Modified YOLO v4']","본 연구의 목적은 해상에서 군함의 영상장비로 획득한 영상에 딥러닝을 적용하여 군함을 객체로 탐지하고 분류하는 모형을 개발하는 것이다. 본 연구에서는 한반도 해상과 관련된 5개국의 군함을 대상으로 하였다. 모형의 알고리즘은 기존 YOLO v4 모형의 SPP 영역을 수정하여 구현한 것을 제안하였고, 기존 YOLO v4 모형과 본 연구에서 제안한 수정된 YOLO v4 모형을 비교하였다. 두 모형에 대한 평가는 mAP(mean Average Precision) 와 IoU(Intersection over Union)로 하였으며, 평가 결과 수정된 YOLO v4 모형이 mAP 면에서 YOLO v4 모형보다 0.28% 더 우수한 성능을 보였다. 또한, 테스트 영상을 이용한 실험에서도 영상의 크기에 관계없이 제안한 모형이 기존 모형보다 객체 분류 면에서 우수한 성능을 보였다.",
PP-YOLO를 이용한 실시간 두피 각질 검출 기법,2021,"['PP-YOLO', '두피 관리', '두피 질병', 'Real-time object detection', 'PP-YOLO', 'Haircare', 'Scalp disease']","두피 질병은 대개 각질과 통증을 유발하며, 증상을 방치하면 탈모나 모낭염으로 진행될 수 있다. 따라서, 질병의 조기 발견과 치료가 중요하지만, 정기적으로 전문 기관을 방문하는 것은 많은 시간과 비용을 초래한다. 최근, 스마트폰에 현미경 카메라를 연동한 두피 상태의 자가진단이 가능해지면서, 딥러닝 기반의 두피 질병 진단 기법이 제안되고 있다. 그러나, 이러한 기법들은 높은 연산량이 요구되어 스마트폰과 같은 제한적인 하드웨어 환경에서는 만족스러운 성능을 얻기가 어려워, 실시간 두피 상태 진단과 같은 현실적인 요구에 부합하지 못하고 있다. 이러한 문제를 해결하고자, 본 논문에서는 두피 질병에서 공통으로 발생하는 각질의 유무와 위치를 실시간으로 추출할 수 있는 기법을 제안한다. 이를 위해, 각질 검출에 PP-YOLO 모델을 사용하였으며, 기존에 제안된 연구들과 검출 정확도 및 처리 속도를 비교하였다. 실험결과, 본 논문에서 제안하는 기법은 실시간 수준의 검출 속도를 만족할 뿐만 아니라, 기존 연구보다 정확하게 두피 각질을 검출할 수 있음을 보인다.",
YOLO 기반의 광학 음악 인식 기술 및 가상현실 콘텐츠 제작 방법,2021,"['딥러닝', '가상현실', '컴퓨터 비전', 'Deep Learning', 'Virtual Reality', 'Optical Music Recognition(OMR)', 'Computer Vision']","딥러닝에 기반한 광학 음악 인식 기술(Optical Music Recognition, OMR)을 사용하여 도출된 결과를 가상현실 (Virtual Reality, VR) 게임에 적용시킨 것을 제안한다. 딥러닝 모델은 YOLO v5를 사용했으며 검출되지 않은 객체를 검출하기 위해 Hough transform 사용, 보표 크기 수정 등을 수행한다. 출력된 결과 파일을 사용하여 VR 게임에서 BPM, 최대 콤보 수, 음정과 박자를 분석하여 사용하고 리소스 관리를 위한 Object Pooling 기술을 통해 노트가 밀리는 현상을 방지한다. 광학 음악 인식 기술을 통해 나온 음악 요소로 VR 게임을 제작하여 VR 콘텐츠 제공과 함께 광학 음악 인식의 활용성을 넓히는 것을 확인하였다.","Using optical music recognition technology based on deep learning, we propose to apply the results derived to VR games. To detect the music objects in the music sheet, the deep learning model used YOLO v5, and Hough transform was employed to detect undetected objects, modifying the size of the staff. It analyzes and uses BPM, maximum number of combos, and musical notes in VR games using output result files, and prevents the backlog of notes through Object Pooling technology for resource management. In this paper, VR games can be produced with music elements derived from optical music recognition technology to expand the utilization of optical music recognition along with providing VR contents."
