title,date,keywords,abstract,multilingual_abstract
적대적 생성 신경망을 활용한 과다 노출 영상 복원 방법,2021,[],"본 논문에서는 과다 노출된 영상을 영상 간 변환(Image-to-Image Translation)을 위해 설계된 적대적 생성 신경망(Generative Adversarial Network)을 활용하여 복원하는 연구를 수행한다. 과다 노출 복원을 위한 기존의 연구에서 과다 노출 영역 판별, 밝기 회복, 색상 보정 과정을 거치는데, 영상 내 과다 노출 영역을 판별하는 과정에서 임의로 결정하는 파라미터에 의해 복원된 영상 결과가 달라지는 한계점을 극복하기 위해 종단간(End-to-End) 신경망을 학습시켜 과다 노출 영역을 별도의 파라미터 선택과 분할된 과정 없이 한 번에 복원하는 방법을 제안한다. 영상 간 변환 신경망 학습에 필요한 과다 노출 여부로 도메인이 분할된 데이터셋은 게임 소프트웨어를 활용하여 만들어 사용하였다. 본 연구에서는 신경망이 생성한 영상이 실제로 과다 노출 영역을 탐지하여 복원하는 것을 확인하였다. 그리고 과다 노출 영역을 탐지하여 복원하는 과정을 학습 단계별로 확인함으로써 신경망이 실제로 과다 노출 복원 과정을 학습함을 보였다.",다국어 초록 정보 없음
자동 채색화 과업의 성능 향상을 위한 적대적 생성 신경망의 손실함수 연구,2021,[],"자동 채색화 과업(Automatic Colorization)은 흑백 영상을 입력으로 하여 자연스러운 색상을 사용자의 개입없이 자동으로 예측하는 과업이다. 전통적인 컴퓨터 비전으로는 해결하지 못했던 자동 채색화에 대한 연구가 깊은 신경망이 발달함에 따라 활발히 이루어지고 있다. 본 논문에서는 자동 채색화의 성능 향상을 위해 적대적 생성 신경망인 pix2pix의 손실함수를 개선하는 방법을 제시한다. 제시한 방법의 성능 평가를 위해 PSNR, IQM이라는 평가 지표를 이용하여 정량적으로 평가한 결과 PSNR은 0.01%, IQM은 12% 향상된 결과를 보였다. 또한 기존 방법과 제시된 방법의 시각적 비교를 통해 정성적 평가를 수행하여 결과의 신뢰도를 높였다. 자동 채색화에 특화된 적대적 생성 신경망의 손실함수를 개선한 우리의 방법은 향후 다양한 채색화 과업 응용으로 확장될 수 있을 것으로 판단된다.",다국어 초록 정보 없음
공간 적응적 조건부 적대적 생성신경망을 활용한 단일 영상 내 반사 영역 제거기법,2021,"['조건부 적대적 생성신경망', '영상데이터 간 전환', '반사 영역 제거', '공간 적응적 비 정규화', 'Conditional generative adversarial network', 'Image-to-image translation', 'Reflection removal', 'Spatially adaptive de-normalization']",국문 초록 정보 없음,다국어 초록 정보 없음
멀티 스케일 적대적 생성 신경망을 이용한 라이다 채널 해상도 개선,2021,"['Super-Resolution(고해상화)', 'Multi-Scale(멀티 스케일)', 'GAN(적대적 생성 신경망)', 'LiDAR(라이다)', 'Panoramic Image (파노라마 이미지)']",국문 초록 정보 없음,"To perform stable autonomous driving, it is essential to understand the dynamic environment through sensors. Sensors for object detection include cameras, lidars, and radar sensors. Especially, lidars can obtain relatively accurate three-dimensional point cloud data by measuring the time reflected on objects after shooting laser pulses. In addition, as the interval between pulses increases, the detection performance of distant objects decreases, high-channel lidar is necessary to determine the shape of the distant object. However there is a problem that the more channels Lidar has, the more it costs. Therefore, research is actively underway to convert low-channel lidars into images and super-resolution them into high-channel lidars. In this paper, we present a method for converting low-channel lidar point clouds to high-channel lidar point clouds using multiscale adversarial generative neural networks (GANs). We project a 16-channel point cloud into a panoramic image, and then train the network to generate 64-channel point cloud by putting it as an input value into a neural network. The proposed algorithm has been verified using Carla simulation set."
적대적 생성 신경망을 사용한 유기 행동 검출,2021,"['Abandonment Behavior Detection', 'Ganerative Advesarial Networks', 'Anomaly Detection']",국문 초록 정보 없음,"Abandoned luggage items in public areas will be a potential threat caused by bombs or biological warfare. We present a method for real-time automatic detection of abandoned luggage in video captured by surveillance cameras. Most works for abandoned objects detection use a preliminary step to detect foreground regions or objects, and use various techniques including deep learning to distinguish between abandoned luggage items and other objects. These object detection-based methods require direct learning of characteristics of different types of objects. However, it is difficult to detect a new type of unlearned object, and there is insufficient detection of the instantaneous situation in which an object is abandoned. In order to solve these problems, we propose reconstruction-based anomaly detection to identify unusual patterns that do not conform to expected behavior such as abandoning objects. The approach is comprised of two stages - first, static object detection based on YOLOv4 and second, abandoned luggage recognition based on anomaly detection using Ganerative Advesarial Networks (GAN). We demonstrate the proposed GAN-based anomaly detection for abandonment behavior by performing experiments on Abnormal Event CCTV Video Dataset."
적대적 생성 신경망과 딥러닝을 이용한 교량 상판의 균열 감지,2021,"['딥러닝', '이미지 생성 모델', '균열 감지', '교량 점검', '콘크리트 교량', 'Deep learning', 'Image generative model', 'Crack detection', 'Bridge deck monitoring', 'Concrete bridge']",국문 초록 정보 없음,다국어 초록 정보 없음
적대적 생성 신경망기반 데이터 증강을 통한 해상객체 식별 성능향상에 대한 연구,2021,[],국문 초록 정보 없음,"With the advancement of generative adversarial networks(GAN), it has become possible to successfully create images of various classes[1]. In this situation, through various studies, methods of using the image generated by GAN as a meaningful result have been proposed. In some fields, there are cases in which the classification performance has been successfully improved by using augmented data through GAN, but research on maritime images is relatively insufficient. In this paper, we intend to show through an experiment that the performance of marine object identification can be improved by enhancing data through GAN."
다중 스케일 그라디언트 조건부 적대적 생성 신경망을 활용한 문장 기반 영상 생성 기법,2021,[],국문 초록 정보 없음,"While Generative Adversarial Networks (GANs) have seen huge success in image synthesis tasks, synthesizing high-quality images from text descriptions is a challenging problem in computer vision. This paper proposes a method named Text-to-Face Generation Using Multi-Scale Gradients for Conditional Generative Adversarial Networks (T2F-MSGGANs) that combines GANs and a natural language processing model to create human faces has features found in the input text. The proposed method addresses two problems of GANs: model collapse and training instability by investigating how gradients at multiple scales can be used to generate high-resolution images. We show that T2F-MSGGANs converge stably and generate good-quality images."
위성 이미지와 순환 적대적 생성 신경망을 활용한 소나 이미지 내 수중 물체 지역화 방법,2021,[],국문 초록 정보 없음,다국어 초록 정보 없음
시계열 데이터를 위한 적대적 생성 신경망(GAN) 이상탐지 기법에 관한 연구,2021,"['이상 탐지', '시계열 자료', 'GAN', 'CUSUM']","최근 사물인터넷(IoT)과 같은 기술의 발달로 인해 시계열 데이터 속에 존재하는 이상(Anomaly)을 자동으로 탐지하는 이상탐지(Anomaly detection)에 대한 수요가 증가하고 있다. 이에 다양한 분야에 기반을 둔 이상탐지 기법들이 제안됐다. 통계적공정관리(Statistical process control) 기법인 누적합관리도(Cumulative sum chart)가 그 대표적인 예이다. 최근에는 적대적 생성 신경망(Generative adversarial networks, GAN) 방법의 성공으로 인해 GAN을 활용한 이상탐지 기법들이 많은 주목을 받고 있다. Li et al. (2018)은 GAN 기반 이상탐지 방법이 누적합관리도보다 우수한 이상탐지 성능을 나타낸다고 주장하였다. 그러나 그들의 연구는 제안된 GAN 기반 이상탐지 방법과 누적합관리도의 공정한 비교를 위한 프레임워크가 존재하지 않는다. 이에 본 연구는 다음과 같은 연구를 수행하였다.첫째, 이상탐지 성능의 비교 프레임워크를 제시하여 GAN 기반 이상탐지 방법들과 누적합관리도의 이상탐지 성능을 비교하였다. 그 결과 누적합관리도가 GAN 기반 이상탐지 방법들의 성능보다 우수하게 나타났다. 이는 선행연구(Li et al., 2018)와는 상반된 결과로 비교 절차에 따라 이상탐지 성능이 달라질 수 있기에 더 많은 후속 연구가 더 필요함을 의미한다. 둘째, 기존 GAN 기반 이상탐지 기법들의 성능 향상을 위한 연구를 수행하였다. 그 결과 역전파(Backpropagation) 단계의 수가 이상탐지 성능에 영향을 미치는 요인임을 밝혀내었다. 역전파 단계의 수는 이상점수를 얻는 과정인 역-사상(Inverse mapping) 절차의 반복회수를 의미한다. 마지막으로 시계열 효과를 제거한 잔차(Residual)를 모니터링하면 이상탐지 성능이 향상됨을 확인하였다.",다국어 초록 정보 없음
