title,date,keywords,abstract,multilingual_abstract
PSC 박스 거더교 내부의 덕트 공동 탐지를 위한 LSTM Auto-Encoder의 활용,2022,"['PSC 박스 거더교', 'Impact-Echo 신호', 'LSTM 오토 인코더', '잠재 벡터', '이상 탐지', 'PSC box girder bridge', 'impact-echo signal', 'LSTM auto-encoder', 'latent vector', 'anomaly detection']","PSC 박스 거더교는 내부 구조물 중 덕트 내부에 강연선을 삽입 후 콘크리트를 타설하지만, 작은 내부 직경으로 인해 약간의 실수로도 공동이 발생할 수 있다. 그래서 비파괴 검사인 Impact-Echo (IE) 신호에 대해 전문가의 해석이 요구되지만, 덕트 내부의 공동을 정확히 식별하기는 어렵다. 또한, IE 신호는 측정하는 환경에 따라 신호의 패턴이 달라진다. 따라서 본 연구에서는 PSC 박스 거더교 내부 덕트의 공동 여부를 탐지하기 위해 IE 신호와 비지도 학습인 오토 인코더(Auto-Encoder)를 도입한다. 오토인코더의 구조는 시계열 데이터에 장점을 보이는 장단기 메모리(Long Short-Term Memory)를 활용한다. 우리는 정상 IE 신호를 LSTM 오토 인코더로 학습한 후 평가 데이터에 대한 인코더의 출력(잠재 벡터)을 비교하여 평가한다. 실험 결과, 공동 신호와 정상 신호의 잠재 벡터는 최대 0.0634의 유사도 차이를 보였다. 이를 통해 실제 PSC 박스 거더교 내부 덕트의 공동을 탐지하는 데에 도움을 될 것이다.","In the PSC box girder bridge, concrete is poured after inserting a tendon inside the duct, but void may occur due to the small internal diameter. Therefore, many experts interpreted the Impact-Echo (IE) signal, which is a non-destructive test, but it is difficult to accurately identify the void inside the duct. In addition, the IE signal has a different pattern depending on the measurement environment. In this study, the IE signal and Auto-Encoder are introduced to detect the void inside the duct of the PSC box girder bridge. The structure of the auto-encoder utilizes Long Short-Term Memory, which is advantageous for time series. We trained the normal IE signal by the LSTM auto-encoder and compared the encoder""s output (latent vector) for evaluation. As a result, the latent vectors of the void signal and the normal signal have a similarity difference up to 0.0634. This will help to detect voids in the duct inside the actual PSC box girder bridge."
Detecting Design Infringement Using Multi-Modal Visual Data and Auto Encoder based on Convolutional Neural Network,2022,"['합성곱 신경망', '오토인코더', '다중 양식의 시각 데이터', '유사도 측정', 'convolutional neural network', 'auto encoder', 'multi-modal visual data', 'similarity measurement']",,
영상 식별 및 항법 정확도 향상을 위한 적대적 오토인코더 기반 전처리 알고리즘,2022,"['.', 'AAE', 'preprocessing', 'image identification', 'navigation accuracy', 'loss function', 'EMD']",,.
계층적 오토인코더를 이용한 형상 기반 식물 생장 예측,2022,"['Image prediction', 'Spatial transformer network', 'Vision transformer', 'Plant growth', 'Shape domain']","환경 요인에 따라 생장률이 달라서 식물 생장 예측은 매우 어렵고 식물 공장과 같은 통제된 환경에서 효율적인 재배를 위한 필수 작업이다. 이 논문에서 현재의 영상으로부터 미래 식물 영상을 예측할 수 있는 새로운 딥러닝 네트워크를 제안한다. 특히, 식물 생장량은 일반적으로 잎 면적으로 정량화되기 때문에 식물의 잎 형상 추정에 초점을 맞추고 있다. 형상 예측 서브 네트워크에서는 먼저 계층적 오토인코더를 사용하여 미래의 식물 형상을 추정한다. 미래의 식물 형상을 추정한 뒤에 RGB 복원 네트워크가 최종 RGB 식물 영상을 출력한다. 현재의 RGB 식물 영상을 트랜스포머 인코더를 사용하여 특징맵들을 추출한 뒤에 미래의 식물 형상 영상과 융합하여 미래의 RGB 식물 영상 예측을 완료한다. 실험 결과는 제안된 네트워크가 다양한 식물의 잎 움직임과 생장에 강인하고 미래 식물 영상의 형상을 정확하게 예측할 수 있음을 보여준다.",
딥러닝을 활용한 오토인코더 기반 질병 관련 miRNA 예측 연구,2022,"['microRNA', 'deep learning', 'machine learning', 'biomarker', '.']","MicroRNA(miRNA)는 단일염기 가닥의 non coding small RNA로서, 유전자 발현 제어를 통해 인간의 다양한 질병에서 중요한 역할을 하는 조절 인자로 알려져 있다. 따라서, 질병 관련 miRNA를 추론하는 것은 인간의 복잡한 질병 메커니즘을 이해하는데 있어서 중요한 밑거름이 되고 있다. 이러한 관점에서 miRNA와 질병 간의 관계를 추론하기 위한 다양한 인공지능 기반 모델들이 제안되어왔다. 본 논문에서는 질병 관련 miRNA를 효과적으로 예측하기 위한 딥러닝 기반 모델을 제안한다. 오토인코더를 활용하여 miRNA와 질병 특징 벡터를 효과적으로 추출하였고, 이를 딥러닝 모델의 입력값으로 사용하여 질병 관련 miRNA 예측 모델을 보다 정확하게 훈련하였다. Leave-One-Out Cross-Validation(LOOCV) 검증 방법을 활용하여 모델의 예측 성능을 정확하게 평가하였으며, 결과적으로 제안하는 모델의 성능이 AUC(0.9075) 측면에서 기존 모델들보다 더 나은 성능을 도출하는 것을 확인할 수 있었다.","MicroRNA(miRNA)s are small non-coding RNAs that play significant roles in various human complex diseases. Therefore, the identification of disease-related miRNAs have become a crucial task to understand the human disease mechanisms at the molecular level. At this regard, various artificial intelligence-based models have been developed to predict the relationships between miRNAs and diseases. In this paper, we propose novel deep learning-based computational model to effectively predict the disease-related miRNAs. First, we mapped miRNA and disease feature vectors by utilizing auto-encoder. Then, we used each miRNA and disease feature vector as input for the deep learning architecture model. Finally, we performed the leave-one-out cross-validation(LOOCV) to validate the prediction performance of our model. The experimental results demonstrated that superior performance of our model by comparing the area under the receiver operating characteristic curve(AUC) scores with other three existing methods."
객체탐지와 오토인코더를 활용한 스마트 공장 이상탐지 방안 개발,2022,"['스마트 공장', '객체탐지', '오토인코더', '이상탐지', 'Smart Factory', 'Object Detection', 'Auto-encoder', 'Abnormal Detection']","최근 다양한 산업 분야에서 인공지능 알고리즘 적용을 시도하고 있다. 이러한 흐름에 맞추어 제조 산업에서도 분류, 예측 및 감시 등의 영역에서 인공지능에 관한 연구를 수행하고 있다. 하지만 제조 산업의 특성상 중소기업들은 인공지능과 같은 새로운 영역으로의 투자는 쉽지 않다. 새로운 관리영역의 추가는 기업의 입장으로는 부담이 될 수 있기 때문이다. 이에 본 연구에서는 저비용 및 고효율 관점에서 제조시스템 설비에 이미지를 기반으로 한 공정 관리 시스템을 제안하고자 한다. 대표적인 객체 탐지 알고리즘인 YOLOV5와 오토인코더를 공정 이상 탐지 방향으로 활용하고자 한다. 먼저 YOLOv5 알고리즘을 통해 모바일 기기 수준에서 촬영한 영상의 정보에서 객체를 실시간으로 추출한다. 그 후 추출된 객체의 이미지 영역을 오토인코더에 입력값으로 정의하고, 주요 특징을 추출하고자 한다. 특히 학습에 필요한 데이터의 양과 시나리오 분석을 통하여 객체 탐지의 성능을 비교하였다. 본 연구에서 제시된 이상 탐지 방법론을 통해 국내 제조 중소기업들의 스마트 공장 구축과 생산성 및 수율 향상 등의 목적에 기여되길 기대한다.","Recently, artificial intelligence algorithms are being applied in various industrial fields. Under these circumstances, the manufacturing industry is also conducting research on artificial intelligence in areas such as classification, prediction, and monitoring. However, it is not easy for SMEs to invest in new areas such as artificial intelligence. Therefore, this study proposes an image-based process management system for the manufacturing system. In this paper, We utilize the object detection algorithms YOLOV5 and autoencoder in the direction of process anomaly detection. First, the object is extracted in real time from the information of the image taken at the mobile device level through the YOLOv5. Next, the extracted image is defined as an input value of the autoencoder, and a main feature is to be extracted. In particular, the performance of object detection was compared through scenario analysis and the amount of data required for learning. It is expected that the abnormality detection methodology presented in this study will contribute to the purpose of establishing a smart factory and improving productivity and yield of domestic manufactured SMEs."
Clustering memory-guided anomaly detection model for large-scale screening of esophageal endoscopic images,2022,"['esophageal endoscopy', 'anomaly detection', 'variational auto-encoder', 'memory module', 'clustering']",,"A deep learning screening model of esophageal endoscopic images can reduce the burden on endoscopists. However, most deep learning methods require many labeled data with balanced categories, and their ability to deal with new diseases not appearing in the training set is limited. This study elaborated a semi-supervised anomaly detection model for the initial screening of esophageal endoscopic images, requiring a single class of samples as a training set. The reconstruction-based method was used for anomaly detection. The model’s framework was a variational auto-encoder, with two memory modules added in latent space to restrain its generalization ability. In the memory module, a clustering operation was introduced to provide a better distribution of memory vectors, promoting their compactness with encoded features and separation from each other. A detailed description and theoretical substantiation of the proposed model were presented. A dataset containing 7989 esophageal endoscopic images labeled by experienced endoscopists was used for numerical experiments. The proposed model results were compared with those of other auto-encoder-based anomaly detection methods, outperforming them and achieving an area under the curve of 0.8212. The ablation study was also conducted to validate the effectiveness of each model’s part, and new data were successfully incorporated to assess the model feasibility and applicability range."
Unsupervised learning algorithm for signal validation in emergency situations at nuclear power plants,2022,"['Nuclear power plants', 'Signal failures', 'Signal validation', 'Variational auto-encoder', 'Long short-term memory', 'Unsupervised learning']",,"This paper proposes an algorithm for signal validation using unsupervised methods in emergency situations at nuclear power plants (NPPs) when signals are rapidly changing. The algorithm aims todetermine the stuck failures of signals in real time based on a variational auto-encoder (VAE), whichemploys unsupervised learning, and long short-term memory (LSTM). The application of unsupervisedlearning enables the algorithm to detect a wide range of stuck failures, even those that are not trained.First, this paper discusses the potential failure modes of signals in NPPs and reviews previous studiesconducted on signal validation. Then, an algorithm for detecting signal failures is proposed by applyingLSTM and VAE. To overcome the typical problems of unsupervised learning processes, such as trainabilityand performance issues, several optimizations are carried out to select the inputs, determine the hyperparameters of the network, and establish the thresholds to identify signal failures. Finally, the proposedalgorithm is validated and demonstrated using a compact nuclear simulator"
Subset 샘플링 검증 기법을 활용한 MSCRED 모델 기반 발전소 진동 데이터의 이상 진단,2022,"['전문가 독립적 특징', '오류 데이터 검출기법', '다변량 시계열 데이터', '진동 이상 진단', 'Auto-encoder모델', 'Expert independent feature extraction', 'Error data detection method', 'Multivariate  time series data anomaly detection', 'Vibration anomaly diagnosis', 'Auto-encoder model']",,
생성 모델과 검색 모델을 이용한 한국어 멀티턴 응답 생성 연구,2022,"['언어 모델', '멀티턴', '대화', '자연어 생성', '발화 생성', 'Language model', 'Multi-turn', 'Conversation', 'Natural language generation']","최근 딥러닝 기반의 자연어처리 연구는 사전 훈련된 언어 모델을 통해 대부분의 자연어처리 분야에서 우수한 성능을 보인다. 특히 오토인코더 (auto-encoder) 기반의 언어 모델은 다양한 한국어 이해 분야에서 뛰어난 성능과 쓰임을 증명하고 있다. 그러나 여전히 디코더 (decoder) 기반의 한국어 생성 모델은 간단한 문장 생성 과제에도 어려움을 겪고 있으며, 생성 모델이 가장 일반적으로 쓰이는 대화 분야에서의 세부 연구와 학습 가능한 데이터가 부족한 상황이다. 따라서 본 논문은 한국어 생성 모델을 위한 멀티턴 대화 데이터를 구축하고 전이 학습을 통해 생성 모델의 대화 능력을 개선하여 성능을 비교 분석한다. 또한, 검색 모델을 통해 외부 지식 정보에서 추천 응답 후보군을 추출하여 모델의 부족한 대화 생성 능력을 보완하는 방법을 제안한다.","Recent deep learning-based research shows excellent performance in most natural language processing (NLP) fields with pre-trained language models. In particular, the auto-encoder-based language model proves its excellent performance and usefulness in various fields of Korean language understanding. However, the decoder-based Korean generative model even suffers from generating simple sentences. Also, there is few detailed research and data for the field of conversation where generative models are most commonly utilized. Therefore, this paper constructs multi-turn dialogue data for a Korean generative model. In addition, we compare and analyze the performance by improving the dialogue ability of the generative model through transfer learning. In addition, we propose a method of supplementing the insufficient dialogue generation ability of the model by extracting recommended response candidates from external knowledge information through a retrival model."
