title,date,keywords,abstract,multilingual_abstract
K-means 성능 향상을 위한 효율적인 버킷 클러스터링,2022,"['Clustering', 'Data mining', 'K-means', 'Bucket', 'Data compression']",,"In this paper, we present an efficient clustering technique to find clusters with one scan of a data set. Clustering is one of the data mining techniques and is usefully used for group analysis of data such as customer data analysis and voter analysis, and strategies building for target marketing. The most commonly used k-means method is a method finding the optimal cluster through iterative search and is used to find high-quality clusters. By applying data compression technology, it can be performed faster than the existing k-means, and it aims to find a cluster of the same quality as before. The experiment performed the algorithm and evaluated its performance using real data used in the KDD data mining competition. The proposed method creates clustering with almost the same quality as the existing k-means method, and reduces the number of processed data through bucket compression, making it possible to perform the clustering process for large amounts of data more efficiently. Although the value of data and the utility of analysis are being maximized in the recent industrial environment, the complexity and performance of analysis algorithms are always a problem for large-scale data. It can be expected to be a useful analysis algorithm even in the latest data platforms such as big data."
K-means 클러스터링을 사용한 SVD 기반의 교차 도메인 추천,2022,"['cross-domain recommendation', 'data sharing', 'collaborative filtering', 'matrix factorization', 'K-means clustering', 'multi-layer neural networks', '교차 도메인 추천', '데이터 공유', '협업 필터링', 'K-means 클러스터링', '행렬 분해', '다층 신경망']","교차 도메인 추천은 다른 도메인에 있는 관련 사용자 정보 데이터와 아이템 데이터 공유를 통해 해결하고자 하는 방법이다. 사용자 중복이 많은 온라인 쇼핑몰이나 유튜브(YouTube) 또는 넷플릭스(NetFlix)와 같이 멀티미디어 서비스 컨텐츠에서 주로 사용된다. K-means 클러스터링을 통해 사용자 데이터와 평점을 기반으로 군집화를 실시하여 임베딩을 생성한다. 그 결과를 다층 신경망(Multi Layer Neural Network)를 통해 학습시킨 후, 사용자 만족도를 예측한다. 그 후 협업 필터링 기법인 행렬 분해(matrix factorization)를 이용하여 사용자에게 맞는 아이템들을 추천한다. 이 연구를 통해 추천함으로써 더 적은 시간적 비용으로 초기 사용자 문제에 대해 예측이 가능하고, 사용자들의 만족도를 높일 수 있다는 결과를 실험을 통해 보여주었다.","Cross-domain recommendation is a method that shares related user information data and item data in different domains. It is mainly used in online shopping malls with many users or multimedia service contents, such as YouTube or Netflix. Through K-means Clustering, embeddings are created by performing clustering based on user data and ratings. After learning the result through a multi-layer neural network, user satisfaction is predicted. Then, items suitable for the user are recommended using matrix factorization, which is a collaborative filtering technique. Through this study, it was shown through experiments that recommendations can predict cold-start problems at a lesser time cost and increase the user satisfaction."
K-means 클러스터링 기반 대학 산학협력단 유형 분류 연구,2022,"['Industry-university cooperation foundation', 'K-means clustering', 'ANOVA', 'Classification', 'A ttrib utes', '산학협력단', 'K-means   클러스터링', '일원분산분석', '유형화', '특징']","대학의 기업가적 역할과 더불어 산학협력단의 인력양성, 기술 이 전 및 사업화, 자문, 창업에 대한 지원 등포괄적인 기능 이 확대되고 있다. 전국 4년제 대학의 산학협력단은 2020년을 기준 으 로 215개가 운영되고 있으며, 운영 형태 에 따라 독립형, 통합형, 연계 형, 병렬형으로 분류되 어 있다. 그러나 대학의 산학협력단의 운영 형태 에따른 분류는 산학협력단의 기능 을 고도화하기 위한 시사점을 도출하기에는 부적절하다. 따라서 산학협력단의 규모와 기능 에 따른 전략을 도출하기 위해서는 산학협력단의 유형을 체계적으로 분류할 필요가 있다. 이에 본 연구는산학협력단을 유형화 하 기 위해 2015년부터 2019년까지 195개의 산학협력단 수익과 직원 규모를 토대로 K-means 클러스터링 분석 을 수행하였다. 분석 결과 산학협력단은 4개 군집으로 분류되었으며, ANOVA 분석 결과 총 수익과 직원 변수에서 4개 그룹 간의 유의 미 한 차이가 있는 것으로 나타났다. 계량적 분석 결과를 토대로 산학협력단의 유형 특징에 따른 정책 시사점을 제시하였다.","Along with th e entrepreneurial roles of university, th e functions of industry-university cooperation foundations have ex panded th e functions including human capital training, tech nology transfer and commercializ ation, consultation, and startups. As of 2020, th ere are 215 foundations at universities th at can be classified into four types such as independent, integrated, connected, and parallel ones based on th eir operation types. However, th e classification is inappropriate to draw policy implications for elevating th e roles of foundations. To tack le th e prob lem, th e current study conducted K-means clustering to classify th e foundations using th e amounts of income and th e numb ers of employees working at th e 195 foundations from 2015 to 2019. Four clusters were derived from th e analysis, and sh ow n statistical differences in th e amounts of income and numb ers of employees among th e clusters based on th e ANOVA analysis. From th e results of q uantitative analyses, th e study suggested policy implications th at can improve th e roles of foundations."
K-Means 클러스터링 기법을 이용한 고교야구 타자를 위한 프로야구 선수지명 예측에 대한 연구,2022,"['Artificial intelligence', 'Machine learning', 'K-Means clustering', 'Tensorflow', 'Baseball player`']",,"Recently, IT/BT companies, universities, and research institutes of government have developed Artificial Intelligence(AI) that plays a role as the brain of the Internet of Things (IoT) and Big Data as an opportunity for a new leap forward in the 4th industrial revolution and then they are doing our best to research and develop. A key method of Artificial Intelligence is machine learning, which uses large amounts of data to determine the rules of a cognitive process based on human experience, and finds out rules by itself through learning and reasoning, perceptual ability and natural language analysis ability. Machine learning learns, analyzes, and predicts various data using statistical and logical algorithms of mathematics. It is being actively used in various fields such as aviation, medical care, finance and marketing, transportation and logistics, and sports industry. In order to grow as a good hitter(field player) in baseball, they must have excellent strength, speed, agility, and a sense of play. And based on this, indicators(baseball statistics such as batting average(BA), slugging percentage(SLG), on-base percentage(OBP), and OPS must be excellent. We design and implement the K-Means clustering method to predict the professional baseball nominations of high school hitters using Tensorflow in this paper. We use the batter's slugging percentage and on-base percentage as learning data, implement prediction method, and evaluate performance. Based on this, We can predict whether a specific batter will be nominated or not for professional baseball."
K-means와 Sobel-mask 윤곽선 검출 기법을 이용한 미세먼지 측정 방법,2022,"['CCTV', 'Edge detection', 'Fine dust', 'K-means', 'ROI']","본 논문에서는 CCTV를 활용하여 K-means, Sobel-mask 기반의 윤곽선 검출 기법을 이용한 영상 속 미세먼지측정 방법을 제안한다. 제안하는 알고리즘은 CCTV 카메라를 이용하여 이미지를 수집하고 관심영역을 통해 이미지 범위를 지정한다. K-means 알고리즘을 적용하여 군집화가 완료되면 Sobel-mask를 통해 윤곽선을 검출하고 윤곽선 강도를 측정하며, 측정된 데이터를 바탕으로 미세먼지의 농도를 파악한다. 제안하는 방법은 대각선 측정에 장점을 가지는Sobel-mask의 특성을 활용하여 산맥의 윤곽선을 추출하고 실험 결과로 미세먼지 농도에 따른 검출의 차이를 보여준다.",
K-Means Clustering으로 분류한 닭 깃털색 표현형의 분석,2022,"['chicken', 'image quantization', 'computer vision', 'k-means clustering', 'plumage color']","RGB 조건에서 하나의 픽셀은 255의 세제곱 개 이상의 색상을 표현할 수 있다. 현재까지의 컴퓨터 비전 연구는 조류에서 나타나는 다양한 깃털색 표현형에 대해 세밀히 분석하여 종을 구분하였지만, GWAS에 이용될 목적을 위해 다양하게 유전되는 색상을 단순화하지 못하였다고 판단된다. 본 연구는 연산오계(YO)와 백색레그혼(WL) 상호 역교배 F2 집단을 이용하였으며 이미지 양자화를 통하여 이미지의 크기를 줄이고 저장을 용이하게 하였으며 깃털색의 원인 유전자 탐색을 위한 기초 자료를 제공하기 위하여 육안으로 결정하였던 다양한 깃털색을 단순화하였다. 특히, GWAS 연구에 필요한 수치화된 표현형을 제시하였다는 측면에서 가치가 있다고 판단된다.",
인체 치수 데이터와 K-means 군집 알고리즘을 활용한 체지방 분류 모델,2022,"['Classification', 'Human body size', 'CNN(Convolutional Neural Network)', 'Fat rate percentage', 'K-means clustering']","최근 헬스케어(healthcare) 분야에서 기계학습을 적용한 다양한 연구가 증가하고 있다. 스마트 워치와 같은 웨어러블(wearable) 장치를 통해 심전도 검사, 체성분 분석 등의 기능을 제공하고 있으며 이러한 기능에 딥러닝 기술이 적용되고 있다. 이를 통해 합리적인 의사 결정과 표준화된 프로세스를 도출하여 개인에 맞는 헬스케어 서비스 구축과 연구에 활용되고 있다. 기존에 있는 진료 기록이나 의료보험 정보뿐만 아니라 정부에서 공개하고 있는 공공데이터, 소셜 미디어 데이터, 유전자 데이터 등 다양한 경로로 수집된 데이터를 활용하고 있다. 이 데이터를 모델에 적용하기 위해서는 데이터를 분류하는 작업 등 사람의 개입이 필요하다. 본 논문에서는 가슴둘레나 허리둘레 등 인체 치수를 입력으로 받아 성별과 나이에 따른 군집 별로 평균 체지방률을 분류하는 모델을 제안한다. 데이터는 국가기술표준원에서 제공하고 있는 인체치수데이터를 활용하였고 이 데이터는 분류 모델에 적용하기 어려운 데이터이므로 군집 알고리즘을 적용한 데이터로 변환하였다. 군집화가 완료된 데이터를 이용하여 CNN(Convolutional Neural Network) 모델에 적용하여 분류를 진행한다. 이를 통해 개인 맞춤형 체형관리 서비스나 비만 분석 등 다양한 응용 사례에 활용될 수 있을 것으로 사료된다.","Recently, various cases of applying machine learning in the healthcare field are increasing. Functions such as electrocardiogram and body composition analysis are provided through wearable devices such as smart watches, and deep learning technology is applied to these functions. Through this, rational decision-making and standardized processes are derived, which is being used in research and construction of healthcare services tailored to individuals. In addition to existing medical records and medical insurance information, data collected through various channels such as public data, social media data, and genetic data disclosed by the government are being utilized. In order to apply this data to the model, human intervention is required, such as classifying to data. In this paper, we propose a model that classifying the average body fat percentage by group according to gender and age by receiving human body size data such as chest circumference and waist circumference as input. For the data, the human body size data provided by National Institute of Technology and Standards was used, and since this data is difficult to apply to the classification model, it was converted into data to which a clustering algorithm was applied. Classification is performed by applying to a CNN(Convolutional Neural Network) model. Through this, it is thought that it can be utilized in various application cases such as personalized body shape management service and obesity analysis."
Performance Evaluation of k-means and k-medoids in WSN Routing Protocols,2022,"['Performance Evaluation', 'WSN', 'KOCED', 'K-means', 'K-medoids']",,"In wireless sensor networks, sensor nodes are often deployed in large numbers in places that are difficult for humans to access. However, the energy of the sensor node is limited. Therefore, one of the most important considerations when designing routing protocols in wireless sensor networks is minimizing the energy consumption of each sensor node. When the energy of a wireless sensor node is exhausted, the node can no longer be used. Various protocols are being designed to minimize energy consumption and maintain long-term network life. Therefore, we proposed KOCED, an optimal cluster K-means algorithm that considers the distances between cluster centers, nodes, and residual energies. I would like to perform a performance evaluation on the KOCED protocol. This is a study for energy efficiency and validation. The purpose of this study is to present performance evaluation factors by comparing the K-means algorithm and the K-medoids algorithm, one of the recently introduced machine learning techniques, with the KOCED protocol."
다중대응분석과 K-means 군집분석의 새로운 결합,2022,"['교대최소제곱법', '다중대응분석', '차원축소', 'K-means 군집분석', 'lternating least square', 'dimension reduction', 'multiple correspondence analysis', 'K-means cluster analysis']",,
Opera Clustering: K-means on librettos datasets,2022,"['Music Analysis', 'Music Information Retrieval', 'Natural Language Processing', 'Embedding', 'Classification', 'K-means Clustering']",,"With the development of artificial intelligence analysis methods, especially machine learning, various fields are widely expanding their application ranges. However, in the case of classical music, there still remain some difficulties in applying machine learning techniques.Genre classification or music recommendation systems generated by deep learning algorithms are actively used in general music, but not in classical music. In this paper, we attempted to classify opera among classical music. To this end, an experiment was conducted to determine which criteria are most suitable among, composer, period of composition, and emotional atmosphere, which are the basic features of music. To generate emotional labels, we adopted zero-shot classification with four basic emotions, ‘happiness’, ‘sadness’, ‘anger’, and ‘fear.’ After embedding the opera libretto with the doc2vec processing model, the optimal number of clusters is computed based on the result of the elbow method. Decided four centroids are then adopted in k-means clustering to classify unsupervised libretto datasets. We were able to get optimized clustering based on the result of adjusted rand index scores. With these results, we compared them with notated variables of music. As a result, it was confirmed that the four clusterings calculated by machine after training were most similar to the grouping result by period. Additionally, we were able to verify that the emotional similarity between composer and period did not appear significantly. At the end of the study, by knowing the period is the right criteria, we hope that it makes easier for music listeners to find music that suits their tastes."
