title,date,keywords,abstract,multilingual_abstract
Identifying Sustainable Development Patterns of Nations and Cities in Three Asian Regions with Unsupervised Learning,2022,"['South Asia', 'Southeast Asia', 'West Asia', 'Time Series Clustering', 'Machine Learning']",,"Asia, the largest and most populous continent in the world, is in dire need of sustainable development due to its rapid urbanization; particularly, the Southeast, South, and West Asia regions demand the most attention. However, previous studies have been limited in examining sustainable development patterns in the three regions. This study identified sustainability development patterns in 23 countries and 33 major cities in three Asian regions using time series clustering, an unsupervised learning technique. Considering the three pillars of sustainability, three clusters were identified at both national and city levels based on three variables: population, GDP per capita, and total energy/electricity consumption per capita. The identified clusters suggested diverse sustainable development patterns in each of the three regions. The largest clusters at national and city levels exhibited a rapid development trend in all three aspects, indicating an urgent need to pursue sustainable development. Other clusters revealed complex trends that were closely linked to local development characteristics. Overall, the clusters at both national and city levels transcend the regions significantly, suggesting that future policymaking in the three regions should be tailored to local issues and take cues from regions with similar patterns rather than adhering to the conventional notion of Asian regions. The results provide fresh insights into sustainable development patterns in the three regions, thereby helping policymakers make better policy comparisons and more targeted policy execution decisions."
Reinforcement learning multi-agent using unsupervised learning in a distributed cloud environment,2022,"['Cloud', 'Reinforcement Learning', 'Clustering', 'Unsupervised Learning', 'Data Anlaysis']",,"Companies are building and utilizing their own data analysis systems according to business characteristics in the distributed cloud. However, as businesses and data types become more complex and diverse, the demand for more efficient analytics has increased. In response to these demands, in this paper, we propose an unsupervised learning-based data analysis agent to which reinforcement learning is applied for effective data analysis. The proposal agent consists of reinforcement learning processing manager and unsupervised learning manager modules. These two modules configure an agent with k-means clustering on multiple nodes and then perform distributed training on multiple data sets. This enables data analysis in a relatively short time compared to conventional systems that perform analysis of large-scale data in one batch."
Unsupervised Transfer Learning for Plant Anomaly Recognition,2022,"['Plant Disease Recognition', 'Unsupervised Transfer Learning', 'Plant Village Dataset', 'Vision Transformer']",,"Disease threatens plant growth and recognizing the type of disease is essential to making a remedy. In recent years, deep learning has witnessed a significant improvement for this task, however, a large volume of labeled images is one of the requirements to get decent performance. But annotated images are difficult and expensive to obtain in the agricultural field. Therefore, designing an efficient and effective strategy is one of the challenges in this area with few labeled data. Transfer learning, assuming taking knowledge from a source domain to a target domain, is borrowed to address this issue and observed comparable results. However, current transfer learning strategies can be regarded as a supervised method as it hypothesizes that there are many labeled images in a source domain. In contrast, unsupervised transfer learning, using only images in a source domain, gives more convenience as collecting images is much easier than annotating. In this paper, we leverage unsupervised transfer learning to perform plant disease recognition, by which we achieve a better performance than supervised transfer learning in many cases. Besides, a vision transformer with a bigger model capacity than convolution is utilized to have a better-pretrained feature space. With the vision transformer-based unsupervised transfer learning, we achieve better results than current works in two datasets. Especially, we obtain 97.3% accuracy with only 30 training images for each class in the Plant Village dataset. We hope that our work can encourage the community to pay attention to vision transformer-based unsupervised transfer learning in the agricultural field when with few labeled images."
Unsupervised learning algorithm for signal validation in emergency situations at nuclear power plants,2022,"['Nuclear power plants', 'Signal failures', 'Signal validation', 'Variational auto-encoder', 'Long short-term memory', 'Unsupervised learning']",,"This paper proposes an algorithm for signal validation using unsupervised methods in emergency situations at nuclear power plants (NPPs) when signals are rapidly changing. The algorithm aims todetermine the stuck failures of signals in real time based on a variational auto-encoder (VAE), whichemploys unsupervised learning, and long short-term memory (LSTM). The application of unsupervisedlearning enables the algorithm to detect a wide range of stuck failures, even those that are not trained.First, this paper discusses the potential failure modes of signals in NPPs and reviews previous studiesconducted on signal validation. Then, an algorithm for detecting signal failures is proposed by applyingLSTM and VAE. To overcome the typical problems of unsupervised learning processes, such as trainabilityand performance issues, several optimizations are carried out to select the inputs, determine the hyperparameters of the network, and establish the thresholds to identify signal failures. Finally, the proposedalgorithm is validated and demonstrated using a compact nuclear simulator"
"Identifying Abnormal CFRP Holes Using Both Unsupervised and Supervised Learning Techniques on In-Process Force, Current, and Vibration Signals",2022,"['CFRP drilling', 'Machine learning', 'Unsupervised learning', 'Supervised learning', 'Abnormality detection', 'Hole quality']",,"This study aims to conduct abnormality detection by applying machine learning algorithms when drilling a carbon fiber reinforced plastic laminate. In-process signals including current, thrust force, and vibration were captured during the dry drilling experiments using a 6 mm physical vapor deposit diamond-coated drill at the consistent spindle speed of 6500 RPM and 0.05 mm/rev. Across measurements from out-of-process variables, including hole diameter, roundness, surface roughness, entry/exit delamination, and entry/exit uncut fiber area, in-process measurements were most able to find outliers with respect to diameter. Both Principal Component Analysis, an unsupervised dimensionality reduction technique, and Linear Discriminant Analysis, a supervised dimensionality reduction technique, could separate oversize or undersize holes from average-sized holes when using fast Fourier transformation data of in-process vibration. Predictive performance with k-Nearest Neighbors shows that our machine learning pipeline can predict oversized vs. non-oversized holes with over 85% accuracy in this dataset. Peak prediction performance is obtained when in-process measurement data is viewed from the frequency domain, and predictions are weighted based on the relative distances of the nearest neighbors."
Understanding postal delivery areas in the Republic of Korea using multiple unsupervised learning approaches,2022,"['clustering', 'feature engineering', 'postal delivery management', 'unsupervised learning', 'workload balancing']",,"Changes in household composition and the residential environment have had a considerable impact on the features of postal delivery regions in recent years, resulting in a large increase in the overall workload of domestic postal delivery services. In this paper, we provide complex analysis results for postal delivery areas using various unsupervised learning approaches. First, we extract highly influential features using several feature-engineering methods. Then, using quantitative and qualitative cluster analyses, we find the distinctive traits and semantics of postal delivery zones. Unsupervised learning approaches are useful for successfully grouping postal service zones, according to our findings. Furthermore, by comparing a postal delivery region to other areas in the same group, workload balancing was achieved."
Unsupervised Learning for Anomaly Detection of Electric Motors,2022,"['Sound anomaly detection', 'Unsupervised learning', 'Convolutional autoencoder', 'One-class support vector machine', 'Feature extraction']",,"This paper presents a novel approach for discriminating abnormal electric motors from normal motors using real sound data. The proportion of abnormal data among all training data is extremely low. Feature extraction techniques are applied to the sound signals. After the extraction, those features are used in unsupervised learning algorithms, including the convolutional autoencoder and one-class support vector machine. Results show that the proposed methods successfully distinguished normal data from abnormal data. The techniques can be applied to determine whether an electric motor is faulty during quality inspection."
Unsupervised Machine Learning to Identify Depressive Subtypes,2022,"['Psychiatry', 'Depression', 'Mental Health', 'Machine Learning', 'Medical Informatics']",,"Objectives: This study evaluated an unsupervised machine learning method, latent Dirichlet allocation (LDA), as a methodfor identifying subtypes of depression within symptom data. Methods: Data from 18,314 depressed patients were used to createLDA models. The outcomes included future emergency presentations, crisis events, and behavioral problems. One modelwas chosen for further analysis based upon its potential as a clinically meaningful construct. The associations between patientgroups created with the final LDA model and outcomes were tested. These steps were repeated with a commonly-usedlatent variable model to provide additional context to the LDA results. Results: Five subtypes were identified using the finalLDA model. Prior to the outcome analysis, the subtypes were labeled based upon the symptom distributions they produced:psychotic, severe, mild, agitated, and anergic-apathetic. The patient groups largely aligned with the outcome data. For example,the psychotic and severe subgroups were more likely to have emergency presentations (odds ratio [OR] = 1.29; 95% confidenceinterval [CI], 1.17–1.43 and OR = 1.16; 95% CI, 1.05–1.29, respectively), whereas these outcomes were less likely inthe mild subgroup (OR = 0.86; 95% CI, 0.78–0.94). We found that the LDA subtypes were characterized by clusters of uniquesymptoms. This contrasted with the latent variable model subtypes, which were largely stratified by severity. Conclusions:This study suggests that LDA can surface clinically meaningful, qualitative subtypes. Future work could be incorporated intostudies concerning the biological bases of depression, thereby contributing to the development of new psychiatric therapeutics."
Evaluating Unsupervised Deep Learning Models for Network Intrusion Detection Using Real Security Event Data,2022,"['NIDS', 'Deep Learning', 'Autoencoder']",,"AI-based Network Intrusion Detection Systems (AI-NIDS) detect network attacks using machine learning and deep learning models. Recently, unsupervised AI-NIDS methods are getting more attention since there is no need for labeling, which is crucial for building practical NIDS systems. This paper aims to test the impact of designing autoencoder models that can be applied to unsupervised an AI-NIDS in real network systems. We collected security events of legacy network security system and carried out an experiment. We report the results and discuss the findings."
Identifying Sustainable Development Patterns of Nations and Cities in Three Asian Regions with Unsupervised Learning,2022,"['South Asia', 'Southeast Asia', 'West Asia', 'Time Series Clustering', 'Machine Learning']",,"Asia, the largest and most populous continent in the world, is in dire need of sustainable development due to its rapid urbanization; particularly, the Southeast, South, and West Asia regions demand the most attention. However, previous studies have been limited in examining sustainable development patterns in the three regions. This study identified sustainability development patterns in 23 countries and 33 major cities in three Asian regions using time series clustering, an unsupervised learning technique. Considering the three pillars of sustainability, three clusters were identified at both national and city levels based on three variables: population, GDP per capita, and total energy/electricity consumption per capita. The identified clusters suggested diverse sustainable development patterns in each of the three regions. The largest clusters at national and city levels exhibited a rapid development trend in all three aspects, indicating an urgent need to pursue sustainable development. Other clusters revealed complex trends that were closely linked to local development characteristics. Overall, the clusters at both national and city levels transcend the regions significantly, suggesting that future policymaking in the three regions should be tailored to local issues and take cues from regions with similar patterns rather than adhering to the conventional notion of Asian regions. The results provide fresh insights into sustainable development patterns in the three regions, thereby helping policymakers make better policy comparisons and more targeted policy execution decisions."
