title,date,keywords,abstract,multilingual_abstract
순환신경망과 벡터 양자화를 이용한 비정상 소나 신호 탐지,2023,"['비정상 신호 탐지', '오토인코더', '벡터 양자화', '순환신경망', 'Abnormal signal detection', 'Autoencoder', 'Vector quantization', 'Recurrent neural network']","수동소나 신호에는 정상신호와 비정상 신호가 같이 존재하는 경우가 대부분이다. 정상신호와 혼재된 비정상신호는 주로 정상신호만을 학습하는 오토인코더를 이용하여 탐지된다. 하지만 기존의 오토인코더는 혼재된 신호로부터 왜곡된 정상신호를 복원하므로 부정확한 탐지를 수행할 수 있다. 이러한 한계를 개선하고자, 본 논문에서는 순환신경망과 벡터 양자화 기반의 비정상 신호 탐지 모델을 제안한다. 제안된 모델은 학습된 잠재벡터들을 대표하는 코드 북을 생성하고, 제안된 코드벡터의 탐색을 통해 보다 정확하게 비정상 신호를 탐지한다. 공개된 수중 음향 데이터를 이용한 실험에서 제안된 기법이 적용된 오토인코더와 변이형 오토인코더는 기존 모델에 비해 최소 2.4 % 향상된 탐지 성능과 최소 9.2 % 높은 비정상 신호 추출 성능을 보였다.","Passive sonar signals mainly contain both normal and abnormal signals. The abnormal signals mixed with normal signals are primarily detected using an AutoEncoder (AE) that learns only normal signals. However, existing AEs may perform inaccurate detection by reconstructing distorted normal signals from mixed signal. To address these limitations, we propose an abnormal signal detection model based on a Recurrent Neural Network (RNN) and vector quantization. The proposed model generates a codebook representing the learned latent vectors and detects abnormal signals more accurately through the proposed search process of code vectors.In experiments using publicly available underwater acoustic data, the AE and Variational AutoEncoder (VAE) using the proposed method showed at least a 2.4 % improvement in the detection performance and at least a 9.2 % improvement in the extraction performance for abnormal signals than the existing models."
심층신경망 및 순환신경망을 이용한 헬스케어기상서비스 모델 개선,2023,"['헬스케어기상서비스', '심층신경망', '순환신경망', '질병발생위험도']",국문 초록 정보 없음,다국어 초록 정보 없음
심층신경망 및 순환신경망을 이용한 헬스케어기상서비스 모델 개선,2023,"['헬스케어기상서비스', '심층신경망', '순환신경망', '질병발생위험도']",국문 초록 정보 없음,다국어 초록 정보 없음
순환신경망(RNN)을 통한 자연어 감성 분석,2023,"['자연어처리(Natural Language Processing)', '순환신경망(RNN)', '감성분석(Sensitivity analysis)']",국문 초록 정보 없음,다국어 초록 정보 없음
순환신경망 기반 저온 저장 양파의 물성 변화 시계열 예측 모델 개발,2023,"['인공신경망', 'LSTM', '생물체 항복 강도', '품질 예측']","본 연구에서는 장기간 저온 저장 중인 양파의 물리적 품질 변화를 예측하는 순환신경망(RNN) 기반 모델을 제안하였다. 특정 시점에 국한된 단순 회귀식을 활용하는 기존 연구들과는 달리, 본 모델은 시계열 기반의 저장 환경 이력을 활용하는 것을 목표로 한다. 더욱이, 실시간으로 쉽게 획득 가능한 환경 정보와 저장 기간만을 입력으로 사용하도록 설계하여 향후 현장 적용 시 실용성을 강조하였다. 모델 개발을 위해, 통제된 조건 하에 양파를 저장하며, 정기적인 샘플링과 실험을 통해 품질 요소 데이터를 축적하였다. 데이터 전 처리 과정에서 각종 노이즈와 시간 해상도 문제를 해결하였으며, 환경과 품질 요소 간 상호작용을 고려해 생물체 항복 강도를 모델의 주 예측 대상으로 선정하였다. LSTM을 포함한 다양한 RNN 기반 모델 및 전통적인 MLR 모델이 개발되었으며, 그 성능을 비교하였다. 농산물 품질 예측을 위한 사전 검증된 모델이 부족한 상황을 고려하여, 다양한 모델 구조와 매개변수 조합을 탐색하기 위해 그리드 탐색 방식을 적용하였다. 최적화된 조합을 기반으로 재학습된 모델들의 성능은 동일한 독립 테스트 데이터를 활용하여 비교되었으며, 제시된 모델 중 LSTM 기반 예측 모델이 가장 좋은 성능과 가장 먼 예측 기간을 보여주었다. 반면, MLR 모델은 학습데이터에 대한 완전한 과적합을 보였으며, 이를 통해 저장 이력을 활용한 품질 예측의 부적합함을 확인할 수 있었다. 본 연구 결과를 통해 RNN의 농산물 저장/유통 연구에 대한 잠재력을 검증하고자 하였으며, 개발된 모델은 향후 수확 후 연구의 기반 기술로서 활용될 수 있을 것으로 기대된다.",다국어 초록 정보 없음
순환신경망을 이용한 유도 법칙 및 유도 파라미터 추정,2023,"['BiLSTM', 'guidance law parameter estimation', 'proportional navigation guidance', 'impact angle control guidance']",국문 초록 정보 없음,"Drones have increasingly been illegally operated and pose a variety of threats. The illegally operated drones are used for delivering drugs or capturing security information without permission or approval. These misuse cases have become more severe, which means drones can pose physical threats to key national facilities, such as airports and nuclear power plants. Such threats can be fatal if preemptive defense technology is not developed, and preliminary defense technology is essential for preventing accidents. This study introduces an anti-drone system, namely Drone-cop, and its operational framework is securing key national facilities from threats posed by illegally operated drones. Drone-cop consists of heterogeneous UAVs, with one performing reconnaissance in preparation for infiltration and attack by illegal drones and the other neutralizing detected illegal drones using mission equipment. Patrol Drone-cop is capable of vertical take-off and landing and is equipped with three detection and recognition sensors. Response Drone-cop is a hexacopter that is optionally equipped with one of four neutralizing devices. This paper describes the requirements and operational frameworks required for patrol Drone-cop and response Drone-cop to protect key national facilities from illegal drones."
순환신경망 모델을 활용한 팔당호의 단기 수질 예측,2023,"['Feature Importance', 'GRU', 'LSTM', 'Random Forest', 'Recurrent Neural Network', 'Water Quality']",국문 초록 정보 없음,"Climate change causes fluctuations in water quality in the aquatic environment, which can cause changes in water circulation patterns and severe adverse effects on aquatic ecosystems in the future. Therefore, research is needed to predict and respond to water quality changes caused by climate change in advance. In this study, we tried to predict the dissolved oxygen (DO), chlorophyll-a, and turbidity of the Paldang reservoir for about two weeks using long short-term memory (LSTM) and gated recurrent units (GRU), which are deep learning algorithms based on recurrent neural networks. The model was built based on real-time water quality data and meteorological data. The observation period was set from July to September in the summer of 2021 (Period 1) and from March to May in the spring of 2022 (Period 2). We tried to select an algorithm with optimal predictive power for each water quality parameter. In addition, to improve thepredictive power of the model, an important variable extraction technique using random forest was used to select only the important variables as input variables. In both Periods 1 and 2, the predictive power after extracting important variables was further improved. Except for DO in Period 2, GRU was selected as the best model in all water quality parameters. This methodology can be useful for preventive water quality management by identifying the variability of water quality in advance and predicting water quality in a short period."
순환신경망을 이용한 충주수상태양광 발전량 예측,2023,"['Recurrent Neural Network', 'Power Generation Prediction', 'Floating Photovoltaic', 'LSTM', 'AI']",국문 초록 정보 없음,다국어 초록 정보 없음
순환신경망 모델 활용 온실 내부환경 최적 제어 방법 연구,2023,"['스마트팜', '온실에너지', '인공지능', '시뮬레이션', '가외변인']","최근 국내 농업 형태는 첨단 기술의 발전과 인공지능 기술의 등장으로 인하여 노지재배에서 시설재배로 변화되고 있다. 시설재배는 통제된 시설에서 재배환경을 인위적으로 조성하여 작물을 기르는 농업으로 내부환경 예측이 필수적으로 요구된다. 하지만 일사량 및 외부 온·습도 등의 가외변인(extraneous variable)으로 인하여 기존의 분석 방법은 한계가 존재한다. 이러한 한계를 극복하기 위해 인공지능을 통한 경험적 시뮬레이션 분석 방법을 적용하고자 한다. 개발모델의 미래 예보범위는 10분에서부터 단위로 증가하며 이루어졌으며, 모델 평균 정확도와 정밀도는 r2 0.9527, RMSE 0.5582로 나타났다. 예보 모델을 기반으로 열원 공급방식을 개선하여 온실 내부환경 예보하여 난방 부하를 효과적으로 제어하여 작물에 피해를 주지 않는 범위에서 약 2%의 에너지 절감이 가능함을 알 수 있었다. 이러한 방법을 통하여 시설농업 온실 시스템 냉난방 에너지 사용량을 절감할 수 있다. 또한, 최신 스마트팜 기술과 융합하여 모델의 전역적 최적화 달성하여 다양한 실제 온실 시스템 에너지를 효과적으로 사용할 수 있을 것으로 사료된다.",다국어 초록 정보 없음
순환신경망을 이용한 비정상상태 배터리 온도 예측 모델링,2023,[],국문 초록 정보 없음,다국어 초록 정보 없음
순환신경망을 이용한 압력신호기반 벌크 트레일러의 분말 순간배출량 추정,2023,"['bulk trailer', 'instantaneous exhaust', 'automatic exhaust system', 'recurrent neural network', 'pressure sensors', 'flowmeter']",국문 초록 정보 없음,"Bulk trailers are vehicles that are used for transporting powdered construction materials such as cement and fly ash. To ensure high transportation efficiency and low transportation costs, materials stored in the tank of bulk trailers must be quickly exhausted. One approach is to replace the existing manual exhaust operation with an automatic control system. For the development of an automatic control system for bulk trailers, measurement of the instantaneous exhaust of powdered materials is required. However, flowmeters for powders are expensive and also tricky to install on bulk trailers requiring a straight pipeline of a certain length or more. Therefore, in this paper, a deep learning-based method was proposed for estimating the instantaneous exhaust from the pressure signals of a bulk trailer without using a flowmeter. In the proposed method, a recurrent neural network (i.e., a long short-term memory network) is used to estimate the instantaneous exhaust of powder by using the pressure signals. For the training and validation of the proposed neural network, the signals from pressure sensors and flowmeter were collected during actual cement exhaust operations. The performance of the proposed method was experimentally validated: the normalized root mean square errors of instantaneous and accumulated exhausts were 9.29% and 3.32%, respectively. Thus, the results showed that the instantaneous exhaust information can be effectively estimated using low-cost pressure sensor signals instead of a flowmeter."
다중안테나 환경에서 순환신경망 기반 SNR 예측,2023,[],국문 초록 정보 없음,다국어 초록 정보 없음
이동 무선 통신환경에서 순환신경망 기반 송신안테나 선택,2023,[],국문 초록 정보 없음,다국어 초록 정보 없음
