title,date,keywords,abstract,multilingual_abstract
북극 해빙표면온도 산출을 위한 Automated Machine Learning과 Deep Neural Network의 적용성 평가,2023,"['북극', '자동화된 기계 학습', '해빙표면온도', 'Arctic', 'Automated machine learning', 'Ice surface temperature']",,"This study utilized automated machine learning (AutoML) to calculate Arctic ice surfacetemperature (IST). AutoML-derived IST exhibited a strong correlation coefficient (R) of 0.97 and aroot mean squared error (RMSE) of 2.51K. Comparative analysis with deep neural network (DNN)models revealed that AutoML IST demonstrated good accuracy, particularly when compared toModerate Resolution Imaging Spectroradiometer (MODIS) IST and ice mass balance (IMB) buoy IST.These findings underscore the effectiveness of AutoML in enhancing IST estimation accuracy underchallenging polar conditions."
Prediction of Postoperative Lung Function in Lung Cancer Patients Using Machine Learning Models,2023,"['Lung Cancer', 'Chronic Obstructive Pulmonary Disease', 'Postoperative Lung Function', 'Linear Regression', 'Machine Learning']",,"Background: Surgical resection is the standard treatment for early-stage lung cancer. Since postoperative lung function is related to mortality, predicted postoperative lung function is used to determine the treatment modality. The aim of this study was to evaluate the predictive performance of linear regression and machine learning models.Methods: We extracted data from the Clinical Data Warehouse and developed three sets: set I, the linear regression model; set II, machine learning models omitting the missing data: and set III, machine learning models imputing the missing data. Six machine learning models, the least absolute shrinkage and selection operator (LASSO), Ridge regression, ElasticNet, Random Forest, eXtreme gradient boosting (XGBoost), and the light gradient boosting machine (LightGBM) were implemented. The forced expiratory volume in 1 second measured 6 months after surgery was defined as the outcome. Five-fold cross-validation was performed for hyperparameter tuning of the machine learning models. The dataset was split into training and test datasets at a 70:30 ratio. Implementation was done after dataset splitting in set III. Predictive performance was evaluated by R<sup>2</sup> and mean squared error (MSE) in the three sets.Results: A total of 1,487 patients were included in sets I and III and 896 patients were included in set II. In set I, the R<sup>2</sup> value was 0.27 and in set II, LightGBM was the best model with the highest R<sup>2</sup> value of 0.5 and the lowest MSE of 154.95. In set III, LightGBM was the best model with the highest R<sup>2</sup> value of 0.56 and the lowest MSE of 174.07.Conclusion: The LightGBM model showed the best performance in predicting postoperative lung function."
‘파워태권도’ 경기 결과 예측을 위한 Machine Learning 기법 비교 연구,2023,"['파워태권도', '경기결과', '기계학습', 'Power Taekwondo', 'Match result', 'Machine Learning']",,"Current study confirms the results of the game using machine learning techniques, predicting the ‘Power Taekwondo’ games. ‘Power Taekwondo’ is a new pilot games focusing on popularizing and professionalizing Taekwondo events and it is new methods compared to the current Taekwondo games run by the Korea Taekwondo Association (KTA). The study investigates eight variables, including attack skill rotation, kick and push kick, attack types as preemptive attack and counterattack attack, central, central occupancy and outer occupancy. Machine learning techniques calculate the outcome of wins and defeats in ‘Power Taekwondo’ using stats models such as logistic regression (LR), naive bays (NB), random forest (RF), support vector machine (SVM), and neural network (NN). In this study also adopts evaluation indicators such as AUC (area under the curve), CA (classification accumulation), F1, Precision, Recall, and Logloss to evaluate the performance (predictive power) of various machine learning models forecasting the outcome of ‘Power Taekwondo’ games. Among the variables, push kicks in attack technology, torso attacks in attack type, and central management showed significant differences and support vector machines and logistic regression analysis are relatively better in model evaluation for predicting wins and defeats. The results shows that the model applied in this study are suitable for predicting wins and losses in ‘Power Taekwondo’ events. Current study also expects that The results of current study will help predict wins, losses, tactics, and strategies in the current Olympic- Taekwondo Competition."
A Bayesian Network-based Machine-learning Algorithm for Enhancing Performance in Typical Scenarios,2023,"['Machine-learning', 'Bayesian', 'Automation', 'CASH', 'Artificial intelligence']",,"Automated machine-learning technology can achieve the automation, efficiency, and intelligence of machine learning. This technology can lower the application threshold of artificial intelligence (AI) and has attracted academic attention. Therefore, taking a typical classification problem as an example, this study proposes a framework of a machine-learning pipeline automation design algorithm combining a Bayesian algorithm and reinforcement learning. Aiming at the CASH problem, the study divides the machine-learning pipeline design problem into two sub-problems. One is to realize a machine-learning pipeline structure search based on reinforcement learning. The other is to realize machine-learning pipeline hyperparameter optimization configurations based on the Bayesian network model. The experimental results showed that when the time budget was four hours, the average balanced accuracy of Auto-PLD(Ed note: You need to define what these are in the abstract.) was 0.003 higher than that of Auto-PLD-random and 0.001 higher than that of Auto-sklearn. The success rate of the Auto-PLD machine-learning pipeline evaluation on various datasets exceeded 92%. Based on the Bayesian model and reinforcement learning, the machine-learning pipeline automation design algorithm framework can also play a good role in practical applications. Moreover, it can promote the development of artificial intelligence technology."
The role of artificial neural network and machine learning in utilizing spatial information,2023,"['Machine learning', 'Artificial neural networks', 'Satellite communication', 'Deep learning', 'Spatial information', 'Multimedia applications']",,"In this age of the fourth industrial revolution 4.0, the digital world has a plethora of data, including the internet of things, mobile, cybersecurity, social media, forecasts, health data, and so on. The expertise of machine learning and artificial intelligence (AI) is required to soundly evaluate the data and develop related smart and automated applications, These fields use a variety of machine learning techniques including supervised, unsupervised, and reinforcement learning. The objective of the study is to present the role of artificial neural networks and machine learning in utilizing spatial information. Machine learning and AI play an increasingly important role in disaster risk reduction from hazard mapping and forecasting severe occurrences to real-time event detection, situational awareness, and decision assistance. Some of the applications employed in the study to analyze the various ANN domains included weather forecasting, medical diagnosis, aerospace, facial recognition, stock market, social media, signature verification, forensics, robotics, electronics hardware, defense, and seismic data gathering. Machine learning determines the many prediction models for problems involving classification, regression, and clustering using known variables and locations from the training dataset, spatial data that is based on tabular data creates different observations that are geographically related to one another for unknown factors and places. The study presents that the Recurrent neural network and convolutional neural network are the best method in spatial information processing, healthcare, and weather forecasting with greater than 90% accuracy."
A Modified Stochastic Gradient Descent Optimization Algorithm With Random Learning Rate for Machine Learning and Deep Learning,2023,"['Deep learning', 'machine learning', 'modified stochastic gradient descent', 'random learning rate', 'steepest descent algorithm.']",,"An optimization algorithm is essential for minimizing loss (or objective) functions in machine learning and deep learning. Optimization algorithms face several challenges, one among which is to determine an appropriate learning rate. Generally, a low learning rate leads to slow convergence whereas a large learning rate causes the loss function to fluctuate around the minimum. As a hyper-parameter, the learning rate is determined in advance before parameter training, which is time-consuming. This paper proposes a modified stochastic gradient descent (mSGD) algorithm that uses a random learning rate. Random numbers are generated for a learning rate at every iteration, and the one that gives the minimum value of the loss function is chosen. The proposed mSGD algorithm can reduce the time required for determining the learning rate. In fact, the k-point mSGD algorithm can be considered as a kind of steepest descent algorithm. In a real experiment using the MNIST dataset of hand-written digits, it is demonstrated that the convergence performance of mSGD algorithm is much better than that of the SGD algorithm and slightly better than that of the AdaGrad and Adam algorithms."
Network Traffic Measurement Analysis using Machine Learning,2023,"['Network traffic measurement', 'Machine learning', 'Network traffic analysis', 'Logistic regression', 'Support vector machine']",,"In recent times, an exponential increase in Internet traffic has been observed as a result of advancing development of the Internet of Things, mobile networks with sensors, and communication functions within various devices. Further, the COVID-19 pandemic has inevitably led to an explosion of social network traffic. Within this context, considerable attention has been drawn to research on network traffic analysis based on machine learning. In this paper, we design and develop a new machine learning framework for network traffic analysis whereby normal and abnormal traffic is distinguished from one another. To achieve this, we combine together well-known machine learning algorithms and network traffic analysis techniques. Using one of the most widely used datasets KDD CUP'99 in the Weka and Apache Spark environments, we compare and investigate results obtained from time series type analysis of various aspects including malicious codes, feature extraction, data formalization, network traffic measurement tool implementation. Experimental analysis showed that while both the logistic regression and the support vector machine algorithm were excellent for performance evaluation, among these, the logistic regression algorithm performs better. The quantitative analysis results of our proposed machine learning framework show that this approach is reliable and practical, and the performance of the proposed system and another paper is compared and analyzed. In addition, we determined that the framework developed in the Apache Spark environment exhibits a much faster processing speed in the Spark environment than in Weka as there are more datasets used to create and classify machine learning models."
Machine Learning-based Prediction of Relative Regional Air Volume Change from Healthy Human Lung CTs,2023,"['Biomedical machine learning', 'chronic obstructive pulmonary disease', 'deep learning', 'quantitative CT imaging', 'relative regional air volume change']",,"Machine learning is widely used in various academic fields, and recently it has been actively applied in the medical research. In the medical field, machine learning is used in a variety of ways, such as speeding up diagnosis, discovering new biomarkers, or discovering latent traits of a disease. In the respiratory field, a relative regional air volume change (RRAVC) map based on quantitative inspiratory and expiratory computed tomography (CT) imaging can be used as a useful functional imaging biomarker for characterizing regional ventilation. In this study, we seek to predict RRAVC using various regular machine learning models such as extreme gradient boosting (XGBoost), light gradient boosting machine (LightGBM), and multi-layer perceptron (MLP). We experimentally show that MLP performs best, followed by XGBoost. We also propose several relative coordinate systems to minimize intersubjective variability. We confirm a significant experimental performance improvement when we apply a subject's relative proportion coordinates over conventional absolute coordinates."
Machine Learning Prediction for the Recurrence After Electrical Cardioversion of Patients With Persistent Atrial Fibrillation,2023,"['Atrial fibrillation', 'Electric countershock', 'Machine learning', 'Recurrence', 'N']",,"Background and Objectives: There is limited evidence regarding machine-learning prediction for the recurrence of atrial fibrillation (AF) after electrical cardioversion (ECV). This study aimed to predict the recurrence of AF after ECV using machine learning of clinical features and electrocardiograms (ECGs) in persistent AF patients.Methods: We analyzed patients who underwent successful ECV for persistent AF. Machine learning was designed to predict patients with 1-month recurrence. Individual 12-lead ECGs were collected before and after ECV. Various clinical features were collected and trained the extreme gradient boost (XGBoost)-based model. Ten-fold cross-validation was used to evaluate the performance of the model. The performance was compared to the C-statistics of the selected clinical features.Results: Among 718 patients (mean age 63.5±9.3 years, men 78.8%), AF recurred in 435 (60.6%) patients after 1 month. With the XGBoost-based model, the areas under the receiver operating characteristic curves (AUROCs) were 0.57, 0.60, and 0.63 if the model was trained by clinical features, ECGs, and both (the final model), respectively. For the final model, the sensitivity, specificity, and F1-score were 84.7%, 28.2%, and 0.73, respectively. Although the AF duration showed the best predictive performance (AUROC, 0.58) among the clinical features, it was significantly lower than that of the final machine-learning model (p<0.001). Additional training of extended monitoring data of 15-minute single-lead ECG and photoplethysmography in available patients (n=261) did not significantly improve the model’s performance.Conclusions: Machine learning showed modest performance in predicting AF recurrence after ECV in persistent AF patients, warranting further validation studies."
Artificial-intelligence-automated machine learning as a tool for evaluating facial rhytid images,2023,"['artificial intelligence', 'BoNT/A neuromodulator injections', 'facial aesthetic rejuvenation', 'facial rhytid images', 'machine-learning algorithms']",,"Background: The growing demand for nonsurgical cosmetic treatments necessitates a reliable diagnostic tool to assess the extent of aging, severity of facial wrinkles, and effectiveness of minimally invasive aesthetic procedures. This is crucial to accurately predict the need for botulinum neurotoxin type A neuromodulator injections during facial aesthetic rejuvenation.Objective: This study aimed to determine the accuracy of artificial intelligence-based machine learning algorithms in analyzing facial rhytid images during facial aesthetic evaluation.Methods: A prospective validation model was implemented using a dataset of 3,000 de-identified facial rhytid images from 600 patients in a community private medical spa aesthetic screening program. A neural architecture based on Google Cloud’s artificial intelligence-automated machine learning was developed to detect dynamic hyperkinetic skin lines in various facial muscles. Images were captured using a handheld iPad camera and labeled by an American board-certified ophthalmologist using established quantitative grading scales. The dataset was divided into training (80%), validation (10%), and testing (10%) sets. The model’s performance was evaluated using the following metrics: area under the precision-recall curve, sensitivity, specificity, precision, and accuracy.Results: Facial rhytid images were detected in 79.9%, 10.7%, and 9.3% of the training sets, respectively. The model achieved an area under the precision-recall curve of 0.943, with an accuracy of 91.667% and a recall of 81.881% at a threshold score of 0.5.Conclusion: This study demonstrates the successful application of artificial-intelligence-automated machine learning in identifying facial rhytid images captured using simple photographic devices in a community-based private medical spa program. Thus, the potential value of machine-learning algorithms for evaluating the need for minimally invasive injectable procedures for facial aesthetic rejuvenation was established."
