title,date,keywords,abstract,multilingual_abstract
Naive Bayes-LSTM 기반 예지정비 플랫폼 적용을 통한 화물 상차 시스템의 운영 안전성 및 신뢰성 확보 연구,2023,"['Cargo Loading System', 'Predictive Maintenance', 'Long Short-Term Memory', 'Safety System']",,"Recently, due to the expansion of the logistics industry, demand for logistics automation equipment is increasing. The modern logistics industry is a high-tech industry that combines various technologies. In general, as various technologies are grafted, the complexity of the system increases, and the occurrence rate of defects and failures also increases. As such, it is time for a predictive maintenance model specialized for logistics automation equipment. In this paper, in order to secure the operational safety and reliability of the parcel loading system, a predictive maintenance platform was implemented based on the Naive Bayes-LSTM(Long Short Term Memory) model. The predictive maintenance platform presented in this paper works by collecting data and receiving data based on a RabbitMQ, loading data in an InMemory method using a Redis, and managing snapshot DB in real time. Also, in this paper, as a verification of the Naive Bayes-LSTM predictive maintenance platform, the function of measuring the time for data collection/storage/processing and determining outliers/normal values was confirmed. The predictive maintenance platform can contribute to securing reliability and safety by identifying potential failures and defects that may occur in the operation of the parcel loading system in the future."
단순 베이즈 모형 기반 사용자불만 입력항목 추천 시스템 연구,2023,"['Data quality', ""Bayes's Theorem"", 'Naive Bayes classifier', 'Defense Quailty', 'Customer Complaints']",,"In this study, we use a Naive Bayes classifier to develop a recommender system for data collected in the defense quality field. The Defense Agency for Technology and Quality (DTAQ) collects data of customer complaints, which is generated during the operation and maintenance of weapon systems and munitions; however, data collection is difficult due to unstructured data such as text and image data. Moreover, there is the possibility of human error, especially when text data is assigned a specific class.Therefore, we propose a model for classification recommendation based on Naive Bayes that is one of the most widely used supervised learning models. The model's performance is indicated by the recognition rate, which is 92% to 98%. We expect that high-quality data can be collected by introducing such a recommending scheme into the defense quality field, especially the DTAQ data system. High-quality data will help to improve the quality of big data and artificial intelligence (AI) analysis results in the defense field."
Performance analysis and comparison of various machine learning algorithms for early stroke prediction,2023,"['decision', 'naive Bayes', 'near miss', 'random forest', 'self-training', 'semisupervised learning', 'stroke']",,"Stroke is the leading cause of permanent disability in adults, and it can cause permanent brain damage. According to the World Health Organization, 795,000 Americans experience a new or recurrent stroke each year. Early detection of medical disorders, for example, strokes, can minimize the disabling effects. Thus, in this paper, we consider various risk factors that contribute to the occurrence of stoke and machine learning algorithms, for example, the decision tree, random forest, and naive Bayes algorithms, on patient characteristics survey data to achieve high prediction accuracy. We also consider the semisupervised self-training technique to predict the risk of stroke. We then consider the near-miss undersampling technique, which can select only instances in larger classes with the smaller class instances. Experimental results demonstrate that the proposed method obtains an accuracy of approximately 98.83% at low cost, which is significantly higher and more reliable compared with the compared techniques."
다중클래스 분류 머신러닝을 활용한 3D신체이미지 기반 체형 분류 예측모델 탐색,2023,"['Artificial Intelligence: AI', 'Machine Learning', 'Body Type Classification', '3D BodyScanner', '인공지능', '기계 학습', '체형분류법', '인체측정', '3D 바디스캐너']",,"The purpose of this study is to explore a predictive model for somatotype classification based on 3D body images using multi-class classification machine learning algorithms. To achieve this goal, a purposive sampling method was employed to collect data from 214 males and 152 females, totaling 366 participants. Anthropometric measurements and 3D Body Scans were conducted for somatotype classification, and performance metrics including Accuracy, Precision, Recall, F1 Score, AUC (Area Under the ROC Curve), and Log Loss were used to evaluate the machine learning models. All analyses were performed using Python 3.9. The results obtained from this study are as follows: Firstly, the performance of somatotype classification models trained using 3D body images showed that the Ensemble Voting Model exhibited the highest performance. The Neural Network Model (2nd place), Logistic Regression Model (3rd place), SVM Model (4th place), Random Forest Model (5th place), and Naive Bayes Model (6th place) demonstrated favorable learning outcomes in descending order.Secondly, validation of the performance and external validity of the trained models revealed that the Logistic Regression Model (1st place) exhibited the highest performance, followed by the Ensemble Voting Model (2nd place), SVM Model (3rd place), Random Forest Model (4th place), Neural Network Model (5th place), and Naive Bayes Model (6th place), displaying high levels of performance. Thirdly, the feasibility of somatotype classification using 3D body images was confirmed. Based on these results, it is anticipated that through additional data collection and refinement of model performance, an enhanced somatotype classification predictive model with superior performance can be developed."
멀티노미얼나이브베이즈 기법의 정교화를 통한 악성 메일 필터링 시스템 구현,2023,"['naive bayes', 'SVM', 'LR', 'multinomialNB', 'Laplace smoothing']",,
콘텐츠 유형별 리뷰의 비교 분석연구 : 영화와 음악리뷰를 중심으로,2023,"['Movie Review', 'Music Review', 'Differentiation', 'Text Mining', 'Sentiment Classification', '영화리뷰', '음악리뷰', '차별화', '텍스트마이닝', '감성분류']",,"We analyze the similarities and differences between movie and music reviews and reflect the customers’ needs in creative direction for both content types. The methodology used text mining, topic modeling, and naive Bayes classifiers. R and Python were used as essential tools and supplemented using Leximancer as a text mining tool. We found that movie review tended to be longer than music reviews and that various adjectives and predicates were used in positive reviews compared to negative reviews for both movies and music. More diverse words appeared in the group centered on topics derived using topic modeling. Differences between review types can be indirectly confirmed using positive and negative sentiment classification of reviews and movie and music classification estimation. The model's accuracy demonstrates the differences between reviews. We found that accuracy increased in proportion to the use of discriminatory adjectives or verbs. This study's implication lies in comparing reviews by content type, which has yet to be attempted in previous academic studies. In practice, it is to implement a production feedback system that considers the difference between the methodology of review analysis and the subject of review, which is differentiated by content characteristics."
SNS 콘텐츠 오염자의 효율적인 탐지를 위한 특징 조합 탐색,2023,"['SNS', 'Content Polluter', 'Feature Combination', 'Random Forest', 'Deep Neural Network', 'SNS', '콘텐츠 오염자', '특징 조합', '랜덤포레스트', '심층신경망']","트위터, 페이스북과 같은 SNS 사용자가 증가함에 따라서, 상품 광고, 비방 및 성인 콘텐츠 등을 게재하여 SNS를 오염시키는 콘텐츠 오염자 혹은 스패머 문제가 점차 커지고 있기 때문에 콘텐츠 오염자 탐지 방법에 대한 연구가 필요한 실정이다. 과거 랜덤포레스트, 나이브베이즈와 같은 기계학습의 지도학습 기술을 이용한 탐지 방법은 98% 이상의 비교적 높은 분류 정확도를 나타내는 반면, 학습을 수행하기위해서 원본 데이터로부터 특징을 식별하고 특징 값을 추출하여 훈련데이터를 생성하는 과정이 필요하다. 식별한 특징이 분류 그룹의 성격을 잘 나타내고 특징의 수가 많을수록 분류 정확도를 높이는 특성이 있다. 그러나, 식별한 특징의 개수가 많다는 것은 특징 값 추출에 소요되는 시간을 고려했을 때, 학습 모델 생성의 효율성을 저하시키는 부분이다. 일정 수준의 정확도 성능은 보장되고 효율성 제고가 가능한 최소 집합의 특징 조합을 탐색하기 위해서 본 논문은 특징 중요도, 카이제곱 분포 및 PCA 분석 등을 이용하여 최소 규모 특징 조합 탐색 방법을 기술하고, 이를 랜덤포레스트 및 심층신경망 알고리즘을 이용한 실험으로 비교 평가한다.","As SNS users such as Twitter and Facebook increase, the problem of content polluters or spammers polluting SNS by posting product advertisements, slander and adult content is gradually increasing. Therefore, there is a continuous need for research on methods for detecting content polluters. Detection methods using supervised learning techniques of machine learning such as Random Forest and Naive Bayes in the past show relatively high classification accuracy of 98% or more. However, in order to create a learning model, a process of generating training data by identifying features from original data and extracting feature values is required. The identified features represent the characteristics of the classification group well, and the greater the number of features, the higher the classification accuracy. However, the large number of identified features reduces the efficiency of generating a learning model when considering the time required to extract feature values. In order to search for the minimum set of feature combinations that guarantees a certain level of accuracy performance and can improve efficiency, this paper describes a method for searching for minimum scale feature combinations using feature importance, chi-square distribution, and PCA analysis. And, this is compared and evaluated through experiments using Random Forest and deep neural network algorithms."
머신러닝을 적용한 경륜 경기 순위 예측 및 평가에 관한 연구: 2016~2022년 출주표 정보 및 경주 결과 활용,2023,"['경륜', '경주 결과 예측', '머신러닝', '알고리즘 성능 비교', 'Keirin', 'Win/loss prediction', 'Machine learning', 'Algorithm performance comparison']","본 연구는 기계학습(machine learning)을 적용하여 경륜 경주의 경기 순위를 예측하고, 해당 예측에 활용된 각각의 AI 알고리즘 성능을 비교·분석하기 위하여 실시되었다. 이를 위해 국민체육진흥공단에서 제공한 경륜 선수 출추표와 경기결과 데이터(광명스피돔, 2016~2022년 경주 전수)를 기반으로 실증분석을 시행하였다. 본 연구에서는 파이썬(Python)을 활용하여 자료를 수집하고 가공하였으며, 실질적인 분석을 위해 네이브 베이즈(Naive Bayes), 로지스틱 회귀(Logistic Regression), 랜덤 포레스트(Random Forest), 배깅(Bagging), 서포트 벡터 머신(SVM: Support Vector Machine), 의사결정나무(Decision Tree), 에이다 부스트(AdaBoost), K-최근접이웃(KNN: K-Nearest Neighbor)의 여덟 가지 알고리즘을 적용하였다. 또한, 각 알고리즘의 성능 확인과 평가를 위해 정확도(accuracy), 정밀도(precision), 재현율(recall), F1-score, 평균제곱근오차(RMSE), 결정계수(R-squared)를 평가 기준으로 사용하였다. 본 연구는 단승식, 복승식, 삼복승식을 결과변수로 놓고 실증분석을 시행한 결과 로지스틱 회귀의 성능이 단승식(88.19%)과 복승식(80.07%)의 경우 정확도가 가장 높은 것으로 나타났으며, 삼복승식(78.17%)의 경우 에이다 부스트의 성능이 높게 평가되는 것으로 드러났다. 전체적으로 로지스틱 회귀, 에이다 부스트, 서포트 벡터 머신의 성능이 다른 다섯 가지 알고리즘의 성능과 비교 시 상대적으로 더 우수한 것으로 확인되었다. 본 연구는 경륜 경주의 경주 순위를 예측하기 위해 다양한 머신러닝 알고리즘을 적용하여 이들의 성능을 비교·분석함으로써 기존에는 실증되지 않은 경륜 데이터로 기계학습을 적용하였다는 데 의의가 있다. 본 연구의 실증결과를 통해 스포츠 애널리틱스 분야의 발전을 위해 연구의 방향을 제시하였다는 측면에서의 학문적인 의의는 물론, 실무적인 참고자료로 활용될 수 있을 것으로 판단된다.",
Human Normalization Approach based on Disease Comparative Prediction Model between Covid-19 and Influenza,2023,"['COVID-19', 'Machine Learning', 'Traditional Korean Medicine']",,"There are serious problems worldwide, such as a pandemic due to an unprecedented infection caused by COVID-19. On previous approaches, they invented medical vaccines and preemptive testing tools for medical engineering. However, it is difficult to access poor medical systems and medical institutions due to disparities between countries and regions. In advanced nations, the damage was even greater due to high medical and examination costs because they did not go to the hospital. Therefore, from a software engineering-based perspective, we propose a learning model for determining coronavirus infection through symptom data-based software prediction models and tools. After a comparative analysis of various models (decision tree, Naive Bayes, KNN, multi-perceptron neural network), we decide to choose an appropriate decision tree model. Due to a lack of data, additional survey data and overseas symptom data are applied and built into the judgment model. To protect from thiswe also adapt human normalization approach with traditional Korean medicin approach. We expect to be possible to determine coronavirus, flu, allergy, and cold without medical examination and diagnosis tools through data collection and analysis by applying decision trees."
가우시안 과정 분류에 대한 변분 베이지안 다항 프로빗 모형: 쥐 단백질 발현 데이터에의 적용,2023,"['가우시안 과정', '다항 프로빗 모형', '변분 베이즈 방법', '잠재 변수', 'variational Bayesian approximation', 'Gaussian process', 'multinomial probit model', 'latent variable']","다항 프로빗 모형은 다중 분류와 선택 모형에서 흔히 사용하는 모형이다.다항 프로빗 모형을 추정하기 위해 일반적으로 널리 사용하는 베이지안 접근법인 마르코프 연쇄 몬테카를로(MCMC) 방법은계산 복잡도가 매우 높다는 문제점을 가지고 있다.반면, 변분 베이즈 방법은 MCMC 방법보다 계산 복잡도는 낮으면서도 분류 성능적인 면에서 큰 차이가 나지 않아 더 효율적인 방법으로 알려져 있다.본 연구에서는 가우시안 과정에 기반한 다항 프로빗 모형을 설명하고 해당 모형에 적용할 수 있는 변분 베이지안 근사법을 알아보고자 한다.그리고 UCI에서 제공되는 쥐 단백질 발현 데이터에 가우시안 과정 분류에 대한 변분 베이지안 다항 프로빗 모형을 적용하여 그 성능을 확인하고나이브 베이즈, K-최근접 이웃법, 서포트 벡터 머신 분류기의 성능과 비교한다.","Multinomial probit model is a popular model for multiclass classification and choice model.Markov chain Monte Carlo (MCMC) method is widely used for estimating multinomial probit model, but its computational cost is high.However, it is well known that variational Bayesian approximation is more computationally efficient than MCMC, because it uses subsets of samples.In this study, we describe multinomial probit model with Gaussian process classification and how to employ variational Bayesian approximation on the model.This study also compares the results of variational Bayesian multinomial probit model to the results of naive Bayes, K-nearest neighbors and support vector machine for the UCI mice protein expression level data."
