title,date,keywords,abstract,multilingual_abstract
랜덤 포레스트(Random Forest)의 시계열 적용에 관한 연구: 한국 물가상승률 예측 사례 분석,2023,"['random forest', 'bootstrap', 'inflation', 'forecasting', 'Machine learning', '랜덤 포레스트', '부트스트랩', '물가상승률', '예측', '머신러닝']","본고는 한국과 미국의 물가상승률 예측에 랜덤 포레스트 모형을 적용할 때, Stationary Bootstrap이나 Moving Block Bootstrap 등 Block Bootstrap을 사용하는 것이 통상적인 독립 부트스트랩(Independent Bootstrap)을 사용하는 것에 비해 통계적으로 유의한 수준으로 예측력을 개선하지는 못한다는 것을 보인다. 그리고 FRED-MD를 참고한 총 93개의 관련 국내외 거시경제/금융 변수들을 사용하고, XGBoost, LSTM 등 다양한 머신러닝 방법을 활용하여 한국의 물가상승률을예측하고 분석한다. 2004년 9월에서 2022년 3월까지의 표본을 이용하였고, 1개월에서 12개월의 예측 대상기간(Forecast Horizon)을 고려하였다. 총 13개의 모형 중 대부분의 예측 대상기간에 있어 예측력이 우수한 모형이 존재하는 것으로나타났는데, 이는 보루타 알고리즘(Boruta Algorism)을 통해 중요한 변수로 분류된 변수들만을 랜덤 포레스트에 적용하는 모형이다. Giacomini and White(2006) 와 Hansen et al.(2009)의 검정을 통해 대부분의 예측 대상기간에서 통계적으로유의하게 예측력이 우수함을 확인하였는데, 특히 경제활동인구 및 취업자 수의증가율 등 고용시장 관련 변수, 기업경기실사지수, 주택가격 변화율 등이 물가상승률 예측에 중요한 변수로 선택되는 것으로 나타났다.","This paper first investigates whether adopting the stationary bootstrap or the moving block bootstrap, instead of the usual independent bootstrap, in the random forest method improves forecasting of stationary time series. It is shown that the block bootstrap procedures adopted in the random forest method do not make any statistically significant improvement in Korean or US inflation forecasting. Secondly, we consider inflation forecasting in Korea using 93 macroeconomic/financial variables and various machine learning methods. The samples are from September 2004 to March 2022. Comparing total 13 models, one model outperforms the rest models for most forecast horizons, which is a simplified method of the model proposed by Kim and Han (2022). The method consists of the following two steps: 1) Select important variables based on the Boruta algorithm, 2) Using only those selected variables, implement the random forest and produce a forecast. The tests by Giacomini and White (2006) and Hansen et al. (2009) show that the model provides significantly better forecasts for most forest horizons. In particular, the Boruta algorithm selected total economically active population, total employed persons, BSI, house price as important variables for Korean inflation forecasting."
랜덤포레스트(Random Forest)를 활용한 초·중·고등학생의 정보역량 영향요인 탐색,2023,"['정보역량', '정보격차', '랜덤포레스트', '머신러닝', '초·중등교육', 'Information literacy', 'digital divide', 'Random Forest', 'machine learning', 'primary and secondary education']","목적  본 연구의 주요 목적은 초·중·고등학생의 정보역량 향상 요소를 규명하고, 그 영향력을 정량적으로 평가하는 것이다. 이를 위하여, 머신러닝의 앙상블 계열 중 랜덤포레스트(Random Forest) 알고리즘을 활용하였다. 랜덤포레스트는 결정 트리를 기반으로 하는 앙상블 기법으로 과적합의 위험을 줄이고, 높은 예측 정확도와 안정성을 갖추고 있어 다양한 연구와 실무에 활용되고 있다. 본 연구에서는 초·중·고등학생 대상 설문 데이터를 바탕으로 정보역량에 영향을 미치는 다양한 변수들을 추출하였다. 변수 간의 복잡한 상호작용을 분석하고, 그 중에서도 특히 정보역량에 중요한 영향을 미치는 주요 변수들을 식별하였다. 또한, Shap Value를 활용하여 각 주요 변수의 영향력을 정량적으로 평가하였으며 이를 통해 각 변수의 상대적 중요도와 영향력을 명확하게 이해하는 것을 목적으로 하였다.방법  본 연구의 목적을 수행하기 위하여 한국지능정보사회진흥원에서 공개한 공공데이터를 활용하여 초·중·고등학생 1,469명의 데이터를 추출하여 모델의 학습 및 평가 데이터로 사용하였다. 설명변수로 정보활용, 사회관계 및 정보공유 서비스 이용도 등 총 20개를 선정하였다.결과  본 연구에서 구축된 최종 모델의 성능은 Accuracy 0.721, Precision 0.716, Recall 0.723, F1 Score 0.711로 나타났으며 주요 영향 변수로 디지털기기 이용 효능감, 디지털 기술에 대한 태도, 정보활용, 사회관계 및 정보공유 서비스, 사회적 자본, 사회관계 및 정보공유 서비스, 정보생산 및 공유정도, 생활서비스 이용도, 디지털 조력자로 나타났으며 각 변수의 Shap Value를 분석한 결과, 생활서비스 이용도(PC)를 제외하고 설명변수와 종속변수는 양(+)의 관계로 나타났다. 생활서비스 이용도(PC)의 경우, 응답 값의 증가가 Shap Value 값과의 뚜렷한 상관을 보이는 패턴이 나타나지 않았다.결론  4차 산업 혁명으로 디지털 사회가 도래하였으며 이러한 사회에서 정보역량은 필수적인 핵심역량으로 개인의 학습 능력뿐만 아니라 일반적인 생활에서 경쟁력을 높이는 데 중요한 역할을 한다. 본 연구의 결과에 따라 초·중·고등학생의 정보역량 제고를 위하여 SW·HW 교육, 디지털기기 활용 정보 재생산 교육, 디지털 태도 함양 교육 등이 필요하다.","Objectives  The main purpose of this study is to identify factors that improve information competency in elemen-tary, middle, and high school students and quantitatively evaluate their influence. For this purpose, the Random Forest algorithm among the ensemble series of machine learning was utilized. Random Forest is an ensemble technique based on decision trees that reduces the risk of overfitting and has high prediction accuracy and stabil-ity, so it is used in various research and practice. In this study, various variables that affect information competency were extracted based on survey data from elementary, middle, and high school students. Complex interactions between variables were analyzed, and key variables that had a particularly significant impact on information capa-bilities were identified. In addition, Shap Value was used to quantitatively evaluate the influence of each major var-iable, with the goal of clearly understanding the relative importance and influence of each variable.Methods  To fulfill the objectives of this study, we used publicly available data from the National Information Agency, extracting data from 1,469 elementary, middle, and high school students for model training and evaluation. A total of 20 explanatory variables were selected, including information utilization, social relationships, and the level of usage of information-sharing services.Results  The final model built in this study showed performance metrics of Accuracy 0.721, Precision 0.716, Recall 0.723, and F1 Score 0.711. The key influencing variables were identified as digital device usage efficacy, attitudes toward digital technology, information utilization, social relationships and information-sharing services, social capital, information production and sharing levels, usage level of lifestyle services, and digital enablers.Conclusions  The advent of the digital society due to the Fourth Industrial Revolution has made information literacy an essential core competency, playing a crucial role in enhancing individual learning capabilities as well as general competitiveness in everyday life. According to the results of this study, in order to improve the information literacy of elementary, middle, and high school students, education in software and hardware (SW·HW), training in in-formation reproduction through digital device usage, and fostering a positive attitude toward digital technology are necessary."
GOCI-II 영상 기반 Random Forest 모델을 이용한 해빙 모니터링적용 가능성 평가: 2021–2022년 랴오둥만을 대상으로,2023,"['해빙', '천리안 2B호', '고해상도 광학위성', '규칙기반 기계학습', '랜덤 포레스트', 'Sea ice', 'Geostationary Ocean Color Imager-II', 'High-resolution optical satellite', 'Machine learning', 'Random forest']","해빙(sea ice)은 현재 전 세계 해양 면적의 약 7%를 차지하고 있으며 계절적, 연간 변화를 보이고 주로 극지방과 고위도 지역에 나타난다. 해빙은 대규모 공간 규모에서 다양한 종류로 형성되며 석유 및 가스탐사, 기타 해양활동이 급속히 증가하는 발해해는 해양 구조물 피해 및 해상 운송, 해양 생태계에 심각한 영향을 미치기 때문에 시계열 모니터링을 통해 해빙의 면적 및 유형 분류를 분석하는 것이 매우 중요하다. 현재 고해상도위성영상 및 현장 실측 자료를 바탕으로 해빙의 종류 및 영역에 대한 연구가 진행되고 있지만 현장 실측자료를획득하여 해빙 모니터링에는 한계가 있다. 고해상도 광학 위성영상은 광범위에서 해빙의 유형을 육안으로 탐지하고 식별할 수 있고, 짧은 시간해상도를 갖는 해양위성인 천리안 2B호(Geostationary Ocean Color Imager-II,GOCI-II)를 이용하여 해빙 모니터링의 공백을 보완할 수 있다. 이 연구에서는 고해상도 광학위성영상을 이용하여 생산된 학습자료를 기반으로 규칙기반 기계학습 모델을 훈련시키고 이를 GOCI-II 영상에서 탐지를 수행함으로써, 해빙 모니터링 활용 가능성을 알아보고자 하였다. 학습 자료는 발해(Bohai Sea)의 2021–2022년 랴오둥만(Liaodong Bay)을 대상으로 추출하였으며, GOCI-II를 활용한 Random Forest (RF) 모델을 구축하여 기존normalized difference snow index (NDSI) 지수 기반 및 고해상도 위성영상에서 획득된 해빙 영역과 정성적 및 정량적 비교 분석하였다. 본 연구 결과 해빙의 영역을 과소평가한 NDSI 지수 기반 결과와 달리 비교적 자세한 해빙 영역을 탐지하였으며 유형별 해빙을 분류할 수 있어 해빙 모니터링이 가능함을 확인하였다. 향후 지속적인학습 자료 및 해빙형성에 영향인자 구축을 통해 탐지 모델의 정확도를 향상시킨다면 고위도 해양 지역에서 해빙 모니터링 분야에 활용할 수 있을 것으로 기대된다.",
여성 조직구성원 관점의 내부 커뮤니케이션 활성화  모형 예측: 머신러닝 기반 랜덤 포레스트(Random Forest) 모델의 적용,2023,"['Internal communication', 'Communication direction', 'Female employees', 'Panel data', 'Random forest', 'Machine learning', '내부 커뮤니케이션', '커뮤니케이션 방향성', '여성 조직구성원', '패널 데이터', '랜덤 포레스트', '머신러닝']","연구목적  본 연구의 목적은 여성 조직구성원의 내부 커뮤니케이션 활성화 모형을 예측하는 것이다. 인적자원으로서 여성조직구성원의 중요성이 커지고 있으나 이들의 특성을 반영한 내부 커뮤니케이션 활성화 연구는 미흡하다는 점에서, 여성 조직구성원 관점의 내부 커뮤니케이션 활성화를 지원하기 위한 방안을 제시하고자 한다.연구방법  머신러닝 기반 랜덤 포레스트 기법을 활용하여 선행 연구에서 도출한 내부 커뮤니케이션 활성화 요인의 유효성을탐색하고, 예측 기반 방식을 통해 새롭게 발견한 요인을 제안하였다. 한국여성정책연구원의 여성관리자패널조사(Korean Women Manager Panel: KWMP)에서 추출한 1,687명의 응답값을 활용한 결과를 변수 중요도(variable importance)와 부분 의존성 도표(partial dependence plot)을 통해 제시하였다.연구결과  조직 내 커뮤니케이션 방향성에 따른 커뮤니케이션 활성화 예측에는 조직구성원 간 관계성과 직속상사 리더십이중요한 역할을 하는 것으로 나타났다. 특히 직속상사 리더십 차원의 유연근무 지원, 공정성, 리스닝 등이 여성조직구성원의 수평적, 상향식, 하향식 커뮤니케이션 활성화를 예측하는 주요인임을 확인하였다.결론 및 함의  여성 조직구성원의 내부 커뮤니케이션 활성화를 위해 조직구성원 간 긍정적 관계 형성 및 직속상사 리더십 육성을 위한 조직 차원의 지원이 필요하다. 또한 직속상사와 여성 조직구성원 간 일대일 차원의 지원이 이루어질수 있도록 리더십 교육, 사내 시스템 개선, 커뮤니케이션 채널 보완 등도 이루어져야 할 것이다.","Objectives  The purpose of this study was to predict a model for internal communication among female employees. While the emphasis on the importance of female employees within organizations is increasing, the existing research on internal communication has been insufficient in reflecting their specific characteristics. Accordingly, this study aimed to propose strategies to support female employees’ internal communication.Methods  Using a machine learning-based random forest, this study explored the validity of the factors identified in previous research that contribute to internal communication. Additionally, it proposed factors that were newly discovered through a predictive approach. The results, based on the responses of 1,687 participants extracted from the Korean Women Manager Panel Survey (KWMP) conducted by the Korean Women's Development Institute, were presented using variable importance and partial dependence plots.Results  The study revealed that the relationships among employees and direct supervisors’ leadership play a crucial role in predicting the internal communication model, depending on the communication direction within the organization. Specifically, it was confirmed that dimensions of leadership from direct supervisors, such as support for flexible work schedules, fairness, and listening, are key predictors of horizontal, upward, and downward communication among female employees.Conclusions  To cultivate effective internal communication among female employees, it is imperative to offer organizational support that encourages positive employee relationships and ensures competent leadership from direct supervisors. Moreover, the implementation of leadership training, the refinement of internal systems, and the enhancement of communication channels are essential for enabling personalized support between direct supervisors and female employees."
Dyeing Behavior of Enzyme and Chitosan-Modified Polyester and Estimation of Colorimetry Parameters Using Random Forests,2023,['Machine learning · Random forests · Surface modification · Polyester · Dyeing'],,"Dyeing of the crystalline structure necessitates a process with a disperse dye either at high temperatures or with a carrier dueto its compact and non-ionic structure of polyester. In this study, in order to eliminate these limitations and develop moreenvironmentally friendly dyeing processes, the dyeability of polyester under different conditions with reactive, direct, andacid dyes after surface modifications with enzyme and chitosan was investigated. In addition to the corresponding physicalexperiments, CIELAB and color strength values were also estimated using random forests. The results of the physical experimentsshowed that the surface modifications conducted with enzyme and chitosan significantly increased the color depthsobtained in dyeing for reactive, direct, and acid dyes, especially at pH 4.5. This was explained by the potentially protonatedamine groups in acidic medium of chitosan could have attracted large amounts of anionic dye molecules with physical forces.The highest color depths were obtained from acid dyeing. Washing fastness of the pre-treated and dyed fabrics (except theacid-dyed fabrics) decreased with the shift of the bath pH values to the acidic region. In the next phase of the study, weimplemented random forests to estimate CIELAB and color strength values. We considered different random forest designsand trained each design ten times to observe the performance of the corresponding topology. The results of the computationalexperiments showed that the estimation performance of the random forests is quite satisfactory (with R-values greater than99%) and random forests could be used to estimate CIELAB and color strength values successfully."
Ensemble Deep Learning Model using Random Forest for Patient Shock Detection,2023,"['Digital healthcare', 'Artificial intelligence', 'Random forest', 'MAP', 'Shock patient']",,"Digital healthcare combined with telemedicine services in the form of convergence with digital technology and AI is developing rapidly. Digital healthcare research is being conducted on many conditions including shock. However, the causes of shock are diverse, and the treatment is very complicated, requiring a high level of medical knowledge. In this paper, we propose a shock detection method based on the correlation between shock and data extracted from hemodynamic monitoring equipment. From the various parameters expressed by this equipment, four parameters closely related to patient shock were used as the input data for a machine learning model in order to detect the shock. Using the four parameters as input data, that is, feature values, a random forest-based ensemble machine learning model was constructed. The value of the mean arterial pressure was used as the correct answer value, the so called label value, to detect the patient’s shock state. The performance was then compared with the decision tree and logistic regression model using a confusion matrix. The average accuracy of the random forest model was 92.80%, which shows superior performance compared to other models. We look forward to our work playing a role in helping medical staff by making recommendations for the diagnosis and treatment of complex and difficult cases of shock."
Random Forest-based Thermal Effect Prediction for Clock Tree Synthesis in 3D-IC,2023,"['Clock tree synthesis', 'machine learning', 'random forest', '3D-IC', 'thermal gradient']",,
Prediction of forest fire risk according to climate change in Bhutan using a shared socioeconomic pathways (SSP) scenario and random forest,2023,"['Forest Fire', 'Random Forest Model', 'Bhutan', 'Risks', 'Climate Change']",,"Forest fires destroy millions of forest acres globally, damaging ecosystem services, emitting carbon into the atmosphere, and causing billions of dollars in socio-economic losses, including loss of life. Bhutan, despite its small size, is grappling with forest fires compounded by climate extremes, a remote location, and a lack of preparedness. Under such conditions, it is important to develop policy, technology, and action to respond to forest fires based on scientific research. This study used the Random Forest model (RF) and Shared Socioeconomic Pathways (SSP) approach to create a model for predicting forest fires in Bhutan by considering climate data, spatial data, and forest fire occurrence factors. The RF algorithm was used to analyze the correlations between various input data and predict the change in future forest fire risk in Bhutan. Using SSP scenarios that considered changes due to future population and economic growth, it was possible to predict the risk of forest fires accurately and spatially in Bhutan. The study found that the average forest fire risk was highest during the months of October to January, which are also the dry seasons with low precipitation. However, it also showed high variability across climate change scenarios. SSP scenarios also confirmed the possibility of a significant increase in forest fire risk in the future.The results of this study can be used to support specific policy decisions for forest fire prevention and response in Bhutan and to contribute to the development of forest fire prediction technology in the light of the changing global climate."
Analysis of Adolescent Suicide Factors based on Random Forest Machine Learning Algorithm,2023,"['Suicide Factors', 'Adolescent', 'Random Forest Algorithm', 'Machine learning']",,"The purpose of this study is to identify and analyze suicide factors of adolescents using the Random Forest algorithm. According to statistics on the cause of death by the National Statistical Office in 2019, suicide was the highest cause of death in the 10-19 age group, which is a major social problem. Using machine learning algorithms, research can predict whether individual adolescents think of suicide without investigating suicidal ideation and can contribute to protecting adolescents and analyzing factors that affect suicide, establishing effective intervention measures. As a result of predicting with the random forest algorithm, it can be said that the possibility of identifying and predicting suicide factors of adolescents was confirmed. To increase the accuracy of the results, continuous research on the factors that induce youth suicide is necessary."
A machine learning algorithm with random forest for recognizing hidden control factors from seismic fault distribution,2023,"['machine learning', 'synthetic fault distribution', 'random forest', 'principal component analysis']",,"Stress interaction among many faults in earthquake prone region is strongly affected by the spatial distribution of faults. To build a robust Machine Learning (ML) algorithm for finding hidden relationships between fault distribution and its controlling factors, the performance of ML in dependence of various parameters, such as the complexity and data size of the fault distribution, needs to be investigated. We have, therefore, developed an ML algorithm by combining Principal Component Analysis (PCA) with a Random Forest (RF) to unveil the controlling factors on seismic fault distribution. We synthesized fault images for training of RF classifier ND (> 10,000) fault images, which scattered the faults in a square with R km R km. R, ranging from 200 km to 600 km, is a controlling factor of fault distribution. PCA extracts the dominant features of the seismic fault images to supply the refined training data to the RF. This leads to a dimensional reduction of the data. We tested the influence of the number of principal components (NP) on PCA performance in retaining the information. Larger and more variable R values (i.e., a more complicated fault distribution) with larger amounts of training data required more principal components for a full preservation of the original data. We quantified the optimized NP/ND ratio for an efficient RF classifier, which was about ~0.1 for the evaluating efficacy of the PCA. This showed that the RF classifiers is effective in predicting R values depending on the fault zone with R km × R km and not on specific fault locations. We propose that a small NP, equivalent to ~10% of the training data, suffices for training accurately RF classifier for fault distributions, which can reduce the complexity of fault distribution to understand stress interaction among many faults."
