title,date,keywords,abstract,multilingual_abstract
CNN을 활용한 M-PSK변조 기반 무선 광통신 시스템에서의 Log-Normal 모델과 Gamma-Gamma 모델의 대기 난류 채널 분류 성능 비교,2024,"['무선 광통신', '대기 난류', '채널 분류', '합성곱 신경망 (CNN)', 'PSK 변조', 'Wireless Optical Communication', 'Atmospheric Turbulence', 'Channel Classification', 'Convolutional Neural Network (CNN)', 'PSK Modulation']","본 논문은 서로 다른 위상 천이 변조(phase shift keying, PSK) 방식을 사용하는 무선 광통신 시스템에서 합성곱 신경망 (convolutional neural network, CNN)에 기반하여 대기 난류 채널의 분류 성능을 비교한다. 대기 난류는 무선 광통신 시스템의 성능 저하를 야기하는 주요 요인 중 하나로, 난류 강도에 따라 약한 난류, 중간 난류, 강한 난류로 구분된다. 본 연구는 PSK 변조 방식을 적용한 무선 광통신 시스템을 대상으로, 수신 신호의 성상도 (constellation diagram)를 입력으로 하는 CNN 모델을 이용하여 난류 채널을 분류하고, 분류 정확도를 비교한다. 약한 난류 채널을 Log-Normal (L-N) 난류 모델과 Gamma-Gamma (G-G) 난류 모델로 모델링하였으며, 중간 난류와 강한 난류는 G-G 난류모델로부터 파라미터를 조절하여 모델링한다. 각 난류 강도에 따른 데이터셋을 생성하여 CNN 모델을 학습하였다. PSK 변조 방식들에 대해 제안된 CNN 모델의 분류 정확도를 비교함으로써, 성상도 기반 CNN 채널 분류 기법이 PSK 변조 방식에 적용 가능함을 보여준다.","This paper compares the classification performance of atmospheric turbulence channels based on convolutional neural networks (CNNs) in wireless optical communication systems employing different phase shift keying (PSK) modulation schemes. Atmospheric turbulence is one of the primary factors causing performance degradation in wireless optical communication systems, and it is classified into weak, moderate, and strong turbulence based on the intensity. This study focuses on classifying turbulence channels in PSK modulated wireless optical communication systems using a CNN model that takes constellation diagrams of received signals as input and compares the classification accuracy. Weak turbulence channels are modeled using both the Log-Normal (L-N) turbulence model and the Gamma-Gamma (G-G) turbulence model, while moderate and strong turbulence are modeled by adjusting the parameters of the G-G turbulence model. The CNN model is trained using data sets generated for each turbulence intensity. By comparing the classification accuracy of the proposed CNN model across various PSK modulation schemes, the study demonstrates that the constellation diagram-based CNN channel classification technique can be applied to PSK modulation schemes."
클라우드 이상 행위 탐지를 위한 1-D STM 블록 기반 Stacking CNN 모델,2024,"['Cloud System Security', 'Anomaly Detection', 'Deep Learning', 'Stacking CNN', '클라우드 시스템 보안', '이상 탐지', '딥러닝', 'Stacking CNN']","클라우드 컴퓨팅 기술은 클라우드 서비스의 핵심 기술이며, 사용자에게 공간의 제약 없이 특정 물리 서버의 자원을 필요한 만큼 제공한다. 이러한 클라우드 컴퓨팅 기술은 데이터 수집및 분석, 의사 결정을 빠르고 효율적으로 수행하는 장점을 가지지만, 보안 위협에 취약한 단점을 가진다. 따라서, 클라우드 컴퓨팅 기술의 보안 위협에 대응하기 위해 침입 탐지 시스템이 필요하다. 최근 침입 탐지 시스템 중 합성곱 신경망(CNN) 기반 이상 행위 탐지 연구가활발히 진행되고 있다. 하지만, CNN 기반 이상 행위 탐지 모델은 이상 행위에 대한 세부 수준 및 추상 수준의 특징 추출 한계점이 존재한다. 따라서, 본 논문에서는 CNN 기반 이상 행위 탐지 모델의 한계점을 극복할 수 있는 1-D STM 블록과 이를 기반으로 설계한 StackingCNN 기반 이상 행위 탐지 방안을 제안한다. 실험을 통해 Stacking CNN 기반 이상 행위 탐지 방안은 클라우드 보안 위협에 대응할 수 있는 이상 행위 탐지 모델임을 검증하였다.","As a core technique of cloud service, cloud computing technique provides userswith the resources of a specific physical server without spatial constraints. Eventhough such cloud computing technique performs data collection, analysis, anddecision-making quickly and efficiently, it is vulnerable to security threats. Thus,an intrusion detection system is needed to defend against such security threats.Recently, convolutional neural network(CNN)-based anomaly detection methodshave been actively studied. However, the existing CNN-based anomaly detectionmethods have limitations in extracting detailed and abstract-level features forabnormal behaviors. Therefore, In this paper, we propose an 1-D STM block whichovercomes the limitations of existing CNN-based anomaly detection methods. Also,we propose a new anomaly detection method using Stacking CNN model based onthe 1-D STM blocks. From the experimental results, we validate that the proposedanomaly detection method is effective in mitigating cloud security threats."
3D CNN-LSTM 알고리즘을 이용한 손동작 비디오 영상 분류,2024,"['Artificial Intelligence', 'Deep Learning', 'CNN', 'LSTM', 'Video Classification', 'Hand Gesture Classification']","손동작 인식은 이미지나 비디오 데이터로부터 인간의 동작 및 제스처를 식별하는 행동인식기술의 한 형태이다. 디지털 기술의 발전으로 제품에 스마트 기능이 추가되는 사례가 많아지면서 동작인식의 편리성과 효율성도 강조 되고 있다. 본 연구는 손동작 인식을 시도하기 위한 과정으로, 손동작을 기반으로 클래스를 나누어 각각의 클래스를 분류해내는 비디오 분류 연구를 진행한다. 비디오 영상 자체로 딥러닝 분류를 하게 되면 정확도도 높으며, 이미지를 통한 비디오 분류보다 다양한 분야에서 활용이 가능하다는 장점이 있다. 제시된 알고리즘은 3D CNN(Convolutional neural network)과 LSTM(Long Short-Term Memory)이 결합된 형태로 이루어져 있다. 개발한 3D CNN은 이미지나 비디오의 특징 추출에 주로 사용하는 2D CNN 중 ResNet-18의 구조에서 고안하였다. LSTM은 순차 데이터를 학습, 처리, 분류하는 데 주로 사용되고 있는 RNN(Recurrent Neural Network)중의 한 종류이다. 3D CNN을 통해 비디오의 특징을 추출하고, LSTM을 통해 추출된 특징의 시퀀스를 학습 후 각 비디오 시퀀스를 손동작의 변화를 기준으로 하는 다섯 가지 클래스로 분류하였으며 비디오 분류 결과 정확도 평균 87%를 보여 주었다.","Hand gesture recognition is a subset of motion recognition technology that identifies human actions from image or video data. With the advancement of digital technology and the increasing integration of smart functions into products, the convenience and efficiency of motion recognition have become more prominent. This research aims to explore the process of hand gesture recognition by classifying video sequences based on hand gestures. The research focuses on video classification using deep learning techniques, which offer higher accuracy and broader applicability compared to image-based video classification. The proposed algorithm combines a 3D Convolutional Neural Network (3D CNN) with a Long Short-Term Memory network (LSTM). The developed 3D CNN is based on the ResNet-18 architecture, which is commonly used for feature extraction in images and videos. The LSTM, an extension of the Recurrent Neural Network (RNN), is employed to learn, process, and classify sequential data. The 3D CNN extracts features from video sequences, and the LSTM learns these feature sequences to classify each video sequence into one of five classes based on variations in hand gestures. The combined network, utilizing 3D CNN for feature extraction and LSTM for sequence learning, provides a robust approach to classify hand gestures in video sequences, demonstrating potential for diverse applications in various fields. The video classification accuracy reached approximately 87%."
CNN 기반 위성 이미지를 활용한 북한의 도시 인구추정,2024,"['북한 인구', '주간 위성 이미지', 'CNN', '이웃 효과', 'U-net', 'North Korea’s population', 'daytime satellite image', 'CNN', 'neighboring effects', 'U-net']","북한은 공식적인 절차를 통해 인구데이터를 공개하지 않지만, 통계청, 인터넷 검색을 통해 북한의 인구와 관련된 자료를 확인할 수 있다. 그러나 이 데이터들은 1993년, 2008년에 유엔인구기금(UNFPA)의 지원을 받아 실시한 인구총조사를 기반으로 추정된 자료이고 신뢰성도 떨어지는 것으로 알려져 있다. 이에 본 연구에서는 북한의 현재 인구를 가늠하기 위한 첫 시도로 2023년 북한의 주간 위성 이미지를 이용하여 평양과 개성의 인구를 격자 단위로 추정하였다. 연구 결과로 CNN 기반 격자 단위 인구추정 모델을 개발하였다. 이 모형은 우리나라를 대상으로 CNN 모델을 훈련하고, 북한에 적용하는 것을 목표로 한다. 모형은 CNN의 대표적인 알고리즘인 VGG16 모델을 기반으로 전이학습을 하였으며, 주간 위성 이미지에서 나타나는 남북한의 계절 차이를 조정하기 위해 U-net을 활용하여 조정된 이미지를 사용하였다. 또한, 이웃효과(neighboring effects)를 추가하여 모델의 성능을 개선하였다. 모델 적합 결과 우리나라의 4대 광역시의 인구는 실제 인구와 큰 차이 없이 추정되었으며, 북한의 평양과 개성의 인구는 2008년 센서스인구와 유사하게 추정되어 만족스러운 결과를 보여주었다.","North Korea does not officially disclose population data through formal procedures. However, information related to North Korea's population can be verified through KOSTAT or internet searches. Nevertheless, these data are based on population surveys conducted with the support of the United Nations Population Fund (UNFPA) in 1993 and 2008, and are known to be of questionable reliability. In this study, as an initial attempt to estimate the current population of North Korea, we utilized daytime satellite images from 2023 to estimate the populations of Pyongyang and Kaesong at the grid level. The research resulted in the development of a gridded population estimation model based on a Convolutional Neural Network (CNN). The model was trained on CNN using data from South Korea and aimed to be applied to North Korea. It employed the VGG16 model, a representative algorithm of CNN, for transfer learning. To account for seasonal differences in the images from daytime satellite data, a U-net was used for image adjustment. Furthermore, neighboring effects were incorporated to enhance the model's performance. The model fitting results indicated that the populations of the four major metropolitan cities in South Korea were estimated without significant differences from actual populations. The populations of Pyongyang and Kaesong in North Korea were also estimated to be similar to the 2008 census data, demonstrating satisfactory results."
초등학생 대상 인공지능 교육 프로그램 개발 및 적용:  CNN을 중심으로,2024,"['AI 교육', 'AI 원리', '이미지 인식', 'CNN', 'ADDIE', 'AI education', 'AI principle', 'Image Recognition', 'CNN', 'ADDIE']","본 연구에서는 초등학생을 대상으로 한 인공지능 교육 중 이미지 인식의 이해를 위한 교육 프로그램을 개발하고, 프로그램의 타당성과 효과를 검증하였다. 프로그램 개발은 ADDIE 모형에 기반하여 분석, 설계, 개발, 적용 및 평가/수정 단계를 거치면서 진행되었다. 먼저, 교육 프로그램 설계를 위해 CNN의 원리를 이해하기 위한 핵심 교육요소를 분석하고 이를 기초로 프로그램의 목표를 설정한 후, 총 9차시의 CNN 기반의 이미지 인식 인공지능 교육 프로그램을 개발하였다. 그 교육 프로그램은 일반적으로 어렵게 생각하는 CNN의 원리를 초등학교 학습자들에게 언플러그드 교수법을 적용하여 실제 체험하고 이해하며 활용하는 형태로 개발되었다. 개발된 교육 프로그램의 검증을 위해 1, 2차 델파이 조사를 진행하였다. 델파이 조사에서 제시된 검토 의견에 따라 수정된 교육 프로그램을 초등학교 5학년 학생 2개 학급 54명을 대상으로 적용하여 관찰 및 포트폴리오 평가를 통해 효과를 분석하였다.","In this study, an educational program was developed to understand the principle of image recognition among artificial intelligence education for elementary school students, and the validity and effectiveness of the program were verified. Program development was carried out through analysis, design, development, application, and evaluation/modification steps based on the ADDIE model. First, to design an educational program, we analyzed key educational elements to understand the principles of CNN and set the program's goals based on this, and then developed a CNN-based image recognition artificial intelligence education program for a total of 9 sessions. The educational program made it easier for elementary school learners to understand CNN's principles, which are generally considered difficult, by applying unplugged teaching methods, and developed them in the form of actual experience, understanding, and utilization. To verify the developed educational program, the first and second Delphi surveys were conducted and revised. The revised educational program was then applied to 54 students in two classes of fifth grade elementary school students and the effectiveness was analyzed through observation and portfolio evaluation."
CNN을 위한 사투리 음성 데이터의 Spectrogram 이미지 변환 적용의 POC 검증,2024,"['Dialect audio data', 'Spectrogram', 'Mel-spectrogram', 'CNN', 'RNN']","본질적으로 음성 데이터는 시계열(Time-series) 데이터이며, 따라서 음성 분류를 위해 ARIMA (Autoregressive integrated moving average) 또는 ES(Exponential smoothing) 알고리즘과 같은 시계열 알고리즘 또는 ML 측면에서는 RNN(Recurrent neural network)을 사용한다. 또 다른 방법으로 RNN 대신에 CNN(Convolutional neural network) 학습 과정의 입력으로 시계 열 숫자 배열이 아닌 오디오 데이터를 나타내는 이미지로 스펙트로그램(Spectrogram)을 사용하는 것이다. 본 논문에서는 시계열 데이터 분석에 RNN 대신에 CNN 기법을 활용하기 위한 음성 데이 터의 Spectrogram 분석과 Mel-spectrogram 분석 이미지를 입력 데이터의 이미지로 사용하며, 사투리 음성의 패턴을 추출하기 위한 CNN 모델을 제안한다. 또한, 제안된 모델의 파이썬 기반 프 로토타입에 의한 POC(Proof of concept)를 수행하여 가능성을 검증하였다.","In essence, audio data is time-series data. Therefore, for audio classification, time-series algorithms such as ARIMA (Autoregressive integrated moving average), ES (Exponential smoothing), or RNN (Recurrent neural network) in machine learning terms are commonly employed. Another method is to use a spectrogram as an image representing audio data rather than a time series number array as the input to the CNN(Convolutional neural network) learning process instead of RNN. In this paper, we use spectrogram analysis and mel-spectrogram analysis images of audio data as input data, using the CNN technique instead of RNN for time series data analysis, and we propose a CNN model to extract patterns of dialect audio. In addition, the feasibility was verified by performing a POC(Proof of concept) using a Python-based prototype of the proposed model."
음성 감정 인식에서의 어텐션 노이즈 감소를 위한CNN 기반의 Log-Mel 스펙트로그램 이미지 압축 기법,2024,"['Speech Emotion Recognition', 'Image Compression', 'Attention Mechanism', 'Transformer', 'Deep Learning']","본 논문은 음성 감정 인식에서 log-Mel 스펙트로그램을 기반으로 한 이미지 압축 기법을 제안하고, 이 기법이 어텐션 메커니즘을활용한 vision transformer 모델에서 성능 향상에 기여할 수 있음을 보인다. 특히, log-Mel 스펙트로그램은 음성 신호의 주파수특성을 잘 포착하여 음성 감정 인식에 유용하게 사용되는데, 본 연구에서는 이 스펙트로그램을 이미지 형태로 처리하면서 발생할수 있는 어텐션 노이즈를 효과적으로 감소시키는 방법을 제시한다. 핵심적인 아이디어는 CNN을 수평 커널로 사용하여 log-Mel 스펙트로그램 이미지의 해상도를 압축하고, 이를 통해 vision transformer 모델에서 중요한 패턴을 보다 효과적으로 학습하도록 돕는 것이다. 제안된 기법은 기존의 log-Mel 스펙트로그램을 128×1001 크기로 처리하고, 이 이미지를 128×129로 고정된 크기로압축하면서 임의의 이미지 보간이 수행되도록 설계되었다. 이러한 전처리 과정은 모델이 음성 감정 인식에서 유용한 특징을 보다잘 추출할 수 있도록 돕는다. 본 논문에서는 log-Mel 스펙트로그램의 주어진 특성에 맞게 CNN 기반의 압축 기법을 사용하여 스펙트로그램의 중요 정보를 보존하면서, vision transformer 모델의 어텐션 메커니즘에서 발생할 수 있는 노이즈를 최소화하는 방법을 제안한다. Crowd Sourced Emotional Multimodal Actors(CREMA) 데이터셋을 이용한 실험을 통해, 제안하는 기법이86.83%의 정확도를 나타내어 기존의 방법들보다 음성 감정 인식에서 더 뛰어난 성능을 보임을 확인하였다.","This paper proposes convolutional neural networks (CNN) based log-Mel spectrogram image compression methodfor attention noise reduction in speech emotion recognition (SER) and demonstrates how this method can contributeto improved performance in vision transformer models utilizing attention mechanisms. log-Mel spectrograms,which effectively capture the frequency characteristics of speech signals, are commonly used in SER tasks. In thisstudy, we present a method to reduce attention noise that may arise when processing these spectrograms asimages. The core idea is to use a CNN with horizontal kernels to compress the resolution of log-Mel spectrogramimages, thereby facilitating the vision transformer model's ability to learn important patterns more effectively. Theproposed approach processes the original log-Mel spectrograms at a size of 128×1001 and compresses them intoa fixed 128×129 resolution while performing random image interpolation. This preprocessing step aids the modelin better extracting relevant features for emotion recognition. This paper propose how the CNN-based compressionmethod preserves essential information from the log-Mel spectrograms while minimizing attention noise in thevision transformer model's attention mechanism. Through experiments using the Crowd Sourced EmotionalMultimodal Actors (CREMA) dataset, the proposed method achieved an accuracy of 86.83%, demonstrating superiorperformance in speech emotion recognition compared to existing methods."
이미지의 인지적 특징 정량화를 통한 CNN-ViT 하이브리드 미학 평가 모델,2024,"['Image aesthetic assessmet', 'Transformer', 'Convolutional neural network', 'color harmony', 'image processing']","본 논문에서는 이미지의 지역적 및 전역적 특징을 결합하여 이미지의 미학적 품질을 자동으로 평가할 수 있는 CNN-ViT 하이브리드 모델을 제안한다. 이 접근 방식에서는 CNN을 사용하여 색상 및 객체 배치와 같은 지역적 특징을 추출하고, ViT를 통해 전역적 특징을 반영하여 이미지의 미학적 가치를 분석한다. Color composition은 입력 이미지에서 주요 색상을 추출해 생성한 컬러팔레트를 CNN에 통과시켜 얻은 값이며, Rule of Third는 이미지 속 오브젝트가 삼등분할점에 얼마나 근접한지를 정량적으로 평가한 점수로 사용된다. 이러한 값들은 모델에 이미지의 주요 평가 요소인 색채와 공간 균형에 대한 정보를 제공한다. 모델은 이를 바탕으로 이미지의 점수와 색상, 공간의 균형 간에 연관성을 분석하며, 인간의 평가 분포와 유사한 점수를 추측하도록 설계되었다. 실험 결과, AADB 이미지 데이터베이스에서 스피어만순위상관계수(SRCC)에서는 0.716을 기록하여 순위 예측에서 더 일관된 결과를제공 했으며, 피어슨상관계수(LCC)에서도 0.72을 기록하여 기존 연구 모델보다 2~4% 정도 향상된 결과를 보였다.","This paper proposes a CNN-ViT hybrid model that automatically evaluates the aesthetic quality of images bycombining local and global features. In this approach, CNN is used to extract local features such as color andobject placement, while ViT is employed to analyze the aesthetic value of the image by reflecting global features.Color composition is derived by extracting the primary colors from the input image, creating a color palette, andthen passing it through the CNN. The Rule of Thirds is quantified by calculating how closely objects in the imageare positioned near the thirds intersection points. These values provide the model with critical information aboutthe color balance and spatial harmony of the image. The model then analyzes the relationship between thesefactors to predict scores that align closely with human judgment. Experimental results on the AADB image databaseshow that the proposed model achieved a Spearman's Rank Correlation Coefficient (SRCC) of 0.716, indicatingmore consistent rank predictions, and a Pearson Correlation Coefficient (LCC) of 0.72, which is 2~4% higher thanexisting models."
회전플랫폼을 이용한 AI CNN 기반의 조속기 불량 검출 시스템 개발,2024,"['convolutional neural networks (CNN)', 'defect detection', 'engine governor', 'xception', 'inception', '.']",,"In this study, an automated defect-detection system based on a convolutional neural network (CNN) for rapid governor rotation was developed and its performance was evaluated. In the proposed study, the governor was used in diesel engines to regulate the fuel injection amounts to regularly maintain the engine's rotational speed. The governor was rotated using a servomotor at speeds of 700, 1000, 2000, 2800, and 3200 rpm, and the degree of the governor’s opening was captured using a camera. CNN was employed to detect the defect states using captured images of the governor's opening degree. The experimental results compare and evaluate the performance using two CNN algorithms: Xception and Inception. This study demonstrates the application of CNN-based models to improve defect-detection systems in manufacturing processes. Accordingly, CNN algorithms extract and learn features from images, rendering them useful for the detection of various types of defects."
블라인드 통신 환경에서 CNN을 활용한 변조 및 채널 코딩 인식과 프로토콜 역공학 시뮬레이션 구현,2024,"['modulation recognition', 'channel coding recognition', 'Convolutional Neural Network (CNN)', 'protocol reverse engineering', 'blind communication', '변조 인식', '채널 코딩 인식', 'Convolutional Neural Network (CNN)', '프로토콜 역공학', '블라인드 통신']","본 논문에서는 송수신기가 통신 제원을 공유하지 않는 블라인드 통신 환경에서 CNN (Convolutional Neural Network)을 활용한 변조 및 채널 코딩 인식과 프로토콜 역공학에 대한 시뮬레이션 구현에 대하여 설명한다. 통신채널은 AWGN 채널로 가정하였으며 변조 방식으로는 BPSK, QPSK, 8PSK를 사용하고 채널 코딩은 (2, 1, 3), (2, 1, 4), (2, 1, 5) convolutional 코드를 사용한다. 딥러닝 모델 중 하나인 CNN을 사용하여 변조 및 채널 코딩방식을 인식한다. 또한 프로토콜 역공학 알고리즘인 contiguous sequence pattern 알고리즘을 사용하여 프로토콜분석을 수행한다. 본 논문의 시뮬레이션은 블라인드 통신 환경을 구현하여 변조 및 채널 코딩 인식, 프로토콜 역공학을 위한 데이터 생성 및 성능 평가 수단으로 활용 가능하다.","This paper describes the implementation of the simulation for modulation and channel coding recognition and protocol reverse engineering using CNN (Convolutional Neural Network) in the blind communication environment where transmitters and receivers do not share communication parameters. The communication channel is assumed to be AWGN channel, and BPSK, QPSK, and 8PSK are used as modulation schemes. For Channel coding, (2, 1, 3), (2, 1, 4), and (2, 1, 5) convolutional codes are used. CNN, a type of deep learning model, is utilized to recognize modulation and channel coding schemes. Additionally, the contiguous sequence pattern algorithm, a protocol revers engineering algorithm, is employed to analyze protocols. The simulation in this paper implements the blind communication environment and can be used as a means to generate data and evaluate the performance of modulation and channel coding recognition and protocol reverse engineering."
