title,date,keywords,abstract,multilingual_abstract
Optimization of automatic classification for women’s pants based on the swin transformer model,2024,"['Swin transformer', 'Global attention mechanism', 'Women’s pants classification', 'Deep learning', 'Fashion E-commerce']",국문 초록 정보 없음,"In the post-pandemic era, integrating e-commerce and deep learning technologies is critical for the fashion industry. Automatic classification of women’s pants presents challenges due to diverse styles and complex backgrounds. This study introduces an optimized Swin Transformer model enhanced by the Global Attention Mechanism (GAM) to improve classification accuracy and robustness. A novel dataset, FEMPANTS, was constructed, containing images of five main trouser styles. Data preprocessing and augmentation were applied to enhance the model's generalization. Experimental results demonstrate that the improved model achieves a classification accuracy of 99.12% and reduces classification loss by 34.6%. GAM enhances the model's ability to capture global and local features, ensuring superior performance in complex scenarios. The research results not only promote the automation process in the fashion industry but also provide references for other complex image classification problems. This study highlights advancements in fashion e-commerce, offering practical applications for inventory management, trend analysis, and personalized recommendations, while paving the way for future innovations in deep learning-based image recognition."
Arabic Stock News Sentiments Using the Bidirectional Encoder Representations from Transformers Model,2024,"['Machine Learning', 'Deep Learning', 'Classification', 'Prediction', 'Stock Market']",국문 초록 정보 없음,"Stock market news sentiment analysis (SA) aims to identify the attitudes of the news of the stock on the official platforms toward companies' stocks. It supports making the right decision in investing or analysts' evaluation. However, the research on Arabic SA is limited compared to that on English SA due to the complexity and limited corpora of the Arabic language. This paper develops a model of sentiment classification to predict the polarity of Arabic stock news in microblogs. Also, it aims to extract the reasons which lead to polarity categorization as the main economic causes or aspects based on semantic unity. Therefore, this paper presents an Arabic SA approach based on the logistic regression model and the Bidirectional Encoder Representations from Transformers (BERT) model. The proposed model is used to classify articles as positive, negative, or neutral. It was trained on the basis of data collected from an official Saudi stock market article platform that was later preprocessed and labeled. Moreover, the economic reasons for the articles based on semantic unit, divided into seven economic aspects to highlight the polarity of the articles, were investigated. The supervised BERT model obtained 88% article classification accuracy based on SA, and the unsupervised mean Word2Vec encoder obtained 80% economic-aspect clustering accuracy. Predicting polarity classification on the Arabic stock market news and their economic reasons would provide valuable benefits to the stock SA field."
Explainable Deep Learning for Enzyme Engineering with Leveraging Attention Analysis of Transformer-based Model for NAD/NADP Cofactor Specificity,2024,"['Protein engineering', 'Deep learning', 'Cofactor switching', 'Transformer', 'Mutation design']",국문 초록 정보 없음,다국어 초록 정보 없음
Study on the Arc-Fault Detection Transformer Model Based on Dual Multi-Head Attention,2024,"['Arc-fault detection', 'Transformer', 'Ensemble', 'Deep learning']",국문 초록 정보 없음,다국어 초록 정보 없음
Direct orientation estimation through inertial odometry based on a deep transformer model,2024,"['Inertial odometry', 'Six degrees of freedom', 'Drift', 'Neural network', 'Transformer']",국문 초록 정보 없음,"Studies on the inertial measurement unit (IMU), a fundamental localization solution for mobile devices in inertial odometry have been conducted. Most inertial odometry approaches focus on the two-dimensional space; however, technological advancements demand the accurate measurement of movements in the three-dimensional (3D) space, making 3D inertial odometry algorithms essen-tial. Three-dimensional inertial odometry calculates the relative pose based on IMU-measured data, and the estimated pose denotes the displacement encountered by the sensor within a unit of time. Subsequently, the trajectory is generated through integration. However, many existing approaches are characterized by drift errors owing to the integration processes utilized to estimate position and orienta-tion. We propose an extended direct orientation inertial odometry network (DO IONet) that directly estimates the orientation to over-come drift errors, improving the estimation performance of the 3D translation vector. The proposed approach calculates the orientation by inputting linear acceleration, gyroscope, gravity acceleration, and geomagnetic values, overcoming drift errors associated with ori-entation estimation. The extended DO IONet comprises an encoder for local feature extraction and a decoder for sequential feature extraction. The proposed model doesn't require structural initialization and doesn't cause drift error because an integration process is not required to estimate the orientation."
Ubiq-Trans : Protein Ubiquitination Site Identification Tool using Transformer Language Model,2024,"['Transformer language model', 'Lysine ubiquitination', 'Post translational modification', 'Protein sequence']",국문 초록 정보 없음,다국어 초록 정보 없음
Ubiq-Trans : Protein Ubiquitination Site Identification Tool using Transformer Language Model,2024,"['Protein sequence', 'Post translational modification', 'Lysine ubiquitination', 'Transformer language model']",국문 초록 정보 없음,다국어 초록 정보 없음
A Study on the Vulnerability of Semantic Segmentation Model to Data Transformation,2024,"['Semantic Segmentation', 'Autonomous Driving', 'Data Transformation', 'ViT', 'CNN']",국문 초록 정보 없음,"With the advancement of autonomous driving technology, the importance of semantic segmentation has markedly increased,while the amount of datasets needed for training has been limited. Accordingly, there has been a growing effort to increasedatasets using data augmentation techniques to train semantic segmentation models. However, the distributional gap betweenaugmented and real data can lead to performance limitations when models trained on real data are applied to augmented data.Therefore, this paper constructs new datasets by applying proposed data transformations on real-world datasets. Additionally, weevaluate the impact of these transformations on semantic segmentation models trained on real datasets. Results show that semanticsegmentation models are vulnerable to distortions in color information and object characteristics in transformed datasets.Furthermore, the vision transformer based model is less sensitive to distribution changes and shows greater segmentationperformance compared to fully convolutional network based models."
DeepECtransformer: A Transformer-based Deep Learning Model for Enzyme Function Prediction,2024,"['enzyme commission number prediction', 'function annotation', 'transformer']",국문 초록 정보 없음,다국어 초록 정보 없음
Transformer fault acoustic identification model based on acoustic denoising and DBO-SVM,2024,['Transformer  · Core loosening  · Kurtosis value  · Dung Beetle optimization algorithm  · Support vector machine'],국문 초록 정보 없음,"In order to address the impact of ambient noise on the acquisition of the transformer body acoustic pattern and completely extract the information contained in the transformer acoustic pattern, This study suggests a transformer core loosening identifi cation technique based on the integration of wavelet threshold denoising and VMD with Identifi cation of transformer core loosening using DBO (Dung Beetle Optimization Algorithm)-optimized SVMs (Support Vector Machine) and the diff erence between the kurtosis value and the mixed acoustic signal is used to get the de-noised signal with a high signal-to-noise ratio.After that, the signal is fed into an optimized support vector machine for training in order to produce the core loosening identifi cation model. By means of the no-load tests conducted on a 500 V transformer and the examination of the acoustic signals gathered with varying levels of core looseness, the fi ndings demonstrate that the transformer core looseness identifi - cation model with the denoised MFCC feature parameters and the dung-beetle algorithm optimized support vector machine in this work achieves an accuracy of 96.25%, hence improving the core looseness fault identifi cation rate."
