title,date,keywords,abstract,multilingual_abstract
도메인 적응 및 오토인코더를 사용한 회전 및 비회전 기기의 음향신호 기반 고장 진단,2024,"['VAE(Variational Autoencoder)', 'DANN(Domain Adversarial Neural Network)', 'Fault Diagnosis', 'Deep Learning', 'MFCC(Mel-Frequency Cepstral Coefficient)', 'Domain Adaptation', 'MIMII', '가변오토인코더', '도메인적대적신경망', '고장진단', '딥러닝', '멜주파수켑스트럼계수', '도메인적응', 'MIMMI']","본 연구는 기계 장비에서 발생되는 음향 신호를 기반으로 이상 징후 및 고장 감지에 딥러닝을 적용하는 방법을 다루고 있다. 학습에 이용한 데이터는 회전 및 비회전 장비의 MIMII(Malfunctioning Industrial Machine Investigation and Inspection) 데이터셋을 딥러닝 모델에 적용하였다. 딥러닝 모델은 오토인코더(VAE: Variational Autoencoder)와 도메인 적응 신경망(DANN: Domain Adaptation Neural Network)을 적용하였다. 우선 오토인코더 모델에서는 음향신호의 신호처리 과정으로 얻어진 MFCC 계수의 통계적 특징(Features)으로 음향 신호의 길이에 관계 없이 적용 가능한 특징을 추출하였다. 오토인코더 모델은 정상 상태의 데이터만으로 고장 분류가 가능하지만, 회전 장비의 특성을 고려하여 마그네틱 스펨트럼 차감 및 특징 경량화 과정을 통해 고장 특징을 보강하고 추출된 특징에 GAN을 적용하여 데이터를 증강하였다. 이는 주변의 노이즈가 증가하면 고장 진단 정확도가 감소하는 오토인코더의 단점을 보완하고자 비회전 및 회전장비의 특성을 고려하여 특징을 보강하였다. 학습에 상용된 MIMII 데이터셋은 실험실 환경과 실제 운영 환경 간의 도메인 이동이 포함되어 있어 실험실 환경의 데이터로 학습된 고장 분류기가 실제 환경에서의 진단 성능이 감소하는 문제가 발생된다. 이를 위해 도메인 적대적 신경망(DANN)을 적용하였다. DANN는 별도의 데이터 처리가 필요하지 않고 소스 도메인의 레이블을 활용해 타겟 도메인의 고장 진단이 가능하다. 위 두가지 방법의 장점을 활용하여 노이즈 상황에 따라 두 모델을 상호 보완적인 방법으로 조합함으로서 장비 운영 환경 변화에 따른 고장 진단을 적용할 수 있음을 확인하였다.","This study addresses the application of deep learning for acoustic signal-based anomaly and fault detection on mechanical equipment. Signals from rotating and non-rotating equipment included in the Malfunctioning Industrial Machine Investigation and Inspection (MIMII) dataset were applied to a deep learning model. We applied unsupervised learning methods utilizing the Variational Autoencoder (VAE) and Domain Adaptation Neural Network (DANN). First, VAEs were utilized to diagnose the fault. The statistical features of the Mel-Frequency Cepstral Coefficients (MFCC) coefficients of the acoustic signal were utilized to extract features that can be used regardless of the length of the audio signal. Considering the characteristics of rotating equipment, feature enhancement was performed by applying Magnitude Spectral Subtraction and feature lightweight, and data augmentation was performed by utilizing a Generative Adversarial Network (GAN) on the extracted features. Although VAE can create a fault classifier using only steady-state data, improving and augmenting the features was necessary considering the characteristics of non-rotating and rotating equipment. The increased ambient noise reduced the accuracy, showing that VAE can accurately diagnose failures. The data used for training contains a domain shift between the laboratory environment and the actual operating environment, which represents a problem where a fault classifier trained on data from the laboratory environment may have poor diagnostic performance in the real world. To solve this problem, a Domain Adaptive Neural Network (DANN) was applied. DANN does not require additional data processing and can utilize labels from the source domain to diagnose faults in the target domain. By utilizing the advantages of the above two methods, we showed that fault diagnosis can be adapted even if the environment of a given equipment changes by combining the procedures according to the noise situation."
오토인코더 기반 IoT 디바이스 트래픽 이상징후 탐지 방법 연구,2024,"['Anomaly Detection', 'Autoencoder', 'IoT Device', 'Network Traffic']","6세대(6G) 이동통신 기술은 초고속과 초대역, 그리고 초연결성을 중심으로 발전하고 있다. 통신 기술의 발전으로 사물 인터넷(IoT) 기술에서 만물 인터넷(IoE) 기술로 확장되며 초연결 사회의 형성이 급속화되고 있다. 하지만 그와 동시에 IoT 디바이스를 대상으로 하는 보안 위협이 광범위해지고 무단 액세스나 정보 유출 등 침해사고에 대한 우려가 커지며 보안 강화 솔루션의 필요성이 증가하고 있다. 이에 따라, 본 논문에서는 IoT 보안 위협에 대응하기 위해 실시간으로 수집한 네트워크 트래픽을 활용하여 오토인코더 기반의 이상징후 탐지 모델을 구현한다. 실제 IoT 환경에서 각종 공격에 대한 IoT 디바이스 트래픽 데이터를 수집하기 어려운 점을 고려하여 비지도 학습 기반의 오토인코더 신경망을 사용하며, 학습 데이터의 노이즈 적용과 잠재 공간의 차원에 따라 서로 다른 6가지 오토인코더 모델을 구현한다. 실험을 통해 모델 성능을 비교하여 비정상적인 네트워크 트래픽을 탐지하는 이상징후 탐지 모델에 대한 성능 평가를 제공한다.","The sixth generation(6G) wireless communication technology is advancing toward ultra-high speed, ultra-high bandwidth, and hyper-connectivity. With the development of communication technologies, the formation of a hyper-connected society is rapidly accelerating, expanding from the IoT(Internet of Things) to the IoE(Internet of Everything). However, at the same time, security threats targeting IoT devices have become widespread, and there are concerns about security incidents such as unauthorized access and information leakage. As a result, the need for security-enhancing solutions is increasing. In this paper, we implement an autoencoder-based anomaly detection model utilizing real-time collected network traffics in respond to IoT security threats. Considering the difficulty of capturing IoT device traffic data for each attack in real IoT environments, we use an unsupervised learning-based autoencoder and implement 6 different autoencoder models based on the use of noise in the training data and the dimensions of the latent space. By comparing the model performance through experiments, we provide a performance evaluation of the anomaly detection model for detecting abnormal network traffic."
변분 오토인코더를 활용한 보행자 이상 궤적 탐지,2024,"['보행자 궤적', '이상 탐지', '딥러닝 모델', '변분 오토인코더', '시공간 분석', 'Pedestrian Trajectories', 'Anomaly Detection', 'VAE', 'Spatiotemporal Analysis']","이동하는 객체의 궤적에서 이상을 탐지하는 것은 안전과 사고예방에 중요한 요소이다. 다양한 유형의 궤적 데이터가 생성되고, 딥러닝 기반의 분석 방법론이 발전하면서 차량, 항공기, 선박 등을 대상으로 이상을 탐지하려는 연구가 이루어지고 있다. 과거에는 궤적의 형태적 유사성을 고려한 연구가 주를 이루었지만, 최근에는 궤적에서 추출한 속도, 방향 등의 특성에 기반해 변분 오토인코더(variational autoencoder), 생성적 적대 신경망(generative adversarial network) 등의 딥러닝 모델을 이용한 분석이 좋은 성능을 보이고 있다. 차량, 선박 등의 궤적에서 이상치를 탐지하는 연구는 있지만, 보행자 궤적에서의 이상치 탐지는 데이터 수집의 한계로 인해서 작은 규모의 실내 궤적, 짧은 CCTV 영상에서 추출한 궤적을 활용한 분석에 그치고 있다. 실내에서 수집된 궤적은 실제 도로상의 궤적과 상이한 패턴을 보이고, 짧은 CCTV 영상에서 수집한 데이터는 시공간 특성 분석에 한계가 있다. 본 연구는 16개 CCTV에서 일주일간 초 단위로 수집한 보행자 궤적을 바탕으로 이상 탐지 아키텍처를 제안하고자 한다. 아키텍처는 데이터 변환 모듈, 재구성 모듈, 이상 탐지 모듈로 구성하였으며, 재구성 모듈에는 변분 오토인코더(VAE, Variational Auto Encoder)를 사용하였다. 궤적의 시계열 특성을 반영하기 위해 인코더와 디코더를 LSTM (Long Short-Term Memory)으로 구성하였으며, 휴리스틱 라벨링을 수행한 검증 데이터셋을 구축해 모델의 성능을 평가하였다. 최종 모델의 정확도는 95.2%이며, 이를 전체 데이터셋에 적용한 후 이상 궤적이 많이 발생하는 시간, 공간적 특징을 확인하였다.","Detecting anomalies in the trajectories of moving objects is critical for safety and accident prevention. With the growing availability of diverse trajectory data and advancements in deep learning methodologies, research has focused on detecting anomalies in vehicles, aircraft, and ships. While previous studies emphasized the morphological similarity of trajectories, recent work has shown promising results by leveraging deep learning models, such as Variational Autoencoders(VAEs) and Generative Adversarial Networks(GANs), using features extracted from trajectories, including velocity and direction. Although there have been studies on anomaly detection in vehicle and ship trajectories, anomaly detection in pedestrian trajectories has been limited due to challenges in data collection. Existing analyses often rely on small-scale indoor trajectory data or short CCTV video extracts, which do not adequately represent patterns on roads and lack comprehensive spatiotemporal characteristics. This study proposes an anomaly detection architecture based on pedestrian trajectories collected every second over one week from 16 CCTV cameras. The architecture consists of data transformation module, reconstruction module, and anomaly detection module, with the reconstruction module employing a Variational Autoencoder(VAE). To capture the temporal characteristics of the trajectories, the encoder and decoder are implemented using Long Short-Term Memory(LSTM) networks. A heuristic labeling method was applied to construct a validation dataset for model performance evaluation, achieving an accuracy of 95.2%. The final model was applied to the full dataset to identify temporal and spatial patterns where anomalies frequently occur."
설비 결함 식별 최적화를 위한 오토인코더 기반N 분할 주파수 영역 이상 탐지,2024,"['이상탐지', '예지보전', '오토인코더', '비지도 학습', '주파수 영역', 'Anomaly Detection', 'Prediction Maintenance', 'Autoencoder', 'Unsupervised Learning', 'Frequency Domain']","제조 분야 설비 예지보전을 위해서 진동, 전류, 온도 등 물리 데이터를 기반으로 설비 이상을 탐지하는 인공지능 학습 모델이 활용되고 있다.설비 결함, 고장 등 설비 이상 유형은 매우 다양하므로, 주로 오토인코더 기반 비지도 학습 모델을 이용한 이상 탐지 방법이 적용되고 있다. 설비상태의 정상, 비정상 여부는 오토인코더의 재구성 오차를 이용해 효과적으로 분류할 수 있지만, 설비 이상의 구체적인 상태를 식별하는 데 한계가있다. 설비 불균형, 정렬 불량, 고정 불량 등 설비 이상 상황 발생 시, 설비 진동 주파수는 특정 영역에서 정상 상태와 다른 패턴을 나타낸다. 본 논문에서는 전체 진동 주파수 범위를 N개 영역으로 나누어 이상 탐지를 수행하는 N 분할 이상 탐지 방법을 제시하였다. 압축기의 진동 데이터를이용해 주파수와 강도를 달리한 9종의 이상 데이터를 대상으로 실험한 결과, N 분할을 적용하였을 때 더 높은 이상 탐지 성능을 나타냈다. 제안방법은 설비 이상 탐지 이후, 설비 이상 구체화에 활용될 수 있다","Artificial intelligence models are being used to detect facility anomalies using physics data such as vibration, current, and temperaturefor predictive maintenance in the manufacturing industry. Since the types of facility anomalies, such as facility defects and failures, anomalydetection methods using autoencoder-based unsupervised learning models have been mainly applied. Normal or abnormal facilityconditions can be effectively classified using the reconstruction error of the autoencoder, but there is a limit to identifying facility anomaliesspecifically. When facility anomalies such as unbalance, misalignment, and looseness occur, the facility vibration frequency shows a patterndifferent from the normal state in a specific frequency range. This paper presents an N-segmentation anomaly detection method thatperforms anomaly detection by dividing the entire vibration frequency range into N regions. Experiments on nine kinds of anomaly datawith different frequencies and amplitudes using vibration data from a compressor showed better performance when N-segmentation wasapplied. The proposed method helps materialize them after detecting facility anomalies."
블록 코드를 위한 오토인코더 기반 채널 디노이저,2024,"['채널 잡음', '잡음 제거기', '오토인코더', '블록 코드', '딥러닝', 'Channel noise', 'Denoiser', 'Autoencoder', 'Block codes', 'Deep learning']","본 논문은 데이터 송수신 과정에서 발생하는 무선 채널 잡음을 데이터 복호 전에 미리 제거하여, 블록 코드의복호 성능을 개선하기 위한 새로운 신경망 기반 채널 디노이저를 제안한다. 제안하는 채널 디노이저는 이미지 데이터 내 잡음 제거에 효과적이라 알려진 오토인코더 구조를 활용하여 무선 채널 잡음을 제거하도록 설계하였다.기존의 다층 퍼셉트론 기반 모델과 성능 비교를 위하여 Polar 코드, LDPC 코드, BCH 코드에 대해 동일한 신경망 복호기를 적용하고 AWGN 채널, Rayleigh fading 채널에서 디노이저 효과를 실험하였다. 실험을 통해 오토인코더 기반 디노이저를 활용한 제안 모델은 가정한 모든 채널 환경과 채널 코드에 대해 다층 퍼셉트론 기반 디노이저를 활용한 기존 모델보다 현저히 낮은 블록 오류율을 보임을 확인하였다.","This paper proposes a new neural network-based channel denoiser designed to remove wireless channel noise before data decoding, thereby improving block code decoding performance. The proposed channel denoiser utilizes an autoencoder structure known to be effective in noise removal within image data. For performance comparison with the existing multi-layer perceptron-based model, the same neural network decoder was applied to Polar codes, LDPC codes, and BCH codes, and the denoiser effect was tested in AWGN and Rayleigh fading channels. Experiments confirmed that the proposed model utilizing an autoencoder-based denoiser significantly outperforms the traditional model using a multi-layer perceptron-based denoiser regarding block error rate across all assumed channel environments and channel codes."
"""가우시안 커널 밀도 추정 함수를 이용한 오토인코더 기반 차량용 침입 탐지 시스템""",2024,"['""Automotive', 'Autoencoder', 'Controller Area Network', 'Deep Learning', 'Intrusion Detection System', 'Unsupervised Learning', 'Gaussian Kernel Density Estimation""']","""본 논문에서는 비지도학습 모델인 오토인코더와 가우시안 커널 밀도 추정 함수를 이용하여 차량용 CAN 네트워크에서 비정상적인 데이터를 탐지하는 방안을 제안한다. 제안하는 오토인코더 모델은 정상 데이터에서 CAN 프레임의 ID만으로 학습시킨다. 이후가우시안 커널 밀도 추정 함수를 이용하여 구한 최적의 프레임 개수와 손실 임계값을 가지는 모델을 사용하여 비정상 데이터를 효과적으로 탐지한다. DoS 공격, Gear 스푸핑 공격, RPM 스푸핑 공격, Fuzzy 공격 등 4가지 공격 데이터로 오토인코더 기반 IDS를검증하였으며 성능을 평가하였다. 기존 비지도학습 기반 모델들과 비교했을 때 우수한 성능을 나타냈으며 모든 평가 지표에서 99% 이상의 성능을 나타냈다.""","""This paper proposes an approach to detect abnormal data in automotive controller area network (CAN) using an unsupervised learning model, i.e. autoencoder and Gaussian kernel density estimation function. The proposed autoencoder model is trained with only message ID of CAN data frames. Afterwards, by employing the Gaussian kernel density estimation function, it effectively detects abnormal data based on the trained model characterized by the optimally determined number of frames and a loss threshold. It was verified and evaluated using four types of attack data, i.e. DoS attacks, gear spoofing attacks, RPM spoofing attacks, and fuzzy attacks. Compared with conventional unsupervised learning-based models, it has achieved over 99% detection performance across all evaluation metrics"""
다중 센서 데이터를 활용한 오토인코더 기반 화재감지 모델,2024,"['오토인코더', '화재감지', '이상 탐지', '시계열 데이터', '다중 센서', 'Autoencoder', 'Fire detection', 'Anomaly detection', 'Time series data', 'Multiple sensors']",,
오토인코더 기반의 머신러닝을 통한 가스터빈 연소기에서의 연소불안정 진단,2024,"['Combustion Instability(연소 불안정)', 'Dynamic Pressure(동압)', 'Waveform Pattern(파형 패턴)', 'Auto-Encoder(오토인코더)']",,"Various diagnostic models for combustion instability based on statistical techniques and machine learning using measured or monitored data are being developed to suppress instabilities in power generation gas turbines. In this paper, we proposed a combustion state diagnosis model using an auto-encoder, one of machine learning approaches. This model has been trained using two main input components; magnitude and waveform pattern of time series dynamic pressure which is measured from a real-scale single nozzle gas turbine combustor. As a result of training, the model could successfully classify the pre-processed input data into stable, transition, and unstable states onto the feature map of the latent space. Especially, in contrast with existing combustion instability monitoring tools based on statistical techniques, the current auto-encoder model provided accurate combustion state diagnosis performance for stable and transition states of dynamic pressure."
오토인코더를 활용한 다채널 센서 신호 소실 복원,2024,"['신호 복원', '다채널 센서 데이터', '오토인코더', '딥러닝', '신호 소실', 'Restoration', 'Multi-channel Signal', 'Autoencoder', 'Deep Learning', 'Signal Loss']",,
오토인코더 기반 전동차 정지형 인버터 고장 예지 관련 연구,2024,"['정지형 인버터(SIV)', '유지보수', '오토인코더', '인공지능', '고장예지', '고장진단']","전동차의 정지형 인버터(SIV, Static Inverter)는 열차 내부 전기 장치에 전력을 공급하는 핵심장치로, 사전 고장 예측을 통한 예지 정비가 요구된다. 그러나 관련 기술 부족으로 인해 예지정비가 활성화되지 못한 상황이다. 본 연구에서는 전동차 TCMS(Train Control and Monitoring System) 데이터를 활용하여 추가적인 센서 설치 없이 SIV 고장을 사전에 예측하고 유지 보수할 수 있는 고장예지 시스템을 제안한다. 제안된 시스템은 정상 데이터를 오토 인코더로 학습하여 고장을 진단하는 방식을 활용함으로써 학습 데이터 부족 문제를 해결하였다. 또한, 현장 작업자의 편의성을 위해 GUI(Graphic User Interface)를 구현하였다. 본 연구에서 개발한 시스템은 SIV 정비 과정의 효율성을 크게 향상시키며, 철도 운행의 안전성과 신뢰성을 높이는 데 기여할 것으로 기대된다.","The Static Inverter (SIV) in electric trains is a critical component supplying power to onboard systems, requiring predictive maintenance for fault prevention. However, the lack of related technologies has hindered its implementation. This study proposes a fault prediction system using Train Control and Monitoring System (TCMS) data without additional sensors. By training an autoencoder on normal data, the system addresses the issue of limited fault data for diagnosis. A Graphic User Interface (GUI) was also developed to enhance usability for field operators. The proposed system improves SIV maintenance efficiency and contributes to safer, more reliable railway operations."
