title,date,keywords,abstract,multilingual_abstract
GAN기반의 Semi Supervised Learning을 활용한 이미지 생성 및 분류,2024,"['인공지능', 'GAN', 'ResNet50', 'Image Classification', 'Neural Network', 'Artificial intelligence', 'Generative Adversarial Network', 'ResNet50', 'Image Classification', 'Neural Network']",,"This study deals with a method of combining image generation using Semi Supervised Learning based on GAN (Generative Adversarial Network) and image classification using ResNet50. Through this, a new approach was proposed to obtain more accurate and diverse results by integrating image generation and classification.The generator and discriminator are trained to distinguish generated images from actual images, and image classification is performed using ResNet50. In the experimental results, it was confirmed that the quality of the generated images changes depending on the epoch, and through this, we aim to improve the accuracy of industrial accident prediction. In addition, we would like to present an efficient method to improve the quality of image generation and increase the accuracy of image classification through the combination of GAN and ResNet50."
Supervised deep learning-based synthetic computed tomography from kilovoltage cone-beam computed tomography images for adaptive radiation therapy in head and neck cancer,2024,"['Cone-beam computed tomography', 'Synthetic CT', 'Deep learning', 'Supervised U-Net', 'Adaptive radiation therapy', 'Head and neck cancer']",,"Purpose: To generate and investigate a supervised deep learning algorithm for creating synthetic computed tomography (sCT) images from kilovoltage cone-beam CT (kV-CBCT) images for adaptive radiation therapy (ART) in head and neck cancer (HNC).Materials and Methods: This study generated the supervised U-Net deep learning model using 3,491 image pairs from planning CT (pCT) and kV-CBCT datasets obtained from 40 HNC patients. The dataset was split into 80% for training and 20% for testing. The evaluation of the sCT images compared to pCT images focused on three aspects: Hounsfield units accuracy, assessed using mean absolute error (MAE) and root mean square error (RMSE); image quality, evaluated using the peak signal-to-noise ratio (PSNR) and structural similarity index (SSIM) between sCT and pCT images; and dosimetric accuracy, encompassing 3D gamma passing rates for dose distribution and percentage dose difference.Results: MAE, RMSE, PSNR, and SSIM showed improvements from their initial values of 53.15 ± 40.09, 153.99 ± 79.78, 47.91 ± 4.98 dB, and 0.97 ± 0.02 to 41.47 ± 30.59, 130.39 ± 78.06, 49.93 ± 6.00 dB, and 0.98 ± 0.02, respectively. Regarding dose evaluation, 3D gamma passing rates for dose distribution within sCT images under 2%/2 mm, 3%/2 mm, and 3%/3 mm criteria, yielded passing rates of 92.1% ± 3.8%, 93.8% ± 3.0%, and 96.9% ± 2.0%, respectively. The sCT images exhibited minor variations in the percentage dose distribution of the investigated target and structure volumes. However, it is worth noting that the sCT images exhibited anatomical variations when compared to the pCT images.Conclusion: These findings highlight the potential of the supervised U-Net deep learningmodel in generating kV-CBCT-based sCT images for ART in patients with HNC."
Deep Learning-Based Inverse Design for Engineering Systems: A Study on Supervised and Unsupervised Learning Models,2024,"['Deep Learning', 'Inverse Design', 'Design Optimization', 'Supervised and Unsupervised Learning']",,"Recent studies have shown that inverse design using deep learning has the potential to rapidly generate the optimal design that satisfies the target performance without the need for iterative optimization processes. Unlike traditional methods, deep learning allows the network to rapidly generate a large number of solution candidates for the same objective after a single training, and enables the generation of diverse designs tailored to the objectives of inverse design. These inverse design techniques are expected to significantly enhance the efficiency and innovation of design processes in various fields such as aerospace, biology, medical, and engineering. We analyzes inverse design models that are mainly utilized in the nano and chemical fields, and proposes inverse design models based on supervised and unsupervised learning that can be applied to the engineering system. It is expected to present the possibility of effectively applying inverse design methodologies to the design optimization problem in the field of engineering according to each specific objective."
Improved contrastive learning model via identification of false-negatives in self-supervised learning,2024,"['contrastive learning', 'data representation', 'false-negatives', 'self-supervised learning']",,"Self-supervised learning is a method that learns the data representation through unlabeled data. It is efficient because it learns from large-scale unla-beled data and through continuous research, performance comparable to supervised learning has been reached. Contrastive learning, a type of self-supervised learning algorithm, utilizes data similarity to perform instance-level learning within an embedding space. However, it suffers from the problem of false-negatives, which are the misclassification of data class during training the data representation. They result in loss of information and deteriorate the performance of the model. This study employed cosine similarity and tempera-ture simultaneously to identify false-negatives and mitigate their impact to improve the performance of the contrastive learning model. The proposed method exhibited a performance improvement of up to 2.7% compared with the existing algorithm on the CIFAR-100 dataset. Improved performance on other datasets such as CIFAR-10 and ImageNet was also observed."
Contrastive Learning with Cross-Part Bidirectional Distillation for Self-supervised Skeleton-Based Action Recognition,2024,"['Skeleton-based Action Recognition', 'Contrastive Learning', 'Self-attention', 'Knowledge Distillation', 'Skeleton Segmentation']",,"Since self-supervised learning does not require a large amount of labelled data, some methods have employed self-supervised contrastive learning for 3D skeleton-based action recognition. As the skeleton sequence is a highly correlated data modality, current work only considers the global skeleton sequence after forming different views by data augmentation and input to the contrastive encoding network. Moreover, it does not focus on the local semantic information of the skeleton that leads to certain fine-grained and ambiguous classes of actions on which existing methods may be more difficult to distinguish. Therefore, we propose a self-supervised contrastive learning method with bidirectional knowledge distillation across part streams for skeleton-based action recognition. On the one hand, unlike traditional methods, a pose based factorization of skeleton sequences is performed to form two partial streams, and employ a single partial stream contrastive learning method to encode action features for each of these two streams. On the other hand, we design a contrastive learning framework based on relational knowledge distillation, named cross-part bidirectional distillation (CPBD), to train the upstream self-supervised model in a more reasonable way, and to improve the downstream action recognition accuracy. The proposed recognition framework is evaluated on three datasets: NTU RGB+D 60, NTU RGB+D 120, and PKU-MMD, which achieves the state-of-the-art result performance, and we obtained 92.0% accuracy in PKU-MMD Part I with the linear evaluation protocol. Furthermore, the recognition architecture could distinguish more challenging ambiguous action samples, such as touch head, touch neck, etc."
"SARA: A Lightweight, Unknown-Oriented, Semi- Supervised Network Traffic Classification Approach Based on Ensemble Multiple Sub-classifiers Learning",2024,"['Network Traffic Classification', 'Semi-supervised Learning', 'Feature Selection', 'Deep Auto-coder', 'Clustering Analysis']",,"Machine learning (ML) technology is critical to flow statistical features for network traffic classification. Unfortunately, much work has been focused on using ML techniques to solve the problems related to the classification of network traffic, such as a severe degradation in classification performance and the difficulty of identifying unknown flows in the real world. Such problems are mainly caused by flow features’ high dimensionality and redundancy, the imbalanced number of traffic classes, concept drift due to Internet traffic, and over reliance on labeled data. To overcome these problems, this paper proposes a novel approach based on the idea of semi-supervised learning for network traffic classification, called SARA (feature Selection, deep Auto-coder, Redundancy Analysis), which introduces deep learning, efficient feature processing methods and a heuristic traffic classification model in order to achieve an outstanding overall optimization. This paper shows analytically that SARA can solve the unknown flow identification problem in most situations. Based on real traffic traces, the experimental results show that the proposed approach can efficiently reduce a feature space’s dimensions and deal with the multi-class imbalance and concept drift problems in terms of ML. Furthermore, it can improve the classification performance and have a beneficial classification effect on unknown flows."
Improving Chest X-ray Image Classification via Integration of Self-Supervised Learning and Machine Learning Algorithms,2024,"['Chest X-ray image', 'Contrastive learning', 'Image classification', 'Self-supervised learning']",,"In this study, we present a novel approach for enhancing chest X-ray image classification (normal, Covid-19, edema, massnodules, and pneumothorax) by combining contrastive learning and machine learning algorithms. A vast amount of unlabeleddata was leveraged to learn representations so that data efficiency is improved as a means of addressing the limited availabilityof labeled data in X-ray images. Our approach involves training classification algorithms using the extracted features from alinear fine-tuned Momentum Contrast (MoCo) model. The MoCo architecture with a Resnet34, Resnet50, or Resnet101backbone is trained to learn features from unlabeled data. Instead of only fine-tuning the linear classifier layer on the MoCopretrainedmodel, we propose training nonlinear classifiers as substitutes for softmax in deep networks. The empirical resultsshow that while the linear fine-tuned ImageNet-pretrained models achieved the highest accuracy of only 82.9% and the linearfine-tuned MoCo-pretrained models an increased highest accuracy of 84.8%, our proposed method offered a significantimprovement and achieved the highest accuracy of 87.9%."
Supervised Learning in Model Reference Adaptive Sliding Mode Control,2024,"['Adaptive control', 'adaptive sliding mode control (ASMC)', 'back-propagation algorithm', 'chattering reduction', 'model reference adaptive control (MRAC)', 'online learning algorithms.']",,"The well known back-propagation algorithm has revolutionized machine learning and artificial intelligence, particularly in neural network applications. Although gradient descent-based algorithms are utilized in control applications, they are not as prevalent as in neural network applications. This discrepancy can be attributed to the successful development of various adaptation laws which ensure system stability while meeting the required design criteria. Many of these laws can be found in model reference adaptive control (MRAC) and adaptive sliding mode control (ASMC). This paper investigates the applicability of the Brandt-Lin (B-L) learning algorithm, mathematically equivalent to the back-propagation algorithm, in adaptive control applications. We find that combining the B-L learning algorithm with SMC yields a robust controller suitable for model reference adaptive sliding mode control (MRA-SMC). The controller is applicable to linear and a class of nonlinear dynamic systems and is suitable for efficient implementation. We derive the stability criteria for this controller and conduct simulations to study the adaptation’s impact on chattering. Our work exemplifies one approach to adopt the back-propagation algorithm in control applications."
SeMA-UNet: A Semi-Supervised Learning with Multimodal Approach of UNet for Effective Segmentation of Key Components in Railway Images,2024,['Mean teacher  · Multimodal  · Railway segmentation  · Semi-supervised learning  · UNet'],,"Railway system maintenance, crucial for ensuring safety and effi ciency, faces challenges in eff ectively managing its vital components, including tracks, railroad ties, and fasteners. While various methodologies target these components, the limited availability of diverse railway datasets presents a signifi cant hurdle. Addressing this, we introduce SeMA-UNet, a pioneering deep learning model designed to optimize performance in data-constrained scenarios. Seamlessly integrating semi-supervised learning with multimodal strategies, SeMA-UNet excels in preprocessing railway images, conducting comprehensive feature extraction to generate rich multimodal data. This process is further augmented by advanced techniques, notably the Monte Carlo simulation. Empirical results underscore SeMA-UNet’s robustness, with metrics such as an IoU of 0.9464, an AUC of 0.9796, and an mAP of 0.9468. Beyond its primary function of accurately identifying maintenance-critical regions, the model’s capabilities extend to advanced anomaly detection, heralding a new era in enhancing the reliability and safety of railway systems."
A Study on Improving Face Recognition Accuracy Through Self-Supervised Learning,2024,"['Face Recognition', 'Self-Supervised Learning', 'Out-of-Distribution', 'Transformer', 'Contrastive Learning']",,"In the context of face recognition, traditional methods have limitations when dealing with out-of-distribution data. To address these challenges, our study leverages the potential of unsupervised training within the transformer architecture. We developed an automatic video processing approach and a two-stage training model. This method utilizes both abundant unlabeled data in the wild and high-quality labeled data to enhance the training process, employing self-supervised contrastive loss and supervised classification loss, respectively. Experimental results demonstrate the superiority of our approach in terms of generalization across diverse data distributions and improved accuracy. This study validates the effectiveness of unsupervised training for face recognition and is expected to contribute to advancements in handling out-of-distribution data."
