title,date,keywords,abstract,multilingual_abstract
Prediction of the ROP based on GA-LightGBM and drilling data,2025,"['Rate of penetration', 'drilling data', 'machine learning', 'GA-LGBM model', 'intelligent prediction']",,"Constructing oil and gas wells is one of the most expensive activities in the petroleum sector, and increasing drilling speed is crucial for reducing costs, minimizing non-productive time (NPT), and improving efficiency. To address this challenge, a data-driven predictive model for mechanical drilling speed was developed using an artificial intelligence approach. Several machine learning algorithms – including decision trees, support vector regression, k-nearest neighbors, neural net- works, XGBoost, and LightGBM – were selected to thoroughly investigate the nonlinear relation- ship  between  drilling  data  and  the  rate  of  penetration  (ROP).  These  models  were  trained, evaluated,  and  compared,  with  results  indicating  that  the  LightGBM  algorithm  provided  the most accurate ROP predictions. Building on this, the LightGBM model was further refined using cross-validation techniques and a genetic algorithm (GA) to optimize its hyperparameters, result- ing in even greater accuracy. The research findings demonstrate that the GA-LightGBM algorithm achieves high precision in ROP prediction on the test set (MAE = 2.39, MSE = 10.53, R2 = 0.93). This model effectively predicts mechanical drilling speed in various well sections, thereby aiding in optimizing the drilling process, improving production efficiency, and reducing costs"
비상급수 자료 기반의 기계학습 기법을 활용한 가뭄 위험도 예측 기법 개발,2025,"['Drought', 'Emergency water supply', 'LightGBM', 'RandomForest', 'XGBoost', '가뭄', '비상급수자료', 'LightGBM', 'RandomForest', 'XGBoost']","본 연구는 인공지능 기법을 활용하여 가뭄 위험도를 예측하는 방법론을 개발하였다. 기존의 가뭄 예측 연구들은 다양한지수를 활용했지만, 실제 피해 사례를 반영한 연구는 부족하여 본 연구는 비상급수 자료를 활용하여 가뭄 피해의 위험도를정량적으로 평가하고 예측하는 기법을 개발하였다. 전라도 지역(여수, 완도, 임실, 정읍, 장수, 장흥, 고흥)을 대상으로 기상데이터(풍속, 기온, 습도, 일조량), 수문 데이터(댐 수위 및 방류량), 표준강수지수, 비상급수 발생 데이터를 수집하였다. 가뭄예측 모델로는 RandomForest, XGBoost, LightGBM을 적용하였으며, 3가지 사례(Case 1, Case 2, Case 3)로 성능 평가를 진행하였다. Case 1에서는 모든 지역의 데이터를 통합하여 학습 및 평가를 수행한 결과, 세 모델 모두 높은 정확도를 보였다. Case 2에서는 지역별로 데이터를 나누어 예측을 수행한 결과, 완도 지역을 제외한 대부분의 지역에서 성능이 저조하였다. Case 3에서는 완도 지역을 대상으로 최적화한 모델을 적용한 결과, 높은 예측 정확도를 확인하였다. 완도 지역에서의 예측 성능이가장 우수하였으며, 이는 해당 지역의 데이터가 충분히 확보되었기 때문으로 판단된다. 본 연구는 기존 연구들과 달리 실제피해 데이터를 활용하여 보다 실질적인 가뭄 위험 예측이 가능하다는 것을 확인하였다.","This study developed a methodology for predicting drought risk using machine learning techniques. While previous drought prediction studies have used various indices, few have incorporated actual impact or damage resulting from drought events. Hence, this research attempted to use emergency water supply data to quantitatively evaluate and predict drought risk. Data were collected for the Jeolla region (Yeosu, Wando, Imsil, Jeongeup, Jangsu, Jangheung, and Goheung), including meteorological data (wind speed, temperature, relative humidity, and sunshine hours), hydrological data (dam water levels and discharge), the Standardized Precipitation Index (SPI), and emergency water supply data.RandomForest, XGBoost, and LightGBM were applied as drought prediction models, and their performance was evaluated in three scenarios. In Case 1, where data from all regions were combined for training and evaluation, all three models showed high accuracy. In Case 2, the data were divided by region for prediction, and most regions showed low performance except Wando. In Case 3, a model optimized for Wando was applied, resulting in high predictive accuracy. Wando island’s superior performance is presumed to be due to the availability of sufficient data from that region. Unlike previous research, this study confirms that using actual damage data allows for more practical and effective drought risk prediction."
제주도 동부지역의 지하수위 예측을 위한 머신러닝 기법의 적용,2025,"['ANN', 'ELM', 'LSSVR', 'LightGBM', '지하수위', 'ANN', 'ELM', 'LSSVR', 'LightGBM', 'groundwater level']","본 연구에서는 제주도 동부 지역의 지하수위 예측을 위한 머신러닝 모델로서 ANN, ELM, LSSVR, LightGBM을 적용하였으며, 모델 평가지표와 도식적 비교를 통해 적용 모델의 지하수위 예측 성능을 평가하였다. 자기상관성이 강한 지하수위 예측에 있어서 비교 모델들은 1일 예측에서 모두 매우 우수한 예측 성능을 나타낸 반면, 7일 예측에서는 예측 성능이 저하되었으며, 비교 모델들간 예측 성능은 거의 비슷하게 나타났다. 또한, 해안지역의 경우 조위변동의 영향으로 인하여 내륙지역보다 지하수위 예측 성능이 다소 저하됨을 확인할 수 있었다. 자기상관성이 강한 지하수위 예측에 있어서 예측 결과가 비슷하 게 나타날 경우 ANN, ELM 등과 같이 상대적으로 복잡한 상세 튜닝을 필요로 하지 않는 머신러닝 모델의 적용성이 상대적으로 우수할 것으로 판단된다. 따라서 머신러닝 모델을 이용한 지하수위 예측은 제주도의 지하수자원을 위한 효과적인 관리도구가 될 수 있을 것이다.","This study applies ANN, ELM, LSSVR, and LightGBM as machine learning models for groundwater level forecasting in the eastern region of Jeju Island, South Korea. The groundwater level forecasting performance of the applied models is evaluated through model evaluation indices. In forecasting the groundwater levels with strong autocorrelation, the comparative models all show excellent performance in the 1-day forecasting. In contrast, the forecasting performance deteriorates in the 7-day forecasting. The results also show that the forecasting performances among the comparative models are almost similar. In addition, it is confirmed that in coastal areas, groundwater level forecasting performance deteriorates compared to inland areas due to the influence of tidal variation. When forecasting results are similar in forecasting the groundwater levels with strong autocorrelation, models that do not require relatively complex detailed tuning, including ANN and ELM, can have excellent applicability. Therefore, groundwater level forecasting using machine learning models can be an effective tool for groundwater resources in Jeju Island."
KBO 리그 관중 수 예측을 위한 앙상블 학습 모델 비교 연구,2025,"['KBO', 'Ensemble Learning', 'Attendance Prediction', 'LightGBM', 'SHAP analysis', 'KBO', '앙상블 학습', '관중 예측', 'LightGBM', 'SHAP 분석']",,"This study developed and analyzed ensemble learning-based prediction models for forecasting attendance in the KBO League. Using KBO League data from 2022 to 2024, we collected variables such as team rankings, winning rates, consecutive wins/losses, search volume, stadiums, and home/away games, with the attendance ratio compared to stadium capacity set as the target variable. In the data preprocessing phase, Monday games were excluded, and the home/away attendance ratio was set to 7:3 to enhance model realism. Among various ensemble models compared, including Linear Regression, Random Forest, XGBoost, and LightGBM, the LightGBM model showed the best performance with an RMSE of 8.39 and R² Score of 0.783. Feature importance analysis revealed that online search volume (28.17%) and winning rate (25.17%) had the most significant impact on attendance, while team (10.57%) and day of the week (9.73%) also showed meaningful influence. Additionally, SHAP (SHapley Additive exPlanations) analysis provided insights into the directional impact of each variable on predictions, particularly revealing that the home/away factor had a stronger influence than expected through interactions with other variables. This study is significant in providing a practical prediction model that can assist KBO teams in establishing attendance strategies and making marketing decisions."
머신러닝 기반 현금기부행동 예측 및 분석 - 일상적 안녕에 대한 태도를 중심으로 -,2025,"['charitable civing', 'tripartite model of attitudes', 'everyday well-being attitudes', 'machine learning', 'XGBoost', 'LightGBM', '현금기부행동', '태도의 삼각구조 모델', '일상적 안녕에 대한 태도', '머신러닝', 'XGBoost', 'LightGBM']","본 연구는 개인의 현금기부행동에 대한 이해를 증진하고 기부 활성화 방안을 모색하기 위해, 성인 약 20만 명의 ‘일상적 안녕에 대한 태도’를 통해 현금기부행동을 예측하고 관계를 분석했다. 이를 위해 '태도의 삼각구조 모델'을 이론적 기반으로 하고, 트리-기반 머신러닝 알고리즘을 적용하여 현금기부행 동을 예측하였으며, SHAP 요약 도표, PDP, ALE, SHAP DP 등을 활용하여 예측의 근거를 분석했다. 연구에서 도출된 주요 발견은 다음과 같다. 첫째, XGBoost와 LightGBM 알고리즘은 현금기부행동 예측에서 우수한 성능을 보여 머신러닝 기법의 유용성을 확인하였다. 둘째, 태도의 삼각구조 모델 분석 결과, 행동적 차원의 태도 변수들이 현금기부행동 예측에 결정적인 역할을 하는 것으로 확인되었다. 셋째, 현금기부행동을 예측할 수 있는 가장 강력한 예측변수는 ‘향후 기부 참여의사’로 나타났으며, '노후준비'는 개인의 현금기부행동을 예측할 수 있는 새로운 핵심 변수로 파악되었고, ‘독서’나 ‘여행’ 의 부재는 현금기부행동의 부재를 예측하는 주목할 지표로 확인되었다. 넷째, ‘자원봉사’와 ‘물품기부’의 경우 참여 빈도나 분야의 다양성보다 참여 여부가 현금기부행동을 예측하는 중요한 요인으로 밝혀졌다. 다섯째, 감정적 차원의 태도 변수들은 단순 선형관계가 아닌 일정 수준 이상이 되어야 현금기부활동이 활성화되는 경향을 보여 현금기부행동에 있어 정서적 평가의 임계점이 존재한다는 통찰을 제공했다. 본 연구는 현금기부행동에 대한 이론적 이해를 심화하고 실천현장에서 활용 가능한 예측모델과 전략을 제시했다는 점에서 의의가 있다.","This  study  aims  to  predict  and  analyze  charitable  giving  behavior  based  on attitudes  toward  everyday  well-being  and  the  tripartite  model  of  attitudes  to enhance  understanding  and  promotion  of  charitable  giving.  For  this  purpose, tree-based machine learning algorithms were applied to predict charitable giving behavior using data from approximately 200,000 adults, and the prediction results were  analyzed  through  interpretation  techniques  such  as  SHAP  summary  plots, PDP,  ALE,  and  SHAP  DP.  The  findings  were  as  follows:  First,  XGBoost  and LightGBM  algorithms  demonstrated  high  predictive  power  for  charitable  giving behavior.  Second,  in  the  tripartite  model  of  attitudes,  the  behavioral  dimension played the most crucial role in predicting charitable giving. Third, ‘future intention to  donate’  emerged  as  the  strongest  predictor  of  charitable  giving  behavior. ‘Retirement  preparation’  was  also  identified  as  a  significant  predictor,  and  the absence of activities such as ‘reading’ or ‘traveling’ was found to be a meaningful predictor of the absence of charitable giving behavior. Fourth, for volunteer work and  in-kind  donations,  participation  itself  was  found  to  be  more  important  in predicting charitable giving behavior than the frequency or variety of participation. Fifth,  affective  dimension  variables  showed  positive  relationships  with  charitable giving behavior only above certain thresholds, suggesting the existence of emotional evaluation thresholds in charitable giving behavior."
수출입 물류기업의 한계기업 조기 식별을 위한 머신러닝 예측모형 연구,2025,"['한계기업', '물류산업', '머신러닝', 'Zombie Firm', 'Logistics Industry', 'Machine Learning']","본 연구는 수출입 물류산업을 대상으로 머신러닝 기법을 활용하여 한계기업을 조기에 식별할 수 있는 예측모형을 구축하고, 설명가능한 AI 기법인 SHAP(Shapley Additive Explanations)을 통해 주요영향변수를 분석하였다. 구체적으로 2001년부터 2024년까지 국내 물류기업들의 재무자료와 거시경제 지표를 결합하여 로지스틱 회귀, 랜덤 포레스트, XGBoost, LightGBM, CatBoost 등 다섯 가지알고리즘을 교차검증으로 비교하였으며, 그 결과 LightGBM 모델이 가장 높은 예측 정확도를 보였다.이후 선정된 모델에 SHAP 값을 적용한 결과, 기업규모(총자산 로그값), 자산 활용도(총자산회전율), 부채관리 지표(차입금의존도, EBITDA 대비 부채비율), 유동성 지표(유동비율, 당좌비율), 수익성(영업이익률), 성장성(매출액증가율), 생산성(직원 1인당 매출액), 그리고 국내 물동량 성장률 등이 한계기업분류에서 핵심적으로 작용함을 확인하였다. 이러한 결과는 물류기업이 자본집약적 구조와 경기변동에민감하다는 산업 특성을 반영하여, 부채와 현금흐름, 자산 효율성, 그리고 거시환경 지표를 종합적으로 고려해야 함을 시사한다. 본 연구는 조기경보 시스템 관점에서 실무 적용 가능한 고정밀 예측모형을 제안함과 동시에, 한계기업 발생 원인에 대한 구체적 해석을 제공함으로써 물류산업의 부실 예방 및 정책수립에 기여할 수 있을 것으로 기대한다.","This study develops a machine learning-based model for early detection of zombie firms in the export-import logistics industry and applies SHAP (Shapley Additive Explanations) to identify key variables affecting firm insolvency. Using financial data and macroeconomic indicators of Korean logistics firms from 2001 to 2024, we compare five classification algorithms—Logistic Regression, Random Forest, XGBoost, LightGBM, and CatBoost—via cross-validation and find that the LightGBM model achieves the highest prediction accuracy. The SHAP analysis of the final model reveals that corporate size (log of total assets), asset utilization (total asset turnover), debt indicators (debt-to-EBITDA ratio, dependence on borrowed capital), liquidity ratios (current ratio and quick ratio), profitability (operating margin), growth metrics (sales growth rate, revenue per employee), and domestic freight growth rate are critical factors for distinguishing zombie firms. These findings underscore the importance of considering not only leverage and profitability but also firm-specific efficiency, liquidity, and macro-level demand to properly assess bankruptcy risks in the capital-intensive and highly cyclical logistics sector. By presenting a high-accuracy early warning system and offering interpretable insights via SHAP, this study provides practical and policy-oriented guidance for mitigating insolvency risks and enhancing financial stability in the logistics industry."
기계학습을 활용한 마늘 생체중 예측,2025,"['Garlic', 'Machine Learning', 'Fresh weight', '마늘', '생체중', '머신러닝']","본 연구는 표현 형질 생육 데이터인 엽장, 엽 수와 기상 데이터인 생육도일을 활용하여 여러 기계 학습을 통해 마늘의 생체중을 예측하는 모델을 개발하고자 하였다. 검증 데이터에서 random forest 모델의 결정계수가 0.924, 평균제곱근오차(g)는 13.583 그리고 평균절대오차는 8.885로 가장 우수하였다. 평가 데이터에서는 Catboost 모델이 결정계수가 0.928,평균제곱근오차(g)는 13.486 그리고 평균절대오차는 9.181 로 가장 우수하였다. 그러나 Catboost, Random forest 그리고LightGBM 모델을 0.5, 0.3 그리고 0.2 가중치를 두어 학습한Weighted ensemble 모델이 마늘 생체중 예측의 검증 및 평가에 있어서 검증 데이터의 결정계수가 0.922, 평균제곱근오차(g)가 13.752 그리고 평균절대오차는 8.877이었으며 평가 데이터에서는 결정계수가 0.923, 평균제곱근오차(g)가 13.992 그리고 평균절대오차가 9.437로 두 번째로 우수한 결과를 나타내었다. 이러한 결과들을 종합적으로 미루어 보았을 때, Weighted ensemble 모델이 모델의 안정성 측면에서 최적의모델이라고 판단하였다. 따라서 농가들이 표현 형질과 기상데이터만으로도 기계학습 기법을 통하여 마늘의 생체중 예측을 통해 작형 모니터링이 가능할 것으로 보이며 추가적으로다년도 데이터 취득과 검증을 통하여 성능을 고도화가 가능할것으로 판단된다.","This study aimed to develop a model for predicting garlic fresh weight using various machine learning techniques based on growth data, including leaf length, leaf count, and growing degree days as meteorological data. In the validation dataset, the Random forest model exhibited the highest performance with R2 of 0.924, RMSE (g) of 13.583, and MAE of 8.885. In the test dataset, the Catboost model outperformed others with R2 of 0.928, RMSE (g) of 13.486, and MAE of 9.181. However, a Weighted ensemble model trained with weights of 0.5, 0.3, and 0.2 for Catboost, Random forest, and LightGBM models, respectively, demonstrated the second-best performance in both the validation and test datasets, with R2 of 0.922 and 0.923, RMSE (g) of 13.752 and 13.992, and MAE of 8.877 and 9.437, respectively. Based on these findings, the Weighted ensemble model was deemed the optimal choice. Thus, it is suggested that farmers can employ machine learning techniques to predict garlic fresh weight using only phenotypic and meteorological data, facilitating field monitoring. However, further data acquisition and validation over multiple years are essential to refine the model’s performance."
텍스트 마이닝 기반 처방 결정을 위한 머신러닝 모델 선정 - 사상체질 단일 처방 치험례를 활용하여,2025,"['Data Mining', 'Machine Learning', 'Case reports', 'Four-Constitution Medicine', 'Random Forest Classifier']",,"Objectives : We analyzed Sasang constitution case reports using text mining and designed a classification algorithm using machine learning to select a model suitable for determining Sasang constitution prescriptions based on text data.Methods: Case reports on Sasang constitution published from January 1, 2000, to December 31, 2023, were collected.A total of 360 papers and 483 cases were identified, from which text was extracted for 253 cases. The extracted texts were preprocessed and tokenized using the Python-based KoNLPy package, and each morpheme was vectorized using TF-IDF values. To select the most suitable classification model for diagnosing Sasang constitution, the performance of five models—Random Forest Classifier, XGBoost, LightGBM, SVM, and Logistic Regression—was evaluated based on accuracy and F1-Score.Results: The highest accuracy was achieved by Random Forest Classifier (0.57037), followed by SVM (0.544444), Logistic Regression (0.518519), LightGBM (0.481481), and XGBoost (0.474074). The F1 score was highest for Random Forest Classifier (0.528), followed by SVM (0.52039), Logistic Regression (0.500861), XGBoost (0.45866), and LightGBM (0.446349).Conclusions: This study is the first to analyze Sasang constitution prescription decisions by applying text mining and machine learning to case reports, providing a concrete research model for follow-up studies. Based on case reports and text data, the most suitable machine learning model for determining Sasang constitution prescriptions is Random Forest Classifier."
수처리공정에서 AI 기반 자율 운영 모델 연구,2025,"['Supervisory Control System', 'Deep Learning', 'Big Data', 'Water Treatment Process', 'Autonomous Operation', '감시제어시스템', '딥러닝', '빅데이터', '수처리공정', '자율운영']","본 논문에서는 정수장 수처리공정 운영 시 감시제어시스템에서 취득한 데이터에 대해 빅데이터 분석과 인공지능 알고리즘을 융합하여 자율운영 모델을 개발하고 시뮬레이션하여 검증하였다. 약품공정은  N-Beats 모델을 선택하였으며, 약품 사용량을 절감(-1.91 ℓ/h)하여 응집제 주입량의 자율운영 가능성을 확인하였다. 침전공정은  LightGBM 모델을 선택하였고, 슬러지 수집기 운행 스케줄에 대해  슬러지 발생량 예측 결과에 따라 연동되도록 제어 로직을 개발하였다. 해당 모델의 현장 시뮬레이션 결과에서 슬러지 발생량이 예측값과 실제값이 거의 유사하였다. 또한, 기존 운영 스케줄보다 슬러지 수집기 운행 시간 단축(43시간)에 따른 전기에너지 소비량 감소 효과와 자율운영을 통한 운영근무자의 의존도 감소와 근무 부담 경감 효과를 확인하였다.","In this paper, we developed and validated an autonomous operation model by integrating big data analysis and artificial intelligence algorithms. Simulations were conducted using data obtained from the monitoring and control system during the operation of a water treatment process at a water purification plant. The N-BEATS model was selected for the chemical process, and confirmed its potential for autonomous operation by optimizing the coagulant injection, resulting in a reduction in chemical usage (-1.91 ℓ/h). The LightGBM model was used for the sedimentation process. Control logic was developed to link the sludge collector operation schedule with the predicted sludge generation. In the model simulation results based on field data, the predicted and actual sludge generation amounts were closely aligned. Additionally, reducing the sludge collector’s operating time by 43 hours led to lower electrical energy consumption compared to that of the existing operation schedule. The autonomous operation model also demonstrated a reduction in worker dependence and workload."
머신러닝 기반 월별 불법주정차 예측 모델 성능 비교 연구,2025,"['불법주정차', '머신러닝', '회귀', '앙상블', 'Illegal Parking', 'Machine Learning', 'Regression', 'Ensemble']","본 연구는 공공데이터 포털에서 제공하는 B도시와 S도시의 불법주정차 월별 통계 데이터를 활용하여 월별 불법 주정차 빈도를 예측하는 최적의 머신러닝 모델을 탐색하고 다양한 모델에 적용하여 비교 분석하는 것을 목적으로 한다. 초기 분석 단계에서는 ElasticNet 모델을 사용하였으며, 데이터의 복잡한 패턴을 보다 정확히 포착하기 위해 랜덤 포레스트, LightGBM, XGBoost와 같은 고급 앙상블 학습 기법을 추가로 적용하였다. 데이터를 모델 학습에 적합한 형태로 전처리한 후, 다양한 머신러닝 모델을 통해 불법주정차 빈도를 예측하였다. 모델의 성능은 RMSE, %RMSE, R-squared 지표로 평가하였으며, 그 결과 ElasticNet모델이 가장 높은 예측 정확도를 나타냈다. 본 연구는 지방자치단체가 불법주정차 문제뿐만 아니라 다양한 도시 문제에 대해 데이터 기반의 예측 모델을 활용하여 효율적이고 선제적인 대응 방안을 마련하는 데 기여할 것으로 기대된다.","This study aims to explore and compare optimal machine learning models for predicting monthly illegal parking frequency using monthly statistical data from Cities B and S that are provided by the Public Data Portal. In the initial analysis phase, an ElasticNet model was employed as a baseline approach, and advanced ensemble learning techniques such as RandomForest, LightGBM, and XGBoost were additionally applied to capture more complex patterns in the data. After preprocessing the data into a suitable format for model training, various machine learning models were used to predict illegal parking frequency. The models' performance was evaluated using RMSE, %RMSE, and R-squared metrics throughout the experimental phase, and the ElasticNet model demonstrated the highest prediction accuracy. This study is expected to contribute to local governments' efforts in developing efficient and proactive response strategies using data-driven prediction models, not only for illegal parking issues but also for various urban challenges."
