제목,링크,발행기관,발행연도,저자,초록,주제어
얼굴의 감정 분류를 위한 DFLM(Deeplearning facial landmark model),https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=41a3d32ce18fb655e9810257f7042666&keyword=deeplearning,한국인터넷정보학회,2023,"정이나
                                (가톨릭관동대학교)",Electronic devices are deeply entrenched in our daily lives and are used so much that they take up most of our time. Using these electronic devices to judge a person's psychological state and give feedback appropriate to the situation can help a lot i...,"['얼굴 특징점', '딥러닝', '얼굴 표정 분류', 'facial landmark', 'deeplearning', 'facial emotion classification']"
Deeplearning Semantic Segmentation을 사용한 쇠고기 등심 영역 분리,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1ee90f2d231979e147de9c1710b0298d&keyword=deeplearning,한국농업기계학회(The Korean Society of the Agricultureal machinery),2016,이동구 ( Dong Goo Lee ),소고기의 등심 영역은 비 정형 패턴으로 영상을 통한 영역 분리가 효과 적이다. 지금까지 연구사례로는 직접 영역을 구분하는 알고리즘을 만들어 영역을 분리하였다. 최근에는 기계학습(Mach...,"['딥러닝', '소고기', '영역분리', '슈퍼픽셀']"
Lean-tissue Segmentation on Beef Cut Surfaces for Beef Quality Grading using Deeplearning and Superpixel.,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0e4fb71da3da9e6347de9c1710b0298d&keyword=deeplearning,한국농업기계학회(The Korean Society of the Agricultureal machinery),2018,( Dong-gu Lee ),The assessment of the quality of beef is made through the lean tissue area extracted from the 13th beef rib. we developed an image processing algorithm that can automatically recognize the beef fillet area using the deeplearning and superPixel algorit...,"['beef quality', 'superpixel', 'k-mean', 'segmentation', 'boundary of lean-tissue']"
Design of Prediction of Student Career Model Using Tensorflow based Deeplearning,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=15ae4ba951d8b154c85d2949c297615a&keyword=deeplearning,한국정보통신학회,2019,Geun-Ho Kim,"In the wake of the fourth industrial revolution, the question of career education has become a big issue in school education. Various studies have been conducted on services or technologies to effectively handle artificial intelligence and big data in...","['Deep learning', 'Big data', 'AI', 'Predict the career', 'Tensotflow']"
Deeplearning Based Particulate Matter (PM) Prediction using Satellite Data Showsurban Forests Decrease PM<SUB>2.5</SUB> over Seoul,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a5dfafb7f1f8ffd3e9810257f7042666&keyword=deeplearning,한국대기환경학회,2020,Sujong Jeong,초록 정보 없음,[]
딥러닝 기반 시간별 옷 색상 선호도분류 시스템에 대한 연구,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bfc4bf74d4d20bf0d18150b21a227875&keyword=deeplearning,대한전자공학회,2019,채종빈(Jong Bin Chae),초록 정보 없음,[]
주거환경에 대한 거주민의 만족도와 영향요인 분석 - 직방 아파트 리뷰 빅데이터와 딥러닝 기반 BERT 모형을 활용하여 -,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1655ff715c2b6a3db7998d826d417196&keyword=deeplearning,한국지역학회,2023,"권준현
                                (한양대학교)","Satisfaction on the residential environment is a major factor influencing the choice of residence and migration, and is directly related to the quality of life in the city. As online services of real estate increases, people’s evaluation on the resi...","['주거환경', '주거환경 만족 영향요인', '아파트 리뷰', '빅데이터', '감정분석', 'Residential Environment', 'Determining Factors of Residential Environment Satisfaction', 'Apartment Reviews', 'Big Data', 'Sentiment Analysis']"
ORDBMS 상에서 GeoPhoto 딥러닝 UDF의 구현,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=328d8544286dbfa4b36097776a77e665&keyword=deeplearning,대한공간정보학회,2018,이동건(Dong Gun Lee),초록 정보 없음,"['공간 사진 딥러닝', 'ORDBMS', 'PostgreSQL', 'UDF']"
농산물 생산성 향상을 위한 딥러닝 기반 농업 의사결정시스템,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f65082550d36847d6aae8a972f9116fb&keyword=deeplearning,한국정보전자통신기술학회,2018,박진욱(Jinuk Park),"본 논문에서 제안하는 “농산물 생산성 향상을 위한 딥러닝 기반 농업 의사결정 시스템”에서는 정밀농업을 지원하는 농장의 위치 정보를 기반으로 기상 정보를 수집하고, 수집한 기상 정...","['ADS(Agriculture Decision-making System)', 'DRCM(Deep learning based Risk Calculation Module)', 'Deep Learning', 'ICM(Information Collection Module)', 'soil and weather information']"
딥러닝을 이용한 시각장애인 보조도구,https://www.riss.kr//search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0105f9b9ad362e8c6aae8a972f9116fb&keyword=deeplearning,한국정보처리학회,2017,김영준 ( Youngjun Kim ),우리나라에 장애인 인구의 10% 정도인 약 25만 명의 사람들이 살아가고 있다[3]. 그러한 분들을 위한 여러 복지와 편의시설이 만들어지고 있지만 아직 도로를 안전하게 다니기에는 미흡한 부...,[]
