title,date,keywords,abstract,multilingual_abstract
gpgpu를 활용한 인공신경망 예측기반 텍스트 압축기법,2016,"['인공신경망', '앞먹임 신경망', '회귀신경망', '텍스트 압축', '자연어 압축', '허프만 부호화', '엔트로피 코딩', '배치 정규화', 'artificial neural network', 'feedforward neural network', 'recurrent neural network', 'text compression', 'natural language compression', 'huffman coding', 'entropy coding', 'batch normalization']","인공신경망을 압축에 적용하여 더 높은 압축 성능을 보이기 위한 알고리즘들이 몇 가지 연구되어 있다. 그러나 그동안 이러한 알고리즘들은 한정된 계산 능력의 하드웨어를 가지고 있기에 작은 크기의 신경망을 사용할 수밖에 없었으며 적용하는 대상 역시 실제로 사용하기에는 너무 작은 크기의 파일들이었다. 본 논문에서는 GPGPU의 계산능력을 신경망 학습에 이용하여 만든 텍스트 문맥 기반 문자 등장확률 예측기와 함께 허프만 부호화의 성능을 높일 수 있는 변환 방법을 제시한다. 앞먹임 신경망과 GRU회귀 신경망에 대해 실험을 수행하였으며, 회귀 신경망 모델은 앞먹임 신경망에 비해 뛰어난 예측 성공률과 압축률을 보였다.","Several methods have been proposed to apply artificial neural networks to text compression in the past. However, the networks and targets are both limited to the small size due to hardware capability in the past. Modern GPUs have much better calculation capability than CPUs in an order of magnitude now, even though CPUs have become faster. It becomes possible now to train greater and complex neural networks in a shorter time. This paper proposed a method to transform the distribution of original data with a probabilistic neural predictor. Experiments were performed on a feedforward neural network and a recurrent neural network with gated-recurrent units. The recurrent neural network model outperformed feedforward network in compression rate and prediction accuracy."
한국어 어휘의 어원 연구 - 상고 중국어음을 통한 분석,2016,"['한국어', '상고 중국어', '어휘', '어원학', '무성 비음', 'Korean', 'Old Chinese', 'vocabulary', 'Etymology', 'voiceless nasal']",국문 초록 정보 없음,"About 60 percent of Korean vocabulary is of Chinese origin. The sound of Korean words generally reflects that of Middle Chinese, which was used during the 7–8th centuries in China. However, a few Korean words are derived from the Old Chinese spoken before the second century. Nonetheless, they sound like native Korean words because they sound totally different from Middle and Modern Chinese. In this paper, it was investigated whether a few Korean words came from Old Chinese or not. As a result of this research, it was shown that the Korean words 응달 (shade), 양달 (sunny spot), 가라치 (prison officer), 구렁 (hole), 부엌 (kitchen), 나귀 (donkey), 그믐 (the end of the lunar month) and 굴헝 (alley) may come from Old Chinese. Korean words 음달 [ɯmdar] and 양달 [jaŋdar] may stem from the Old Chinese words 陰地 * jəm diar and 陽地 *yaŋ diar. An Old Korean word 굴헝[kulhəŋ] may stem from an Old Chinese word 巷 *gruŋ. The other Korean words 거러치 [kərəcʰi], 구렁 [kurəŋ], 브[prəg], 그림 [kɯrim], 그믐 [kɯmɯm] and 라귀 [ragwi] may owe their origins to the Old Chinese words 隸 *kʰliəd, *kʰriəd, 坑 *kʰraŋ, 庖 *brəgʷ, 畫 *gʷrik, 晦 *hməg, and 驢駒 *rjiag kjug. Besides, 되 (barbarian), 슬다 (oviposit) and 쉬 (pee) may come from the Old or Middle Chinese 狄 diek<*dik, 虱 ʂjɛt<*srjit and 溲 ʂju<*srjəgʷ, respectively."
real-time human detection under omni-directional camera based on cnn with unified detection and agmm for visual surveillance,2016,"['Human Detection', 'Omni-Directional Camera', 'CNN (Convolutional Neural Networks)', 'AGMM (Adaptive Gaussian Mixture Model)', 'Visual Surveillance']",국문 초록 정보 없음,"In this paper, we propose a new real-time human detection under omni-directional cameras for visual surveillance purpose, based on CNN with unified detection and AGMM. Compared to CNN-based state-of-the-art object detection methods. YOLO model-based object detection method boasts of very fast object detection, but with less accuracy. The proposed method adapts the unified detecting CNN of YOLO model so as to be intensified by the additional foreground contextual information obtained from pre-stage AGMM. Increased computational time incurred by additional AGMM processing is compensated by speed-up gain obtained from utilizing 2-D input data consisting of grey-level image data and foreground context information instead of 3-D color input data. Through various experiments, it is shown that the proposed method performs better with respect to accuracy and more robust to environment changes than YOLO model-based human detection method, but with the similar processing speeds to that of YOLO model-based one. Thus, it can be successfully employed for embedded surveillance application."
real-time human detection under omni-dir ectional camera based on cnn with unified detection and agmm for visual surveillance,2016,"['Human Detection', 'Omni-Directional Camera', 'CNN (Convolutional Neural Networks)', 'AGMM (Adaptive Gaussian Mixture Model)', 'Visual Surveillance']",국문 초록 정보 없음,"In this paper, we propose a new real-time human detection under omni-directional cameras for visual surveillance purpose, based on CNN with unified detection and AGMM. Compared to CNN-based state-of-the-art object detection methods. YOLO model-based object detection method boasts of very fast object detection, but with less accuracy. The proposed method adapts the unified detecting CNN of YOLO model so as to be intensified by the additional foreground contextual information obtained from pre-stage AGMM. Increased computational time incurred by additional AGMM processing is compensated by speed-up gain obtained from utilizing 2-D input data consisting of grey-level image data and foreground context information instead of 3-D color input data. Through various experiments, it is shown that the proposed method performs better with respect to accuracy and more robust to environment changes than YOLO model-based human detection method, but with the similar processing speeds to that of YOLO model-based one. Thus, it can be successfully employed for embedded surveillance application."
rate of softening and sensitivity for weakly cemented sensitive clays,2016,"['sensitive clay', 'shear band', 'strain softening', 'sensitivity', 'cemented soil', 'vane shear', 'strength loss']",국문 초록 정보 없음,"The rate of softening is an important factor to determine whether the failure occurs along localized shear band or in a more diffused manner. In this paper, strength loss and softening rate effect depending on sensitivity are investigated for weakly cemented clays, for both artificially cemented high plasticity San Francisco Bay Mud and low plasticity Yolo Loam. Destructuration and softening behavior for weakly cemented sensitive clays are demonstrated and discussed through multiple vane shear tests. Artificial sensitive clays are prepared in the laboratory for physical modeling or constitutive modeling using a small amount of cement (2 to 5%) with controlled initial water content and curing period. Through test results, shear band thickness is theoretically computed and the rate of softening is represented as a newly introduced parameter, ${\omega}_{80%}$. Consequently, it is found that the softening rate increases with sensitivity for weakly cemented sensitive clays. Increased softening rate represents faster strength loss to residual state and faster minimizing of shear band thickness. Uncemented clay has very low softening rate to 80% strength drop. Also, it is found that higher brittleness index ($I_b$) relatively shows faster softening rate. The result would be beneficial to study of physical modeling for sensitive clays in that artificially constructed high sensitivity (up to $S_t=23$) clay exhibits faster strain softening, which results in localized shear band failure once it is remolded."
in silico identification of bell pepper endornavirus from pepper transcriptomes and their phylogenetic and recombination analyses,2016,[],국문 초록 정보 없음,"Here, we identified eight Bell pepper endornavirus (BPEV) isolates from nine different pepper transcriptomes. BPEV was present with low copy numbers ranging from 0.01% to 0.18% in the host transcriptome. Phylogenetic identified two different groups of BPEV isolates. Sequence alignment of the five BPEV genomes revealed conservation of the 5' and 3' untranslated regions. Recombination analysis identified two possible recombinant events in the isolate Yolo Wonder. Single nucleotide variation profiles revealed the presence of BPEV variants within a single pepper cultivar. Taken together, this study provides phylogenetic and recombination analyses of the genus Endornavirus using pepper transcriptome data."
합성곱 신경망을 이용한 on-line 주제 분리,2016,"['주제 분리', '합성곱 신경망', 'Topic Segmentation', 'Convolutional Neural Network']",국문 초록 정보 없음,"A topic segmentation module is to divide statements or conversations into certain topic units. Until now, topic segmentation has progressed in the direction of finding an optimized set of segments for a whole document, considering it all together. However, some applications need topic segmentation for a part of document which is not finished yet. In this paper, we propose a model to perform topic segmentation during the progress of the statement with a supervised learning model that uses a convolution neural network. In order to show the effectiveness of our model, we perform experiments of topic segmentation both on-line status and off-line status using C99 algorithm. We can see that our model achieves 17.8 and 11.95 of Pk score, respectively,"
합성곱 인공 신경망 처리기의 빠른 연산 블록 생성 기법,2016,[],국문 초록 정보 없음,"This work addresses the problem of generating a fast arithmetic circuit for each of the node computations of convolutional neural network (CNN). Once a training phase is done in CNN, the computation of each node can be expressed as a sum of multiplications with constant inputs (i.e., with known weights obtained from the training phase). Consequently, we can convert the multiplications into a sum of multiple addends, thereby producing an expression of sum of addends for the node computation, from which we generate a fast carry-save-adder (CSA) implementation structure for the expression. Through gate-level implementation of our proposed technique, we are able to reduce the node computation time by 8.8% on average while a little increase in power consumption, which is mainly caused by our prototyping of incompletely optimized CSA circuits in comparison with the commercial CSAs."
심층 컨볼루션 신경망을 이용한 교통 표지판 인식 알고리즘 개발,2016,"['Traffic Sign Recognition(표지판 인식)', 'Image processing(영상처리)', 'Machine Learning(기계 학습)', 'Convolutional Neural Network(합성곱 신경망)', 'Autonomous Vehicle(자율주행자동차)']","ADAS(Advanced Driver Assistance Systems) 중 TSR(Traffic Sign Recognition)은 자동차 전방의 교통 표지판을 인식하여, 현재 주행 중인 도로의 상황 및 조건을 알려주는 시스템이다. 하지만, 국내의 교통 표지를 기준으로 개발된 경우는 드물고, 대부분 독일이나 미국 기준으로 개발된 경우가 대부분이다. 본 논문에서는 국내의 도로에서 직접 주행을 통해 얻은 데이터를 Deep Convolutional Neural Network의 일종인 LeNet-5을 수정하여 제작한 CNN 모델로 학습시켜 교통 표지판 인식 시스템을 설계하는 방법에 대해 설명한다. 또한, 실제 차량 플랫폼에 탑재하여 수행한 결과와 개선 방안에 대해 논의한다.",다국어 초록 정보 없음
딥러닝의 모형과 응용사례,2016,"['딥러닝', '합성곱신경망', '순환신경망', '오류역전파 알고리즘', 'Deep learning', 'Convolutional neural networks', 'Recurrent neural networks', 'Error backpropagation algorithm']",국문 초록 정보 없음,"Deep learning model is a kind of neural networks that allows multiple hidden layers. There are various deep learning architectures such as convolutional neural networks, deep belief networks and recurrent neural networks. Those have been applied to fields like computer vision, automatic speech recognition, natural language processing, audio recognition and bioinformatics where they have been shown to produce state-of-the-art results on various tasks. Among those architectures, convolutional neural networks and recurrent neural networks are classified as the supervised learning model. And in recent years, those supervised learning models have gained more popularity than unsupervised learning models such as deep belief networks, because supervised learning models have shown fashionable applications in such fields mentioned above.  Deep learning models can be trained with backpropagation algorithm. Backpropagation is an abbreviation for “backward propagation of errors” and a common method of training artificial neural networks used in conjunction with an optimization method such as gradient descent. The method calculates the gradient of an error function with respect to all the weights in the network. The gradient is fed to the optimization method which in turn uses it to update the weights, in an attempt to minimize the error function.  Convolutional neural networks use a special architecture which is particularly well-adapted to classify images. Using this architecture makes convolutional networks fast to train. This, in turn, helps us train deep, muti-layer networks, which are very good at classifying images. These days, deep convolutional networks are used in most neural networks for image recognition. Convolutional neural networks use three basic ideas: local receptive fields, shared weights, and pooling. By local receptive fields, we mean that each neuron in the first(or any) hidden layer will be connected to a small region of the input(or previous layer’s) neurons. Shared weights mean that we’re going to use the same weights and bias for each of the local receptive field. This means that all the neurons in the hidden layer detect exactly the same feature, just at different locations in the input image. In addition to the convolutional layers just described, convolutional neural networks also contain pooling layers. Pooling layers are usually used immediately after convolutional layers. What the pooling layers do is to simplify the information in the output from the convolutional layer. Recent convolutional network architectures have 10 to 20 hidden layers and billions of connections between units. Training deep learning networks has taken weeks several years ago, but thanks to progress in GPU and algorithm enhancement, training time has reduced to several hours.  Neural networks with time-varying behavior are known as recurrent neural networks or RNNs. A recurrent neural network is a class of artificial neural network where connections between units form a directed cycle. This creates an internal state of the network which allows it to exhibit dynamic temporal behavior. Unlike feedforward neural networks, RNNs can use their internal memory to process arbitrary sequences of inputs. Early RNN models turned out to be very difficult to train, harder even than deep feedforward networks. The reason is the unstable gradient problem such as vanishing gradient and exploding gradient. The gradient can get smaller and smaller as it is propagated back through layers. This makes learning in early layers extremely slow. The problem actually gets worse in RNNs, since gradients aren’t just propagated backward through layers, they’re propagated backward through time. If the network runs for a long time, that can make the gradient extremely unstable and hard to learn from. It has been possible to incorporate an idea known as long short-term memory units (LSTMs) into RNNs. LSTMs make it much easier to get good results when traini"
des narrations en suspens ? l’œuvre picturale de yuna bert en tension,2016,"['현대미술', '유나 베르트', '유예된 서술들', 'peinture contemporaine', 'Yuna Bert', 'narrations en suspens', 'contemporary painting', 'Yuna Bert outstanding narrations']",국문 초록 정보 없음,다국어 초록 정보 없음
안 에베르의 시에 나타난 ‘여성’ - 한국시와의 비교를 통하여 -,2016,"['안 에베르', '여성', '퀘벡시', '한국시', '김승희', '김혜순', 'Anne Hébert', 'femme', 'poésie québécoise', 'poésie coréenne', 'Kim Seung- Hee', 'Kim Hye-Soon']",국문 초록 정보 없음,"Le sujet lyrique dans la poésie d’Anne Hébert est toujours féminin, ce qui témoigne des caractères autobiographiques de sa poésie. Hébert a publié en 1942 Les Songes en équilibre, et en 1953 Le Tombeau des rois, et ces deux recueils poétiques dessinent avec les mots de révolte et de destruction les femmes québécoises sous le joug de son histoire et de ses valeurs traditionnelles. Les personnages hébertiens croient à “la solitude rompue comme du pain par la poésie”, subissent “l’image renversé” de la réalité comme “les pê̂cheurs d’eau qui prend l’oiseau dans leurs filets mouillés”, et prennnent en vain le chemin vers le salut catholique en mettant leur “coeur au poing comme un faucon aveugle”.Dans la poésie coréenne les poètes féminins tels que Kim Seung-Hee et Kim Hye-Soon nous parlent par excellence des femmes à la recherche de leurs identités qu’on a perdues durant l’histoire contemporaine de la Corée. Les femmes d’Anne Hébert ressemblent sous des aspects divers à celles que Kim Seung-Hee créent dans Comment sortir publié en 1991 et que Kim Hye-Soon dans Notre cliché négatif en 1990. Dans Comment sortir, recueil influencé, comme le précise la poète elle-mê̂me, par les travaux de Michel Foucault et de Gilles Deleuze, elle montre qu’il faut rompre les chaî̂nes du désir. Kim Seung-Hee, à l’instar d’autres poètes de sa génération, a connu une longue errance dans les mots de la violence, et elle a su y trouver sa propre force. Dans la poésie de Kim Hye-Soon le paysage se détruit et renaît, dans un nouvel espace, grâce à une écriture qui refuse les normes habituelles. “La lune” représente bien les poèmes consacrés à la destruction du paysage. Nous sommes loin du lyrisme traditionnel : la lune se transforme en vampire, celui de la mort définitive.La poésie d’Anne Hébert construit le labyrinthe de la mort comme en témoigne “Le Tombeau des rois”. Mort faite de mots - des mots qui viennent du fond de la conscience, en même temps que de l’horizon du réel. La poésie débouchera-t-elle, à sa manière, sur une espérace ou un salut ?"
