keyword,count
BERT,80
natural language processing,9
자연어처리,9
딥러닝,9
Natural Language Processing,8
Deep Learning,7
deep learning,6
자연어 처리,6
language model,5
LSTM,5
인공지능,5
Transformer,5
KoBERT,5
Bert,4
GPT,4
AI,4
RoBERTa,4
기계학습,4
Bidirectional Encoder Representations from Transformers(BERT),4
NLP,4
evaluation,4
언어모델,4
Sentiment Analysis,4
개체명 인식,3
Machine learning,3
BART,3
Big Data,3
Artificial Intelligence,3
평가,3
질의응답,3
COVID-19,3
deep-learning,3
Visualization,3
감성분석,3
Natural language processing,3
KR-BERT,3
Machine Learning,3
머신러닝,3
question answering,3
CBCA,2
Deep learning,2
금융,2
특허,2
BERT model,2
text interface,2
RNN,2
챗봇,2
Research Trend,2
Topic Modeling,2
KPF-BERT,2
Metaverse,2
machine learning,2
Semantic Similarity,2
텍스트마이닝,2
문서요약,2
Text Mining,2
BM25,2
CEDR,2
neural language model,2
GLUE,2
추천시스템,2
Aspect-Based Sentiment Analysis,2
LUKE,2
KcBERT,2
버트,2
sentiment analysis,2
Patent,2
.,2
Morphological Analysis,2
machine reading comprehension,2
GPT-2,2
CTEXT,2
ALBERT,2
Deep-learning,2
InferSent,2
데이터 증강,2
surprisal,2
PP modification,1
game review,1
ROUGE,1
한국어 딥러닝 모델,1
인공지능 윤리,1
reading time,1
이루다,1
공백,1
감성 분석,1
summarization,1
언어학,1
어텐션,1
언어모형,1
linguistics,1
읽기 시간,1
빈도분석,1
주어/목적어 관계절,1
language models,1
monotonicity,1
scope,1
관계절,1
Entity name recognition,1
Korean deep learning language model,1
gap,1
discourse expectation,1
real estate,1
문제 생성,1
licensor,1
implicit causality bias,1
next sentence prediction,1
학습 보조,1
coreference resolution,1
Learning assistance,1
random forest model,1
natural language,1
SWOT Analysis,1
전치사구 수식,1
search system,1
stock market,1
text mining,1
Problem generation,1
Business Intelligence,1
Learning application,1
트랜스포머,1
서프라이절,1
Attention,1
relative clause,1
Cloud Platform,1
학습 애플리케이션,1
subject/object relative clause,1
치매,1
/SUB&gt,1
pre-trained model,1
기계번역 품질 예측,1
영어-독일어 기계번역,1
교차 언어,1
사전학습 모델,1
이중 인코더,1
KR-,1
Ko,1
Sentence Compression,1
Linguistic Information,1
Language Model,1
Perplexity,1
문장 압축,1
언어 정보,1
언어 모델,1
펄플렉시티,1
dual-encode,1
cross-lingual,1
LARGE&lt,1
english-german translation,1
졸업 논문,1
군집 분석,1
science gifted student,1
research topic,1
graduation thesis,1
clustering analysis,1
법률 문서,1
계약서,1
계약서 적격성,1
키워드 임베딩,1
legal text,1
contract,1
contract eligibility,1
keyword embeddings,1
quality estimation,1
기계독해,1
Korean numerals,1
arabic numerals,1
기계 독해,1
Decision forest,1
건설재해,1
예측모델,1
Decision Forest,1
커뮤니티 질의응답,1
문장생성,1
Transformer Language Model,1
Learners’ Writings,1
Writing Development,1
Transformer 언어 모델,1
학습자 작문,1
작문 발달,1
NPI,1
BERT&lt,1
SUB&gt,1
CONCOR분석,1
Construction accident,1
법률,1
honorific agreement,1
한국어 수사,1
아라비아 숫자,1
한국어 심층학습 언어모델,1
문서 분류,1
Deep Learning-Based Korean Language Model,1
Document Classification,1
plural copying,1
리걸테크,1
K-CoLA,1
Generative Summarization,1
Selective OOV Copy Model,1
Unknown Words,1
LegalTech,1
Legal,1
Prediction model,1
backshift,1
AI ethics,1
One-dimensional convolution model,1
data analytics,1
사회재난,1
사고 사례,1
하인리히 법칙,1
위험 예측,1
Social disaster,1
Incident cases,1
Heinrich’s law,1
Risk prediction,1
취약점 탐지,1
소스코드,1
서브워드 토큰화,1
딥러닝 모델,1
1차원 컨볼루션 모델,1
Vulnerability detection,1
Source code,1
Subword tokenization,1
convolutional neural networks,1
attention score,1
transformer,1
Stroke,1
Chatbot,1
기업가정신,1
기업가정신교육,1
창업의지,1
성별 조절효과,1
Online Job Posting,1
job classification,1
Patent foramen ovale,1
anomaly detection,1
Clinical decision-making,1
Secondary prevention,1
Self-Attention,1
Machine translation,1
XAI,1
exBERT,1
Monte-Carlo simulation,1
Deep learning model,1
Deep Reinforcement Learning,1
CONCOR analysis,1
Product Review,1
Adjacent pair expansion,1
maschinelles Lernen,1
전화금융사기,1
보이스피싱,1
수사기법,1
범죄 예방,1
voice-phising,1
phone scam,1
investigative technique,1
adversarial examples,1
case alternation,1
intended noise,1
robustness,1
적대적 사례,1
격 교체,1
고의적 잡음,1
견고성,1
Gesprächsstrukur,1
Extraktion von Schlüsseläußerungspaaren,1
Gesprächszusammenfassung,1
Game Play,1
Literal and intelligent plagiarism,1
extrinsic detection,1
techniques,1
target models,1
backbone neural architectures,1
Question-Answering,1
Sentence Embedding,1
Virtual Assistant,1
인접쌍의 확장,1
Vietnamese,1
Natural Language Understanding,1
Finance and Banking,1
Smart Classroom,1
대화 요약,1
핵심 발화쌍 추출,1
대화 구조,1
Swin-Transformer,1
Image Classification,1
Animal Healthcare,1
소스 변경(Source Change),1
사전 학습 언어 모델,1
ELECTRA,1
pre-training,1
tokenizer,1
Language model ∙,1
일렉트라,1
사전학습,1
토크나이저,1
멀티모달,1
특성 추출,1
인공 신경망,1
Multi-Modal,1
Feature Selection,1
Neural Network,1
refugees,1
interrupted time series analysis,1
난민,1
버그 담당자 배정,1
버그 관리,1
pre trained language mode,1
멀티 라벨,1
XR (eXtended Reality),1
metaverse,1
digital twin,1
fire safety manager training system,1
motion Recognition,1
BERT (Bidirectional Encoder Representations from Transformers),1
자동 특허 분류,1
KorPatBERT,1
bug fixer assignment,1
CPC,1
Automatic Patent Classification,1
Multi Label,1
IPC,1
World knowledge,1
과학 영재,1
bug management,1
단절적 시계열 분석,1
trend filtering,1
data augmentation,1
CNN,1
독성물질(toxin),1
추가 사전학습,1
사전학습 언어모델,1
나이브 베이즈 방법,1
YouTube,1
Fake News,1
Related Videos,1
한국어,1
비교 아젠다,1
political polarization,1
elite polarization,1
text classification,1
South Korea,1
커밋 메시지(Commit Message),1
다중분류(Multi-Label Classification),1
BERT(Bidirectional Encoder Representations from Transformers),1
단백질(protein),1
정책 분류,1
NCE,1
비교과활동,1
Document-Summarization,1
Recommendation,1
Seq2Seq,1
Review Analysis,1
Future Prediction,1
Text Classification,1
Customer Experience,1
역량,1
Policy Perceptron,1
Acquired long QT syndrome,1
Torsade de pointes,1
Cirrhosis,1
Drug interaction,1
Ven-tricular repolarization,1
Recommender system,1
자동응답챗봇,1
연구 주제,1
진위 논쟁,1
platform service,1
Causality Mining,1
Back Translation,1
Recommender Systems,1
Collaborative Filtering,1
Multicriteria Recommendation,1
협업필터링,1
다기준 추천,1
속성기반 감성분석,1
Relation Network,1
subway delivery,1
Multi-level Relation Network,1
