keyword,count
Deep Learning,166
Deep learning,122
딥러닝,94
deep learning,87
CNN,40
Machine Learning,31
LSTM,29
Machine learning,26
Convolutional Neural Network,25
인공지능,24
Artificial Intelligence,22
Convolutional neural network,21
딥 러닝,20
Deep Neural Network,16
Deep neural network,15
Object detection,13
Classification,12
Neural Network,11
deep neural network,11
machine learning,11
합성곱 신경망,10
Convolutional neural networks,10
Big Data,10
기계학습,10
Image Classification,9
심층학습,9
Object Detection,9
Data augmentation,9
Artificial intelligence,9
Tensorflow,8
빅데이터,8
artificial intelligence,8
심층 신경망,7
RNN,7
AI,7
deep-learning,7
classification,7
심층신경망,6
convolutional neural network,6
Segmentation,6
Deep Learning(심층학습),6
Deep Learning(딥러닝),6
Deep Neural Networks,6
Transfer learning,6
텐서플로우,6
컨볼루션 신경망,6
Reinforcement Learning,6
순환 신경망,5
Convergence,5
Computer Vision,5
심층 학습,5
Sentiment Analysis,5
Deep-Learning,5
Prediction,5
Artificial Neural Network,5
UAV,5
transfer learning,5
4차 산업혁명,5
Optimization,5
기계 학습,5
convolutional neural networks,5
머신러닝,5
Autonomous Vehicle(자율주행 자동차),4
DNN,4
Convolution Neural Network,4
multilayer perceptron,4
generative adversarial network,4
TensorFlow,4
Facial Expression Recognition,4
Long Short-Term Memory,4
Data Augmentation,4
Deep belief network,4
Computer vision,4
Deep learning(딥러닝),4
Text mining,4
Object recognition,4
Recurrent neural network,4
deep structured learning,4
Neural network,4
deep belief network,4
FCN,4
융합,4
Semantic Segmentation,4
R-CNN,4
Random Forest,3
Ensemble,3
Computer Aided Diagnosis,3
Korean Character Recognition,3
creativity,3
Pose Estimation,3
Kazakh language,3
창의성,3
Writing system,3
Convolution neural network,3
Binarized Network,3
Reinforcement learning,3
Object Recognition,3
Internet of Things,3
Shallow orthographies,3
U-Net,3
감성분석,3
Latin,3
Image classification,3
Keras,3
Social network service,3
Neural Networks,3
Database,3
Cyrillic,3
알고리즘,3
unsupervised learning,3
Facial expression,3
Faster R-CNN,3
Deep orthographies,3
인공신경망,3
Colorization,3
big data,3
Transfer Learning,3
Video Surveillance,3
SVM,3
Reinforcement Learning(강화학습),3
텍스트 마이닝,3
오토인코더,3
Detection,3
Video Captioning,3
YOLOv2,3
Convolutional Neural Networks,3
Semantic Feature,3
Genetic algorithm,3
Supervised machine learning,3
Vessel traffic service,3
Decision support tool,3
Rule-based method,3
cancer gene expression,3
Image Recognition,3
Semantic segmentation,3
cycle-consistent adversarial network,3
Deep convolutional neural networks,3
Word embedding,3
Attention-Based Caption Generation,3
예측,3
Deep-learning,3
Semi-supervised learning,3
Emotion recognition,3
Channel Estimation,3
Monitoring,3
Bitcoin,3
DDPG,3
Autoencoder,3
Word2Vec,3
YOLO,3
Anomaly detection,3
CNN(Convolutional Neural Network),3
OCR,3
recurrent neural network,3
이미지 분류,3
Tensor Flow,3
NMT,2
SRGAN,2
IoT,2
전처리,2
최적 달 건설부지 선정,2
달 크레이터,2
Preprocessing,2
Hierarchy Structures,2
딥러닝 알고리즘,2
준지도 학습,2
자연어 처리,2
달기지 건설,2
Signal processing,2
the 4th industrial revolution,2
Deep Running,2
Deep reinforcement learning,2
hierarchical learning,2
semi-supervised learning,2
Active learning,2
Generative Adversarial Networks,2
Pattern recognition,2
BIM,2
Traditional culture,2
Text Mining,2
DQN,2
자연어처리,2
Temporal segment networks,2
Convolutional neural network (CNN),2
Surveillance video,2
Rainfall depth,2
Artificial Intelligence(인공지능),2
algorithm,2
LiDAR,2
Node Pruning,2
natural language processing,2
한국문화교육,2
Unsupervised Learning,2
a Deep neural network,2
Grader,2
Thematic map,2
Hyper-parameter optimization,2
support vector machine,2
Learning,2
perception,2
Deep learning algorithm,2
Text classification,2
Reading Tool,2
Object tracking,2
Retina Fundus Image,2
ETF,2
Game,2
feature extraction,2
GuessWhat?!,2
Super-resolution,2
Deep learning(심층학습),2
Remote sensing,2
빅 데이터,2
reinforcement learning,2
Static analysis,2
Back Bead,2
간호대학생,2
Labeled dataset,2
word embedding,2
Ensemble method,2
restricted Boltzmann machine,2
차량대기길이,2
LDA,2
Deep learning accelerator,2
deep convolutional neural network,2
Doc2Vec,2
text mining,2
EEG,2
drop-out,2
Hangul character recognition,2
FPGA optimal design,2
전이 학습,2
Shakespeare,2
Henry V,2
Quality of Experience(QoE),2
특이점,2
Deep Convolutional Neural Networks,2
Fire Detection,2
Demand Forecasting,2
CBOW,2
수요예측,2
time-series analysis,2
DASH,2
leader,2
분류,2
악성코드,2
segmentation,2
malware,2
Faster-RCNN,2
wine classification,2
artificial neural network,2
Local Dynamic Map(동적지도),2
V2V(차간 통신),2
fourth industrial revolution,2
제4차 산업혁명시대,2
adaptive leadership,2
diagnostic analysis,2
observe,2
interpret,2
intervene,2
Autonomous driving(자율주행),2
Face Recognition,2
Automation,2
Deep Belief Network,2
Gated recurrent unit,2
VGG-16,2
Single Shot MultiBox Detector,2
인간 성장,2
새로운 인간상,2
독일문학,2
Sparse Coding,2
Unmanned Aerial Vehicle(무인항공기),2
Split Bregman Iterative Algorithm,2
ARCS,2
Distributed Learning,2
exchange education,2
mutual understanding,2
dialogue,2
topic in a contact situation,2
GAN,2
questionnaire survey,2
Face Detection,2
Vision Analysis,2
Precision medicine,2
GloSea5,2
Railway,2
영상 분석,2
철도,2
Big data,2
Android Intelligent Phone,2
Periodontal diseases,2
Emulab,2
アンケート調査,2
English Text,2
Image Fusion,2
Music Moves Europe,2
Deep Convolutional Neural Network,2
Augmented Reality,2
Artificial Intelligence(AI),2
交流学習,2
相互理解,2
성과평가 공정성,2
직무 복잡도,2
목표 지향성,2
구성원 성과관리,2
対話,2
Performance Evaluation Justice,2
Job Complexity,2
Goal Orientations,2
Photovoltaic Power Output,2
