keyword,count
GAN,31
Deep Learning,8
딥러닝,7
Generative Adversarial Network,6
인공지능,5
Deep learning,4
Data Augmentation,4
생성적 적대 신경망,4
Machine learning,3
generative adversarial network,3
CNN,3
Convolutional Neural Network,3
Anomaly Detection,3
Generative Model,3
attention map,3
Generative Adversarial Networks,3
deep learning,3
Generative adversarial network,3
LSTM,3
NLP,3
Artwork,2
relaxed cycle consistency loss,2
StyleGAN,2
Image Augmentation,2
Synthetic data,2
U-Net,2
Anomaly detection,2
Artificial intelligence,2
COVID-19,2
Image preprocessing,2
AI,2
game scene,2
GaN,2
illustrative sketch,2
Deep-learning,2
Acceptance in Lieu(AIL),1
미술관,1
Payment-in-kind(PIK),1
Art Appraisal,1
Art Museum,1
Cultural property,1
미술품 가치평가,1
문화재보호,1
Inheritance Tax,1
IndomainGAN,1
이미지 합성,1
Pearson Correlation,1
Hyperelastic material,1
Transformer,1
BERT,1
Summarization,1
Visual Intelligence,1
Transfer Learning,1
Data Mining,1
시맨틱 확산,1
PCA,1
STFT,1
EEG Signals,1
semantic diffusion,1
image synthesis,1
물납,1
상속세,1
Image-to-image translation,1
미술품,1
SEM prediction,1
Copyright,1
Machine Learning,1
AI(Artificial Intelligence),1
Bone marrow mesenchymal stem cells Small intestinal submucosa Bile duct injury Epithelial cells,1
Healthy and degraded operation,1
Thermodynamic modelling,1
Marine two-stroke diesel engine,1
High pressure selective catalytic reduction(SCR-HP),1
Domain Adaptation,1
Optimization,1
Evaluation factor · Traditional-GAN · Cyclic-GAN,1
FID(Frechet Inception Distance),1
BEGAN(Boundary Equilibrium GAN),1
SSIM,1
Autoencoder,1
Dental image,1
Teeth image,1
Open Source,1
기계학습,1
머신러닝,1
Dense optical flow,1
CVD graphene growth,1
System modeling,1
이미지 전처리,1
이미지 대 이미지 변환,1
밀집 광학 흐름,1
이상객체탐지,1
Polydimethylsiloxane,1
Abnormal object detection,1
심층학습,1
Image Classification,1
Facial Attribute Editing,1
Style Transfer,1
Image Translation,1
Cross Channel Self-Attention,1
오픈소스,1
저작권,1
Liquid lens,1
갈륨질화,1
Thin film,1
