keyword,count
Deep learning,4
Clipart Classification,3
style search,3
Clipart,3
Computer vision,3
Convolutional neural network,3
Convolutional Neural Network,2
Fine tuning,2
Atopic Dermatitis,1
이미지 인식 알고리즘,1
Deep Learning,1
Knowledge distillation,1
Image Recognition Algorithm,1
Rotator Cuff Tear(회전근개 파열),1
3D CNN,1
딥러닝,1
아토피피부염,1
Caffe,1
Deep residual networks,1
Hint training,1
R-CNN,1
object localization,1
object classification,1
RoboCup,1
Region-based convolutional neural network,1
deep learning,1
Finetuning,1
Artificial intelligence,1
Deep convolution neural network,1
Score,1
Erythema,1
Telemedicine,1
Nail dystrophy,1
Onychomycosis,1
Class Activation Map(활성화 맵),1
