keyword,count
Deep Learning,16
ResNet,13
Deep learning,11
CNN,11
딥러닝,11
Classification,5
Transfer Learning,4
Convolutional Neural Network,4
Convolutional neural networks,3
deep learning,3
Convolutional neural network,3
Artificial intelligence,3
AI,3
Image classification,3
Smart Farm,2
Convolution Neural Network,2
Cervical cancer,2
Object detection,2
딥 러닝,2
Semantic Segmentation,2
transfer learning,2
VGG-16,2
T.P.O,2
Recommendation System,2
EfficientNet,2
분류,2
ResNet-50,2
DenseNet,2
Residual Learning,2
Machine learning,2
전이학습,2
Ninapro DB,2
ResNet-34,2
EMG,2
COVID-19,2
ResNet50,2
Computer vision,2
인공지능,2
Convolutional Neural Networks,1
Conformal Coating,1
X-ray/CT image,1
InceptionNet,1
Resnet 알고리즘,1
stacking ensemble,1
X-ray/CT 영상,1
Problematic Bubble,1
Bubble Detection,1
열흔,1
Arc beads,1
Fine Tuning,1
전기 화재,1
Molten mark,1
스태킹 앙상블,1
VGG,1
단락흔,1
Plant Diseases Classification,1
Resnet,1
Electric fire,1
MIT-BIH arrhythmia 데이터베이스,1
Tumor,1
Breast Cancer,1
Urinalysis,1
Ultrasonography,1
Lipoma,1
Epidermal cyst,1
Convolutional Autoencoder,1
Adaptive Gaussian Thresholding,1
Data augmentation,1
Lontar manuscript,1
Balinese character,1
Fungal diseases,1
Rice,1
Histogram Equalization,1
RetinaNet,1
Brain Tumor,1
Objection detection,1
Apple detection,1
SSD,1
Image Discrimination,1
X-ray,1
Feature extraction,1
컨볼루셔널 뉴럴 네트워크,1
Breast Ultrasound,1
주입기법,1
Adabound,1
ResNeXt,1
Confusion Rate,1
Similar Image,1
혼동률,1
유사 이미지,1
Few-shot learning,1
convolutional neural network,1
classification,1
sample selection,1
microscopic image,1
wood,1
Surface defect detection (SDD),1
Metal surface defect,1
자동차 번호판 인식,1
변종 악성코드,1
영상처리 결합,1
Computer Vision,1
Convolutional Neural Network(CNN,1
Machine Learning,1
Electromagnetic Band Gap,1
Simultaneous Switching Noise,1
컴퓨터 비전,1
균열 탐지,1
표면 검사,1
Crack Detection,1
Deep learning(딥러닝),1
Surface Inspection,1
Cerebral hemorrhage prediction · Cerebrovascular disease · Explainable artificial intelligence,1
