keyword,count
Transformer,32
Digital Transformation,30
Deep Learning,24
딥러닝,24
디지털 전환,23
BERT,20
Deep learning,20
트랜스포머,15
deep learning,15
인공지능,13
.,12
변혁적 리더십,11
shape memory alloys,11
digital transformation,10
Digital transformation,10
TiNi,9
Transformational Leadership,9
martensitic transformations,9
two-way shape memory,9
plastic deformation,9
microstructural modelling,9
Object Detection,8
Topic Modeling,8
메타버스,8
디지털전환,8
transformer,8
Metaverse,7
COVID-19,7
Convolutional neural network,7
GPT,7
machine learning,6
디지털 트랜스포메이션,6
토픽 모델링,6
Big Data,6
Artificial Intelligence,6
빅데이터,5
surprisal,5
BART,5
Machine learning,5
Wavelet transform,5
transformational leadership,4
합성곱 신경망,4
Laplace transform,4
XAI,4
E-commerce,4
language model,4
convolutional neural network,4
코로나19,4
Fourier transform,4
자연어처리,4
GPT-2,4
LSTM,4
Natural Language Processing,4
wavelet transform,3
Classification,3
self-efficacy,3
Transformers,3
Research Trend,3
AI,3
Semantic segmentation,3
토픽모델링,3
Anomaly Detection,3
LDA,3
생성적 적대 신경망,3
numerical simulation,3
경쟁전략,3
자기효능감,3
Business Model,3
artificial intelligence,3
Transformational leadership,3
Case Study,3
비즈니스 모델,3
NFT,3
Competitive Strategy,3
블록체인,3
CNN,3
Ultrafiltration,3
China,3
순환경제,3
Data augmentation,3
Distribution,3
Natural language processing,3
Blockchain,3
Innovation,3
GAN,3
멀티모달,3
generative adversarial network,3
AHP,3
Long short-term memory,3
기계학습,3
Bidirectional Encoder Representations from Transformers(BERT),3
Circular Economy,3
Adsorption,3
NCS,2
Viscoelasticity,2
structural health monitoring,2
PrefixLM,2
Big data,2
Feature Selection,2
thermal radiation,2
국가,2
organizational agility,2
리더십,2
point cloud,2
semantic segmentation,2
Sentiment Analysis,2
지능정보사회,2
직무만족,2
포용적 리더십,2
Load prediction(부하예측),2
Digital Government,2
Spectral analysis,2
InferSent,2
Bidirectional Encoder Representations from Transformers,2
텍스트 마이닝,2
disturbance observer,2
linear matrix inequality,2
FUNWAVE,2
kriging,2
Markov chain Monte Carlo,2
model updating,2
polynomial chaos expansion,2
structural complexity,2
초등교사,2
학교장,2
civil responsibility,2
linear mixed model,2
Transformer(트랜스포머),2
neural machine translation,2
error management climate,2
Performance,2
Job Satisfaction,2
Transactional Leadership,2
