keyword,count
Digital Transformation,115
디지털 전환,102
인공지능,91
Transformer,82
Artificial Intelligence,56
딥러닝,53
Deep learning,53
Deep Learning,52
AI,50
Digital transformation,49
digital transformation,48
Generative AI,46
ChatGPT,46
변혁적 리더십,46
Artificial intelligence,42
.,34
트랜스포머,34
디지털전환,31
생성형 인공지능,28
artificial intelligence,28
생성형 AI,27
deep learning,26
Transformational leadership,21
transformational leadership,21
Transformational Leadership,20
Transformation,20
Machine Learning,20
정체성,20
디지털 리터러시,19
transformer,19
COVID-19,18
China,18
Vision Transformer,18
-,18
기후변화,17
디지털 트랜스포메이션,16
AHP,16
Metaverse,15
CNN,15
transformation,15
인류세,15
챗GPT,14
Education,14
Digital Literacy,14
Machine learning,14
메타버스,14
중국,14
North Korea,13
Text Mining,13
Sustainability,13
4차 산업혁명,13
변혁적 역량,13
포스트휴먼,13
Climate Change,13
생태전환교육,12
디지털 기술,12
Identity,12
가상현실,12
BERT,12
북한,12
이미지,12
지속가능성,12
LSTM,12
Computer Vision,12
Virtual Reality,11
Big Data,11
젠더,11
번역,11
공간,11
Translation,11
빅데이터,11
인권,11
민주주의,11
Generative Artificial Intelligence,11
사랑,11
장소성,11
디지털 대전환,10
직무만족,10
Chatbot,10
ecological transformation education,10
2022 개정 교육과정,10
거래적 리더십,10
가부장제,10
머신러닝,10
기억,10
Ethics,10
텍스트마이닝,9
역량,9
에듀테크,9
narrative,9
기후위기,9
정동,9
Anthropocene,9
영화,9
Classification,9
digital literacy,9
GPT,9
중소기업,9
윤리,9
Image,9
문화,9
MZ세대,8
Body,8
Data Augmentation,8
machine learning,8
identity,8
플랫폼,8
Affect,8
교육,8
전통,8
스토리텔링,8
변신,8
블록체인,8
Platform,8
타자,8
Computer vision,8
조선,8
Innovation,8
서사,8
Confucianism,8
컴퓨터 비전,8
Natural Language Processing,8
일제강점기,8
Digital Twin,8
body,8
토픽 모델링,8
Topic Modeling,8
러시아,8
여성,8
Digitalization,8
Phase transformation,8
텍스트 마이닝,8
코로나19,8
문화콘텐츠,8
공정이용,8
Russia,8
돌봄,7
generative AI,7
Digital,7
Korean Peninsula,7
몸,7
Transactional Leadership,7
변형적 이용,7
내러티브 탐구,7
욕망,7
디지털 혁신,7
콘텐츠,7
NFT,7
공간디자인,7
캐릭터,7
Smart City,7
영성,7
각색,7
Korean War,7
문화산업,7
Leadership,7
Smart Factory,7
Blockchain,7
예술,7
Convolutional Neural Network,7
교양교육,7
Digital Technology,7
기업성과,7
공동체,7
헤테로토피아,7
주체,7
Japan,7
SMEs,7
조직몰입,7
저작권,7
新质生产力,7
Sustainable Development,7
만족도,7
Resilience,7
매체,7
회복,7
현상학적 연구,7
애니메이션,6
IoT,6
Compassion,6
변혁적리더십,6
digital technology,6
gender,6
Big data,6
디지털,6
탄소중립,6
인공지능(AI),6
경영성과,6
Service Design,6
Climate Crisis,6
합성곱 신경망,6
Gender,6
전승,6
디지털 포용,6
디지털화,6
Trust,6
네트워크,6
치유,6
국가,6
Microstructure,6
한반도,6
Vision transformer,6
미국,6
조절효과,6
Corrosion,6
Creativity,6
자유,6
GAN,6
ESG 경영,6
변형,6
연구동향,6
Neo-Confucianism,6
연대,6
죽음,6
metaverse,6
culture,6
Memory,6
페미니즘,6
feminism,6
자연어 처리,6
디지털 역량,6
Urban Regeneration,6
Aging,6
Symbolism,6
modernity,6
FT-IR,6
자본주의,6
Dance,6
질적 연구,6
democracy,6
내러티브,6
판소리,6
Internet of Things,6
포스트휴머니즘,6
디아스포라,6
동학,6
리더십,6
Women,6
Qualitative research,6
posthuman,6
저출산,6
동아시아,6
혁신,6
Placeness,6
Space,6
Large language model,6
Convolutional neural network,6
translation,6
blank,6
Satisfaction,6
챗지피티,6
CMOS,6
신체,6
경제안보,6
다문화,6
상징,6
Augmented Reality,6
narrative inquiry,6
adaptation,6
Technology,6
메타분석,6
Fourth Industrial Revolution,6
Digital Transformation(DX),6
결혼이주여성,6
웹소설,6
Media,6
모빌리티,6
2022 revised curriculum,6
혼종성,6
상상력,6
ESG,6
Storytelling,5
신화,5
현상학,5
적극행정,5
허구,5
Culture,5
Explainable AI,5
1990년대,5
imagination,5
질적연구,5
세계시민교육,5
비전 트랜스포머,5
becoming,5
디지털 전환(DX),5
Phenomenology,5
저항,5
OTT,5
생태,5
챗봇,5
Xunzi,5
sustainability,5
조선 후기,5
Gilles Deleuze,5
Manchuria,5
만주,5
DX,5
서비스디자인,5
5G,5
Care,5
interaction,5
Design Education,5
Governance,5
다양성,5
문학교육,5
Fourier transform,5
웹툰,5
Natural language processing,5
Content,5
Fast Fourier Transform,5
Posthuman,5
Adaptation,5
Monitoring,5
자율주행,5
감정,5
기호학,5
East Asia,5
생명,5
play,5
Shakespeare,5
틱톡,5
Youth,5
시민사회,5
computer vision,5
qualitative research,5
Communication,5
직무성과,5
love,5
지정학,5
Job Performance,5
의사소통,5
초등교사,5
rewriting,5
empathy,5
Posthumanism,5
Transformers,5
Geopolitics,5
정의,5
meta-analysis,5
Wavelet Transform,5
image,5
Death,5
유아,5
중년여성,5
patriarchy,5
Nationalism,5
소상공인,5
공론장,5
