keyword,count
립스틱 효과,2
economic decline,2
생애사 이론,2
욜로족,2
작은 사치,2
실업률,2
경기 불황,2
life history theory,2
lipsticks effect,2
Yolo(you only live once),2
unemployment rate,2
small luxury,2
YOLO,2
YOLO(You Only Look Once,1
욜로),1
다중 개체 탐색,1
시각장애인,1
화재감지,1
심층학습,1
심층 합성곱 신경망,1
blind people,1
fire detection,1
Vehicle logo recognition(차량 로고 인식),1
deep learning,1
Object Detection(객체 검출),1
Deep Learning(딥러닝),1
인공지능,1
자율 자동차,1
욜로,1
YOLO 알고리즘,1
Deep Learning,1
Object Detection,1
Thermal Camera,1
COVID-19,1
여행 트렌드,1
Information,1
Projection Mapping,1
Enneagram,1
Interactive installation,1
Social media,1
Network analysis,1
Travel trends,1
소셜 미디어,1
네트워크 분석,1
deep convolutional networks,1
