keyword,count
YOLO,62
Object Detection,23
Object detection,21
Deep Learning,19
Deep learning,18
딥러닝,14
object detection,11
deep learning,8
욜로,6
CNN,5
YOLOv3,4
객체 인식,4
컴퓨터 비전,4
객체탐지,4
Computer vision,3
Vehicle Detection,3
OpenCV,3
YOLO v4,3
Machine learning,3
YOLO(You Only Look Once),3
Artificial Intelligence,3
Image processing,3
머신러닝,3
Real-Time,3
Object recognition,3
Convolutional Neural Network,3
Image Processing,3
Drone,3
Jetson Xavier,2
OCR,2
Classification,2
Monitoring,2
YOLOv5,2
Golf ball,2
YOLOv4,2
MR,2
UAV,2
Jetson Nano,2
AI(ARTICIFIAL INTELLIGENCE),2
웨이퍼 노치,2
Vision,2
Human detection,2
LPR(License Plate Recognition),2
Defect Detection,2
LSTM,2
object recognition,2
Kalman filter,2
Channeling Effect(채널링 현상),2
Yolo(You look only once),2
Mask-RCNN,2
데이터셋(Dataset),2
객체인식,2
객체 검출,2
Pallet,2
Bhattacharyya distance,2
YOLO v3,2
AGV,2
World Coordinate,2
HSV,2
K-mean,2
Computer Vision,2
SLAM,2
PP-YOLO,2
Visually Impaired,2
CSI-Camera,2
Virtual Reality,2
가상현실,2
HMD,2
Screen capture,1
무인항공기,1
얼굴 영역 감지,1
얼굴 탐지,1
Labelling,1
이미지 처리,1
인물 분류,1
장애물회피,1
충돌회피,1
드론,1
Multicopter,1
Secure image display,1
Pixhawk,1
Obstacle Avoidance,1
Sensor fusion,1
Collision Avoidance,1
RGB-D camera,1
LiDAR,1
Frame differencing,1
Virtual fence,1
Screen shot,1
픽스호크,1
Dataset,1
멀티콥터,1
game scene,1
보행 네트워크,1
오픈스트리트맵,1
Map Update,1
Pedestrian Network,1
OpenStreetMap,1
Open API,1
NFC,1
embedded board,1
Tensorflow,1
EV Station,1
Electric Vehicle,1
cloud server,1
RFID,1
GPS,1
Runway Cleaning Robot,1
FOD (Foreign Object Debris),1
Real Time Object Detection,1
Image,1
결함 검출(Detect Detection),1
AI),1
인공지능(Artificial Intelligence,1
EL),1
전계발광(Electroluminescence,1
태양광 모듈(PV Modules),1
태양전지(Solar Cells),1
YOLOv2,1
Thresholding,1
Character Classification,1
Infrared imaging,1
Open CV,1
Localization,1
Deep Learning(딥러닝),1
You Only Look Once Algorithm (YOLO),1
Image scaling algorithm,1
Cross-sectional analysis,1
Melting pool tomography,1
Metal 3D printing,1
Substitute Video,1
Vehicle Black Box,1
Orientation,1
대체 영상,1
차량 검출,1
차량용 블랙박스,1
ROS(로봇 오퍼레이팅 시스템),1
Face Detection,1
Natural landmark,1
Autonomous Driving(자율 주행),1
Sensor Fusion(센서 퓨전),1
Kalman Filter(칼만 필터),1
Scaled YOLO v4(스케일드 욜로 버전4),1
YOLO v4(욜로 버전4),1
객체 추적(Object Tracking),1
객체 인식(Object Detection),1
Yolo-v3,1
Walking Aids,1
IoT System,1
Yolo,1
Vision System(영상처리 시스템),1
Negligent Accident(안전사고),1
Convolutional Neural Network(CNN)(컨볼루션신경망),1
Aerial Image,1
Facial Region Detection,1
Intelligent drone system,1
Object detection and tracking,1
Handy motion control,1
Oil spill detection,1
Convolution Neural Network,1
Hough lines algorithm,1
National safety,1
YOLO.,1
Citizen safety,1
Artificial Intelligent,1
ITS : Intelligent Transportation System,1
Road Dangerous Object,1
Infiltration mononuclear cell,1
Non-clinical study,1
비전 센싱,1
시각장애인,1
Classificatioin,1
Recognition,1
요리,1
Information leakage,1
도로위험객체,1
객체 분류,1
You Only Look Once(YOLO)(욜로),1
Depth Camera,1
지도 갱신,1
Beehive gate,1
VAID,1
Transfer Learning,1
End-to-end Delay(종단 간 시간),1
Darknet-YOLO(다크넷-욜로),1
전이 학습,1
텐서플로우 라이트,1
티처블 머신,1
안드로이드 스튜디오,1
TensorFlow Lite,1
Vehicle Orientation,1
Teachable Machine,1
Android Studio,1
AR Glass,1
Hand Position Tracking,1
이미지 크롤링(Image crawling),1
Node Js,1
Multithreaded Application(multithreaded 응용),1
Object Detection(객체 탐지),1
Recycling Waste,1
Rasberry Pi,1
욜로 버전4,1
재활용 쓰레기,1
라즈베리파이,1
시설 온실,1
깊이 영상,1
Pig Detection,1
Video Object Detection,1
Real-Time Video Monitoring,1
License Plate Generator,1
License Plate,1
Surveillance Systems,1
Multi-Stream,1
Multi-Channel,1
보조보행기구,1
Convolutional Neural Network(CNN),1
포트홀,1
ROS(Robot Operating System),1
Processing,1
Weanling pig,1
3D printing,1
Ceramics,1
Selective reaction hardening,1
자율주행(Autonomous driving),1
SLAM(Simultaneous Localization And Mapping),1
Action recognition,1
차선 인식(Lane detection),1
물체 인식(Object detection),1
수확량 모니터링,1
감자 부피,1
영상처리,1
Enter key words or phrases in alphabetical order,1
Behavior detection,1
Convolutional neural network,1
Web Service,1
Quantization,1
Deep Learning Accelerator,1
Human robot interaction,1
Object localization,1
3D SLAM,1
합성곱신경망,1
이미지 학습,1
실시간 검측,1
적층제조,1
스마트제조,1
Traffic Analysis,1
object tracking,1
ship awareness,1
Distance between camera and human,1
You Only Look Once(YOLO),1
균열,1
UAVD,1
tiny-YOLO,1
DeepSORT,1
you only look once (YOLO),1
tungsten hexafluoride (WF6),1
reduction,1
defect detection.,1
drowsy driving,1
Colonoscopy,1
Cartographer,1
AutoAugment,1
CADｘ,1
Polyp Detection,1
Car Accident Detection,1
Head Pose Estimation,1
De ep Learning,1
big data,1
Honeybee,1
Python,1
TCP/IP,1
Road reflector mirror,1
Rest area,1
Yolo v3,1
HCI,1
머신 비전,1
스마트 팩토리,1
소형 결함검사,1
부품 검사,1
Tensorflow-Lite,1
Smartphone,1
Local based position,1
VPS(Visual Positioning System),1
DOTA,1
YOLO V5,1
Statistics Adaptive Linear Regression,1
UAV),1
Position estimation,1
콘볼루션 신경망,1
마스크 검출,1
앙상블,1
Mask Detection,1
Ensemble,1
FPN,1
Stereo vision,1
Wild Animals,1
Depth map,1
Worker tracking,1
Stereo camera,1
Decommissioning site,1
Deepsort,1
무인비행체(Unmanned Aerial Vehicle,1
특징 피라미드,1
특징 융합,1
공간 강조,1
PAN,1
Feature fusion,1
Spatial attention,1
CUDA,1
Raspberry Pi,1
보조 보행 기구(auxiliary walker),1
보행 속도 검출,1
보행자 판별,1
