keyword,count
딥러닝,265
Deep Learning,171
Deep learning,93
deep learning,69
인공지능,59
CNN,43
LSTM,33
Artificial Intelligence,27
딥 러닝,24
Machine Learning,22
머신러닝,20
Object Detection,20
AI,17
빅데이터,15
합성곱 신경망,15
Deep Learning(딥러닝),14
machine learning,14
Artificial intelligence,11
Classification,11
Machine learning,11
artificial intelligence,10
Object detection,9
YOLO,9
Deep-learning,9
Convolutional Neural Network,9
BERT,9
Deep learning(딥러닝),9
합성곱신경망,9
Convolution Neural Network,8
기계학습,8
Convolutional neural network,8
오토인코더,8
CCTV,8
Big Data,8
IoT,8
GAN,7
인공신경망,7
Image Processing,7
ResNet,7
U-Net,7
객체 검출,7
Big data,6
자연어처리,6
심층신경망,6
Tensorflow,6
사물인터넷,6
DNN,6
영상처리,6
드론,6
Convolutional Neural Networks,5
natural language processing,5
딥러닝(Deep Learning),5
Text Mining,5
기계 학습,5
예측,5
YOLOv3,5
추천 시스템,5
알고리즘,5
Semantic segmentation,5
전이 학습,5
텍스트마이닝,5
XAI,5
OpenCV,5
YOLOv2,4
Transfer Learning,4
신경망,4
Crack Detection,4
Prediction,4
무인항공기,4
Generative Adversarial Network,4
convolutional neural network,4
image processing,4
SSD-Mobilenet,4
MLP,4
Autoencoder,4
심층 신경망,4
deep neural network,4
객체 탐지,4
UAV,4
RNN,4
Artificial Neural Network,4
deep-learning,4
순환신경망,4
AutoEncoder,4
Faster R-CNN,4
랜덤 포레스트,4
OCR,4
Face Recognition,4
.,4
추천시스템,4
Transfer learning,4
Convolutional Neural Network(합성곱 신경망),4
딥러닝 알고리즘,4
예측 시스템,4
Image Recognition,3
회귀분석,3
임베딩,3
SWAT,3
embedding,3
Deep Neural Network,3
Random Forest,3
머신 러닝,3
BIM,3
Recommender System,3
인공 지능,3
설명 가능한 인공지능,3
Medical Imaging,3
GRU,3
이상 탐지,3
object detection,3
감성분석,3
강화학습,3
prediction,3
BiLSTM,3
VGG16,3
위성영상,3
Image processing,3
Segmentation,3
앙상블,3
영상 처리,3
ARIMA,3
MFCC,3
Ensemble,3
Text mining,3
AlexNet,3
Drone,3
공간정보,3
Feature Selection,3
컨볼루션 신경망,3
Attention Mechanism,3
Side-Channel Analysis,3
딥러닝(deep learning),3
Fire Detection,3
Anomaly Detection,3
MATLAB,3
콘볼루션 신경망,3
Unsupervised learning,3
텐서플로우,3
clustering,3
비지도학습,3
word2vec,3
Internet of Things,3
폐렴,3
클러스터링,3
Edge Computing,2
LDA,2
RCNN,2
HTML5,2
SVM,2
UChoo,2
SNS,2
Electronic bidding,2
Depth,2
매실,2
Data analysis,2
Convolutional neural networks,2
주성분분석,2
STGAN,2
분류,2
코로나19,2
Accuracy,2
Collaborative Filtering,2
텍스트 마이닝,2
ANN based water flow analysis,2
recommender system,2
ANNOY,2
Deep Learning (딥러닝),2
Artificial Intelligent,2
텐서플로,2
Water pipe leak prediction,2
트랜스포머,2
안전진단,2
probability-based,2
Regression Analysis,2
COVID-19,2
파이썬,2
AES,2
Python,2
autoencoder,2
딥러닝(Deep learning),2
Monitoring,2
Disease,2
천식,2
연구 동향,2
Bibliometrix,2
메타데이터,2
Landsat 8,2
LiDAR(라이다),2
Face detection,2
Reinforcement Learning,2
Data Analysis,2
Water quality,2
Reinforcement learning,2
Neural Networks,2
VGGNet,2
얼굴 인식,2
모니터링,2
영상인식,2
CNN-LSTM,2
벌점회귀,2
Deep Neural Network(DNN),2
Image Classification,2
지식 그래프,2
artificial neural network,2
Residual U-Net,2
Word2Vec,2
word embedding,2
워드투벡,2
인공지능 윤리,2
이미지 분석,2
heat map,2
deep learning-based classifier,2
unmanned aviation vehicle,2
pine wilt disease,2
Smart Factory,2
인공 신경망,2
변수선택,2
domain adaptation,2
센서,2
Autonomous Driving(자율주행),2
균열 탐지,2
Water quality prediction,2
Hydrological modeling,2
Aquatic ecosystem prediction,2
시계열 예측,2
감정 분석,2
Filtering,2
Augmented Reality,2
Spatial Attention,2
Channel Attention,2
Residual Block,2
StackGAN++,2
Dropout,2
OMAF,2
Piracy Judgment,2
Feature Point Extracting and Matching,2
Immersive Content,2
악성코드 탐지,2
Convolution neural network,2
recurrent neural network,2
Faster-RCNN,2
최적화,2
이미지 처리,2
자연어 처리,2
NLP,2
Anomaly detection,2
Pneumonia,2
BLSTM,2
convolutional neural networks,2
단어 임베딩,2
영상 간 변환,2
GcGAN,2
Loss function,2
의료 영상 분할,2
Concrete Crack,2
균열 검출,2
콘크리트 균열,2
Algorithm,2
Preprocessing,2
데이터 분석,2
OpenFaaS,2
AIaaS,2
해양,2
Image quality,2
Computed tomography,2
Unsupervised Learning,2
Variational Autoencoder (VAE),2
OTT,2
Sentiment Analysis,2
Neural Network,2
Computer vision,2
Face Detection,2
Support vector machine,2
YOLOv2-tiny,2
Noise,2
객체 감지,2
Environmental sound classification,2
explainable AI,2
License Plate Recognition,2
data augmentation,2
Autonomous Vehicle(자율주행 자동차),2
Semantic Segmentation,2
Vision,2
super resolution,2
딥러닝 모델,2
분산 컴퓨팅,2
Autonomous Driving(자율 주행),2
GPS,2
K-means Clustering,2
승패 예측,2
Topic Modeling,2
Win-Loss Prediction,2
기계번역,2
algorithm,2
항공사진,2
유넷,2
coreference resolution,2
Semiconductor,2
Text Recognition,2
Object Detection(객체 검출),2
Stock Prediction,2
Convolutional Neural Network(CNN),2
이미지 분류,2
OpenPose,2
Price Prediction,2
Recommendation,2
Attention,2
deep neural networks,2
LSTM model,2
agricultural robot,2
ALBERT,2
Keras,2
classification,2
deep learning algorithm,2
Deep Learning(심층 학습),2
ANFIS,2
전자입찰,2
상호참조해결,2
N,2
확률 기반,2
Water usage prediction,2
Defect detection,2
Machine vision,2
Deep Learning Algorithm,2
Deep-Learning,2
Residual Network,2
체계적 문헌고찰,2
객체탐지,2
Cold Start Time,2
4차 산업혁명,2
검출,2
생성적 적대 신경망,2
영상분석,2
sentiment analysis,2
Spatial Information,2
머신비전,2
Regression analysis,2
Visualization,2
patent eligibility,2
Saliency Attention,2
드론 영상,2
시각화,2
인공지능인문학,2
CNN Model,2
Algorithms,2
디지털인문학,2
자율주행,2
수질,2
영구자석형 동기전동기,1
메타모델링,1
유한요소해석,1
Optimization,1
PMSM,1
Parking Slot Occupancy Classification(주차장 점유 슬롯 판단),1
Metamodeling,1
Opens Street Map(오픈 스트리트 맵),1
Discriminator,1
Finite element analysis,1
과학계량학,1
계량서지학,1
도서 장르 분류,1
지능형 소프트웨어,1
토지피복도,1
Scientometrics,1
협업,1
실험 관리,1
FPPW,1
교량손상유형,1
수량 측정,1
건축 자재,1
Software satety policy,1
Counting Number,1
시뮬레이션(Simulation),1
Software safety,1
Construction Material,1
Intelligent software,1
동작 감지(Motion Detection),1
동영상(Video),1
소프트웨어 안전성 정책,1
소프트웨어 안전성,1
과학외교,1
전통적인 방식,1
Bibliometrics,1
특징 생성,1
Weather information,1
기계번역 사후교정,1
인공신경망 기계번역,1
Machine Translation,1
Automatic Post Editing,1
Neural Machine Translation,1
Transformer,1
클릭률,1
CTR,1
An orchard,1
Feature Generation,1
개방형 정보 추출,1
Sequence Labeling,1
open information extraction,1
sequence labeling,1
얼굴 속성 편집,1
마스크,1
Image format,1
Big-Data,1
기상정보,1
Deep Learnining,1
social network service,1
Science for Diplomacy,1
몬테칼로 전산모사,1
핵연료집합체,1
영상 분류,1
소셜네트워크서비스,1
Disentanglement,1
토픽모델링,1
플리커,1
text mining,1
비닐하우스,1
topic modeling,1
Flickr,1
전기차,1
최대전력부하,1
부하예측,1
EV,1
Peak electric load,1
Load forecasting,1
Multi-task,1
사영 기하학,1
Speaker embedding,1
QA,1
Auto Optimization,1
SIAI,1
Experiment Management,1
Safety Inspection,1
CNN(순환 신경망),1
Data Augmentation(데이터 증폭),1
Image Labeling(이미지 라벨링),1
Additive Manufacturing(적층제조),1
공동실시,1
internet of things,1
joint practice,1
Interaction(상호작용),1
Attention module(주의 모듈),1
Hierarchical Structure(계층 구조),1
Masking(차폐),1
코쿼드,1
기계독해,1
질의응답,1
KorQuAD,1
Web-Crawling,1
Artificial Intelligence Deep Learning,1
웹 크롤링,1
소규모 데이터,1
