keyword,count
딥러닝,577
Deep Learning,292
Deep learning,225
deep learning,110
인공지능,92
LSTM,60
CNN,54
YOLO,48
Object Detection,43
머신러닝,43
Deep Learning(딥러닝),42
Machine Learning,41
합성곱 신경망,34
딥 러닝,32
Artificial Intelligence,31
컴퓨터 비전,28
Deep learning(딥러닝),27
.,27
AI,24
BERT,22
Computer Vision,21
데이터 증강,20
딥러닝(Deep Learning),20
Artificial intelligence,19
machine learning,19
자연어 처리,18
Object detection,18
딥러닝(Deep learning),18
ChatGPT,17
객체 탐지,17
자연어처리,17
artificial intelligence,17
드론,16
Convolutional Neural Network,15
Data augmentation,15
ResNet,15
전이학습,14
의미론적 분할,14
Machine learning,14
Semantic segmentation,13
Transformer,13
트랜스포머,13
U-Net,12
Data Augmentation,12
GAN,12
Convolutional neural network,12
Deep Neural Network,12
DNN,11
Classification,11
Natural Language Processing,11
객체 인식,11
IoT,11
기계학습,11
예측,11
GRU,11
Prediction,10
합성곱신경망,10
Drone,10
RNN,10
object detection,10
인공신경망,10
딥러닝 모델,10
빅데이터,10
시계열 예측,9
Anomaly detection,9
Computer vision,9
Image processing,9
Super-resolution,9
초해상화,9
Semantic Segmentation,9
순환 신경망,9
YOLOv5,9
transfer learning,9
심층 신경망,9
Deep-learning,9
U-net,8
Autonomous Driving,8
Transfer Learning,8
이미지 분류,8
텍스트 마이닝,8
토픽 모델링,7
Neural Network,7
시계열,7
COVID-19,7
심층신경망,7
XGBoost,7
기계 학습,7
Transfer learning,7
추천시스템,7
균열,6
NLP,6
RGB,6
오토인코더,6
Autoencoder,6
Generative Adversarial Network,6
KoBERT,6
딥러닝(deep learning),6
자율주행,6
데이터셋,6
Dataset,6
Remote sensing,6
natural language processing,6
영상처리,6
XAI,6
data augmentation,6
장단기 메모리,6
Segmentation,6
Big Data,6
언어모델,6
객체탐지,6
Autonomous Driving(자율주행),6
CCTV,6
Topic Modeling,5
Monitoring,5
위성영상,5
Text Mining,5
Bi-LSTM,5
Deep Learning (딥러닝),5
Deep-Learning,5
Recommender System,5
레이더,5
CNN-LSTM,5
BiLSTM,5
semantic segmentation,5
시계열 데이터,5
자세 추정,5
Attention,5
Convolution Neural Network,5
time series,5
원격탐사,5
Autonomous Parking(자율주차),5
UAV,5
Vision Transformer,5
객체 검출,5
Image Processing,5
Defect detection,5
전이 학습,5
Artificial Intelligence(인공지능),5
DeepLearning,5
딥러닝 알고리즘,5
멀티모달,5
computer vision,5
설명가능한 인공지능,5
욜로,5
분류,5
ARIMA,5
Swin Transformer,5
객체인식,4
온라인 리뷰,4
기후 변화,4
Deep Neural Networks,4
deep neural network,4
MobileNet,4
image processing,4
적대적 생성 신경망,4
Digital Twin,4
1D-CNN,4
Random Forest,4
transformer,4
Deep Learning(딥 러닝),4
Image Classification,4
VIBE,4
ResNet50,4
Image Segmentation,4
Recurrent Neural Network,4
포인트 클라우드,4
Point Cloud,4
콘크리트 균열,4
인공지능(AI),4
deep-learning,4
북극,4
데이터 전처리,4
sentiment analysis,4
text mining,4
코로나19,4
Laser welding,4
SNR,4
모니터링,4
TabNet,4
Multimodal,4
신경망,4
알고리즘,4
YOLOv7,4
