keyword,count
딥러닝,12
LSTM,8
순환 신경망,6
deep learning,6
RNN,6
순환신경망,6
Deep learning,5
GRU,4
Deep Learning,4
Recurrent Neural Network,4
인공지능,4
합성곱 신경망,3
Machine Learning,3
기계학습,3
머신러닝,3
Recurrent neural network,3
recurrent neural network,3
인공신경망,3
Elastic-Net,2
CNN,2
LASSO,2
SST,2
AI,2
CycleGAN,2
.,2
Artificial Neural Network,2
게이트 순환 유닛,2
양방향 RNN,2
BRITS,2
machine learning,2
W2,2
시계열 데이터,2
bidirectional RNN,1
스마트팜,1
농업 디지털 데이터,1
Routine Activity Theory,1
smart farm,1
agricultural digital data,1
sequence data,1
Depthwise separable convolution,1
ECG,1
Hyperkalemia,1
Academic Dictionary,1
English Editing,1
data imputation,1
표층수온,1
sea surface temperature,1
자료 보간,1
시각 오프셋,1
GNSS 정밀시각비교,1
Attention,1
traffic predidction,1
그린하우스 로봇,1
다수로봇운용,1
long-term dependency,1
수확속도,1
이송로봇,1
수확로봇,1
Smart Farm,1
Soil Texture Classification,1
Irrigation System,1
Digital Argriculture,1
Bidirectional RNN,1
Automatic Post Editing,1
표층해류,1
학술용어사전,1
영문교정,1
RNN(순환신경망),1
MAPE(평균절대비오차),1
결측치,1
일상활동이론,1
부동산 매매가격 지수,1
Digital Sexual Crime,1
Neural Network,1
Feature Selection,1
Crime Prevention,1
Multi-Modal,1
Sentiment Analysis,1
인공 신경망,1
특성 추출,1
멀티모달,1
감성분석,1
LSTM(장단기 메모리),1
real estate price index,1
범죄예방,1
Machine learning,1
자동사후교정,1
익수자 이동경로 예측,1
해양관측부이,1
해상조난사고,1
Surface layer current,1
Prediction of drowning person’s route,1
Maritime observation buoy,1
missing value,1
GNSS precise time transfer,1
Maritime distress accident,1
lstm(long short-term memory),1
rnn(recurrent neural network),1
mape(mean absolute percentage error),1
디지털성범죄,1
세계협정시,1
영농형 태양광 발전,1
Time offset,1
Predictive combination,1
Large Data,1
Ridge Regression,1
하이브리드 모델,1
태양광 발전량 예측,1
미세먼지,1
Photovoltaic power forecasting,1
Particulate matter,1
Hybrid model,1
Gated recurrent unit,1
Artificial intelligence,1
Python,1
Reccurent Neural Network,1
ARIMA,1
Colab,1
Artificial Intelligence,1
파이썬,1
코랩,1
won/dollar exchange rage,1
능형 회귀,1
양방향 장단기 기억 순환 신경망,1
대용량 자료,1
Denoising,1
Architectural heritage drawing,1
이미지 합성,1
노이즈 제거,1
건축 문화재 도면,1
Model Serving,1
Image Classification,1
Text Classification,1
Data Type,1
Container,1
모델 배포,1
이미지 분류,1
텍스트 분류,1
데이터 유형,1
컨테이너,1
예측 조합,1
원/달러 환율,1
음악 정보 추출,1
음악 작곡,1
UTC,1
동영상 내용분석,1
적대적 신경망,1
컴퓨터 비전,1
video analytics,1
media AI(media artificial intelligence),1
generative adversarial network (GANs),1
recurrent neural networks (RNNs),1
convolutional neural networks(CNN),1
computer vision,1
순차적 모델링,1
생성적 적대 신경망,1
장기 의존성,1
추천 시스템,1
sequence modeling,1
gan,1
cnn,1
rnn,1
recommender system,1
미디어 인공지능,1
1차원 컨볼루션,1
Time series data,1
WISDM 데이터셋,1
MIR(Music Information Retrieval),1
Bidirectional Long Short-Term Memory Neural Network,1
Composing music,1
겉보기 비저항,1
잡음,1
흔들림 성분,1
무인 항공 전자탐사,1
apparent resistivity,1
noise,1
rotation correction,1
unmanned aircraft EM,1
AI Exercise Recommendation Service,1
WISDM dataset,1
Physical Activity,1
1D Convolution,1
AI 운동 추천 서비스,1
신체활동,1
artificial intelligence,1
기후변화,1
Multi-stream data,1
선박-교각 충돌,1
유한요소해석,1
데이터셋,1
특이점,1
순환 적대적 생성 신경망,1
안면 변환,1
안면 교체,1
dataset,1
landmarks,1
cycle generative adversarial network (cycleGAN),1
face translation,1
Face swapping,1
Hyper-parameters,1
Resource Management,1
Workload,1
Cloud,1
Gated Recurrent Unit,1
PSO,1
신경망 추정,1
최대 충돌력,1
Nutrient estimation,1
역전파 신경망,1
Long short-term memory network,1
Vessel traffic,1
패턴인식,1
해양사고,1
장단기 기억 신경망,1
선박교통,1
Weight Transformation,1
Spiking Neural Network,1
가중치 변환,1
스파이킹 신경망,1
Elman neural network,1
Backpropagation neural network,1
Peak impact force,1
Ship bridge collision,1
Artificial neural network prediction,1
Finite element method,1
Elman 신경망,1
occupant-centric control,1
Occupancy forecasting,1
재실자 중심 제어,1
재실 인원 예측,1
Artificial neural network,1
Floating Photovoltaic,1
Power Generation Prediction,1
interaction,1
recursive neural network,1
foot contact detection,1
behavior recognition,1
인공신경망 알고리즘,1
챗봇,1
Neural Network Algorithms,1
Chatbot,1
