keyword,count
Capacitive energy storage,3
Dielectric breakdown,3
Transformer,3
Loosely coupled transformer,3
Efficiency,3
Voltage multiplier,3
Insulation testing,3
Impulse testing,3
MEMS,2
Stray Load Loss,2
Bulb tubular turbine generator,2
Micro smart grid simulator,2
Eddy Current,2
18-pulse ac-dc converters,2
Asymmetrical autotransformer,2
LCC-HVDC,2
Thyristor,2
THD current,2
Eddy current loss,2
Distribution system,2
Smart grid,2
Transformer vibration,2
Average torque,2
Inductive power transfer,2
Core losses,2
Torque ripple,2
EMD,2
Signal reconstruction,2
HVDC transmission,2
Magnetic-circuit model,2
Time harmonic,2
Harmonic current,2
Railway vehicle,1
모니터링,1
전력 커플러,1
Energy harvesting,1
에너지 하베스팅,1
검측장치,1
철도차량,1
Inspection device,1
DC distribution system,1
Power coupler,1
Transformer(변압기),1
Millimeter wave,1
Voltage controlled oscillator,1
Phase noise,1
VCO,1
thermal analysis,1
magnetic loss,1
housing material,1
finite element analysis,1
3D CAD,1
Auto Finite Element Modeling(자동유한요소모델링),1
Monitoring,1
Structural Analysis(구조해석),1
Welded Structure(용접구조물),1
PSD function,1
Structural Monitoring,1
Long-distance Measurement,1
PSD 함수,1
구조물 모니터링,1
장거리 계측,1
영상분석,1
Image Analysis,1
Stray Capacitance,1
Drilling tool,1
Wireless power transfer,1
Fault level,1
Differential relay,1
Distributed generation,1
Hybrid cooling,1
Cooling performance,1
Radiators,1
Numerical analysis,1
Factor of merit,1
Cooling fan configuration,1
Power transformers,1
Neutral beam injection,1
Faraday shield,1
Equivalent circuit model,1
Impedance matching,1
Inductively coupled plasma,1
RF driven ion source,1
Solid state transformer,1
Multi-level converter,1
Flying capacitor rectifier,1
Wind farm,1
smart plug,1
energy monitoring,1
High Frequency Transformer,1
Variable current controller,1
LLC resonant inverter,1
Magnetron,1
HFT(High Frequency Transformer),1
S-Parameter,1
Finite control set-model predictive control,1
Electro Magnetic Interference(EMI),1
Parasitic Parameter,1
Magnetic Wall Shunts,1
wirelss sensor networks,1
every one is a hero,1
future education scenario,1
future education,1
모두가 주인공,1
미래교육 시나리오,1
미래교육,1
IoT,1
OpenWRT,1
FOM,1
