keyword,count
Transformer,61
Deep learning,30
트랜스포머,29
딥러닝,26
Deep Learning,21
Vision Transformer,15
transformer,14
BERT,12
deep learning,11
Artificial intelligence,10
GPT,9
ChatGPT,8
인공지능,8
CNN,8
.,7
LSTM,7
Natural Language Processing,6
Computer Vision,6
Generative AI,6
Classification,6
Machine Learning,6
Vision transformer,5
머신러닝,5
artificial intelligence,5
AI,5
Convolutional neural network,5
Large Language Model,5
Prediction,4
생성형 AI,4
자연어 처리,4
Attention Mechanism,4
Chatbot,4
BART,4
Fine-tuning,4
Machine learning,4
비전 트랜스포머,4
Large language model,4
Data Augmentation,4
machine learning,3
음성인식,3
Explainable AI,3
computer vision,3
Unet,3
neural language model,3
Image Classification,3
NLP,3
ResNet,3
object detection,3
컴퓨터 비전,3
EfficientNet,3
large-scale language model,3
Swin transformer,3
대규모 언어모델,3
Separable Vision Transformer,2
Problematic algae,2
Aerial Image,2
Semantic Segmentation,2
Deepfake Detection,2
Data accuracy,2
Attention,2
LLM,2
전이학습,2
Whisper,2
Chatbots,2
Quantization,2
FLUKA,2
Transformer learning model,2
Large-scale radioactive waste,2
Radioactivity distribution evaluation,2
Transfer Learning,2
사전학습,2
딥러닝(Deep Learning),2
Sentence BERT,2
retrieval augmented generation (RAG),2
중소규모 건설현장,2
위험성평가,2
검색증강생성,2
small and medium-sized construction sites,2
risk assessment,2
Generative Pre-trained Transformer(GPT),2
Transformer encoder,2
Authentication,2
Vision transformer(ViT),2
time series forecasting,2
시계열 예측,2
Drone Vision,2
YOLOv5,2
Electrocardiogram,2
Natural language processing,2
파인튜닝,2
Depth estimation,2
Equivalent circuit,2
Mel-Frequency Cepstral Coefficient,2
ViT,2
GRU,2
이미지 분류,2
data augmentation,2
prompt engineering,2
L1 interference,2
HuBERT,2
GPT(Generative Pre-trained Transformer),2
OpenNMT,2
컨볼루전 트랜스포머,2
수어 번역,2
Convolutional Transformer,2
Sign Language Translation,2
language model,2
GPT 3.5,2
Transformer Model,2
Tab-Transformer,2
vision transformer,2
HRNet,2
dependency parsing,2
AIHub,2
Point Cloud,2
FT-Transformer,2
transformer.,2
트랜스포머.,2
self-supervised learning,2
Tabular Data,2
Radiology,2
Transformers,2
Trajectory prediction,2
Stock Market,2
SHAP,2
감정 분석,2
GAN,2
traffic context,2
토지피복,2
Time-Series Forecasting,2
원격탐사,2
large language model,2
감성분석,2
High-frequency transformer,2
BM25,2
generative model,2
Drinking water treatment plants,2
Transformer language model,2
Lysine ubiquitination,2
Post translational modification,2
112,2
Protein sequence,2
yolov8,2
감정인식,2
데이터 증강,2
자연어처리,2
Autonomous driving,2
Computer vision,2
EEG,2
Convolution Neural Network,2
Deep Neural Network,2
Multi-label classification,2
natural language processing,2
Natural language understanding,1
external knowledge base,1
knowledge graph,1
얼굴 인식,1
다중 양상 학습,1
컴퓨터 비전.,1
영상 분류,1
graph transformer,1
UAV,1
commonsense reasoning,1
Unstructured data,1
multi-modal learning,1
그래프 변환기,1
Big data analytics,1
정사영상,1
evasion,1
IDS,1
MQTT,1
도로추출,1
optical character recognition,1
Self-supervised learning,1
일반 상식 추론,1
Bio-Medical Corpus,1
face recognition,1
지식 그래프,1
오프라인 강화학습,1
전문가 데이터,1
범용 인공지능,1
Imitation Learning,1
semantic unit,1
random walk,1
Reinforcement Learning (RL),1
Offline RL,1
Expert Demo,1
Artificial General Intelligence,1
개체명 인식,1
spatiotemporal graph,1
BIO-태깅,1
compositional learning,1
Big data,1
전이 학습,1
video understanding,1
prompt-based incremental learning,1
생의학 말뭉치,1
blurry-class incremental learning,1
Named Entity Recognition,1
continual learning,1
BIO-Tagging,1
프롬프트 기반 증분 학습,1
Tree Species,1
Blurry 클래스 증분 학습,1
연속 학습,1
image classification.,1
외부 지식 체계,1
Cost volume,1
transformers,1
Forest Type,1
Exhaust gas temperature,1
P-GPT,1
업무혁신,1
역량향상,1
pretraining,1
강화학습,1
seismic processing,1
인과관계 분류,1
탄성파 자료처리,1
문서 요약,1
토픽 모델링,1
Field Investigation,1
LDA,1
Perplexity,1
Rouge,1
Document Summarization,1
Fire Detection,1
Intelligence electric distribution grid,1
Topic Modeling,1
무인항공기,1
Monitoring,1
RT-DETR,1
해안 쓰레기,1
Unmanaged Coast,1
비관리 해변,1
Coastal Debris,1
모니터링,1
현장 조사,1
Chat-GPT,1
상대적 위치 임베딩,1
Time-series forecasting,1
Marine systems,1
Settlement prediction,1
DeeplabV3+,1
Swin-Transformer,1
셀프-어텐션,1
과제 기반 연결*,1
emotion analysis,1
self-attention,1
Neural networks,1
Consolidation settlement,1
Crowd Counting,1
task-based connection,1
Object Detection,1
Pest Counting,1
DeBERTa,1
collaborative filtering,1
Relative Position Embedding,1
embed,1
recommendation system,1
image forgery detection,1
ensemble learning,1
Causal Relationship Classification,1
Logistics Safety Management,1
feature enhancement,1
Fault diagnosis,1
Time-series prediction,1
물류 안전 관리,1
Deep Neural Networks,1
Treatment response,1
핵심어: 한국고전번역원,1
모방학습,1
Business Efficiency,1
control constructions,1
Earthquake,1
Gaussian noise,1
Gamma white spots,1
FAS,1
Monte Carlo calculation,1
SUNet,1
Ground motion,1
Image denoising,1
Neutron images,1
Prostatectomy,1
Computer vision systems,1
Data Transformation,1
Autonomous Driving,1
sequential data,1
prognostics and health management,1
floating wind turbine,1
language models,1
parameters,1
language acquisition,1
과실경도,1
3,1
- 3,1
Sentence similarity,1
Sentence classification,1
문장 유사도,1
문장 분류,1
로봇수확,1
robot harvester,1
빔 예측,1
fruit firmness,1
Wireless communications,1
Multi-modal learning,1
Beam prediction,1
무선 통신,1
멀티모달 학습,1
심층 신경망,1
fault detection,1
blade pitch system,1
Latent space,1
E-commerce reviews,1
Bayesian estimation,1
lower record values,1
inverse Lomax distribution,1
