keyword,count
Transformer,37
BERT,17
딥러닝,16
트랜스포머,14
Deep Learning,14
Deep learning,11
transformer,9
.,7
deep learning,7
GPT,6
surprisal,5
Neural Network,4
Partial discharge,4
language model,4
LSTM,4
Object Detection,4
GPT-2,4
Starting current,4
BART,4
Voltage drop,4
natural language processing,3
Artificial intelligence,3
자연어처리,3
Big Data,3
Machine learning,3
멀티모달,3
Natural Language Processing,3
Vision transformer,3
Percent impedance,3
Current transformer,3
MFCC,2
반도체 변압기,2
Transformer capacity,2
Solid-state transformer,2
Induction motor,2
DC-DC converter,2
Electrical Safety,2
Feature Extraction,2
Wireless Power Transfer,2
Artificial Intelligence,2
DC distribution,2
DC/DC converter,2
-,2
DAB converter,2
Semantic segmentation,2
Power transformer,2
Receiving Power Transformer,2
InferSent,2
Inspection Statistics,2
Object detection,2
GLUE,2
언어모델,2
W-Band,2
Amplifier,2
Fault diagnosis,2
Random forest,2
감성분석,2
Sentiment Analysis,2
Artificial neural network (ANN),2
convolutional neural networks,2
ALBERT,2
NLP,2
인공지능,2
Electrical breakdown,2
PrefixLM,2
언어 모델,2
Vision Transformer,2
LUKE,2
RoBERTa,2
Coupling coefficient,2
수학 문장제 문제,2
Transformers,2
Perceiver,2
Bidirectional Encoder Representations from Transformers(BERT),2
Pole transformer,2
Spacer,2
생성적 적대 신경망,2
IEC 60044-8,2
Bidirectional Encoder Representations from Transformers,2
Piezoelectric transformer,2
1×1,2
neural language model,2
LED,2
Metaverse,2
Topic Modeling,2
Pansori,2
NLL,2
VMS,2
Deep-learning,2
GelMA,2
Research Trend,2
Distribution system,2
neural machine translation,2
Harmonics,2
Automatic Diagnosis,2
Replacement Cycle,2
Private Electrical Facilities,2
attention model,2
Reliability Analysis,2
이상탐지,1
Power Amplifier,1
Anomaly Detection,1
Common-Source,1
Cascode,1
Auxiliary   converter,1
Newly   proposed    converter,1
교류(AC),1
Silicon Germanium.,1
Inverter,1
12   pulse   converter,1
Input ripple,1
고조파,1
DC–DC power conversion,1
보조컨버터,1
Network Management,1
Magnetic integration,1
Driver Amplifier,1
Dual active bridge converter,1
Heterojunction Bipolar Transistor (HBT),1
Electricity market,1
motion,1
Integration circuit,1
물체의 운동,1
Backpropagation Algorithm,1
Battery charger,1
Bipolar DC distribution system,1
Market Price,1
Transmission congestion,1
alternating current(AC),1
Frequency Doubler,1
새로   제안된   컨버터,1
Parasitic Elements,1
stroboscope,1
Image analysis,1
Remote sensing,1
Voltage balancer,1
5G.,1
다중섬광 장치,1
Array Antenna,1
gender mismatch effect,1
인버터,1
데이터 증강,1
Switchboard,1
Ai algorithm,1
Diagnosis system,1
Antibacterial activity.,1
Ginger extract,1
Knowledge graph,1
Electric power equipment,1
Entity recognition,1
Hydrogel,1
Gelatin,1
Relation extraction,1
서프라이절,1
읽기 시간,1
Photovoltaics,1
전치사구 수식,1
주어/목적어 관계절,1
객체 검출,1
reading time,1
PP modification,1
산업 환경,1
subject/object relative clause,1
Generative Adversarial Networks,1
Data Augmentation,1
Industrial Environment,1
reflexive dependency,1
neural network language model,1
IVMC,1
Voltage multiplier,1
12    펄스    컨버터,1
Linguistic Feature,1
filler-gap dependency,1
Multi-input,1
Single-stage,1
Maximum power,1
GCC decomposition,1
New energy generation,1
channel estimation,1
wireless cellular networks,1
Fake Review,1
Predictive Modeling,1
Network Attack&Intrusion Detection,1
항균력,1
생강 추출물,1
Interleaved boost,1
Semantic Feature,1
요약,1
영화 요약,1
감정 역학,1
summarization,1
movie summarization,1
하이드로겔,1
젤라틴,1
multimodal,1
emotion dynamics,1
High gain,1
Isolated converter,1
Pre-processing,1
신경망 기계 번역,1
South Korea,1
Active integrator,1
vision transformer,1
multiscale features,1
bidirectional fusion,1
pest classification,1
Electron affinity,1
Ionization potential,1
Breakdown voltage,1
Positive lightning impulse,1
Streamer,1
Ester insulating oil,1
Injection transformer,1
Capacitor-less H-bridge inverter,1
Pulse width modulation,1
Voltage fluctuation,1
Phase deviation,1
EV (Electric Vehicle),1
Integrated EV charging system,1
IPT (Inductive Power Transfer),1
Small-signal model,1
deep-learning,1
Spatial-temporal Structure Information,1
Sign2Gloss2Text,1
Keypoints,1
Human Pose Estimation,1
Sign Language Translation,1
Islanding mode,1
LLC resonant converter,1
Grid connected mode,1
TAB (Triple-Active-Bridge) converter,1
Skeletal Information,1
Keypoint Detection,1
Balim,1
Adjustable turn-ratio,1
Voltage ratio,1
Potential transformer,1
text classification,1
D-dot sensor,1
다언어 기계번역,1
기계번역,1
한국어 방언 기계번역,1
Language Convergence,1
Multilingual Translation,1
Machine Translation,1
Korean Dialect Translation,1
Load Impedance Variation,1
Output Power Variation,1
Quarter-Wave Impedance Transformer,1
Class E Power Amplifier,1
Chatbot,1
Swin-Transformer,1
Image Classification,1
Animal Healthcare,1
언어 융합,1
Indirect Lightning,1
Low voltage,1
Equipment preventive maintenance,1
위상차,1
분압비,1
능동성 적분기,1
계기용 변압기,1
전속 센서,1
UHF sensor,1
Breakdown characteristics,1
Medium voltage,1
Substation,1
IEC61850,1
GA,1
Fitness function,1
Fault recovery,1
Surge arresters,1
it-cleft,1
pronominal case,1
platform,1
Smart grid system,1
Termination part,1
Dielectric characteristics,1
Current lead,1
Creepage discharge,1
Index n,1
Degradation,1
Critical current,1
2G HTS wire,1
Language models,1
Binary classification task,1
Korean SAT,1
데이터 전처리,1
이진 분류 태스크,1
대학수학능력시험,1
monotonicity,1
semantic role labeling,1
Korean neural language model,1
performance assessment,1
evaluation,1
elite polarization,1
political polarization,1
언어학,1
평가,1
언어모형,1
linguistics,1
language models,1
layer-wise analysis,1
Power,1
HEMT,1
GaN,1
Text Analysis,1
텍스트 분석,1
heatmap analysis,1
scope,1
licensor,1
/SUB&gt,1
DC Microgrid,1
End-to-End framework,1
Handwritten parcel delivery invoice understanding,1
Optical character recognition,1
Leakage Inductance,1
Power Decoupling,1
Quadruple-Active-Bridge (QAB),1
pre-trained language model,1
Clamp load(축력),1
text analysis,1
linkage of classification systems,1
Rogowski coils,1
DC Arc generator test equipment,1
Arc detection sensor,1
DC fire and preventive measures,1
Document understanding transformer,1
Variable cam timing(VCT,1
LARGE&lt,1
Machine translation,1
SUB&gt,1
BERT&lt,1
NPI,1
Visualization,1
exBERT,1
XAI,1
Self-Attention,1
가변 밸브 타이밍 기구),1
변위 센서),1
Linear variable differential transformer(LVDT,1
Strain gauge(스트레인 게이지),1
Hollow bolt(중공 볼트),1
센터볼트),1
Oil control valve(유로 제어 밸브,1
SFCL,1
bus separation method,1
Full-bridge converter,1
Electrical Safety Management System,1
Real-Time,1
License Plate Recognition,1
Life Cycle,1
Electrical Life Assessment,1
Electrical Safety Level,1
Electrical Facility,1
Feature Selection,1
CNN,1
Multi-Modal,1
인공 신경망,1
특성 추출,1
traffic signal,1
PPO,1
ITS,1
Anchor-Free Method,1
번호판 인식,1
DRL,1
Weight Sharing,1
Littérature classique française,1
프랑스 고전문학,1
Musique,1
음악,1
Gradient Accumulation,1
Mixed Precision,1
HR-VITON,1
실시간,1
Virtual Try-on Service,1
Relaxation mechanism and transport properties,1
Debye temperature,1
Thermo-magnetization,1
Cationic distribution,1
자유 앵커 방식,1
edge computing,1
Data Mining,1
compositeur,1
Feature vector,1
Irradiation adaptive algorithm,1
L2-language models,1
linguistic generalization,1
L2-신경망 언어 모델,1
신경망 언어 모델,1
언어학적 일반화,1
Object recognition,1
Photovoltaic,1
Object embedding,1
Image retrieval,1
특징 벡터,1
객체 인식,1
객체 임베딩,1
이미지 검색,1
Differential power processing,1
Bi-directional DC-DC converter,1
Operating Coil Monitoring and Diagnosis,1
Open Domain Machine Reading Comprehension,1
Temperature and Humidity Monitoring and Diagnosis,1
Vacuum Level Monitoring and  Diagnosis,1
Monitoring and Diagnosis Device,1
Edge AI,1
Document Reader,1
