keyword,count
합성곱 신경망,15
Deep Learning,9
Convolutional Neural Network,8
딥러닝,5
CNN,4
deep learning,4
convolutional neural network,4
convolutional neural networks,4
Image Classification,3
기계학습,2
Neural Network,2
딥 러닝,2
occupancy sensor,2
Machine Learning,2
Object Detection,2
on-line tracking,2
AI,2
심층신경망,2
low-resolution images,1
Deep Feature,1
Brain tumor,1
맹인 및 시각 장애인 보행자,1
Preprocessing,1
객체 검지,1
Deep learning,1
안전서비스,1
차세대 ITS,1
Convolutional neural network,1
Fisher Vector,1
object recognition,1
Sparse Coding,1
Gaussian Mixture Model,1
심층 신경망,1
저해상도 영상,1
객체 인식,1
영상 개선 신경망,1
심층학습,1
image enhancement network,1
deep neural networks,1
합성곱신경망,1
포트홀,1
전처리,1
MRI,1
Visualization,1
Memory Augmented Neural Network,1
손 제스처 인식,1
DenseNet,1
가상현실,1
게임,1
Hand Gesture Recognition,1
Virtual Reality,1
Game,1
작성자 식별,1
작석자 분석,1
코드 분석,1
Author Identification,1
Authorship Analysis,1
Code Analysis,1
time-series signal,1
surface electromyography,1
Korean finger number gesture recognition,1
consistency in cnn learning,1
repeated recognition application,1
배치 정규화,1
영상 분류,1
Batch Normalization,1
Next generation ITS,1
뇌종양,1
CNNs,1
비지도 학습,1
Safety Service,1
이동성,1
Image retrieval,1
Sketch-based 3D object retrieval,1
영상 검색,1
스케치 기반 3차원 물체 검색,1
Convolutional Neural Networks,1
Apparel,1
Runway,1
Mobility,1
이미지 분류,1
의류,1
런웨이,1
Inpainting,1
BVI pedestrian,1
Colorization,1
BEGAN,1
복원,1
컬러화,1
경계 평형 생성 적대 네트워크,1
pixel art,1
image abstraction,1
non-photorealistic rendering,1
단-단계 물체 탐지,1
심층 합성 곱 신경망,1
온라인 고난도 예 마이닝,1
sequence-to-sequence model,1
generative chat system,1
Siamese recurrent neural network,1
knowledge entity embedding,1
대립쌍 기계학습,1
얼굴합성,1
Scirtothrips dorsalis Hood,1
Generative adversarial network,1
face morphing,1
DCGAN,1
dCNN,1
unsupervised learning,1
고객 행태 예측,1
고객의 소리,1
Customer Behavior Prediction,1
Convolution Neural Network(CNN),1
Voice of Customer(VOC),1
원격 지도학습,1
관계추출,1
단어 임베딩,1
distant supervision,1
relation extraction,1
word embedding,1
지식 개체 임베딩,1
샴 순환 신경망,1
생성 기반 채팅 시스템,1
sequence-to-sequence 모델,1
Malware Classification,1
difference image,1
object detection,1
화물차 적재함,1
Polyp,1
용종,1
Adenomacarcinoma,1
Convolution,1
선암,1
합성곱,1
신경망,1
얼굴인식,1
심층 합성곱 신경망,1
심층 지역 특징,1
가중치 결합,1
얼굴 지역 영역,1
조인트 베이시안,1
face recognition,1
deep convolutional neural network,1
deep local features,1
weight combination,1
faciallocal region,1
Joint Bayesian,1
Region-based Convolutional Neural Network,1
Semantic Segmentation,1
역기반 합성곱 신경망,1
객체탐지,1
영상분류,1
차종분류,1
Faster R-CNN,1
Truck Cargo Box,1
의미론적 분할,1
인공지능,1
완전 합성곱 신경망,1
Pothole,1
Road surface damage,1
Semantic segmentation,1
Deep neural network,1
Fully convolutional neural network,1
기술적 분석가,1
분류기,1
주가지수 등락 예측,1
Classifier,1
Stock Price Fluctuation Prediction,1
Technical Analyst,1
감성분석,1
오피니언 마이닝,1
텍스트 마이닝,1
농산물가격,1
emotional analysis,1
opinion mining,1
text mining,1
agricultural price,1
Vehicle Classification,1
의미적 분할,1
visual tracking,1
probability map,1
color histogram,1
EEG,1
load balancin and simulation,1
Depth map,1
Saliency map,1
Motion Hitsory Image,1
Ready-made depth map,1
self organizing map,1
image denoising,1
deep convolutional neural networks,1
feature extraction,1
image filtering,1
dynamic RCS,1
radar target identification,1
warhead,1
debris,1
Switched-Capacitor,1
도로노면 파손,1
abandoned object recognition,1
background estimation,1
객체 탐색,1
볼록총채벌레,1
빠른 지역기반 객체 탐색,1
Convolutinal network,1
epileptic seizure detection,1
recurrent CNN,1
ASIC,1
tracking,1
XNOR Neural Network,1
1-Bit Neural Network,1
Quantized Neural Network,1
Deblurring,1
Convolutional Neural Network (CNN),1
Shock filter,1
Uniform Motion blur,1
Blind deconvolution,1
camera,1
people recognition,1
IoT,1
Deep Convolutional Neural Network,1
Smart toy,1
Voice command,1
Voice learning,1
Gastroscope,1
Convolutional Neual Network,1
Transfer learning,1
Resnet,1
Inception,1
VGGnet,1
Traffic Light Recognition,1
손실 함수,1
