keyword,count
합성곱 신경망,35
CNN,24
딥러닝,18
Deep learning,14
합성곱신경망,12
convolutional neural network,9
Convolutional Neural Network,9
Convolutional neural network,8
Deep Learning,8
Convolutional Neural Networks,7
Convolutional Neural Network(합성곱 신경망),7
인공지능,6
머신러닝,5
Machine Learning,5
ResNet,5
deep learning,5
Transfer Learning,4
IoT,4
LeNet-5,4
Keras,4
인공신경망,3
전이 학습,3
뇌파,3
Object detection,3
Deep Learning(딥러닝),3
객체 검출,3
기계학습,3
Classification,3
Transfer learning,3
Deep learning(딥러닝),3
machine learning,3
Artificial intelligence,3
NLP,2
딥 러닝,2
분류,2
전이학습,2
심층 학습,2
Artificial Intelligence,2
Machine learning,2
게이트 순환 유닛,2
Speech Recognition,2
Convolutional neural networks,2
Convolutional neural network (CNN),2
Osteoporosis,2
합성곱 신경망(CNN),2
심층 합성곱 신경망,2
Noise2Void,2
Quality Prediction,2
합성곱 신경망),2
Convolution Neural Network,2
유체 시뮬레이션,2
EfficientNet,2
convolutional neural networks,2
심층학습,2
문화재,1
빅데이터,1
quality control,1
power spectral density,1
타이타닉 재난데이터,1
품질관리,1
파워스펙트럼밀도,1
Fashion,1
Generative Adversarial Network,1
생성적 적대 신경망,1
MAE,1
MSE,1
Error Back Propagation,1
Noise Attenuation,1
평균 절대값 오차,1
평균 제곱 오차,1
패션,1
농업기계,1
심층신경망(DNN),1
스마트홈,1
English Pronunciation,1
English Language Training,1
Continuous Wavelet Transform(연속 웨이블렛 변환),1
Power Driving System(동력 구동 시스템),1
Lyapunov Exponent(리아푸노브 지수),1
Recurrence Plot(리커런스 플롯),1
Chaos(카오스),1
사물인터넷,1
AI,1
뇌-컴퓨터 인터페이스,1
Smart Home,1
Internet of Things (IoT),1
Brain-Computer Interface (BCI),1
Electroencephalography (EEG),1
Convolutional Neural Network (CNN),1
CT,1
DTW,1
영어 교육,1
합성곱신경망(CNN),1
Mean average precision,1
Cultural Property,1
Big Data,1
Deep Neural Network,1
YOLO,1
영상인식,1
평균 정밀도,1
Convolutional neurual network,1
자율주행,1
영어 발음,1
경계 검출,1
조향제어,1
autonomous traveling,1
agricultural machinery,1
boundary detection,1
steering control,1
동적 시간 워핑,1
오차 역전파,1
Hearing-Impaired Person,1
잡음 감쇠,1
RNN,1
Crackles,1
Convolutional Neural Network(CNN),1
Stacking Ensemble,1
호흡음 분류,1
천명음,1
수포음,1
병렬 합성곱 신경망,1
스태킹 앙상블,1
Bolts With Anti-loosening Coating,1
Fine-tuning,1
Fully Connected Layer,1
전자기유도,1
자기임피던스센서,1
순환신경망,1
Electromagnetic Induction,1
Wheezes,1
Respiratory Sound Classification,1
선박 기관실 기기,1
관심영역,1
Depth of field,1
Image processing,1
Region of interest,1
인공 신경망,1
피사계 심도,1
이미지 프로세싱,1
acoustic scene classification,1
순찰 로봇,1
