keyword,count
주제 분리,1
합성곱 신경망,1
합성곱 신경망(Convolution neural network),1
국소표면 플라즈몬 공명(Localized surface plasmon resonance),1
광원일체형 마이크로 LED 가스센서(Monolithic micro-LED gas sensor),1
Convolutional neural network (합성곱 신경망),1
Deep learning (딥러닝),1
Prognostics and health management (건전성 예측 및 관리),1
Smart factory (스마트팩토리),1
Error backpropagation algorithm,1
Recurrent neural networks,1
Convolutional neural networks,1
Deep learning,1
오류역전파 알고리즘,1
순환신경망,1
합성곱신경망,1
딥러닝,1
다중 일반 클래스(Multiple Normal Classes),1
딥 러닝(Deep Learning),1
이상치 탐지(Anomaly Detection),1
이미지 분류(Image Classification),1
계층적 구조(Hierarchical Structure),1
군집화(Clustering),1
합성곱신경망(Convolutional Neural Network+),1
Autonomous Vehicle(자율주행자동차),1
Convolutional Neural Network(합성곱 신경망),1
Machine Learning(기계 학습),1
Image processing(영상처리),1
Traffic Sign Recognition(표지판 인식),1
Convolutional Neural Network,1
Topic Segmentation,1
초저전력 전자코 시스템(Ultra-low power electronic nose),1
