keyword,count
합성곱 신경망,31
딥러닝,19
Convolutional Neural Network,15
Deep Learning,13
CNN,11
Deep learning,10
합성곱신경망,10
Convolutional neural network,8
convolutional neural networks,8
deep learning,6
순환 신경망,5
Convolution Neural Network,5
Machine Learning,5
기계학습,4
convolutional neural network,3
Convolutional Neural Networks,3
딥 러닝,3
Object Detection,3
Classification,3
Rotating machinery(회전기기),3
deep convolutional neural networks,3
기계 학습,3
Convolutional neural network(합성곱 신경망),3
Recurrent Neural Network,2
Mobile Robot,2
U-Net,2
Deep-Learning,2
Word2vec,2
선박 분류,2
인공 신경망,2
Object detection,2
Transfer Learning,2
Fire Detection,2
attention,2
YOLO,2
화재검출,2
Transfer learning(전이 학습),2
Avoidance Obstacle,2
Path Planning,2
Taget Detection,2
Image Processing,2
Machine learning(기계학습),2
sparse coding,2
recurrent neural network,2
Elastic Multiple Parametric Exponential Linear Units,2
자연어 처리,2
Convolution neural network,2
IoT,2
natural language processing,2
B-scan,2
Osteoporosis,2
SQL,2
convolution neural network,2
욜로,2
경로계획,2
모바일 로봇,2
Road surface damage,2
장애물 회피,2
Atrous Convolution,2
Accelerometer,2
영상처리,2
표적인식,2
Grad-CAM,2
구매 예측,1
플라스틱 섬광검출기,1
Artificial neural network(인공신경망),1
Time series analysis(시계열 분석),1
siamese network,1
similarity measure,1
커머스 데이터,1
어텐션,1
Prognosis(예지),1
샴 네트워크,1
유사도 측정,1
Recurrent neural network(재귀 신경망),1
System health(시스템 건전성),1
핵종분별 알고리즘,1
2차원 변환,1
Short-time Fourier transforms(단시간 푸리에 변환),1
합성곱신경망(CNN),1
Precipitation,1
범죄예방 환경설계,1
열화상 카메라,1
Image restoration,1
Aerospace Application(항공우주적용),1
Airfoil(익형),1
Convolution Neural Network(합성곱 신경망),1
Deep Leaning(심층학습),1
텍스트 처리,1
이미지 캡셔닝,1
건설 현장 관리,1
Machine learning,1
Skin Temperature,1
Thermographic Camera,1
Thermal Comfort,1
피부온도,1
열쾌적감,1
가로 이미지,1
Crack Detection,1
Concrete Crack,1
정형 데이터,1
콘크리트 균열,1
부분 인식(Partial Recognition),1
CNN),1
합성곱 신경망(Convolutional Neural Network,1
정밀 착륙(Precision Landing),1
드론(Drone),1
Crime prediction,1
Street image,1
CPTED,1
범죄예측,1
균열 검출,1
Connectionist temporal classification,1
Engine Room,1
기관실,1
Speech Emotion Recognition,1
중도탈락,1
직업훈련 교육,1
Dropout,1
Vocational Training,1
발화 단위 표상,1
유사도,1
반자동 확장,1
채팅 시스템,1
utterance embedding,1
