keyword,count
-,8
-tolok,1
.,75
/,1
/SUB&gt,4
/SUP&gt,1
1-D CNN,2
1-km CLIMATE GRID,2
10&lt,2
112,3
112 Call Report,1
112 Emergency Call,1
112 신고,1
112신고,1
119,2
119 corpus,1
119말뭉치,1
19,1
19&lt,1
19대 대선,1
1:1 Verification,1
1:1 검증,1
1D CNN,2
1D CNN(1차원 CNN),1
1D Convolution,1
1D Convolution Network,1
1D U-Net,1
1D convolutional neural network,1
1D 합성곱 신경망,1
1D-CNN,7
1D-CNN F,1
1D-CNN+BiLSTM,2
1D-ConvBLSTM,1
1D-Modeling(1D-모델링),1
1d-SAX,1
1km 기후 격자,2
1×1,2
1단계 기반 검출기,1
1인 가구,1
1차원 CNN,1
1차원 컨볼루션 모델,1
2,1
2-D data,1
2-D transformation,1
2-MIB,1
2-step analysis,1
2.5&lt,2
2.5-dimensional packaging,1
2.5D Asset Generation,1
2.5D Packaging,1
2015 Revised Middle School Mathematics Curriculum,1
2015 개정 중학교 수학 교육과정,1
2022 개정 교육과정,1
2023/24년 엘니뇨,2
20th Presidential Election,1
20대 대선,1
20세기 전기,1
2D CNN,2
2D Convolutional Neural Network,1
2D Discrete Wavelet Transform(2D 이산 웨이블릿 변환),1
2D Image,1
2D LiDAR,1
2D Object Detection(물체검출),1
2D Virtual Try-on,1
2D deformation,1
2D drawing,1
2D image(이차원 영상),1
2D to 3D,1
2D 가상 착의,1
2D 변형,1
2D 합성 곱 신경망,1
2D-3D 얼굴 변환,1
2D-Cross correlation,1
2D-to-3D face conversion,1
2D도면,1
2단계 분석,1
2단계 학습,1
2차원 변환,1
2차원 영상,1
2차원 이미지,3
3,1
3-D PCA,1
3-D tensor,1
3-D 텐서,1
360 Images,1
360 camera,1
360 image,1
360 video,1
360 영상,1
360 카메라,1
360 파노라마 이미지,1
360-degree panorama picture,1
3D Asset Management,1
3D Aware GAN,1
3D Brain MR Image,1
3D CNN,3
3D CNN(3D 콘볼루션 뉴럴 네트워크),1
3D Camera(3차원 카메라),1
3D Convolution,1
3D Convolutional Neural Network(3D-CNN),1
3D Deep Learning,1
3D Deeplearning Modeling,1
3D Gaussian Splatting,1
3D Image Segmentation,1
3D LiDAR(3차원 라이다),1
3D Lidar(3차원 라이다),1
3D Mesh,2
3D Model,2
3D Modeling,3
3D Multiple Object Tracking,1
3D Object Detection,1
3D Object Detection (3D 물체 검출),1
3D Object Detection(3차원 객체 인식),1
3D Object Detection(3차원 객체검출),1
3D Object Detection(물체 검출),1
3D Object detection,2
3D Parts Models Shape,1
3D Point Cloud(3차원 점 구름),1
3D Pose,1
3D Printer,2
3D Printing,1
3D Printing Scaffold,1
3D Reconstruction,4
3D Rendering,2
3D Scanner,1
3D Semantic Segmentation,1
3D Spatial Information,1
3D Spatial information,1
3D Tunnel face,1
3D U-Net,1
3D animation,1
3D classification,1
3D convolution,2
3D deep learning,1
3D human model,1
3D image compositing,1
3D imaging,1
3D location initialization,1
3D mesh data,1
3D model,1
3D model construction,1
3D modeling,3
3D object detection,2
3D object detection(3차원 객체 검출),1
3D object tracking,1
3D perception,1
3D point cloud,3
3D printing,4
3D printing defect,1
3D reconstruction,2
3D representation,1
3D scan data,1
3D scanning,1
3D segmentatio,1
3D segmentation models,1
3D skeleton,1
3D vertical SONOS NAND,1
3D 가우시안 스플래팅,1
3D 객체 검출,1
3D 객체 인식,1
3D 그래픽스,1
3D 딥러닝 모델링,1
3D 렌더링,1
3D 모델,2
3D 모델링,3
3D 분할 모델,1
3D 세그멘테이션,1
3D 스캔 데이터,1
3D 애셋 관리,1
3D 이미지 분할,1
3D 이미지 합성,1
3D 재구성,1
3D 컨볼루션,2
3D 포인트 클라우드,1
3D 프린터,1
3D 합성곱 신경망(3D-CNN),1
3D-CNN,1
3D-Pinball,1
3D-Reconstruction,1
3D-Volume,1
3D-printed Carbon Fiber Reinforced Plastics(3D 프린트 CFRP),1
3DMM,2
3D모델링,1
3D스캔,1
3d-LiDAR,1
3차원 객체 검출,2
3차원 객체 추적,1
3차원 공간정보,1
3차원 뇌 자기공명 영상,1
3차원 딥 러닝,1
3차원 딥러닝,1
3차원 머리 자세 추정(3D Head pose estimation),1
3차원 모델 구축,1
3차원 모델링,2
3차원 물체 검출 (3D Object Detection),1
3차원 복원,4
3차원 부품 모델 형상,1
3차원 사람 모델,1
3차원 위치 초기화,1
3차원 자세,1
3차원 점군데이터,2
3차원 터널 막장,1
4,1
4D functional magnetic resonance imaging,1
4D 자기 공명 영상,1
4K CCTV,1
4th Industrial Revolution,6
4th Industrial revolution,1
4th industrial revolution technology,1
4차 산업,3
4차 산업혁명,17
4차산업,1
4차산업혁명,6
4차산업혁명기술,1
5 Major Crimes,1
50463 Korea Open Access http://doi.org/10.6109/jkiice.2024.28.10.1183	print ISSN: 2234-4772 online ISSN: 2288-4165 This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License(http://creativecommon,1
5G,5
5G(5G),1
5th industrial revolution technology,1
5대범죄,1
5일선행강수량,1
5차산업혁명기술,1
6-axis manipulator,1
6D pose estimation,1
6DoF pose estimation,1
6G Wireless Communications,1
7-poker,1
802.11ay,2
90s,1
: Social engineering attack,1
A Lite BERT,1
A* algorithm,1
A.I,2
A.I.,1
A.I. (Artificial Intelligence),1
A.I. webtoon,1
A3C,2
AAE,1
AC OPF,1
ACL,1
ACNE,1
ACO,1
ACOS,2
ACR phantom,2
ACR 팬텀,2
ADAS,2
ADAS (첨단 운전자 보조 시스템),1
ADAS(Advanced Driver Assistance System,1
ADAS(Advanced Driver Assistance Systems),1
ADAS(운전자보조시스템),1
ADAS(첨단 운전자 보조 시스템,1
ADAS(첨단 운전자 지원 시스템),2
ADAS(첨단 자율 주행 시스템),1
ADAS(첨단운전보조시스템),1
ADC,1
ADHD,1
ADS(Agriculture Decision-making System),1
ADS-B,3
ADSA(첨단운전자보조시스템),1
AE,1
AEB(Autonomous Emergency Braking,1
AEB(긴급 제동 장치,1
AEB(자동긴급제동장치),1
AES,2
AES algorithm,1
AES-CBC,1
AFFG(Automatic Few-shot Font Generation),1
AHB(자동 상향등 제어시스템),1
AI,118
AI (Artificial Intelligence),1
AI (Artificial intelligence),1
AI Accelerator,1
AI Algorithm,1
AI Analysis System,1
AI Applications,1
AI Chatbot,1
AI Convergence Education,1
AI Creating Sino-poetry,1
AI Dataset,2
AI EUX Design,1
AI EUX디자인,1
AI Education,1
AI Ensemble Learing,1
AI Era,1
AI Ethics,2
AI Ethics Education,1
AI Ethik,1
AI Fashion Convergence,1
AI Hub,1
AI Image Generator,1
AI Literacy,1
AI Literature Creation,1
AI Process,1
AI Recommendation System,1
AI Recruitment System,1
AI Signal,1
AI Simulator,1
AI Society,1
AI Solutions,1
AI Speaker,2
AI Stock Prediction,1
AI TF,1
AI Technology,1
AI Utilization,1
AI Vision,1
AI Visual art Creation Aesthetic impression,1
