keyword,count
딥러닝,2400
Deep Learning,1429
Deep learning,986
deep learning,639
인공지능,419
CNN,345
LSTM,303
딥 러닝,195
Artificial Intelligence,181
Machine Learning,172
Object Detection,172
머신러닝,171
Deep Learning(딥러닝),154
YOLO,152
합성곱 신경망,131
AI,118
Deep learning(딥러닝),110
Convolutional Neural Network,106
Object detection,96
Artificial intelligence,95
BERT,85
기계학습,85
machine learning,83
Classification,82
빅데이터,77
Machine learning,76
.,75
Computer Vision,71
GAN,69
artificial intelligence,69
컴퓨터 비전,68
RNN,67
딥러닝(Deep Learning),63
Convolutional neural network,60
드론,56
딥러닝(Deep learning),56
Deep-learning,54
GRU,52
객체 탐지,50
자연어 처리,49
IoT,49
인공신경망,48
트랜스포머,46
데이터 증강,46
object detection,46
자연어처리,45
ResNet,45
합성곱신경망,44
Transformer,44
객체 검출,43
Image Processing,42
Transfer Learning,42
전이학습,40
분류,40
Big Data,40
Deep Neural Network,40
Semantic segmentation,40
DNN,40
convolutional neural network,39
영상처리,39
Anomaly Detection,39
의미론적 분할,38
Semantic Segmentation,38
U-Net,37
CCTV,37
자율주행,36
Data Augmentation,36
Data augmentation,35
객체 인식,35
오토인코더,35
deep-learning,35
Convolution Neural Network,34
예측,33
딥러닝 모델,32
알고리즘,32
Image Classification,31
Natural Language Processing,31
natural language processing,30
이미지 분류,30
UAV,30
Segmentation,30
Drone,29
Autoencoder,29
Prediction,29
Faster R-CNN,28
순환 신경망,28
YOLOv8,27
심층신경망,27
기계 학습,27
Image processing,27
Transfer learning,27
감성분석,27
Deep-Learning,27
ChatGPT,27
Computer vision,27
Sentiment Analysis,26
컨볼루션 신경망,26
YOLOv5,26
스마트팜,26
추천 시스템,25
순환신경망,25
객체탐지,25
Neural Network,24
텍스트 마이닝,24
COVID-19,24
딥러닝 알고리즘,24
Mask R-CNN,23
NLP,23
생성적 적대 신경망,23
시계열 예측,23
Super-resolution,23
Anomaly detection,23
Text Mining,23
딥러닝(deep learning),23
Convolutional Neural Networks,22
초해상화,22
Algorithm,22
심층 신경망,22
이상 탐지,22
강화학습,22
transfer learning,21
전이 학습,21
