keyword,count
딥러닝,5480
인공지능,883
합성곱신경망,598
머신러닝,503
object detection,314
lstm,306
deep learning(딥러닝),271
딥 러닝,195
yolo,157
빅데이터,150
딥러닝(deep learning),142
자연어처리,139
순환신경망,135
합성곱 신경망,131
전이학습,130
컴퓨터비전,125
deep-learning,116
classification,97
semantic segmentation,90
data augmentation,88
bert,86
기계학습,85
image processing,85
신경망,79
deep neural network,78
.,75
anomaly detection,71
gan,70
컴퓨터 비전,68
image classification,63
알고리즘,60
convolution neural network,59
transformer,57
드론,56
u-net,55
gru,52
강화학습,51
객체 탐지,50
iot,50
autoencoder,50
자연어 처리,49
sentiment analysis,49
인공신경망,48
resnet,47
데이터 증강,46
트랜스포머,46
artificial neural network,44
객체 검출,43
drone,42
text mining,41
prediction,40
dnn,40
분류,40
generative adversarial network,39
영상처리,39
convolutional neural networks,38
의미론적 분할,38
segmentation,38
cctv,38
autonomous driving,36
자율주행,36
오토인코더,35
객체 인식,35
yolov5,35
비지도학습,33
예측,33
faster r-cnn,33
딥러닝 모델,32
covid-19,32
super-resolution,31
이미지 분류,30
yolov8,30
uav,30
deep learning model,29
tensorflow,28
image segmentation,28
순환 신경망,28
심층신경망,27
long short-term memory,27
기계 학습,27
mask r-cnn,27
chatgpt,27
감성분석,27
컨볼루션 신경망,26
스마트팜,26
face recognition,26
word embedding,26
crack detection,26
deep learning (딥러닝),25
추천 시스템,25
deep learning(딥 러닝),25
객체탐지,25
object recognition,24
convolutional neural network(합성곱 신경망),24
딥러닝 알고리즘,24
remote sensing,24
attention,24
텍스트 마이닝,24
pose estimation,23
embedded system,23
시계열 예측,23
ensemble,23
recommender system,23
word2vec,23
생성적 적대 신경망,23
convolutional neural network (cnn),23
image recognition,23
심층 신경망,22
object tracking,22
deep learning algorithm,22
attention mechanism,22
autonomous driving(자율주행),22
topic modeling,22
초해상화,22
이상 탐지,22
vision transformer,21
smart farm,21
전이 학습,21
추천시스템,21
yolov3,20
ocr,20
dataset,20
지도학습,20
xai,20
time series,19
super resolution,19
efficientnet,19
영상분석,19
fire detection,19
prediction model,19
opencv,19
detection,19
인공지능(ai),18
defect detection,18
시계열 데이터,18
clustering,18
kobert,18
4차 산업혁명,17
앙상블,17
point cloud,17
recommendation system,17
internet of things,16
data preprocessing,16
artificial intelligence(인공지능),16
feature extraction,16
speech recognition,16
preprocessing,16
욜로,16
bim,16
데이터셋,16
객체인식,16
time series data,15
random forest,15
machine translation,15
머신 러닝,15
원격탐사,15
가상현실,15
사물인터넷,15
damage detection,15
image analysis,15
generative ai,15
mlp,15
collaborative filtering,15
object detection(객체 검출),15
cyclegan,15
language model,15
explainable ai,15
instance segmentation,14
bilstm,14
openpose,14
시계열,14
noise reduction,14
토픽 모델링,14
균열 탐지,14
유지관리,14
smart factory,14
crack,14
deep neural networks,14
rgb,14
딥 러닝(deep learning),14
기계번역,14
임베딩,13
ann,13
denoising,13
the fourth industrial revolution,13
deep learing,13
computed tomography,13
data analysis,13
generative adversarial networks,13
위성영상,13
eeg,13
xgboost,13
데이터마이닝,13
arima,13
knowledge distillation,13
human pose estimation,13
convolutional neural network(cnn),13
emotion recognition,13
semi-supervised learning,13
support vector machine,13
텐서플로우,13
mobilenet,13
artificial intelligence(ai),12
face detection,12
yolov4,12
언어모델,12
malware,12
예측 모델,12
demand forecasting,12
image restoration,12
feature selection,12
시계열 분석,12
monitoring,12
monitoring system,12
virtual reality,12
embedding,12
증강현실,12
recurrent neural networks,12
cryptocurrency,12
이상치 탐지,12
멀티모달,12
딥러닝 (deep learning),12
regression,12
균열,12
accuracy,12
생성형 인공지능,12
이미지 처리,12
무인항공기,12
